Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Ticinella primula	Tenuitella munda	Globigerinelloides bentonensis	Ticinella madecassiana	Hedbergella planispira	Ticinella roberti	Ticinella praeticinensis	Hedbergella delrioensis	Clavihedbergella moremani	Heterohelix moremani	Archaeoglobigerina bosquensis	Rotalipora appenninica	Clavihedbergella subcretacea	Clavihedbergella simplex	Hedbergella angolae	Rotalipora brotzeni	Globigerinelloides caseyi	Whiteinella brittonensis	Whiteinella baltica	Heterohelix globulosa	Whiteinella archaeocretacea	Whiteinella inornata	Marginotruncana pseudolinneiana	Hastigerinoides watersi	Dicarinella hagni	Archaeoglobigerina blowi	Pseudoguembelina costulata	Globotruncanita stuarti	Globotruncana linneiana	Globotruncana aegyptiaca	Globigerinelloides prairiehillensis	Rugoglobigerina rugosa	Pseudoguembelina costellifera	Globotruncanita stuartiformis	Globotruncana esnehensis	Contusotruncana plummerae	Rugotruncana subcircumnodifer	Rugoglobigerina rotundata	Contusotruncana fornicata	Pseudotextularia elegans	Pseudoguembelina palpebra	Globotruncana arca	Gansserina gansseri	Contusotruncana walfischensis	Contusotruncana contusa	Abathomphalus intermedius	Globotruncanella petaloidea	Abathomphalus mayaroensis	Heterohelix labellosa	Rugoglobigerina scotti	Globotruncana insignis	Woodringina claytonensis	Parvularugoglobigerina eugubina	Guembelitria cretacea	Eoglobigerina eobulloides	Praemurica taurica	Praemurica pseudoinconstans	Praemurica inconstans	Parasubbotina pseudobulloides	Subbotina triloculinoides	Praemurica uncinata	Eoglobigerina spiralis	Morozovella praeangulata	Globanomalina imitata	Praemurica strabocella	Igorina pusilla	Morozovella angulata	Parasubbotina varianta	Subbotina triangularis	Morozovella velascoensis	Morozovella acutispira	Igorina albeari	Acarinina coalingensis	Subbotina velascoensis	Morozovella aequa	Acarinina subsphaerica	Globanomalina pseudomenardii	Morozovella pasionensis	Acarinina soldadoensis	Morozovella acuta	Acarinina nitida	Morozovella apanthesma	Igorina tadjikistanensis	Morozovella occlusa	Morozovella subbotinae	Chiloguembelina wilcoxensis	Morozovella gracilis	Pseudohastigerina micra	Morozovella marginodentata	Acarinina wilcoxensis	Acarinina quetra	Subbotina patagonica	Igorina broedermanni	Pseudohastigerina wilcoxensis	Globigerina lozanoi	Turborotalia praecentralis	Morozovella formosa	Morozovella aragonensis	Acarinina pentacamerata	Muricoglobigerina senni	Morozovella lensiformis	Subbotina eocaenica	Planorotalites renzi	Guembelitrioides higginsi	Turborotalia griffinae	Acarinina aspensis	Morozovella spinulosa	Acarinina bullbrooki	Subbotina linaperta	Subbotina boweri	Globigerinatheka index	Acarinina rohri	Acarinina primitiva	Acarinina collactea	Turborotalia possagnoensis	Globigerinatheka mexicana	Globigerinatheka kugleri	Turborotalia pomeroli	Morozovella lehneri	Acarinina topilensis	Turborotalia cerroazulensis	Orbulinoides beckmanni	Globigerinatheka rubriformis	Catapsydrax africanus	Turborotalia increbescens	Turborotalia ampliapertura	Subbotina gortanii	Hantkenina nanggulanensis	Hantkenina alabamensis	Chiloguembelina cubensis	Globigerina euapertura	Dentoglobigerina galavisi	Cassigerinella chipolensis	Globoquadrina altispira globosa	Pseudohastigerina naguewichiensis	Catapsydrax unicavus	Globoquadrina tripartita	Globigerina yeguaensis	Turborotalia cunialensis	Clavigerinella eocanica	Globigerina ouachitaensis	Globigerina angulisuturalis	Pulleniatina obliquiloculata	Globorotalia truncatulinoides	Globorotalia menardii	Globigerinoides sacculifer	Globigerinoides ruber	Comment

  IR	                 	                 	                  	              	207	1260	A	  8	R	 1	  50.00	     57.7000	forams   	Planktonic Foraminifers                      	A              	G                 	                 	                	                              	                      	                      	                 	                        	                       	                         	                    	                             	                      	                            	                        	                   	                   	                         	                        	                   	                     	                           	                    	                               	                       	                 	                        	                          	                       	                       	                        	                                   	                      	                             	                             	                        	                         	                             	                         	                         	                        	                         	                  	                   	                             	                       	                         	                           	                         	                     	                      	                      	                        	                               	                     	                         	                  	                           	                     	                             	                         	                   	                      	                        	                     	                      	               	                    	                      	                      	                        	                      	               	                      	                      	                 	                      	                            	                       	                      	                 	                	                      	                        	                   	                      	                           	                    	                       	                          	                     	                	                    	                    	                             	                   	                          	                   	                       	                       	                       	                       	                   	                    	                         	P                     	                  	                     	P                   	                   	                	                      	P              	                   	                   	P                         	                         	                        	P                    	P                  	                    	                           	P                     	                            	                     	                         	                          	                  	                         	                      	                        	                      	                         	                          	                               	                                 	                    	                        	                      	                        	                       	                         	                           	                            	                             	                     	                          	                     	       

  IR	                 	                 	                  	              	207	1260	A	  8	R	 2	  50.00	     59.2000	forams   	Planktonic Foraminifers                      	A              	G                 	                 	                	                              	                      	                      	                 	                        	                       	                         	                    	                             	                      	                            	                        	                   	                   	                         	                        	                   	                     	                           	                    	                               	                       	                 	                        	                          	                       	                       	                        	                                   	                      	                             	                             	                        	                         	                             	                         	                         	                        	                         	                  	                   	                             	                       	                         	                           	                         	                     	                      	                      	                        	                               	                     	                         	                  	                           	                     	                             	                         	                   	                      	                        	                     	                      	               	                    	                      	                      	                        	                      	               	                      	                      	                 	                      	                            	                       	                      	                 	                	                      	                        	                   	                      	                           	                    	P                      	                          	                     	                	                    	                    	                             	                   	                          	                   	                       	                       	P                      	                       	                   	                    	                         	                      	                  	P                    	P                   	                   	                	                      	P              	                   	                   	                          	                         	                        	P                    	                   	                    	                           	                      	                            	                     	                         	                          	                  	                         	                      	                        	                      	                         	                          	                               	                                 	                    	                        	                      	                        	                       	                         	                           	                            	                             	                     	                          	                     	       

  IR	                 	                 	                  	              	207	1260	A	  8	R	 3	  50.00	     60.7000	forams   	Planktonic Foraminifers                      	A              	M                 	                 	                	                              	                      	                      	                 	                        	                       	                         	                    	                             	                      	                            	                        	                   	                   	                         	                        	                   	                     	                           	                    	                               	                       	                 	                        	                          	                       	                       	                        	                                   	                      	                             	                             	                        	                         	                             	                         	                         	                        	                         	                  	                   	                             	                       	                         	                           	                         	                     	                      	                      	                        	                               	                     	                         	                  	                           	                     	                             	                         	                   	                      	                        	                     	                      	               	                    	                      	                      	                        	                      	               	                      	                      	                 	                      	                            	                       	                      	                 	                	                      	                        	                   	                      	                           	                    	                       	                          	                     	                	                    	                    	                             	                   	                          	                   	                       	                       	P                      	                       	                   	                    	                         	                      	                  	P                    	P                   	                   	                	                      	P              	                   	                   	                          	P                        	                        	P                    	                   	P                   	P                          	                      	                            	                     	                         	                          	                  	                         	                      	                        	                      	                         	                          	                               	                                 	                    	                        	                      	                        	                       	                         	                           	                            	                             	                     	                          	                     	       

  IR	                 	                 	                  	              	207	1260	A	  8	R	 4	  50.00	     62.2000	forams   	Planktonic Foraminifers                      	A              	M                 	                 	                	                              	                      	                      	                 	                        	                       	                         	                    	                             	                      	                            	                        	                   	                   	                         	                        	                   	                     	                           	                    	                               	                       	                 	                        	                          	                       	                       	                        	                                   	                      	                             	                             	                        	                         	                             	                         	                         	                        	                         	                  	                   	                             	                       	                         	                           	                         	                     	                      	                      	                        	                               	                     	                         	                  	                           	                     	                             	                         	                   	                      	                        	                     	                      	               	                    	                      	                      	                        	                      	               	                      	                      	                 	                      	                            	                       	                      	                 	                	                      	                        	                   	                      	                           	                    	                       	                          	                     	                	                    	                    	                             	                   	                          	                   	                       	                       	P                      	                       	                   	                    	                         	                      	                  	P                    	                    	                   	                	                      	               	                   	                   	                          	                         	P                       	P                    	                   	                    	P                          	                      	                            	                     	                         	                          	                  	                         	                      	                        	                      	                         	                          	                               	                                 	                    	                        	                      	                        	                       	                         	                           	                            	                             	                     	                          	                     	       

  IR	                 	                 	                  	              	207	1260	A	  8	R	 5	  50.00	     63.7000	forams   	Planktonic Foraminifers                      	F              	P                 	                 	                	                              	                      	                      	                 	                        	                       	                         	                    	                             	                      	                            	                        	                   	                   	                         	                        	                   	                     	                           	                    	                               	                       	                 	                        	                          	                       	                       	                        	                                   	                      	                             	                             	                        	                         	                             	                         	                         	                        	                         	                  	                   	                             	                       	                         	                           	                         	                     	                      	                      	                        	                               	                     	                         	                  	                           	                     	                             	                         	                   	                      	                        	                     	                      	               	                    	                      	                      	                        	                      	               	                      	                      	                 	                      	                            	                       	                      	                 	                	                      	                        	                   	                      	                           	                    	                       	                          	                     	                	                    	                    	                             	                   	                          	                   	                       	                       	P                      	                       	                   	                    	                         	                      	                  	P                    	P                   	                   	                	                      	P              	                   	                   	                          	                         	P                       	P                    	P                  	                    	                           	                      	                            	                     	                         	                          	                  	                         	                      	                        	                      	                         	                          	                               	                                 	                    	                        	                      	                        	                       	                         	                           	                            	                             	                     	                          	                     	       

  IR	                 	                 	                  	              	207	1260	A	  8	R	CC	   0.00	     65.7100	forams   	Planktonic Foraminifers                      	A              	G                 	                 	                	                              	                      	                      	                 	                        	                       	                         	                    	                             	                      	                            	                        	                   	                   	                         	                        	                   	                     	                           	                    	                               	                       	                 	                        	                          	                       	                       	                        	                                   	                      	                             	                             	                        	                         	                             	                         	                         	                        	                         	                  	                   	                             	                       	                         	                           	                         	                     	                      	                      	                        	                               	                     	                         	                  	                           	                     	                             	                         	                   	                      	                        	                     	                      	               	                    	                      	                      	                        	                      	               	                      	                      	                 	                      	                            	                       	                      	                 	                	                      	                        	                   	                      	                           	                    	                       	                          	                     	                	                    	                    	                             	                   	                          	                   	                       	                       	P                      	                       	                   	                    	                         	                      	                  	                     	P                   	                   	                	                      	P              	                   	                   	                          	P                        	                        	P                    	P                  	                    	                           	                      	                            	                     	                         	                          	                  	                         	                      	                        	                      	                         	                          	                               	                                 	                    	                        	                      	                        	                       	                         	                           	                            	                             	                     	                          	                     	       

  IR	                 	                 	                  	              	207	1260	A	  9	R	CC	   0.00	     76.6100	forams   	Planktonic Foraminifers                      	A              	M                 	                 	                	                              	                      	                      	                 	                        	                       	                         	                    	                             	                      	                            	                        	                   	                   	                         	                        	                   	                     	                           	                    	                               	                       	                 	                        	                          	                       	                       	                        	                                   	                      	                             	                             	                        	                         	                             	                         	                         	                        	                         	                  	                   	                             	                       	                         	                           	                         	                     	                      	                      	                        	                               	                     	                         	                  	                           	                     	                             	                         	                   	                      	                        	                     	                      	               	                    	                      	                      	                        	                      	               	                      	                      	                 	                      	                            	                       	                      	                 	                	                      	                        	                   	                      	                           	                    	                       	                          	                     	                	                    	P                   	                             	                   	                          	                   	                       	                       	P                      	                       	                   	                    	                         	                      	                  	                     	P                   	                   	                	P                     	P              	                   	                   	                          	P                        	                        	P                    	P                  	                    	                           	                      	                            	                     	                         	                          	                  	                         	                      	                        	                      	                         	                          	                               	                                 	                    	                        	                      	                        	                       	                         	                           	                            	                             	                     	                          	                     	       

  IR	                 	                 	                  	              	207	1260	A	 10	R	CC	   8.00	     85.4500	forams   	Planktonic Foraminifers                      	C              	M                 	                 	                	                              	                      	                      	                 	                        	                       	                         	                    	                             	                      	                            	                        	                   	                   	                         	                        	                   	                     	                           	                    	                               	                       	                 	                        	                          	                       	                       	                        	                                   	                      	                             	                             	                        	                         	                             	                         	                         	                        	                         	                  	                   	                             	                       	                         	                           	                         	                     	                      	                      	                        	                               	                     	                         	                  	                           	                     	                             	                         	                   	                      	                        	                     	                      	               	                    	                      	                      	                        	                      	               	                      	                      	                 	                      	                            	                       	                      	                 	                	                      	                        	                   	                      	                           	                    	                       	                          	                     	                	                    	                    	                             	                   	                          	                   	                       	                       	P                      	                       	                   	                    	P                        	                      	                  	                     	P                   	                   	                	P                     	P              	                   	                   	                          	                         	                        	P                    	P                  	                    	                           	                      	                            	                     	                         	                          	                  	                         	                      	                        	                      	                         	                          	                               	                                 	                    	                        	                      	                        	                       	                         	                           	                            	                             	                     	                          	                     	       

  IR	                 	                 	                  	              	207	1260	A	 11	R	CC	  11.00	     96.1500	forams   	Planktonic Foraminifers                      	C              	P                 	                 	                	                              	                      	                      	                 	                        	                       	                         	                    	                             	                      	                            	                        	                   	                   	                         	                        	                   	                     	                           	                    	                               	                       	                 	                        	                          	                       	                       	                        	                                   	                      	                             	                             	                        	                         	                             	                         	                         	                        	                         	                  	                   	                             	                       	                         	                           	                         	                     	                      	                      	                        	                               	                     	                         	                  	                           	                     	                             	                         	                   	                      	                        	                     	                      	               	                    	                      	                      	                        	                      	               	                      	                      	                 	                      	                            	                       	                      	                 	                	                      	                        	                   	                      	                           	                    	                       	                          	                     	                	                    	                    	                             	                   	                          	                   	                       	                       	                       	                       	                   	                    	P                        	                      	                  	                     	                    	                   	                	                      	P              	                   	                   	                          	P                        	P                       	P                    	P                  	                    	                           	                      	                            	                     	                         	                          	                  	                         	                      	                        	                      	                         	                          	                               	                                 	                    	                        	                      	                        	                       	                         	                           	                            	                             	                     	                          	                     	       

  IR	                 	                 	                  	              	207	1260	A	 12	R	CC	  15.00	    104.9600	forams   	Planktonic Foraminifers                      	F              	P                 	                 	                	                              	                      	                      	                 	                        	                       	                         	                    	                             	                      	                            	                        	                   	                   	                         	                        	                   	                     	                           	                    	                               	                       	                 	                        	                          	                       	                       	                        	                                   	                      	                             	                             	                        	                         	                             	                         	                         	                        	                         	                  	                   	                             	                       	                         	                           	                         	                     	                      	                      	                        	                               	                     	                         	                  	                           	                     	                             	                         	                   	                      	                        	                     	                      	               	                    	                      	                      	                        	                      	               	                      	                      	                 	                      	                            	                       	                      	                 	                	                      	                        	                   	                      	                           	                    	                       	                          	                     	                	                    	P                   	                             	                   	                          	                   	                       	                       	P                      	                       	                   	                    	                         	                      	                  	                     	                    	                   	                	                      	P              	P                  	                   	                          	P                        	P                       	P                    	P                  	                    	                           	                      	                            	                     	                         	                          	                  	                         	                      	                        	                      	                         	                          	                               	                                 	                    	                        	                      	                        	                       	                         	                           	                            	                             	                     	                          	                     	       

  IR	                 	                 	                  	              	207	1260	A	 13	R	CC	  15.00	    114.6700	forams   	Planktonic Foraminifers                      	F              	P                 	                 	                	                              	                      	                      	                 	                        	                       	                         	                    	                             	                      	                            	                        	                   	                   	                         	                        	                   	                     	                           	                    	                               	                       	                 	                        	                          	                       	                       	                        	                                   	                      	                             	                             	                        	                         	                             	                         	                         	                        	                         	                  	                   	                             	                       	                         	                           	                         	                     	                      	                      	                        	                               	                     	                         	                  	                           	                     	                             	                         	                   	                      	                        	                     	                      	               	                    	                      	                      	                        	                      	               	                      	                      	                 	                      	                            	                       	                      	                 	                	                      	                        	                   	                      	                           	                    	                       	                          	                     	                	                    	P                   	                             	                   	                          	                   	                       	                       	P                      	                       	                   	                    	P                        	                      	                  	P                    	                    	                   	                	                      	P              	                   	                   	P                         	P                        	                        	                     	                   	P                   	                           	                      	                            	                     	                         	                          	                  	                         	                      	                        	                      	                         	                          	                               	                                 	                    	                        	                      	                        	                       	                         	                           	                            	                             	                     	                          	                     	       

  IR	                 	                 	                  	              	207	1260	A	 14	R	CC	  19.00	    124.7900	forams   	Planktonic Foraminifers                      	F              	P                 	                 	                	                              	                      	                      	                 	                        	                       	                         	                    	                             	                      	                            	                        	                   	                   	                         	                        	                   	                     	                           	                    	                               	                       	                 	                        	                          	                       	                       	                        	                                   	                      	                             	                             	                        	                         	                             	                         	                         	                        	                         	                  	                   	                             	                       	                         	                           	                         	                     	                      	                      	                        	                               	                     	                         	                  	                           	                     	                             	                         	                   	                      	                        	                     	                      	               	                    	                      	                      	                        	                      	               	                      	                      	                 	                      	                            	                       	                      	                 	                	                      	                        	                   	                      	                           	                    	                       	                          	                     	                	                    	P                   	                             	                   	                          	                   	                       	                       	P                      	                       	                   	                    	P                        	                      	                  	P                    	                    	                   	                	                      	P              	                   	                   	                          	                         	P                       	P                    	P                  	                    	                           	                      	                            	                     	                         	                          	                  	                         	                      	                        	                      	                         	                          	                               	                                 	                    	                        	                      	                        	                       	                         	                           	                            	                             	                     	                          	                     	       

  IR	                 	                 	                  	              	207	1260	A	 15	R	 1	  50.00	    125.4000	forams   	Planktonic Foraminifers                      	F              	P                 	                 	                	                              	                      	                      	                 	                        	                       	                         	                    	                             	                      	                            	                        	                   	                   	                         	                        	                   	                     	                           	                    	                               	                       	                 	                        	                          	                       	                       	                        	                                   	                      	                             	                             	                        	                         	                             	                         	                         	                        	                         	                  	                   	                             	                       	                         	                           	                         	                     	                      	                      	                        	                               	                     	                         	                  	                           	                     	                             	                         	                   	                      	                        	                     	                      	               	                    	                      	                      	                        	                      	               	                      	                      	                 	                      	                            	                       	                      	                 	                	                      	                        	                   	                      	                           	                    	                       	                          	                     	                	                    	P                   	                             	                   	                          	                   	P                      	                       	P                      	                       	                   	                    	P                        	                      	                  	                     	                    	                   	                	                      	P              	                   	                   	                          	                         	P                       	                     	                   	                    	                           	                      	                            	                     	                         	                          	                  	                         	                      	                        	                      	                         	                          	                               	                                 	                    	                        	                      	                        	                       	                         	                           	                            	                             	                     	                          	                     	       
