Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Whiteinellid taxa	Whiteinella brittonensis	Whiteinella baltica	Praeglobotruncana gibba	Marginotruncanid gen.et sp. indet	Marginotruncana pseudolinneiana	Marginotruncana coronata	Heterohelix sp.	Heterohelix reussi	Heterohelix moremani	Hedbergellid gen. et sp. indet. 	Hedbergella planispira	Hedbergella hoelzli	Globigerinelloides caseyi	Globigerinelloides bentonensis	Globigerinelloides (unspecified taxon or taxa)	Dicarinellid gen.et sp. indet	Dicarinella imbricata	Dicarinella hagni	Marginotruncana marginata	Archaeoglobigerina sp.	Marginotruncana schneegansi	Hedbergella simplex	Archaeoglobigerind gen. et sp. indet	Archaeoglobigerina blowi	Globigerinelloides sp.	Heterohelix sp.	Globotruncana linneiana	Heterohelix globulosa	Schackoina multispinata	Heterohelix planata	Globigerinelloides multispinus	Globigerinelloides impensus	Archaeoglobigerina australis	Heterohelix dentata	Archaeoglobigerina mateola	Hedbergella monmouthensis	Hedbergella sliteri	Globotruncanella havanensis	Globotruncana bulloides	Guembelitria cretacea	Rugotruncana circumnodifer	Globotruncanella petaloidea	Abathomphalus mayaroensis	Gublerina robusta	Globigerinelloides subcarinatus	Subbotina triloculinoides	Subbotina fringa	Subbotina eobulloides	Subbotina danica	Planorotalites sp. cf. P. eugubinus	Planorotalites archeocompressus	Morozovella edita	Globoconusa daubjergensis >150 micron	Globoconusa daubjergensis <150 µm	Chiloguembelinid  gen. et sp. indet <150 µm	Tenuitella reissi <150 µm	Subbotina triangularis	Subbotina pseudobulloides	Morozovella indolensis	Morozovella inconstans	Chiloguembelinid gen. et sp. indet >150 µm (mainly Ch. midwayensis)	Planorotalites sp. aff. P. compressus	Planorotalites imitatus	Planorotalites compressus	Morozovella trinidadensis	Morozovella uncinata	Planorotalites ehrenbergi	Morozovella schachdagica	Morozovella praecursoria	Morozovella angulata abundocamerata	Morozovella angulata	Acarinina mckannai	Planorotalites spp. <150 µm	Acarinina praepentacamerata	Morozovella tadjikistanensis dianensis	Morozovella pusilla	Morozovella kubanensis	Acarinina nitida	Acarinina whitei	Subbotinid gen. et sp. indet (with abortive chambers)	Planorotalites pseudomenardii	Subbotina crassa >400 µm	Acarinina acarinata	Acarinina subsphaerica	Acarinina aquiensis	Acarinina chascanona	Subbotina eocaenica	Acarinina velascoensis	Globorotaloides sp. 1	Acarinina esnaensis	Subbotina patagonica	Subbotina pseudoeocaena trilobata	Subbotina pseudoeocaena	Subbotina eocaenica irregularis	Subbotina bakeri	Planorotalites pseudoscitulus elongatus	Planorotalites pseudoscitulus	Planorotalites planoconicus	Planorotalites australiformis	Morozovella wilcoxensis berggreni	Morozovella convexa	Morozovella aequa	Globorotaloides spp.	Chiloguembelina wilcoxensis	Acarinina soldadoensis	Acarinina intermedia	Subbotina sp. aff. S.hornibrooki	Subbotina pseudoeocaena compacta	Planorotalites chapmani	Morozovella subbotinae	Morozovella marginodentata	Morozovella lensiformis	Morozovella dolabrata	Guembelitria sp.	Globorotaloides sp. aff. G.suteri	Acarinina triplex	Acarinina rugosoaculeata	Acarinina pentacamerata camerata	Acarinina pentacamerata acceleratoria	Acarinina interposita	Acarinina collactea	Subbotina inaequispira	Subbotina eocaena	Pseudohastigerina wilcoxensis	Pseudohastigerina spp. <150 µm	Globigerinatheka senni	Acarininid gen.et sp. indet (subangular)	Acarinina spinuloinflata	Acarinina rotundimarginata	Acarinina pseudotopilensis	Acarinina primitiva	Acarinina praetopilensis	Acarinina pentacamerata	Acarinina appressocamerata	Subbotina corpulenta	Acarinina soldadoensis angulosa	Acarinina sp. aff. mattseensis alticonica	Globorotalia praecentralis	Subbotina ratusa	Acarinina decepta	Acarinina bullbrooki/matthewsae	Pseudohastigerina micra	Morozovella nicoli ex. group (biconvex)	Cassigerinelloita amekiensis	Pseudohastigerina danvillensis	Morozovella crater	Morozovella broedermanni	Acarinina sp. cf. A.quadratoseptata	Subbotina crociapertura	Acarinina sp. cf. A.punctocarinata	Acarinina cuneicamerata	Pseudohastigerina sharkriverensis	Globorotaloides oregonensis	Globorotaloides suteri	Subbotina utilisindex	Subbotina angiporoides minima	Catapsydrax spp.	Globigerinatheka index	Subbotina linaperta	Morozovella sp. cf. M. lehneri	Subbotina angiporoides	Catapsydrax africanus	Comment

  SR	Middle Eocene    	                 	P10               	P11           	114	 700	B	  8	R	 5	  79.00	     80.6900	Nocchi   	Planktonic Foraminifers                      	C              	P                 	                 	                        	                   	                       	                                 	                               	                        	               	                  	                    	                                	                      	                   	                         	                              	                                              	                             	                     	                 	                         	                      	                           	                   	                                    	                        	                      	               	                       	                     	                       	                   	                              	                           	                            	                   	                          	                         	                   	                           	                       	                     	                          	                           	                         	                 	                               	                         	                	                     	                	                                   	                               	                 	                                     	                                 	                                           	                         	                      	                         	                      	                      	                                                                   	                                     	                       	                         	                         	                    	                         	                        	                        	                                   	                    	                  	                           	                           	                                      	                   	                      	                	                	S                                                    	                             	                        	                   	                      	                   	                    	S                  	                      	                     	                   	R                   	                                 	S                      	                               	                	                                       	                             	                           	                             	                                 	                   	                 	R                   	                           	                      	                    	                                	                                	                       	                      	                          	                       	                     	R               	                                 	                 	                        	                                	                                     	                     	                   	S                     	R                	                             	R                             	F                     	                                        	S                       	                          	                          	C                  	                        	                       	                          	                    	                               	R                                        	                          	                	                 	                               	R                      	                                       	                            	                              	                  	                        	                                   	                       	                                  	                       	                                 	                           	S                     	R                    	                             	R               	                      	                   	                              	                      	                     	slight to medium etching of chambers; from ODP Leg 114 SR Chapter 12 Table 4 (back-pocket)

  SR	Middle Eocene    	                 	P10               	P11           	114	 700	B	  8	R	CC	  16.00	     81.0700	Nocchi   	Planktonic Foraminifers                      	C              	P                 	                 	                        	                   	                       	                                 	                               	                        	               	                  	                    	                                	                      	                   	                         	                              	                                              	                             	                     	                 	                         	                      	                           	                   	                                    	                        	                      	               	                       	                     	                       	                   	                              	                           	                            	                   	                          	                         	                   	                           	                       	                     	                          	                           	                         	                 	                               	                         	                	                     	                	                                   	                               	                 	                                     	                                 	R                                          	                         	                      	                         	                      	                      	                                                                   	                                     	                       	                         	                         	                    	                         	                        	                        	                                   	                    	                  	                           	                           	                                      	                   	                      	                	                	                                                     	                             	                        	                   	                      	                   	                    	F                  	                      	F                    	                   	S                   	                                 	R                      	R                              	                	                                       	                             	                           	                             	                                 	                   	                 	F                   	                           	                      	F                   	                                	                                	                       	                      	                          	                       	                     	R               	                                 	                 	                        	                                	                                     	                     	                   	                      	                 	                             	C                             	F                     	                                        	S                       	                          	                          	A                  	                        	                       	                          	                    	                               	                                         	                          	                	                 	F                              	R                      	                                       	                            	F                             	                  	                        	                                   	                       	                                  	                       	                                 	R                          	F                     	R                    	F                            	R               	                      	                   	                              	                      	                     	slight to medium etching of chambers; from ODP Leg 114 SR Chapter 12 Table 4 (back-pocket)

  SR	Middle Eocene    	                 	P10               	P11           	114	 700	B	  9	R	 1	 119.00	     84.5900	Nocchi   	Planktonic Foraminifers                      	C              	P                 	                 	                        	                   	                       	                                 	                               	                        	               	                  	                    	                                	                      	                   	                         	                              	                                              	                             	                     	                 	                         	                      	                           	                   	                                    	                        	                      	               	                       	                     	                       	                   	                              	                           	                            	                   	                          	                         	                   	                           	                       	                     	                          	                           	                         	                 	                               	                         	                	                     	                	                                   	                               	                 	                                     	                                 	                                           	                         	                      	                         	                      	                      	                                                                   	                                     	                       	                         	                         	                    	                         	                        	                        	                                   	                    	                  	                           	                           	                                      	                   	                      	                	                	                                                     	                             	                        	                   	                      	                   	                    	                   	                      	                     	                   	                    	                                 	S                      	S                              	                	                                       	                             	                           	                             	                                 	                   	                 	R                   	                           	                      	                    	                                	                                	                       	                      	                          	                       	                     	R               	                                 	                 	                        	                                	                                     	                     	F                  	                      	                 	                             	                              	F                     	                                        	                        	S                         	                          	A                  	                        	                       	                          	                    	                               	F                                        	                          	                	                 	                               	                       	                                       	                            	                              	                  	                        	                                   	                       	                                  	                       	                                 	S                          	R                     	R                    	                             	                	                      	                   	                              	                      	                     	from ODP Leg 114 SR Chapter 12 Table 4 (back-pocket)

  SR	Middle Eocene    	                 	P10               	P11           	114	 700	B	  9	R	 2	 119.00	     86.0900	Nocchi   	Planktonic Foraminifers                      	A              	M                 	                 	                        	                   	                       	                                 	                               	                        	               	                  	                    	                                	                      	                   	                         	                              	                                              	                             	                     	                 	                         	                      	                           	                   	                                    	                        	                      	               	                       	                     	                       	                   	                              	                           	                            	                   	                          	                         	                   	                           	                       	                     	                          	                           	                         	                 	                               	                         	                	                     	                	                                   	                               	                 	                                     	                                 	                                           	R                        	                      	                         	                      	                      	                                                                   	                                     	                       	                         	                         	                    	                         	                        	                        	                                   	                    	                  	                           	                           	                                      	                   	                      	                	                	                                                     	                             	                        	                   	                      	                   	                    	S                  	                      	R                    	                   	                    	                                 	R                      	S                              	                	                                       	                             	                           	                             	                                 	                   	                 	R                   	                           	                      	                    	                                	                                	                       	                      	                          	                       	                     	                	                                 	                 	                        	                                	                                     	                     	                   	S                     	R                	                             	F                             	R                     	                                        	                        	                          	                          	A                  	                        	                       	                          	                    	                               	                                         	                          	                	                 	S                              	R                      	                                       	                            	                              	                  	                        	                                   	                       	                                  	                       	                                 	S                          	R                     	R                    	                             	                	                      	                   	                              	                      	                     	from ODP Leg 114 SR Chapter 12 Table 4 (back-pocket)

  SR	Middle Eocene    	                 	P10               	P11           	114	 700	B	  9	R	 3	 119.00	     87.5900	Nocchi   	Planktonic Foraminifers                      	A              	M                 	                 	                        	                   	                       	                                 	                               	                        	               	                  	                    	                                	                      	                   	                         	                              	                                              	                             	                     	                 	                         	                      	                           	                   	                                    	                        	                      	               	                       	                     	                       	                   	                              	                           	                            	                   	                          	                         	                   	                           	                       	                     	                          	                           	                         	                 	                               	                         	                	                     	                	                                   	                               	                 	                                     	                                 	R                                          	                         	                      	                         	                      	                      	                                                                   	                                     	                       	                         	                         	                    	                         	                        	                        	                                   	                    	                  	                           	                           	                                      	                   	                      	                	                	S                                                    	                             	                        	                   	                      	                   	                    	R                  	                      	R                    	                   	                    	                                 	R                      	F                              	                	                                       	                             	                           	                             	                                 	                   	                 	F                   	                           	                      	R                   	                                	                                	                       	                      	                          	                       	                     	                	                                 	                 	                        	                                	                                     	                     	                   	                      	R                	                             	F                             	F                     	S                                       	F                       	                          	                          	C                  	                        	                       	                          	                    	                               	                                         	                          	                	                 	F                              	R                      	S                                      	                            	R                             	                  	                        	                                   	                       	                                  	                       	S                                	R                          	S                     	F                    	S                            	                	                      	                   	                              	                      	                     	strong etching of chambers; from ODP Leg 114 SR Chapter 12 Table 4 (back-pocket)

  SR	Middle Eocene    	                 	P10               	P11           	114	 700	B	  9	R	 4	 119.00	     89.0900	Nocchi   	Planktonic Foraminifers                      	A              	M                 	                 	                        	                   	                       	                                 	                               	                        	               	                  	                    	                                	                      	                   	                         	                              	                                              	                             	                     	                 	                         	                      	                           	                   	                                    	                        	                      	               	                       	                     	                       	                   	                              	                           	                            	                   	                          	                         	                   	                           	                       	                     	                          	                           	                         	                 	                               	                         	                	                     	                	                                   	                               	                 	                                     	                                 	R                                          	                         	                      	                         	                      	                      	                                                                   	                                     	                       	                         	                         	                    	                         	                        	                        	                                   	                    	                  	                           	                           	                                      	                   	                      	                	                	                                                     	                             	                        	                   	                      	                   	                    	                   	                      	S                    	                   	R                   	                                 	S                      	S                              	                	                                       	                             	                           	                             	                                 	                   	                 	C                   	                           	                      	                    	                                	                                	                       	                      	                          	                       	                     	                	                                 	                 	                        	                                	                                     	                     	                   	S                     	                 	                             	F                             	F                     	S                                       	S                       	R                         	                          	A                  	                        	                       	                          	                    	                               	                                         	                          	                	                 	S                              	R                      	R                                      	                            	F                             	                  	                        	                                   	                       	                                  	                       	                                 	S                          	F                     	                     	                             	                	                      	                   	                              	                      	                     	strong etching of chambers; from ODP Leg 114 SR Chapter 12 Table 4 (back-pocket)

  SR	Middle Eocene    	                 	P10               	P11           	114	 700	B	  9	R	 5	 114.00	     90.5400	Nocchi   	Planktonic Foraminifers                      	A              	P                 	                 	                        	                   	                       	                                 	                               	                        	               	                  	                    	                                	                      	                   	                         	                              	                                              	                             	                     	                 	                         	                      	                           	                   	                                    	                        	                      	               	                       	                     	                       	                   	                              	                           	                            	                   	                          	                         	                   	                           	                       	                     	                          	                           	                         	                 	                               	                         	                	                     	                	                                   	                               	                 	                                     	                                 	R                                          	                         	                      	                         	                      	                      	                                                                   	                                     	                       	                         	                         	                    	                         	                        	                        	                                   	                    	                  	                           	                           	                                      	                   	                      	                	                	R                                                    	                             	                        	                   	                      	                   	                    	F                  	                      	R                    	                   	                    	                                 	F                      	S                              	                	                                       	                             	                           	                             	                                 	                   	                 	R                   	                           	                      	                    	                                	                                	                       	                      	                          	                       	                     	R               	R                                	                 	                        	                                	                                     	                     	R                  	R                     	F                	                             	C                             	F                     	R                                       	S                       	R                         	                          	C                  	                        	                       	                          	                    	                               	                                         	                          	                	                 	                               	R                      	R                                      	                            	F                             	                  	                        	                                   	                       	                                  	                       	                                 	R                          	                      	F                    	S                            	                	                      	                   	                              	                      	                     	strong etching of chambers; from ODP Leg 114 SR Chapter 12 Table 4 (back-pocket)

  SR	Middle Eocene    	                 	P10               	P11           	114	 700	B	  9	R	 6	  56.00	     91.4600	Nocchi   	Planktonic Foraminifers                      	A              	P                 	                 	                        	                   	                       	                                 	                               	                        	               	                  	                    	                                	                      	                   	                         	                              	                                              	                             	                     	                 	                         	                      	                           	                   	                                    	                        	                      	               	                       	                     	                       	                   	                              	                           	                            	                   	                          	                         	                   	                           	                       	                     	                          	                           	                         	                 	                               	                         	                	                     	                	                                   	                               	                 	                                     	                                 	F                                          	                         	                      	                         	                      	                      	                                                                   	                                     	                       	                         	                         	                    	                         	                        	                        	                                   	                    	                  	                           	                           	                                      	                   	                      	                	                	                                                     	                             	                        	                   	                      	                   	                    	R                  	                      	R                    	                   	                    	                                 	S                      	S                              	                	                                       	                             	                           	                             	                                 	                   	                 	F                   	                           	                      	                    	                                	                                	                       	                      	                          	                       	                     	R               	                                 	                 	                        	                                	                                     	                     	F                  	S                     	                 	                             	F                             	F                     	R                                       	R                       	R                         	                          	C                  	                        	                       	                          	                    	                               	                                         	                          	                	                 	                               	R                      	R                                      	                            	R                             	                  	                        	                                   	                       	                                  	                       	                                 	C                          	R                     	F                    	S                            	                	                      	                   	                              	                      	                     	from ODP Leg 114 SR Chapter 12 Table 4 (back-pocket)

  SR	Middle Eocene    	                 	P10               	P11           	114	 700	B	  9	R	CC	   5.00	     91.6600	Nocchi   	Planktonic Foraminifers                      	A              	M                 	                 	                        	                   	                       	                                 	                               	                        	               	                  	                    	                                	                      	                   	                         	                              	                                              	                             	                     	                 	                         	                      	                           	                   	                                    	                        	                      	               	                       	                     	                       	                   	                              	                           	                            	                   	                          	                         	                   	                           	                       	                     	                          	                           	                         	                 	                               	                         	                	                     	                	                                   	                               	                 	                                     	                                 	F                                          	                         	                      	                         	                      	                      	                                                                   	                                     	                       	                         	                         	                    	                         	                        	                        	                                   	                    	                  	                           	                           	                                      	                   	                      	                	                	                                                     	                             	                        	                   	                      	                   	                    	R                  	                      	R                    	                   	S                   	                                 	F                      	F                              	                	                                       	                             	                           	                             	                                 	                   	                 	F                   	                           	                      	R                   	                                	S                               	                       	                      	                          	                       	                     	C               	F                                	                 	                        	                                	                                     	                     	R                  	R                     	                 	S                            	C                             	R                     	R                                       	R                       	S                         	R                         	C                  	S                       	                       	                          	                    	                               	                                         	                          	                	S                	F                              	F                      	R                                      	                            	F                             	                  	R                       	                                   	                       	                                  	                       	S                                	F                          	R                     	R                    	S                            	                	                      	                   	                              	                      	                     	from ODP Leg 114 SR Chapter 12 Table 4 (back-pocket)

  SR	Middle Eocene    	                 	P10               	P11           	114	 700	B	 10	R	 1	  77.00	     93.6700	Nocchi   	Planktonic Foraminifers                      	A              	M                 	                 	                        	                   	                       	                                 	                               	                        	               	                  	                    	                                	                      	                   	                         	                              	                                              	                             	                     	                 	                         	                      	                           	                   	                                    	                        	                      	               	                       	                     	                       	                   	                              	                           	                            	                   	                          	                         	                   	                           	                       	                     	                          	                           	                         	                 	                               	                         	                	                     	                	                                   	                               	                 	                                     	                                 	R                                          	R                        	                      	                         	                      	                      	                                                                   	                                     	                       	                         	                         	                    	                         	                        	                        	                                   	                    	                  	                           	                           	                                      	                   	                      	                	                	S                                                    	                             	                        	                   	                      	                   	                    	S                  	                      	S                    	                   	                    	                                 	R                      	F                              	                	                                       	                             	                           	                             	                                 	                   	                 	F                   	                           	                      	R                   	                                	                                	                       	                      	                          	                       	                     	C               	R                                	                 	R                       	                                	                                     	                     	F                  	R                     	F                	                             	F                             	S                     	R                                       	F                       	F                         	                          	A                  	                        	                       	                          	                    	                               	R                                        	                          	                	                 	R                              	C                      	                                       	                            	R                             	                  	                        	                                   	                       	                                  	                       	S                                	R                          	S                     	                     	                             	                	                      	                   	                              	                      	                     	slight to medium etching of chambers; from ODP Leg 114 SR Chapter 12 Table 4 (back-pocket)
