Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Watznaueria barnesae	Micula decussata	Neocrepidolithus spiralis	Micula concava	Prediscosphaera cretacea	Microrhabdulus decoratus	Cribrosphaerella ehrenbergii	Ceratolithoides aculeus	Lithraphidites sp. cf. quatratus	Lithraphidites sp.	Arkhangelskiella cymbiformis	Toweius pertusus	Toweius eminens	Prinsius bisulcus	Neococcolithes bukryi	Neochiastozygus distentus	Fasciculithus tympaniformis	Ericsonia subpertusa	Discoaster nobilis	Discoaster mohleri	Coccolithus pelagicus	Toweius callosus	Ellipsolithus distichus	Discoaster multiradiatus	Discoaster drieveri	Cruciplacolithus californicus	Chiasmolithus bidens	Sphenolithus primus	Ericsonia universa	Chiasmolithus solitus	Chiasmolithus expansus	Zygrhablithus bijugatus	Tribrachiatus orthostylus	Sphenolithus radians	Pontosphaera rimosa	Ericsonia formosa	Discoaster robustus	Discoaster pacificus	Discoaster barbadiensis	Chiasmolithus consuetus	Pontosphaera sp.	Ellipsolithus macellus	Discoaster kuepperi	Cruciplacolithus delus	Sphenolithus moriformis	Discoaster binodosus	Lophodolithus nascens	Discoaster lodoensis	Markalius inversus	Ericsonia cava	Cyclococcolithina protoannula	Clausicoccus fenestratus	Chiphragmalithus calathus	Chiasmolithus eograndis	Neococcolithes dubius	Lophodolithus mochlophorus	Chiasmolithus grandis	Discoaster cf. sublodoensis	Neococcolithes protenus	Reticulofenestra dictyoda	Toweius magnicrassus	Helicosphaera lophota	Toweius gammation	Helicosphaera sp.	Helicosphaera seminulum	Neococcolithes minutus	Tetralithus sp.	Neocrepidolithus sp.	Reticulofenestra pseudogammation	Lophodolithus rotundus	Nannotetrina cristata	Nannotetrina fulgens	Discoaster sp.	Discoaster sublodoensis	Reticulofenestra samodurovii	Discoaster saipanensis	Discoaster praebifax	Blackites spinosus	Discoaster distinctus	Reticulofenestra umbilica	Reticulofenestra hillae	Chiasmolithus gigas	Acanthoica sp.	Reticulofenestra floridana	Discoaster bifax	Sphenolithus furcatolithoides	Chiasmolithus sp.	Thoracosphaera sp.	Reticulofenestra sp. cf. reticulata	Reticulofenestra umbilica (>14 micron)	Reticulofenestra reticulata	Discoaster (unspecified taxon)	Cyclicargolithus floridanus	Coccolithus eopelagicus	Chiasmolithus spp.	Reticulofenestra umbilica (<14 micron)	Discoaster spp.	Discoaster sp. (5-rayed)	Reticulofenestra hampdenensis	Ericsonia subdiscita/obruta	Reticulofenestra sp.	Pseudotriquetrorhabdulus inversus	Isthmolithus recurvus triplus	Dictyococcites sp.	Isthmolithus recurvus	Dictyococcites bisectus	Cyclicargolithus abisectus	Sphenolithus abies	Placolith (small)	Dictyococcites scrippsae	Coronocyclus nitescens	Pyrocyclus sp.	Reticulofenestra oamaruensis	Discoaster adamanteus	Pyrocyclus inversus	Discoaster deflandrei	Pyrocyclus orangensis	Reticulofenestra daviesii	Reticulofenestra minutula	Coccolithus sp. cf. pelagicus	Triquetrorhabdulus milowii	Discoaster calculosus	Reticulofenestra perplexa	Discoaster perplexus	Reticulofenestra gelida	Sphenolithus sp. cf. conicus	Reticulofenestra pseudoumbilica	Sphenolithus dissimilis	Sphenolithus belemnos	Coccolithus miopelagicus	Calcidiscus macintyrei	Calcidiscus leptoporus	Sphenolithus heteromorphus	Reticulofenestra small-sized	Helicosphaera carteri	Discoaster variabilis	Helicosphaera scissura	Discoaster exilis	Triquetrorhabdulus rugosus	Dictyococcites sp. (7 microns)(R. perplexa)	Discoaster sp. cf. intercalaris	Dictyococcites antarcticus	Discoaster quinqueramus	Discoaster surculus	Discoaster brouweri	Reticulofenestra spp. small	Braarudosphaera sp.	Pseudoemiliania lacunosa	Gephyrocapsa caribbeanica	Gephyrocapsa spp.	Gephyrocapsa spp. (small)	Gephyrocapsa oceanica	Helicosphaera sellii	Emiliania huxleyi	Comment

  SR	                 	                 	                  	              	145	 883	B	 34	X	 4	  46.00	    317.1100	Olafsson 	Nannofossils                                 	C              	P                 	                    	                	                         	              	                        	                        	                            	                       	                                	                  	                            	                	               	                 	                     	                         	                           	                    	                  	                  	C                    	                	                       	                        	                   	                             	                    	                   	                  	                     	                      	                       	                         	                    	                   	                 	                   	                    	                       	                       	                	                      	                   	                      	                       	                    	                     	                    	                  	              	                             	                        	                         	                       	                     	                          	                     	                           	                       	                         	                    	                     	                 	                 	                       	                      	               	                    	                                	                      	                     	                    	              	                       	                            	                      	                    	                  	                     	                         	                       	                   	              	                          	                	                             	                 	                  	                                   	                                      	                           	                              	                           	                       	                  	                                      	               	                        	                             	                           	                    	                                 	                             	                  	                     	                       	                          	                  	                 	                        	                      	              	                            	                     	                   	                     	                     	                         	                         	                             	                          	                     	                         	                    	R                      	                            	                               	                       	                     	                        	                      	R                     	                          	                            	                     	                     	                      	                 	                          	                                           	                               	                          	                       	                   	                   	C                          	                   	                        	                         	                 	                         	                     	                    	                 	from Leg 145 SR; Ch 39; Table 8; p. 608-611

  SR	                 	                 	                  	              	145	 883	B	 34	X	 5	  46.00	    318.6100	Olafsson 	Nannofossils                                 	R              	P                 	                    	                	                         	              	                        	                        	                            	                       	                                	                  	                            	                	               	                 	                     	                         	                           	                    	                  	                  	                     	                	                       	                        	                   	                             	                    	                   	                  	                     	                      	                       	                         	                    	                   	                 	                   	                    	                       	                       	                	                      	                   	                      	                       	                    	                     	                    	                  	              	                             	                        	                         	                       	                     	                          	                     	                           	                       	                         	                    	                     	                 	                 	                       	                      	               	                    	                                	                      	                     	                    	              	                       	                            	                      	                    	                  	                     	                         	                       	                   	              	                          	                	                             	                 	                  	                                   	                                      	                           	                              	                           	                       	                  	                                      	               	                        	                             	                           	                    	                                 	                             	                  	                     	                       	                          	                  	                 	                        	                      	              	                            	                     	                   	                     	                     	                         	                         	                             	                          	                     	                         	                    	                       	                            	                               	                       	                     	                        	                      	                      	                          	                            	                     	                     	                      	                 	                          	                                           	                               	                          	                       	                   	                   	R                          	                   	                        	                         	                 	                         	                     	                    	                 	from Leg 145 SR; Ch 39; Table 8; p. 608-611

  SR	                 	                 	                  	              	145	 883	B	 35	X	 1	  46.00	    322.3600	Olafsson 	Nannofossils                                 	R              	P                 	                    	                	                         	              	                        	                        	                            	                       	                                	                  	                            	                	               	                 	                     	                         	                           	                    	                  	                  	R                    	                	                       	                        	                   	                             	                    	                   	                  	                     	                      	                       	                         	                    	                   	                 	                   	                    	                       	                       	                	                      	                   	                      	                       	                    	                     	                    	                  	              	                             	                        	                         	                       	                     	                          	                     	                           	                       	                         	                    	                     	                 	                 	                       	                      	               	                    	                                	                      	                     	                    	              	                       	                            	                      	                    	                  	                     	                         	                       	                   	              	                          	                	                             	                 	                  	                                   	                                      	                           	                              	                           	                       	                  	                                      	               	                        	                             	                           	                    	                                 	                             	                  	                     	                       	                          	                  	                 	                        	                      	              	                            	                     	                   	                     	                     	                         	                         	                             	                          	                     	                         	                    	                       	                            	                               	                       	                     	                        	                      	                      	                          	                            	                     	                     	                      	                 	                          	                                           	                               	                          	                       	                   	                   	R                          	                   	                        	                         	                 	                         	                     	                    	                 	from Leg 145 SR; Ch 39; Table 8; p. 608-611

  SR	                 	                 	                  	              	145	 883	B	 35	X	 2	  46.00	    323.8600	Olafsson 	Nannofossils                                 	F              	P                 	                    	                	                         	              	                        	                        	                            	                       	                                	                  	                            	                	               	                 	                     	                         	                           	                    	                  	                  	                     	                	                       	                        	                   	                             	                    	                   	                  	                     	                      	                       	                         	                    	                   	                 	                   	                    	                       	                       	                	                      	                   	                      	                       	                    	                     	                    	                  	              	                             	                        	                         	                       	                     	                          	                     	                           	                       	                         	                    	                     	                 	                 	                       	                      	               	                    	                                	                      	                     	                    	              	                       	                            	                      	                    	                  	                     	                         	                       	                   	              	                          	                	                             	                 	                  	                                   	                                      	                           	                              	                           	                       	                  	                                      	               	                        	                             	                           	                    	                                 	                             	                  	                     	                       	                          	                  	                 	                        	                      	              	                            	                     	                   	                     	                     	                         	                         	                             	                          	                     	                         	                    	                       	                            	                               	                       	                     	                        	                      	R                     	                          	                            	                     	                     	                      	                 	                          	                                           	                               	                          	                       	                   	                   	F                          	                   	                        	                         	                 	                         	                     	                    	                 	from Leg 145 SR; Ch 39; Table 8; p. 608-611

  SR	                 	                 	                  	              	145	 883	B	 35	X	 3	  46.00	    325.3600	Olafsson 	Nannofossils                                 	R              	P                 	                    	                	                         	              	                        	                        	                            	                       	                                	                  	                            	                	               	                 	                     	                         	                           	                    	                  	                  	R                    	                	                       	                        	                   	                             	                    	                   	                  	                     	                      	                       	                         	                    	                   	                 	                   	                    	                       	                       	                	                      	                   	                      	                       	                    	                     	                    	                  	              	                             	                        	                         	                       	                     	                          	                     	                           	                       	                         	                    	                     	                 	                 	                       	                      	               	                    	                                	                      	                     	                    	              	                       	                            	                      	                    	                  	                     	                         	                       	                   	              	                          	                	                             	                 	                  	                                   	                                      	                           	                              	                           	                       	                  	                                      	               	                        	                             	                           	                    	                                 	                             	                  	                     	                       	                          	                  	                 	                        	                      	              	                            	                     	                   	                     	                     	                         	                         	                             	                          	                     	                         	                    	                       	                            	                               	                       	                     	                        	                      	                      	                          	                            	                     	                     	                      	                 	                          	                                           	                               	                          	                       	                   	                   	R                          	                   	                        	                         	                 	                         	                     	                    	                 	from Leg 145 SR; Ch 39; Table 8; p. 608-611

  SR	                 	                 	                  	              	145	 883	B	 35	X	 4	  46.00	    326.8600	Olafsson 	Nannofossils                                 	R              	P                 	                    	                	                         	              	                        	                        	                            	                       	                                	                  	                            	                	               	                 	                     	                         	                           	                    	                  	                  	R                    	                	                       	                        	                   	                             	                    	                   	                  	                     	                      	                       	                         	                    	                   	                 	                   	                    	                       	                       	                	                      	                   	                      	                       	                    	                     	                    	                  	              	                             	                        	                         	                       	                     	                          	                     	                           	                       	                         	                    	                     	                 	                 	                       	                      	               	                    	                                	                      	                     	                    	              	                       	                            	                      	                    	                  	                     	                         	                       	                   	              	                          	                	                             	                 	                  	                                   	                                      	                           	                              	                           	                       	                  	                                      	               	                        	                             	                           	                    	                                 	                             	                  	                     	                       	                          	                  	R                	                        	                      	              	                            	                     	                   	                     	                     	                         	                         	                             	                          	                     	                         	                    	                       	                            	R                              	                       	                     	                        	                      	                      	                          	                            	                     	                     	                      	                 	                          	                                           	                               	                          	                       	                   	                   	                           	                   	                        	                         	                 	                         	                     	                    	                 	from Leg 145 SR; Ch 39; Table 8; p. 608-611

  SR	                 	                 	                  	              	145	 883	B	 35	X	 5	  46.00	    328.3600	Olafsson 	Nannofossils                                 	R              	P                 	                    	                	                         	              	                        	                        	                            	                       	                                	                  	                            	                	               	                 	                     	                         	                           	                    	                  	                  	R                    	                	                       	                        	                   	                             	                    	                   	                  	                     	                      	                       	                         	                    	                   	                 	                   	                    	                       	                       	                	                      	                   	                      	                       	                    	                     	                    	                  	              	                             	                        	                         	                       	                     	                          	                     	                           	                       	                         	                    	                     	                 	                 	                       	                      	               	                    	                                	                      	                     	                    	              	                       	                            	                      	                    	                  	                     	                         	                       	                   	              	                          	                	                             	                 	                  	                                   	                                      	                           	                              	                           	                       	                  	                                      	               	                        	                             	                           	                    	                                 	                             	                  	                     	                       	                          	                  	                 	                        	                      	              	                            	                     	                   	                     	                     	                         	                         	                             	                          	                     	                         	                    	                       	                            	                               	                       	                     	                        	                      	                      	                          	                            	                     	                     	                      	                 	                          	                                           	                               	                          	                       	                   	                   	R                          	                   	                        	                         	                 	                         	                     	                    	                 	from Leg 145 SR; Ch 39; Table 8; p. 608-611

  SR	                 	                 	                  	              	145	 883	B	 35	X	CC	  13.00	    329.7300	Olafsson 	Nannofossils                                 	C              	P                 	                    	                	                         	              	                        	                        	                            	                       	                                	                  	                            	                	               	                 	                     	                         	                           	                    	                  	                  	C                    	                	                       	                        	                   	                             	                    	                   	                  	                     	                      	                       	                         	                    	                   	                 	                   	                    	                       	                       	                	                      	                   	                      	                       	                    	                     	                    	                  	              	                             	                        	                         	                       	                     	                          	                     	                           	                       	                         	                    	                     	                 	                 	                       	                      	               	                    	                                	                      	                     	                    	              	                       	                            	                      	                    	                  	                     	                         	                       	                   	              	                          	                	                             	                 	                  	                                   	                                      	                           	                              	                           	                       	                  	                                      	               	                        	                             	                           	                    	                                 	                             	                  	                     	                       	                          	                  	                 	                        	                      	              	                            	                     	                   	                     	                     	                         	                         	                             	                          	                     	                         	                    	                       	                            	F                              	                       	                     	                        	                      	                      	                          	                            	                     	                     	                      	                 	                          	                                           	                               	                          	                       	                   	                   	                           	                   	                        	                         	                 	                         	                     	                    	                 	from Leg 145 SR; Ch 39; Table 8; p. 608-611

  SR	                 	                 	                  	              	145	 883	B	 36	X	 1	  46.00	    331.9600	Olafsson 	Nannofossils                                 	R              	P                 	                    	                	                         	              	                        	                        	                            	                       	                                	                  	                            	                	               	                 	                     	                         	                           	                    	                  	                  	R                    	                	                       	                        	                   	                             	                    	                   	                  	                     	                      	                       	                         	                    	                   	                 	                   	                    	                       	                       	                	                      	                   	                      	                       	                    	                     	                    	                  	              	                             	                        	                         	                       	                     	                          	                     	                           	                       	                         	                    	                     	                 	                 	                       	                      	               	                    	                                	                      	                     	                    	              	                       	                            	                      	                    	                  	                     	                         	                       	                   	              	                          	                	                             	                 	                  	                                   	                                      	                           	                              	                           	                       	                  	                                      	               	                        	                             	                           	                    	                                 	                             	                  	                     	                       	                          	                  	                 	                        	                      	              	                            	                     	                   	                     	                     	                         	                         	                             	                          	                     	                         	                    	                       	                            	R                              	                       	                     	                        	                      	                      	                          	                            	                     	                     	                      	                 	                          	                                           	                               	                          	                       	                   	                   	R                          	                   	                        	                         	                 	                         	                     	                    	                 	from Leg 145 SR; Ch 39; Table 8; p. 608-611

  SR	                 	                 	                  	              	145	 883	B	 36	X	CC	  14.00	    333.0200	Olafsson 	Nannofossils                                 	C              	P                 	                    	                	                         	              	                        	                        	                            	                       	                                	                  	                            	                	               	                 	                     	                         	                           	                    	                  	                  	C                    	                	                       	                        	                   	                             	                    	                   	                  	                     	                      	                       	                         	                    	                   	                 	                   	                    	                       	                       	                	                      	                   	                      	                       	                    	                     	                    	                  	              	                             	                        	                         	                       	                     	                          	                     	                           	                       	                         	                    	                     	                 	                 	                       	                      	               	                    	                                	                      	                     	                    	              	                       	                            	                      	                    	                  	                     	                         	                       	                   	              	                          	                	                             	                 	                  	                                   	                                      	                           	                              	                           	                       	                  	                                      	               	                        	                             	                           	                    	                                 	                             	                  	                     	                       	                          	                  	                 	                        	                      	              	                            	                     	                   	                     	                     	                         	                         	                             	                          	                     	                         	                    	                       	                            	F                              	                       	                     	                        	                      	                      	                          	                            	                     	                     	                      	                 	                          	                                           	                               	                          	                       	                   	                   	                           	                   	                        	                         	                 	                         	                     	                    	                 	from Leg 145 SR; Ch 39; Table 8; p. 608-611

  SR	                 	                 	                  	              	145	 883	B	 37	X	 2	  46.00	    343.1600	Olafsson 	Nannofossils                                 	R              	P                 	                    	                	                         	              	                        	                        	                            	                       	                                	                  	                            	                	               	                 	                     	                         	                           	                    	                  	                  	R                    	                	                       	                        	                   	                             	                    	                   	                  	                     	                      	                       	                         	                    	                   	                 	                   	                    	                       	                       	                	                      	                   	                      	                       	                    	                     	                    	                  	              	                             	                        	                         	                       	                     	                          	                     	                           	                       	                         	                    	                     	                 	                 	                       	                      	               	                    	                                	                      	                     	                    	              	                       	                            	                      	                    	                  	                     	                         	                       	                   	              	                          	                	                             	                 	                  	                                   	                                      	                           	                              	                           	                       	                  	                                      	               	                        	                             	                           	                    	                                 	                             	                  	                     	                       	                          	                  	                 	                        	                      	              	                            	                     	                   	                     	                     	                         	                         	                             	                          	                     	                         	                    	                       	                            	                               	                       	                     	                        	                      	                      	                          	                            	                     	                     	                      	                 	                          	                                           	                               	                          	                       	                   	                   	                           	                   	                        	                         	                 	                         	                     	                    	                 	from Leg 145 SR; Ch 39; Table 8; p. 608-611

  SR	                 	                 	                  	              	145	 883	B	 38	X	 2	  46.00	    352.7900	Olafsson 	Nannofossils                                 	R              	P                 	                    	                	                         	              	                        	                        	                            	                       	                                	                  	                            	                	               	                 	                     	                         	                           	                    	                  	                  	R                    	                	                       	                        	                   	                             	                    	                   	                  	                     	                      	                       	                         	                    	                   	                 	                   	                    	                       	                       	                	                      	                   	                      	                       	                    	                     	                    	                  	              	                             	                        	                         	                       	                     	                          	                     	                           	                       	                         	                    	                     	                 	                 	                       	                      	               	                    	                                	                      	                     	                    	              	                       	                            	                      	                    	                  	                     	                         	                       	                   	              	                          	                	                             	                 	                  	                                   	                                      	                           	                              	                           	                       	                  	                                      	               	                        	                             	                           	                    	                                 	                             	                  	                     	                       	                          	                  	                 	                        	                      	              	                            	                     	                   	                     	                     	                         	                         	                             	                          	                     	                         	                    	R                      	                            	R                              	                       	                     	                        	                      	R                     	                          	                            	                     	                     	                      	                 	                          	                                           	                               	                          	                       	                   	                   	R                          	                   	                        	                         	                 	                         	                     	                    	                 	from Leg 145 SR; Ch 39; Table 8; p. 608-611
