category,normalized,lithology_1-96,lithology_101-126,lithology_317-present,taxa_1-96,taxa_101-210,taxa_317-present-b,taxa_317-present,age_models_1-96,age_models_101-190,hard_rocks_2-94
,Preservation Comments,,,,mechanical preservations,,,Aspect comment (etching),,,
,Chemical Dissolution Rank,,,,chemical dissolution,,,,,,
,Chemical Overgrowth Rank,,,,chemical overgrowth,,,,,,
,fossil abundance,,,,fossil abundance,,,,,,
,fossil code,,,,fossil code,,,,,,
,fossil group,,,,fossil group,,,,,,
,fossil preservation,,,,fossil preservation,,,,,,
,Total number of observed fossils,,,,total number of observed fossils,Comment,,,,,
,Sample depth (mbsf),,,,,Depth (mbsf),,,,,
,Sample Age,,,,age,,Age; Age:,Age,,,
,Sample Age (oldest),,,,,Age From (oldest),,,,,
,Sample Age (youngest),,,,,Age To (youngest),,,,,
,Sample Zone (bottom),,,,,Zone From (bottom),,,,,
,Sample Zone (top),,,,,Zone To  (top),,,,,
,Sample Zone,,,,,,,Additional zone name,,,
,Sample Zone (short),,,,,,,Additional zone name (short),,,
"Age needs to be distinguished, since these are for the age model",Age Control Point Age (Ma),,,,,,,,age,Age (Ma),
,Source,,,,,Comment; Data,,,data source,Age Model Type,
,Age Control Point Identity,,,,,,,,,Control Point Comment,
"Depth needs to be distinguished, since this is for the age models",Age Control Point Depth (mbsf),,,,,,,,,Depth (mbsf),
,Geologic Interval,,,,,,,,age mnemonic,,
,Auxiliary Geologic Interval,,,,,,,,auxiliary age mnemonic,,
,Age Control Interval Age bottom (Ma),,,,,,,,age bottom of section(million years),,
,Age Control Interval Age top (Ma),,,,,,,,age top of section(million years),,
,Sample Zone,,,,,,Biozone name; Zone; Zone/Subzone; biozone,Additional zone name; Zone name,,,
,Sample Zone (short),,,,,,Biozone name (short); Zone name (short),Additional zone name (short); PF Zone; Zone name (short),,,
,Sample Datum name,,,,,,Datum name,Datum name; Datum name generic,,,
,Age Control Interval Depth top (mbsf),,,,,,,,top of section depth(m),,
,Age Control Interval Depth bottom (mbsf),,,,,,,,bottom of section depth(m),,
,Age Control Interval Age average (Ma),,,,,,Datum age average (Ma),,average age(million years)t,,
,Age Control Comments,,,,,,Datum type,Zone comment; Datum comment,special condition,,
,core depth (m),,,,coredepth(m),,,,,,
,dsdp initial report number,,,,dsdp initial report volume number,Comment,,,,,
,Taxa Comments,,,,,Comment,,,,,
,Datum age average (Ma),,,,,,,Datum age average [Ma],,,
,Sample age maximum (Ma),,,,,,,Datum age maximum (Ma); Datum age maximum [Ma],,,
,Sample age minimum (Ma),,,,,,,Datum age minimum (Ma); Datum age minimum [Ma],,,
,Datum author year,,,,,,,Datum author year,,,
,Zone author year,,,,,,,Zone author (year),,,
,Upper boundary age min [Ma],,,,,,,Upper boundary age min [Ma],,,
,Upper boundary age av. [Ma],,,,,,,Upper boundary age av. [Ma],,,
,Lower boundary age min [Ma],,,,,,,Lower boundary age min [Ma],,,
,Lower boundary age av. [Ma],,,,,,,Lower boundary age av. [Ma],,,
,Datum region,,,,,,Upper boundary age av. [Ma],Datum region,,,
,Datum type,,,,,,Upper boundary age min [Ma],Datum type,,,
,Datum taxon (upper),,,,,,,Genus/species (upper zone),,,
,Datum taxon (lower),,,,,,,Genus/species lower zone),,,
,Datum type (upper),,,,,,,Type (lower zone),,,
,Datum type (lower),,,,,,,Type (upper zone),,,
,Large Benthic Forams (%),,,,,,,Large Benthic Forams [%],,,
,Reworking,,,,,,,"Mixing; Reworking comment (1= <1%, 2= light 1-10%, 3= >10%)",,,
,No. specimens/tray,,,,,,,No. specimens/tray,,,
,Organic matter,,,,,,,Organic matter,,,
,Organic matter (terrestrial),,,,,,,Terrestrial organic matter,,,
,Paleo Water Depth,,,,,,Bathymetry,"PALEO WATER DEPTH (IS=inner shelf, MS=middle shelf, OS=outer shelf); Bathymetry",,,
,Planktic/Benthic Ratio (%),,,,,,,Planktonic Benthic ratio (P:B),,,
,Percentage of planktic forams in total foram assemblage (%),,,,,,,Percentage of planktic forams in total foram assemblage [%],,,
,Percentage of benthic forams in total foram assemblage (%),,,,,,,Percentage of benthic forams in total foram assemblage [%],,,
,Percentage of non-calcareous agglutinated forams in total foram assemblage [%],,,,,,,Percentage of non-calcareous agglutinated forams in total foram assemblage [%],,,
,Pyrite ,,,,,,,Pyrite,,,
,Reworking comment,,,,,,,"Reworking comment (1= <1%, 2=light 1-10%, 3= >10%)",,,
,Sample preparation comment,,,,,,,Sample preparation comment,,,
,Temperature Range,,,,,,,Temperature Range,,,
,Total in situ dinocysts,,,,,,,Total in situ dinocysts,,,
,Palynology Preservation Broken,,,,,,,XBroken,,,
,Palynology Preservation Corroded,,,,,,,XCorroded,,,
,Palynology Preservation Crumpled,,,,,,,XCrumpled,,,
,Count,,,,,,,count,,,
,Count_type,,,,,,,count_type,,,
,Core Type (long),,coretype,,,,,,,,
,More data in NOAA,,more data available,,,,,,,,
,Sample Zone diatom,,,,,,"Diatom Zone (NPD) in Yanagisawa and Akiba (1998); Diatom Zone (Yanagisawa and Akiba, 1998)","Diatom Zone (NPD) in Yanagisawa and Akiba (1998), Diatom Zone (Yanagisawa and Akiba, 1998)",,,
,Sample Zone nannofossil,,,,,,Martini (1971) Zone; Nannofossil Zone,Martini (1971) Zone,,,
,Sample Zone radiolarian,,,,,,Radiolarian zone; Radiolarian zone/subzone,Radiolarian zone; Radiolarian zone/subzone,,,
,Sample Zone Silicoflagellate,,,,,,Silicoflagellate Zone in Ling (1992); Zone in Ling (1992),Silicoflagellate Zone in Ling (1992); Zone in Ling (1992),,,
,IRD,,,,,,IRD,,,,
,Fragmentation,,,,,,,Fragmentation,,,
,Fragmentation rank,,,,,,,Fragmentation rank [auto-pop],,,
,Organic matter,,,,,,,Organic matter; Terrestrial organic matter,,,
,Sponge spicules,,,,,,,Sponge spicules,,,
