Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithologic unit (preliminary),Sample domain number (if >1 domain),Sample domain name (if >1 domain),Domain relative abundance [%],Lithology Prefix,Lithology Principal Name,Lithology Suffix,Lithology prefix+name [read only],Lithology prefix+name+suffix [read only],Lithology name+suffix [read only],Lithology  abundance [%],Lithology color,Lithology lithification,Lithology ave. grain size class,Lithology ave. grain size rank [read only],Lithology max. grain size class,Lithology max. grain size rank [read only],General interval comment,Bottom contact or boundary geometry,Bottom contact or boundary definition,Bottom contact or boundary attitude,Layer or bedding thickness,Sorting,Grading,Sedimentary structure,Bioturbation intensity,Bioturbation intensity rank [read only],Diagenetic structure,Macrofossil,Macrofossil abundance name,Clasts (>2 mm) DOMINANT,Clasts (>2 mm) 2ND ORDER,Clasts (>2 mm) 3ND ORDER,Lithic clasts (>2 mm) DOMINANT,DOMINANT lithic roundness,Lithic clasts (>2 mm) 2ND ORDER,2ND lithic roundness,Lithic clasts (>2 mm) 3RD ORDER,3RD lithic roundness,Vitric clasts (>2 mm) DOMINANT,DOMINANT vitric roundness,Vitric clasts (>2 mm) 2ND ORDER,2ND vitric roundness,Vitric clasts (>2 mm) 3RD ORDER,3RD vitric roundness,Crystals (>2 mm) DOMINANT,DOMINANT crystal roundness,Crystals (>2 mm) 2ND ORDER,2ND crystal roundness,Crystals (>2 mm) 3RD ORDER,3RD crystal roundness,Clast comments,"Matrix, fines (<2 mm) DOMINANT","Matrix, fines (<2 mm) 2ND ORDER","Matrix, fines (<2 mm) 3ND ORDER",Matrix sorting,Matrix comments,File Data,Shore File Links,Minor Lithology Prefix,Minor Lithology Suffix,Minor Lithology Name,row_index
350-U1436A-3H-3-A,350,U1436,A,3,3-3,H,3,A,86,95,14.88,14.97,I,,,,"matrix-supported, monomictic, evolved [2014]",lapilli-ash [2014],,"matrix-supported, monomictic, evolved lapilli-ash","matrix-supported, monomictic, evolved lapilli-ash",lapilli-ash,,,,,,,,,,,,,,,,,,,,,lithic [2014],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81
350-U1436A-3H-4-A,350,U1436,A,3,3-4,H,4,A,0,64,15.37,16.01,I,,,,"clast-supported, polymictic, evolved [2014]",lapilli-ash [2014],,"clast-supported, polymictic, evolved lapilli-ash","clast-supported, polymictic, evolved lapilli-ash",lapilli-ash,,,,,,,,,,,,,,normally coarse-tail graded,,,,,,,vitric [2014],crystal [2014],lithic [2014],,,,,,,pumice [2014],,,,,,,,,,,,,,,,,,,,,,,82
350-U1436A-3H-4-A,350,U1436,A,3,3-4,H,4,A,64,87,16.01,16.24,I,,,,tuffaceous,mud [2014],,tuffaceous mud,tuffaceous mud,mud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83
350-U1436A-3H-4-A,350,U1436,A,3,3-4,H,4,A,87,90,16.24,16.27,I,,,,"clast-supported, monomictic, evolved [2014]",lapilli [2014],,"clast-supported, monomictic, evolved lapilli","clast-supported, monomictic, evolved lapilli",lapilli,,,,,,,,,,,,,,non-graded,,,,,,,vitric [2014],,,,,,,,,pumice [2014],,,,,,,,,,,,,,,,,,,,,,,84
350-U1436A-3H-4-A,350,U1436,A,3,3-4,H,4,A,90,97,16.27,16.34,I,,,,tuffaceous,mud [2014],,tuffaceous mud,tuffaceous mud,mud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85
350-U1436A-3H-4-A,350,U1436,A,3,3-4,H,4,A,97,103,16.34,16.4,I,,,,evolved,ash [2014],,evolved ash,evolved ash,ash,,,,,,,,,,,,,,,,,,,,,vitric [2014],crystal [2014],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86
350-U1436A-3H-4-A,350,U1436,A,3,3-4,H,4,A,103,112,16.4,16.49,I,,,,tuffaceous,mud [2014],,tuffaceous mud,tuffaceous mud,mud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87
350-U1436A-3H-4-A,350,U1436,A,3,3-4,H,4,A,112,117,16.49,16.54,I,,,,mafic,ash [2014],,mafic ash,mafic ash,ash,,,,,,,,,,,,,,normally coarse-tail graded,,,,,,,vitric [2014],,,,,,,,,scoria [2014],,,,,,,,,,,,,,,,,,,,,,,88
350-U1436A-3H-4-A,350,U1436,A,3,3-4,H,4,A,117,127,16.54,16.64,I,,,,tuffaceous,mud [2014],,tuffaceous mud,tuffaceous mud,mud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89
350-U1436A-3H-CC-A,350,U1436,A,3,3-CC,H,CC,A,0,15,16.64,16.79,I,,,,tuffaceous,mud [2014],,tuffaceous mud,tuffaceous mud,mud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90
350-U1436A-4H-1-A,350,U1436,A,4,4-1,H,1,A,0,50,16.8,17.3,I,,,,"clast-supported, polymictic, mafic [2014]",lapilli-ash [2014],,"clast-supported, polymictic, mafic lapilli-ash","clast-supported, polymictic, mafic lapilli-ash",lapilli-ash,,,,,,,,,,,,,,,,,,,,,vitric [2014],,,,,,,,,scoria [2014],,pumice [2014],,,,,,,,,,,,,,,,,,,,,91
350-U1436A-4H-1-A,350,U1436,A,4,4-1,H,1,A,50,90,17.3,17.7,I,,,,"clast-supported, polymictic, evolved [2014]",lapilli-ash [2014],with unconsolidated breccia [2014],"clast-supported, polymictic, evolved lapilli-ash","clast-supported, polymictic, evolved lapilli-ash with unconsolidated breccia",lapilli-ash with unconsolidated breccia,,,,,,,,,,,,,,,,,,,,,vitric [2014],,,,,,,,,pumice [2014],,,,,,,,,,,,,,,,,,,,,,,92
350-U1436A-4H-1-A,350,U1436,A,4,4-1,H,1,A,90,134,17.7,18.14,I,,,,,mud [2014],with pumice,mud,mud with pumice,mud with pumice,,,,,,,,,,,,,,normally graded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93
350-U1436A-4H-1-A,350,U1436,A,4,4-1,H,1,A,134,137,18.14,18.17,I,,,,mafic,ash [2014],,mafic ash,mafic ash,ash,,,,,,,,,,,,,,normally graded,,,,,,,vitric [2014],crystal [2014],,,,,,,,shards,,pumice [2014],,,,feldspar,,hornblende,,,,,,,,,,,,,,,94
350-U1436A-4H-1-A,350,U1436,A,4,4-1,H,1,A,137,150,18.17,18.3,I,,,,evolved,ash [2014],,evolved ash,evolved ash,ash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95
350-U1436A-4H-2-A,350,U1436,A,4,4-2,H,2,A,0,12,18.3,18.42,I,,,,tuffaceous,mud [2014],,tuffaceous mud,tuffaceous mud,mud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96
350-U1436A-4H-2-A,350,U1436,A,4,4-2,H,2,A,12,27,18.42,18.57,I,,,,evolved,ash [2014],,evolved ash,evolved ash,ash,,,,,,,,,,,,,,normally graded,,,,,,,,,,,,,,,,,,,,,,quartz,,hornblende,,,,,crystal matrix [2014],,,,,,,,,,97
350-U1436A-4H-2-A,350,U1436,A,4,4-2,H,2,A,27,134,18.57,19.64,I,,,,tuffaceous,mud [2014],,tuffaceous mud,tuffaceous mud,mud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98
350-U1436A-4H-2-A,350,U1436,A,4,4-2,H,2,A,134,136,19.64,19.66,I,,,,mafic,ash [2014],,mafic ash,mafic ash,ash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,oxide,,,,,,,,,,,,,,,,,99
350-U1436A-4H-2-A,350,U1436,A,4,4-2,H,2,A,136,145,19.66,19.75,I,,,,tuffaceous,mud [2014],,tuffaceous mud,tuffaceous mud,mud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100
350-U1436A-4H-3-A,350,U1436,A,4,4-3,H,3,A,0,29,19.8,20.09,I,,,,tuffaceous,mud [2014],,tuffaceous mud,tuffaceous mud,mud,,,,,,,,,,,,,,,,,,,,,vitric [2014],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101
350-U1436A-4H-3-A,350,U1436,A,4,4-3,H,3,A,29,34,20.09,20.14,I,,,,evolved,ash [2014],,evolved ash,evolved ash,ash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102
350-U1436A-4H-3-A,350,U1436,A,4,4-3,H,3,A,34,46,20.14,20.26,I,,,,tuffaceous,mud [2014],,tuffaceous mud,tuffaceous mud,mud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103
350-U1436A-4H-3-A,350,U1436,A,4,4-3,H,3,A,46,66,20.26,20.46,I,,,,mafic,ash [2014],,mafic ash,mafic ash,ash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104
350-U1436A-4H-3-A,350,U1436,A,4,4-3,H,3,A,66,92,20.46,20.72,I,,,,tuffaceous,mud [2014],,tuffaceous mud,tuffaceous mud,mud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105
350-U1436A-4H-3-A,350,U1436,A,4,4-3,H,3,A,92,94,20.72,20.74,I,,,,evolved,ash [2014],,evolved ash,evolved ash,ash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106
350-U1436A-4H-3-A,350,U1436,A,4,4-3,H,3,A,94,110,20.74,20.9,I,,,,tuffaceous,mud [2014],,tuffaceous mud,tuffaceous mud,mud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107
350-U1436A-4H-4-A,350,U1436,A,4,4-4,H,4,A,0,25,21.3,21.55,I,,,,tuffaceous,mud [2014],,tuffaceous mud,tuffaceous mud,mud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108
350-U1436A-4H-4-A,350,U1436,A,4,4-4,H,4,A,25,36,21.55,21.66,I,,,,evolved,ash [2014],,evolved ash,evolved ash,ash,,,,,,,,,,,,,,,,,,,,,vitric [2014],crystal [2014],,,,,,,,,,pumice [2014],,,,,,,,,,,,,,,,,,,,,109
350-U1436A-4H-4-A,350,U1436,A,4,4-4,H,4,A,36,43,21.66,21.73,I,,,,mafic,ash [2014],,mafic ash,mafic ash,ash,,,,,,,,,,,,,,,,,,,,,vitric [2014],crystal [2014],,,,,,,,,,scoria [2014],,,,,,,,,,,,,,,,,,,,,110
350-U1436A-4H-4-A,350,U1436,A,4,4-4,H,4,A,43,74,21.73,22.04,I,,,,tuffaceous,mud [2014],,tuffaceous mud,tuffaceous mud,mud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111
350-U1436A-4H-4-A,350,U1436,A,4,4-4,H,4,A,74,79,22.04,22.09,I,,,,mafic,ash [2014],,mafic ash,mafic ash,ash,,,,,,,,,,,,,,,,,,,,,vitric [2014],crystal [2014],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112
350-U1436A-4H-4-A,350,U1436,A,4,4-4,H,4,A,79,92,22.09,22.22,I,,,,tuffaceous,mud [2014],,tuffaceous mud,tuffaceous mud,mud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113
350-U1436A-4H-4-A,350,U1436,A,4,4-4,H,4,A,92,150,22.22,22.8,I,,,,mafic,ash [2014],,mafic ash,mafic ash,ash,,,,,,,,,,,,,,,,,,,,,vitric [2014],crystal [2014],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114
350-U1436A-4H-5-A,350,U1436,A,4,4-5,H,5,A,0,28,22.8,23.08,I,,,,mafic,ash [2014],,mafic ash,mafic ash,ash,,,,,,,,,,,,,,,,,,,,,vitric [2014],crystal [2014],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115
350-U1436A-4H-5-A,350,U1436,A,4,4-5,H,5,A,28,34,23.08,23.14,I,,,,tuffaceous,mud [2014],,tuffaceous mud,tuffaceous mud,mud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116
350-U1436A-4H-5-A,350,U1436,A,4,4-5,H,5,A,34,56,23.14,23.36,I,,,,mafic,ash [2014],,mafic ash,mafic ash,ash,,,,,,,,,,,,,,,,,,,,,vitric [2014],crystal [2014],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117
350-U1436A-4H-5-A,350,U1436,A,4,4-5,H,5,A,56,150,23.36,24.3,I,,,,tuffaceous,mud [2014],,tuffaceous mud,tuffaceous mud,mud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118
350-U1436A-4H-6-A,350,U1436,A,4,4-6,H,6,A,0,136,24.3,25.66,I,,,,tuffaceous,mud [2014],,tuffaceous mud,tuffaceous mud,mud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119
350-U1436A-4H-CC-A,350,U1436,A,4,4-CC,H,CC,A,0,10,25.66,25.76,I,,,,tuffaceous,mud [2014],,tuffaceous mud,tuffaceous mud,mud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120
350-U1436A-5H-1-A,350,U1436,A,5,5-1,H,1,A,0,41,25.8,26.21,I,,,,"clast-supported, polymictic, mafic [2014]",lapilli [2014],with ash [2014],"clast-supported, polymictic, mafic lapilli","clast-supported, polymictic, mafic lapilli with ash",lapilli with ash,,,,,,,,,,,,,,non-graded,,,,,,,lithic [2014],vitric [2014],,"igneous, mafic [2014]",,,,,,pumice [2014],,,,,,,,,,,,,,,,,,,,,,,121
350-U1436A-5H-1-A,350,U1436,A,5,5-1,H,1,A,41,123,26.21,27.03,I,,,,tuffaceous,mud [2014],,tuffaceous mud,tuffaceous mud,mud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122
350-U1436A-5H-1-A,350,U1436,A,5,5-1,H,1,A,123,127,27.03,27.07,I,,,,mafic,ash [2014],,mafic ash,mafic ash,ash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vitric matrix [2014],lithic matrix [2014],,,,,,,,,123
350-U1436A-5H-1-A,350,U1436,A,5,5-1,H,1,A,127,132,27.07,27.12,I,,,,tuffaceous,mud [2014],,tuffaceous mud,tuffaceous mud,mud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124
350-U1436A-5H-1-A,350,U1436,A,5,5-1,H,1,A,132,134,27.12,27.14,I,,,,mafic,ash [2014],,mafic ash,mafic ash,ash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,oxides,vitric matrix [2014],lithic matrix [2014],,,oxides,,,,,,125
350-U1436A-5H-1-A,350,U1436,A,5,5-1,H,1,A,134,150,27.14,27.3,I,,,,tuffaceous,mud [2014],,tuffaceous mud,tuffaceous mud,mud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126
350-U1436A-5H-2-A,350,U1436,A,5,5-2,H,2,A,0,17,27.3,27.47,I,,,,evolved,ash [2014],,evolved ash,evolved ash,ash,,,,,,,,,,,,,,normally graded,,,,,,,vitric [2014],,,,,,,,,pumice [2014],,scoria [2014],,,,,,,,,,,,,,,,,,,,,127
350-U1436A-5H-2-A,350,U1436,A,5,5-2,H,2,A,17,20,27.47,27.5,I,,,,tuffaceous,mud [2014],,tuffaceous mud,tuffaceous mud,mud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128
350-U1436A-5H-2-A,350,U1436,A,5,5-2,H,2,A,20,24,27.5,27.54,I,,,,mafic,ash [2014],,mafic ash,mafic ash,ash,,,,,,,,,,,,,,,,,,,,,vitric [2014],,,,,,,,,scoria [2014],,pumice [2014],,,,,,,,,,,,,,,,,,,,,129
350-U1436A-5H-2-A,350,U1436,A,5,5-2,H,2,A,24,43,27.54,27.73,I,,,,tuffaceous,mud [2014],,tuffaceous mud,tuffaceous mud,mud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130
350-U1436A-5H-2-A,350,U1436,A,5,5-2,H,2,A,43,50,27.73,27.8,I,,,,evolved,ash [2014],,evolved ash,evolved ash,ash,,,,,,,,,,,,,,normally graded,,,,,,,crystal [2014],lithic [2014],vitric [2014],,,,,,,scoria [2014],,,,,,feldspar,,,,,,,,,,,,,,,,,131
350-U1436A-5H-2-A,350,U1436,A,5,5-2,H,2,A,50,58,27.8,27.88,I,,,,tuffaceous,mud [2014],,tuffaceous mud,tuffaceous mud,mud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132
350-U1436A-5H-2-A,350,U1436,A,5,5-2,H,2,A,58,60,27.88,27.9,I,,,,mafic,ash [2014],,mafic ash,mafic ash,ash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133
350-U1436A-5H-2-A,350,U1436,A,5,5-2,H,2,A,60,94,27.9,28.24,I,,,,tuffaceous,mud [2014],,tuffaceous mud,tuffaceous mud,mud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134
350-U1436A-5H-2-A,350,U1436,A,5,5-2,H,2,A,94,101,28.24,28.31,I,,,,tuffaceous,mud [2014],,tuffaceous mud,tuffaceous mud,mud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135
350-U1436A-5H-2-A,350,U1436,A,5,5-2,H,2,A,101,136,28.31,28.66,I,,,,tuffaceous,mud [2014],,tuffaceous mud,tuffaceous mud,mud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136
350-U1436A-5H-2-A,350,U1436,A,5,5-2,H,2,A,136,138,28.66,28.68,I,,,,mafic,ash [2014],,mafic ash,mafic ash,ash,,,,,,,,,,,,,,,,,,,,,vitric [2014],,,,,,,,,scoria [2014],,,,,,,,,,,,,,,,,,,,,,,137
350-U1436A-5H-2-A,350,U1436,A,5,5-2,H,2,A,138,145,28.68,28.75,I,,,,evolved,ash [2014],,evolved ash,evolved ash,ash,,,,,,,,,,,,,,,,,,,,,vitric [2014],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138
350-U1436A-5H-3-A,350,U1436,A,5,5-3,H,3,A,0,19,28.8,28.99,I,,,,tuffaceous,mud [2014],,tuffaceous mud,tuffaceous mud,mud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139
350-U1436A-5H-3-A,350,U1436,A,5,5-3,H,3,A,19,20,28.99,29,I,,,,mafic,ash [2014],,mafic ash,mafic ash,ash,,,,,,,,,,,,,,,,,,,,,vitric [2014],,,,,,,,,scoria [2014],,pumice [2014],,,,,,,,,,,,,,,,,,,,,140
350-U1436A-5H-3-A,350,U1436,A,5,5-3,H,3,A,20,39,29,29.19,I,,,,tuffaceous,mud [2014],,tuffaceous mud,tuffaceous mud,mud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141
350-U1436A-5H-3-A,350,U1436,A,5,5-3,H,3,A,39,45,29.19,29.25,I,,,,evolved,ash [2014],,evolved ash,evolved ash,ash,,,,,,,,,,,,,,,,,,,,,vitric [2014],crystal [2014],,,,,,,,pumice [2014],,scoria [2014],,,,,,,,,,,,,,,,,,,,,142
350-U1436A-5H-3-A,350,U1436,A,5,5-3,H,3,A,45,64,29.25,29.44,I,,,,tuffaceous,mud [2014],,tuffaceous mud,tuffaceous mud,mud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143
350-U1436A-5H-3-A,350,U1436,A,5,5-3,H,3,A,64,74,29.44,29.54,I,,,,evolved,ash [2014],,evolved ash,evolved ash,ash,,,,,,,,,,,,,,,,,,,,,vitric [2014],crystal [2014],,,,,,,,scoria [2014],,pumice [2014],,,,,,,,,,,,,,,,,,,,,144
350-U1436A-5H-3-A,350,U1436,A,5,5-3,H,3,A,74,112,29.54,29.92,I,,,,tuffaceous,mud [2014],,tuffaceous mud,tuffaceous mud,mud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145
350-U1436A-5H-4-A,350,U1436,A,5,5-4,H,4,A,0,66,30.3,30.96,I,,,,tuffaceous,mud [2014],,tuffaceous mud,tuffaceous mud,mud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146
350-U1436A-5H-4-A,350,U1436,A,5,5-4,H,4,A,66,68,30.96,30.98,I,,,,,ash [2014],,ash,ash,ash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vitric matrix [2014],crystal matrix [2014],,,,,,,,,147
350-U1436A-5H-4-A,350,U1436,A,5,5-4,H,4,A,68,118,30.98,31.48,I,,,,tuffaceous,mud [2014],,tuffaceous mud,tuffaceous mud,mud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148
350-U1436A-5H-4-A,350,U1436,A,5,5-4,H,4,A,118,131,31.48,31.61,I,,,,evolved,ash [2014],,evolved ash,evolved ash,ash,,,,,,,,,,,,,,normally graded,,,,,,,vitric [2014],lithic [2014],crystal [2014],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149
350-U1436A-5H-4-A,350,U1436,A,5,5-4,H,4,A,131,132,31.61,31.62,I,,,,,ash [2014],,ash,ash,ash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150
350-U1436A-5H-4-A,350,U1436,A,5,5-4,H,4,A,132,139,31.62,31.69,I,,,,tuffaceous,mud [2014],,tuffaceous mud,tuffaceous mud,mud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151
350-U1436A-5H-4-A,350,U1436,A,5,5-4,H,4,A,139,140,31.69,31.7,I,,,,,ash [2014],,ash,ash,ash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152
350-U1436A-5H-4-A,350,U1436,A,5,5-4,H,4,A,140,146,31.7,31.76,I,,,,tuffaceous,mud [2014],,tuffaceous mud,tuffaceous mud,mud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153
350-U1436A-5H-5-A,350,U1436,A,5,5-5,H,5,A,0,2,31.76,31.78,I,,,,evolved,ash [2014],,evolved ash,evolved ash,ash,,,,,,,,,,,,,,,,,,,,,vitric [2014],,,,,,,,,shards,,,,,,,,,,,,,,,,,,,,,,,154
350-U1436A-5H-5-A,350,U1436,A,5,5-5,H,5,A,2,7,31.78,31.83,I,,,,mafic,ash [2014],,mafic ash,mafic ash,ash,,,,,,,,,,,,,,,,,,,,,crystal [2014],vitric [2014],,,,,,,,scoria [2014],,shards,,,,feldspar,,,,,,,,,,,,,,,,,155
350-U1436A-5H-5-A,350,U1436,A,5,5-5,H,5,A,7,11,31.83,31.87,I,,,,evolved,ash [2014],with clay [2014],evolved ash,evolved ash with clay,ash with clay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,156
350-U1436A-5H-5-A,350,U1436,A,5,5-5,H,5,A,11,19,31.87,31.95,I,,,,,ash [2014],with clay [2014],ash,ash with clay,ash with clay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157
350-U1436A-5H-5-A,350,U1436,A,5,5-5,H,5,A,19,43,31.95,32.19,I,,,,tuffaceous,mud [2014],,tuffaceous mud,tuffaceous mud,mud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158
350-U1436A-5H-5-A,350,U1436,A,5,5-5,H,5,A,43,51,32.19,32.27,I,,,,"matrix-supported, polymictic, mafic [2014]",lapilli-ash [2014],,"matrix-supported, polymictic, mafic lapilli-ash","matrix-supported, polymictic, mafic lapilli-ash",lapilli-ash,,,,,,,,,,,,,,,,,,,,,vitric [2014],crystal [2014],,,,,,,,scoria [2014],,shards,,,,feldspar,,,,,,,,,,,,,,,,,159
350-U1436A-5H-5-A,350,U1436,A,5,5-5,H,5,A,51,114,32.27,32.9,I,,,,tuffaceous,mud [2014],,tuffaceous mud,tuffaceous mud,mud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160
350-U1436A-5H-5-A,350,U1436,A,5,5-5,H,5,A,114,117,32.9,32.93,I,,,,mafic,ash [2014],,mafic ash,mafic ash,ash,,,,,,,,,,,,,,,,,,,,,vitric [2014],crystal [2014],,,,,,,,scoria [2014],,,,,,hornblende,,,,,,,,,,,,,,,,,161
350-U1436A-5H-5-A,350,U1436,A,5,5-5,H,5,A,117,150,32.93,33.26,I,,,,tuffaceous,mud [2014],,tuffaceous mud,tuffaceous mud,mud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162
350-U1436A-5H-6-A,350,U1436,A,5,5-6,H,6,A,0,9,33.26,33.35,I,,,,mafic,ash [2014],,mafic ash,mafic ash,ash,,,,,,,,,,,,,,,,,,,,,vitric [2014],crystal [2014],,,,,,,,scoria [2014],,,,,,,,,,,,,,,,,,,,,,,163
350-U1436A-5H-6-A,350,U1436,A,5,5-6,H,6,A,9,30,33.35,33.56,I,,,,tuffaceous,mud [2014],,tuffaceous mud,tuffaceous mud,mud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164
350-U1436A-5H-6-A,350,U1436,A,5,5-6,H,6,A,30,31,33.56,33.57,I,,,,mafic,ash [2014],,mafic ash,mafic ash,ash,,,,,,,,,,,,,,,,,,,,,vitric [2014],crystal [2014],,,,,,,,scoria [2014],,,,,,,,,,,,,,,,,,,,,,,165
350-U1436A-5H-6-A,350,U1436,A,5,5-6,H,6,A,31,60,33.57,33.86,I,,,,tuffaceous,mud [2014],,tuffaceous mud,tuffaceous mud,mud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166
350-U1436A-5H-6-A,350,U1436,A,5,5-6,H,6,A,60,62,33.86,33.88,I,,,,evolved,ash [2014],,evolved ash,evolved ash,ash,,,,,,,,,,,,,,,,,,,,,vitric [2014],crystal [2014],,,,,,,,pumice [2014],,,,,,,,,,,,,,,,,,,,,,,167
350-U1436A-5H-6-A,350,U1436,A,5,5-6,H,6,A,62,110,33.88,34.36,I,,,,tuffaceous,mud [2014],,tuffaceous mud,tuffaceous mud,mud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168
