Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithology Prefix,Lithology Principal Name,Lithology Suffix,MAJ Lith. prefix+name+suffix,MAJ Lith. color,"Layer, boundary, lamination, grading",Diagenetic constituent,Diagenetic constituent composition,Bioturbation intensity,Bioturbation intensity rank,Deformational structures,General interval comment,Minor Lithology Prefix,Minor Lithology Name,Minor Lithology Suffix,MIN Lith. prefix + name,MIN Lith. prefix+name+suffix,MIN Lith. name+suffix,MIN Lith. color,MIN Lith. abundance [%],MIN Lith. ave. grain size ,MIN Lith. ave. grain size rank,MIN Lith. max. grain size ,MIN Lith. max. grain size rank,Lith. abundance sum [%],Bottom contact or boundary type,Bottom contact geometry,Bottom contact definition,Layer or bedding thickness,Clasts abundance,Clast 1 igneous [%],Clast 1 igneous -  grain size,Clast 2 sediment [%],Clast 2 sediment grain size,Clast 3 -other lithology [%],Clast 3 -other lithology grain size,Diagenetic structure,Macrofossil,Macrofossil abundance name,MAJ Lith. prefix + name,MAJ Lith. name+suffix,MAJ Lith. abundance [%],MAJ Lith. ave. grain size ,MAJ Lith. ave. grain size rank,MAJ Lith. max. grain size,MAJ Lith. max. grain size rank,File Data,
342-U1403A-5H-1-A,342,U1403,A,5,5-1,H,1,A,103.0,150.0,35.33,35.8,,clay [Leg339],,clay ,10GY 5/1 (greenish gray),,,,moderate [DB91],4,,"The Munsell color entered in the database is the dominant color, but note that cm-scale red bands (5GY 5/1) occasionally occur.",,,,,,,,,,,,,,,,,,,,,,,,,,,,clay ,clay ,,,,,,,
342-U1403A-5H-2-A,342,U1403,A,5,5-2,H,2,A,0.0,150.0,35.8,37.3,,clay [Leg339],,clay ,10GY 6/1 (greenish gray),,,,moderate [DB91],4,,"The Munsell color entered in the database is the dominant color, but note that 53-100 cm is darker and somewhat reddish with manganese flecks. Irregular spaced dark bands from 0-30 cm (mm-scale bands with 10 cm scale spacing). Distinct bioturbation mottling from 60-62 and 140-150 cm).",,,,,,,,,,,,,,,,,,,,,,,,,,,,clay ,clay ,,,,,,,
342-U1403A-5H-3-A,342,U1403,A,5,5-3,H,3,A,0.0,150.0,37.3,38.8,,clay [Leg339],,clay ,10Y 6/1 (greenish gray),,,,moderate [DB91],4,,"The Munsell color entered in the database is the dominant color, but note that the secondary color (10Y 5/1) appears as distinct dark bands. Dark banding occurs predominately from 26-95 cm (mm wide bands with ~2cm spacing between light and dark bands), Some unclear banding dark banding (occasionally bluish) occur from 95-150 cm).  Rare, small dark manganese flecks occur from 0-12 cm. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,clay ,clay ,,,,,,,
342-U1403A-5H-4-A,342,U1403,A,5,5-4,H,4,A,0.0,150.0,38.8,40.3,,clay [Leg339],,clay ,5Y 6/2 (light olive gray),,,,moderate [DB91],4,,"The Munsell color entered in the database is the dominant color, but note that grey banding occurs (10Y 6/1). From 9-38 cm cm-scale banding of darker tan or grey as compared to background color. From 113-150 cm 3 greyer bands of 3-10 cm width occur. Manganese flecks occur from 0-113 cm.",,,,,,,,,,,,,,,,,,,,,,,,,,,,clay ,clay ,,,,,,,
342-U1403A-5H-5-A,342,U1403,A,5,5-5,H,5,A,0.0,150.0,40.3,41.8,,clay [Leg339],,clay ,5Y 6/2 (light olive gray),,,,moderate [DB91],4,,"The Munsell color entered in the database is the dominant color, but note the secondary color (10Y 6/1) present in grey bands. Thick alternating grey bands approx. 4 cm wide from 0-15 cm with occasional grey mottling and banding from 15-150 cm. Occasional black flecks throughout.",,,,,,,,,,,,,,,,,,,,,,,,,,,,clay ,clay ,,,,,,,
342-U1403A-5H-6-A,342,U1403,A,5,5-6,H,6,A,0.0,60.0,41.8,42.4,,clay [Leg339],,clay ,5Y 6/2 (light olive gray),,,,moderate [DB91],4,,"The Munsell color entered in the database is the dominant color, but note occasional grey mottling.  From 10-40 cm section is disturbed within the core liner (pulled away from edge), with a gap from 57-61 cm. **Delete as doesn't seem to apply**",,,,,,,,,,,,,,,,,,,,,,,,,,,,clay ,clay ,,,,,,,
342-U1403A-5H-6-A,342,U1403,A,5,5-6,H,6,A,60.0,118.0,41.8,43.1,,clay [Leg339],,clay ,5Y 6/2 (light olive gray),,,,moderate [DB91],4,,"The Munsell color entered in the database is the dominant color, but note occasional (10 cm scale) grey mottling.",,,,,,,,,,,,,,,,,,,,,,,,,,,,clay ,clay ,,,,,,,
342-U1403A-5H-7-A,342,U1403,A,5,5-7,H,7,A,0.0,59.0,,,,clay [Leg339],,clay ,5Y 6/2 (light olive gray),,,,moderate [DB91],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342-U1403A-5H-CC-A,342,U1403,A,5,5-CC,H,CC,A,0.0,7.0,43.7,43.84,,clay [Leg339],with silt [Leg339],clay  with silt ,5Y 6/2 (light olive gray),,,,moderate [DB91],4,,"The Munsell color entered in the database is the dominant color, but note occasional grey mottling.",,,,,,,,,,,,,,,,,,,,,,,,,,,,clay ,clay   with silt ,,,,,,,
342-U1403A-6H-1-A,342,U1403,A,6,6-1,H,1,A,36.0,150.0,43.8,45.3,,clay [Leg339],,clay ,2.5Y 5/2 (grayish brown),,,,moderate [DB91],4,,"The Munsell color entered in the database is the dominant color, but note small black flecks throughout and along with mottling. Distinct burrows, ranging in size up to Zoophycos, from 60-87 cm. Manganese fleck (1/2 cm scale) at 150 cm.",,,,,,,,,,,,,,,,,,,,,,,,,,,,clay ,clay ,,,,,,,
342-U1403A-6H-2-A,342,U1403,A,6,6-2,H,2,A,0.0,28.0,45.3,45.58,,clay [Leg339],,clay ,2.5Y 6/2 (light brownish gray),,,,moderate [DB91],4,,"The Munsell color entered in the database is the dominant color, and imparted in part by the dense black flecks throughout the interval.",,,,,,,,,,,,,,,,,,,,,,,,,,,,clay ,clay ,,,,,,,
342-U1403A-6H-2-A,342,U1403,A,6,6-2,H,2,A,28.0,80.0,45.58,46.1,,clay,,clay,2.5Y 6/3 (light yellowish brown),,,,moderate [DB91],4,,"The Munsell color entered is the dominant color, but distinct burrows intergrade between the lighter section interval at the top of the section and the darker color below. Intergrading burrows distinct between 28-60 cm.",,,,,,,,,,,,,,,,,,,,,,,,,,,,clay,clay,,,,,,,
342-U1403A-6H-2-A,342,U1403,A,6,6-2,H,2,A,80.0,118.0,46.1,46.48,,clay [Leg339],,clay ,5G 6/1 (greenish gray),,,,moderate [DB91],4,,"The Munsell color entered is the dominant color, but note black flecks also occur over this interval. Sharp color contacts with tan sections preceding and following this interval.",,,,,,,,,,,,,,,,,,,,,,,,,,,,clay ,clay ,,,,,,,
342-U1403A-6H-2-A,342,U1403,A,6,6-2,H,2,A,118.0,152.0,46.48,46.82,,clay [Leg339],,clay ,2.5Y 6/3 (light yellowish brown),,,,moderate [DB91],4,,The Munsell color entered is the dominant color. Black flecks/mottling is sparse as compared to preceding tan interval (28-80 cm).,,,,,,,,,,,,,,,,,,,,,,,,,,,,clay ,clay ,,,,,,,
342-U1403A-6H-3-A,342,U1403,A,6,6-3,H,3,A,0.0,152.0,46.82,48.34,,clay [Leg339],,clay ,2.5Y 6/3 (light yellowish brown),,,,heavy [DB91],5,,"The Munsell color entered is the dominant color, with occasional indistinct mottling and rare black flecks. Two slightly darker bands occur at 81-82 cm and 115-116 cm.",,,,,,,,,,,,,,,,,,,,,,,,,,,,clay ,clay ,,,,,,,
342-U1403A-6H-4-A,342,U1403,A,6,6-4,H,4,A,0.0,100.0,48.34,49.34,,clay [Leg339],,clay ,2.5Y 6/3 (light yellowish brown),,,,heavy [DB91],5,,The Munsell color entered is the dominant color; rare black flecks also occur.,,,,,,,,,,,,,,,,,,,,,,,,,,,,clay ,clay ,,,,,,,
342-U1403A-6H-4-A,342,U1403,A,6,6-4,H,4,A,100.0,152.0,49.34,49.86,,clay [Leg339],,clay ,2.5Y 5/3 (light olive brown),,,,moderate [DB91],4,,"The Munsell color entered is the dominant color, but note a secondary color (2.5Y 6/3) in cm to 10s of cm scale blebs.  Darker color in this interval due heavy density of darker flecks with sub-millimeter color heterogeneity. The contact between the dark, bleb interval and the overlying interval is a sharp (at 100 cm).",,,,,,,,,,,,,,,,,,,,,,,,,,,,clay ,clay ,,,,,,,
342-U1403A-6H-5-A,342,U1403,A,6,6-5,H,5,A,0.0,152.0,49.86,51.38,silty [Leg339],clay [Leg339],,silty  clay ,2.5Y 5/3 (light olive brown),,,,moderate [DB91],4,,"The Munsell color entered is the dominant color, but note a secondary color (2.5Y 6/3) in cm to 10s of cm scale blebs. Darker color in this interval due to heavy density of darker flecks with sub-millimeter scale color heterogeneity. Distinct burrows apparent from 0-17 cm and 107-142 cm and a dark horizon from 139-142 cm.",,,,,,,,,,,,,,,,,,,,,,,,,,,,silty   clay ,clay ,,,,,,,
342-U1403A-6H-6-A,342,U1403,A,6,6-6,H,6,A,0.0,18.0,51.38,51.56,,clay [Leg339],,clay ,2.5Y 5/3 (light olive brown),,,,moderate [DB91],4,,"The Munsell color entered is the dominant color, but intergrades from 12-18 cm with the color of the following interval (2.5Y 6/3).",,,,,,,,,,,,,,,,,,,,,,,,,,,,clay ,clay ,,,,,,,
342-U1403A-6H-6-A,342,U1403,A,6,6-6,H,6,A,18.0,30.0,51.56,51.68,,clay [Leg339],,clay ,2.5Y 6/3 (light yellowish brown),,,,moderate [DB91],4,,The Munsell color entered is the dominant color. Interval begins with a gradational color change and ends with a sharp color boundary at 30 cm.,,,,,,,,,,,,,,,,,,,,,,,,,,,,clay ,clay ,,,,,,,
342-U1403A-6H-6-A,342,U1403,A,6,6-6,H,6,A,30.0,150.0,51.68,52.88,,clay [Leg339],,clay ,2.5Y 5/3 (light olive brown),,,,moderate [DB91],4,,"The Munsell color entered is the dominant color, but note a secondary color (2.5Y 5/3) present in cm to 10s of cm scale blebs. Dark horizons occur at 57 cm and 103-109 cm. Color darkens gradually from 30-150 cm due to increasing densities of dark flecks.",,,,,,,,,,,,,,,,,,,,,,,,,,,,clay ,clay ,,,,,,,
342-U1403A-6H-7-A,342,U1403,A,6,6-7,H,7,A,0.0,52.0,52.88,53.4,,clay [Leg339],,clay ,2.5Y 5/3 (light olive brown),,,,moderate [DB91],4,,"The Munsell color entered is the dominant color, but note a secondary color (2.5Y 6/3) in cm to 10s of cm scale blebs. Dark color of this interval due to density of dark flecks with sub-millimeter scale color heterogeneity. Section 7 continues to slowly darken flowing on Section 6.",,,,,,,,,,,,,,,,,,,,,,,,,,,,clay ,clay ,,,,,,,
342-U1403A-6H-CC-A,342,U1403,A,6,6-CC,H,CC,A,0.0,22.0,53.4,53.62,,clay [Leg339],,clay ,10YR 3/2 (very dark grayish brown),,,,moderate [DB91],4,,"Clear dark brown with no black flecks, in contrast to preceding sections.",,,,,,,,,,,,,,,,,,,,,,,,,,,,clay ,clay ,,,,,,,
342-U1403A-7H-1-A,342,U1403,A,7,7-1,H,1,A,27.0,150.0,53.3,54.8,,clay [Leg339],with silt [Leg339],clay  with silt ,10YR 5/3 (brown),,nodule,manganese,moderate [DB91],4,,"The Munsell color entered is the dominant color, but note a secondary color (2.5Y 6/3) in lighter colored blebs. Small flecks throughout interval.  A distinct color contact occurs at 55 cm, where color darkens due to increased manganese content. At 125 cm there is a 2-3 cm diameter manganese nodule, followed by increased frequency and width of manganese nodules to the end of the section. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,clay ,clay   with silt ,,,,,,,
342-U1403A-7H-2-A,342,U1403,A,7,7-2,H,2,A,0.0,150.0,54.8,56.3,,clay [Leg339],with silt [Leg339],clay  with silt ,10YR 4/2 (dark grayish brown),,nodule,manganese,moderate [DB91],4,,"The Munsell color entered is the dominant color, but note a secondary color (10YR 7/4) in occasional (approx. 4) tan blebs.  The section is darkened by the presence of abundant manganese. Particularly large patch of manganese from 35-44 cm and in bands from 92-95 cm and 106-116 cm.",,,,,,,,,,,,,,,,,,,,,,,,,,,,clay ,clay   with silt ,,,,,,,
342-U1403A-7H-3-A,342,U1403,A,7,7-3,H,3,A,0.0,150.0,56.3,57.8,,clay [Leg339],with silt [Leg339],clay  with silt ,10YR 5/3 (brown),,nodule,manganese,moderate [DB91],4,,"The Munsell color entered is the dominant color, but color varies on submillimeter to cm scale due to manganese nodules and flecks and occasional tan blebs. Burrowing and mottling observed throughout section, notably from 113-125 cm. Large  manganese nodule at 70-79 cm. Tan blebs increase in frequency from 134-150 cm.",,,,,,,,,,,,,,,,,,,,,,,,,,,,clay ,clay   with silt ,,,,,,,
342-U1403A-7H-4-A,342,U1403,A,7,7-4,H,4,A,0.0,150.0,57.8,59.3,,clay [Leg339],with silt [Leg339],clay  with silt ,10YR 5/3 (brown),,nodule,manganese,moderate [DB91],4,,"Manganese nodules (mm-scale) and burrowing/mottling are present throughout the section, with particularly dense manganese horizons from 16-19 cm and 140-150 cm.",,,,,,,,,,,,,,,,,,,,,,,,,,,,clay ,clay   with silt ,,,,,,,
342-U1403A-7H-5-A,342,U1403,A,7,7-5,H,5,A,0.0,65.0,59.3,59.95,,clay,with zeolites,clay with zeolites,,,,,,,fault,Two faults (0-30 cm and 25-65 cm) with unknown offsets.,,,,,,,,,,,,,,,,,,,,,,,,,,,,clay,clay  with zeolites,,,,,,,
342-U1403A-7H-5-A,342,U1403,A,7,7-5,H,5,A,0.0,150.0,59.3,60.8,,clay [Leg339],with zeolites,clay  with zeolites,10YR 7/4 (very pale brown),,nodule,manganese,moderate [DB91],4,,"The Munsell color entered is the dominant color, but note that the section is characterized by alternating bands with more manganese flecks. From 110-123 cm, manganese is particularly abundant and large. Burrows apparent in darker bands.",,,,,,,,,,,,,,,,,,,,,,,,,,,,clay ,clay   with zeolites,,,,,,,
342-U1403A-7H-5-A,342,U1403,A,7,7-5,H,5,A,90.0,110.0,60.2,60.4,,clay [Leg339],with zeolites,clay  with zeolites,,,,,,,fault,Unknown offset,,,,,,,,,,,,,,,,,,,,,,,,,,,,clay ,clay   with zeolites,,,,,,,
342-U1403A-7H-6-A,342,U1403,A,7,7-6,H,6,A,0.0,123.0,60.8,62.3,,clay,,clay,10YR 7/4 (very pale brown),,nodule,manganese,moderate [DB91],4,,"The Munsell color entered is the dominant color, but note that the section is characterized by alternating bands (10YR 4/2) with more manganese flecks. Dark bands, particularly the darkest band from 120-126 cm, contain small pink blebs (10R 6/3). ",,,,,,,,,,,,,,,,,,,,,,,,,,,,clay,clay,,,,,,,
342-U1403A-7H-7-A,342,U1403,A,7,7-7,H,7,A,0.0,65.0,62.3,62.95,,clay [Leg339],,clay ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clay ,clay ,,,,,,,
342-U1403A-7H-7-A,342,U1403,A,7,7-7,H,7,A,0.0,66.0,62.3,62.96,,clay [Leg339],with silt [Leg339],clay  with silt ,10YR 4/2 (dark grayish brown),,nodule,manganese,moderate [DB91],4,,"The Munsell color entered is the dominant color, but note that the section is characterized by frequent manganese nodules and flecks on mm to cm scales (including a Mn horizon at 42 cm). Section also includes light blebs; small blebs frequent from 42-65cm and one large bleb present from 10-20 cm.",,,,,,,,,,,,,,,,,,,,,,,,,,,,clay ,clay   with silt ,,,,,,,
342-U1403A-7H-CC-A,342,U1403,A,7,7-CC,H,CC,A,0.0,16.0,62.96,63.06,,clay [Leg339],with silt [Leg339],clay  with silt ,10YR 4/2 (dark grayish brown),,,,moderate [DB91],4,,"The Munsell color entered is the dominant color from 0-5 cm, an interval containing abundant manganese flecks.  A sharp contact at 5 cm separates a secondary color (10YR 7/4) present from 5-10 cm.",,,,,,,,,,,,,,,,,,,,,,,,,,,,clay ,clay   with silt ,,,,,,,
342-U1403A-8H-1-A,342,U1403,A,8,8-1,H,1,A,0.0,150.0,62.8,64.3,,clay [Leg339],with silt [Leg339],clay  with silt ,10YR 7/3 (very pale brown),,,,heavy [DB91],5,,"The Munsell color entered is the dominant color, but note a secondary color (10YR 4/2)  present in two main intervals (2-6 cm and 36-40 cm) in ?burrows.",,,,,,,,,,,,,,,,,,,,,,,,,,,,clay ,clay   with silt ,,,,,,,
342-U1403A-8H-2-A,342,U1403,A,8,8-2,H,2,A,0.0,150.0,64.3,65.8,,clay [Leg339],with silt [Leg339],clay  with silt ,10YR 7/3 (very pale brown),,,,heavy [DB91],5,,"The Munsell color entered is the dominant color, but note that four distinct layers contain ?disseminated manganese oxides (56-60, 97-99, 122-128, 147-150 cm).",,,,,,,,,,,,,,,,,,,,,,,,,,,,clay ,clay   with silt ,,,,,,,
342-U1403A-8H-3-A,342,U1403,A,8,8-3,H,3,A,0.0,150.0,65.8,67.3,,clay [Leg339],with silt [Leg339],clay  with silt ,10YR 5/2 (grayish brown),,nodule,manganese,moderate [DB91],4,,"The Munsell color entered is the dominant color, with the dark color imparted by manganese oxides.  A distinct darker band (10YR 7/3) occurs at 29-37 and 120-130 cm.  A manganese nodule occurs 80cm (2-cm diameter) and several pink spots (115-118 cm).",,,,,,,,,,,,,,,,,,,,,,,,,,,,clay ,clay   with silt ,,,,,,,
342-U1403A-8H-3-A,342,U1403,A,8,8-3,H,3,A,62.0,95.0,66.42,66.75,,clay [Leg339],with silt [Leg339],clay  with silt ,,,,,,,fault,Unknown offset,,,,,,,,,,,,,,,,,,,,,,,,,,,,clay ,clay   with silt ,,,,,,,
342-U1403A-8H-4-A,342,U1403,A,8,8-4,H,4,A,0.0,150.0,67.3,68.8,,clay [Leg339],with silt [Leg339],clay  with silt ,10YR 7/3 (very pale brown),,,,heavy [DB91],5,,"The Munsell color entered is the dominant color, but note the secondary colors of greenish grey (10Y 7/1) present from 110-120 cm and a zone of mottled with pink spots (7.5YR 7/3) and burrows from 135-145 cm.",,,,,,,,,,,,,,,,,,,,,,,,,,,,clay ,clay   with silt ,,,,,,,
342-U1403A-8H-4-A,342,U1403,A,8,8-4,H,4,A,140.0,153.0,68.7,68.83,,clay,with silt [Leg339],clay with silt ,,,,,,,fault,Unknown offset,,,,,,,,,,,,,,,,,,,,,,,,,,,,clay,clay  with silt ,,,,,,,
342-U1403A-8H-5-A,342,U1403,A,8,8-5,H,5,A,0.0,113.0,68.83,69.96,,clay,with silt [Leg339],clay with silt ,,,,,,,fault,Unknown offset,,,,,,,,,,,,,,,,,,,,,,,,,,,,clay,clay  with silt ,,,,,,,
342-U1403A-8H-5-A,342,U1403,A,8,8-5,H,5,A,0.0,150.0,68.83,70.33,,clay,with silt [Leg339],clay with silt ,10YR 7/3 (very pale brown),,,,heavy [DB91],5,,"The Munsell color entered is the dominant color, but note two secondary colors including one large bleb (10Y 7/1) from 46-54 cm and one pink spot (7.5YR 7/3) from 144-146 cm.",,,,,,,,,,,,,,,,,,,,,,,,,,,,clay,clay  with silt ,,,,,,,
342-U1403A-8H-5-A,342,U1403,A,8,8-5,H,5,A,48.0,60.0,69.31,69.43,,clay,with silt [Leg339],clay with silt ,,,,,,,fault,Unknown offset,,,,,,,,,,,,,,,,,,,,,,,,,,,,clay,clay  with silt ,,,,,,,
342-U1403A-8H-6-A,342,U1403,A,8,8-6,H,6,A,0.0,104.0,70.33,71.37,,clay,with silt [Leg339],clay with silt ,,,,,,,fault,"Four faults are observed (3-33, 30-60, 73-80, 92-103 cm) with unknown offsets.",,,,,,,,,,,,,,,,,,,,,,,,,,,,clay,clay  with silt ,,,,,,,
342-U1403A-8H-6-A,342,U1403,A,8,8-6,H,6,A,0.0,140.0,70.33,71.83,,clay,with silt [Leg339],clay with silt ,10YR 7/3 (very pale brown),,,,heavy [DB91],5,,"The Munsell color entered is the dominant color, but note pink spots (7.5YR 7/3) from 144-146 cm.  ",,,,,,,,,,,,,,,,,,,,,,,,,,,,clay,clay  with silt ,,,,,,,
342-U1403A-8H-7-A,342,U1403,A,8,8-7,H,7,A,0.0,75.0,71.83,72.58,,clay,with silt [Leg339],clay with silt ,10YR 7/3 (very pale brown),,,,heavy [DB91],5,,"The Munsell color entered is the dominant color, but note that the section contains pink spots (0-3 cm, 7.5YR 7/3).",,,,,,,,,,,,,,,,,,,,,,,,,,,,clay,clay  with silt ,,,,,,,
342-U1403A-8H-7-A,342,U1403,A,8,8-7,H,7,A,23.0,39.0,72.06,72.22,,clay,with silt [Leg339],clay with silt ,,,,,,,fault,"Two faults are observed (24-27, 34-35 cm) with unknown offsets.",,,,,,,,,,,,,,,,,,,,,,,,,,,,clay,clay  with silt ,,,,,,,
342-U1403A-8H-CC-A,342,U1403,A,8,8-CC,H,CC,A,0.0,38.0,72.58,73.0,,clay,with silt [Leg339],clay with silt ,10YR 7/3 (very pale brown),,,,heavy [DB91],5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clay,clay  with silt ,,,,,,,
342-U1403A-9H-1-A,342,U1403,A,9,9-1,H,1,A,10.0,150.0,72.3,73.8,radiolarian [Leg339],clay [Leg339],,radiolarian  clay ,10YR 7/3 (very pale brown),,,,heavy [DB91],5,,General comments as in Section 2 with a blue-gray (10Y 6/1) bleb from 60-65c m and layer from 95-107 cm.,,,,,,,,,,,,,,,,,,,,,,,,,,,,radiolarian   clay ,clay ,,,,,,,
342-U1403A-9H-2-A,342,U1403,A,9,9-2,H,2,A,0.0,150.0,73.8,75.3,radiolarian [Leg339],clay [Leg339],,radiolarian  clay ,10YR 7/3 (very pale brown),,,,heavy [DB91],5,,"The Munsell color entered is the dominant color, with secondary colors of blue-gray (10Y 6/1)  layers (4-23, 33-50 cm) and blebs (130-140 cm) and rare pink spots (5YR 7/3) scattered throughout the section.",,,,,,,,,,,,,,,,,,,,,,,,,,,,radiolarian   clay ,clay ,,,,,,,
342-U1403A-9H-3-A,342,U1403,A,9,9-3,H,3,A,0.0,147.0,75.3,76.77,radiolarian [Leg339],clay [Leg339],,radiolarian  clay ,10YR 7/3 (very pale brown),,,,heavy [DB91],5,,General comments as in Section 2 with light blue-gray (10Y 6/1) bleb at 10-20 cm and layer from 34-41 cm.,,,,,,,,,,,,,,,,,,,,,,,,,,,,radiolarian   clay ,clay ,,,,,,,
342-U1403A-9H-4-A,342,U1403,A,9,9-4,H,4,A,0.0,147.0,76.77,78.24,radiolarian [Leg339],clay [Leg339],,radiolarian  clay ,10YR 7/3 (very pale brown),,,,heavy [DB91],5,,General comments as in Section 2 with abundant cm-scale pink spots from 78-90 cm.,,,,,,,,,,,,,,,,,,,,,,,,,,,,radiolarian   clay ,clay ,,,,,,,
342-U1403A-9H-5-A,342,U1403,A,9,9-5,H,5,A,0.0,146.0,78.24,79.7,radiolarian [Leg339],clay [Leg339],,radiolarian  clay ,10YR 7/3 (very pale brown),,,,heavy [DB91],5,,General comments as in Section 2.,,,,,,,,,,,,,,,,,,,,,,,,,,,,radiolarian   clay ,clay ,,,,,,,
342-U1403A-9H-6-A,342,U1403,A,9,9-6,H,6,A,0.0,114.0,79.7,80.84,radiolarian [Leg339],clay [Leg339],,radiolarian  clay ,10YR 7/3 (very pale brown),,,,heavy [DB91],5,,"General comments as in Section 2 with blue-gray (10YR 7/3) bleb from 8-16 cm and layer from 93-112 cm. An approx. 1 cm clear-white crystalline nodule with radial blades was found at 105 cm.
",,,,,,,,,,,,,,,,,,,,,,,,,,,,radiolarian   clay ,clay ,,,,,,,
342-U1403A-9H-7-A,342,U1403,A,9,9-7,H,7,A,0.0,58.0,81.0,81.58,radiolarian [Leg339],clay [Leg339],,radiolarian  clay ,7.5YR 6/3 (light brown),,,,heavy [DB91],5,,"This section is distinctly pinker than the proceeding sections, with increasing frequency of pink spots as compared to proceeding sections.",,,,,,,,,,,,,,,,,,,,,,,,,,,,radiolarian   clay ,clay ,,,,,,,
342-U1403A-9H-CC-A,342,U1403,A,9,9-CC,H,CC,A,0.0,18.0,81.58,81.82,radiolarian [Leg339],clay [Leg339],,radiolarian  clay ,7.5YR 6/3 (light brown),,,,heavy [DB91],5,,General comments as in Section 7.,,,,,,,,,,,,,,,,,,,,,,,,,,,,radiolarian   clay ,clay ,,,,,,,
342-U1403A-10H-1-A,342,U1403,A,10,10-1,H,1,A,0.0,151.0,81.8,83.31,radiolarian [Leg339],clay [Leg339],,radiolarian  clay ,7.5YR 6/4 (light brown),,,,heavy [DB91],5,,The Munsell color entered is the dominant color in a core speckled with darker pink spots (2.5Y YR 6/4). ,,,,,,,,,,,,,,,,,,,,,,,,,,,,radiolarian   clay ,clay ,,,,,,,
342-U1403A-10H-2-A,342,U1403,A,10,10-2,H,2,A,0.0,151.0,83.31,84.82,radiolarian [Leg339],clay [Leg339],,radiolarian  clay ,7.5YR 6/4 (light brown),,,,heavy [DB91],5,,General comments as in Section 1. Note some darker pink spots (scattered throughout Core 10) have crystals (possible zeolites? barite?). ,,,,,,,,,,,,,,,,,,,,,,,,,,,,radiolarian   clay ,clay ,,,,,,,
342-U1403A-10H-3-A,342,U1403,A,10,10-3,H,3,A,0.0,146.0,84.82,86.28,radiolarian [Leg339],clay [Leg339],,radiolarian  clay ,7.5YR 6/4 (light brown),,,,heavy [DB91],5,,"General comments as in Section 1, with a blue-gray (10Y 7/1) from approx. 40-60 cm. Occasional blue-gray blebs from 60-150 cm.",,,,,,,,,,,,,,,,,,,,,,,,,,,,radiolarian   clay ,clay ,,,,,,,
342-U1403A-10H-4-A,342,U1403,A,10,10-4,H,4,A,0.0,147.0,86.28,87.75,radiolarian [Leg339],clay [Leg339],,radiolarian  clay ,7.5YR 6/4 (light brown),,,,heavy [DB91],5,,General comments as in Section 1 with occasional blue-gray (10Y 7/1) blebs.,,,,,,,,,,,,,,,,,,,,,,,,,,,,radiolarian   clay ,clay ,,,,,,,
342-U1403A-10H-5-A,342,U1403,A,10,10-5,H,5,A,0.0,146.0,87.75,89.21,radiolarian [Leg339],clay [Leg339],,radiolarian  clay ,2.5YR 7/3 (light reddish brown),,,,heavy [DB91],5,,"The Munsell color entered is the dominant color from 28-146 cm, with a secondary color (7.5Y 6/4) as in preceding sections from 0-28 cm (gradational contact between the intervals). Blue-gray (10Y 7/1) blebs interspersed from 28-150 cm.",,,,,,,,,,,,,,,,,,,,,,,,,,,,radiolarian   clay ,clay ,,,,,,,
342-U1403A-10H-5-A,342,U1403,A,10,10-5,H,5,A,27.0,50.0,88.02,88.25,radiolarian [Leg339],clay [Leg339],,radiolarian  clay ,,,,,,,fault,Two faults (unknown offset) at 27-34cm and 42-50cm at approx. 60degrees to horizontal.,,,,,,,,,,,,,,,,,,,,,,,,,,,,radiolarian   clay ,clay ,,,,,,,
342-U1403A-10H-6-A,342,U1403,A,10,10-6,H,6,A,0.0,132.0,89.21,90.53,radiolarian [Leg339],clay [Leg339],,radiolarian  clay ,2.5YR 7/3 (light reddish brown),,,,heavy [DB91],5,,The Munsell colored entered is the dominant color with interspersed blue-grey (10Y 7/1) blebs and layer (15-77cm).,,,,,,,,,,,,,,,,,,,,,,,,,,,,radiolarian   clay ,clay ,,,,,,,
342-U1403A-10H-6-A,342,U1403,A,10,10-6,H,6,A,80.0,100.0,90.01,90.21,radiolarian [Leg339],clay [Leg339],,radiolarian  clay ,,,,,,,fault,Unknown offset,,,,,,,,,,,,,,,,,,,,,,,,,,,,radiolarian   clay ,clay ,,,,,,,
342-U1403A-10H-7-A,342,U1403,A,10,10-7,H,7,A,0.0,79.0,90.71,91.5,radiolarian [Leg339],clay [Leg339],,radiolarian  clay ,2.5YR 7/3 (light reddish brown),,,,heavy [DB91],5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,radiolarian   clay ,clay ,,,,,,,
342-U1403A-10H-CC-A,342,U1403,A,10,10-CC,H,CC,A,0.0,37.0,91.5,91.87,radiolarian [Leg339],clay [Leg339],,radiolarian  clay ,2.5YR 7/3 (light reddish brown),,,,heavy [DB91],5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,radiolarian   clay ,clay ,,,,,,,
