Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Bottom [cm],Top Depth [m],Bottom Depth [m],Preservation,Group abundance,Alabaminella sp.,Alabaminella weddellensis,Angulogerina fluens,Astacolus sp.,Astrononion sp. ,Astrorhiza sp.,Baggina philippinensis,Bolivina alata,Bolivina decussata,Bolivina pacifica,Bolivina sp.,Bolivina spathulata,Bolivina spissa,Bolivina spp.,Botellina labyrinthica,Brizalina earlandi,Brizalina pygmaea,Buccella frigida ,Buccella inusitata,Buccella sp.,Buccella spp.,Bulimina sp.,Bulimina striata,Buliminella elegantissima,Buliminella sp.,Buliminella tenuata,Cassidulina californica,Cassidulina cushmani,Cassidulina laevigata var. carinata,Cassidulina mexicana,Cassidulina sp.,Cassidulina teretis ,Cassidulina translucens,Cassidulinoides cornuta,Cassidulinoides parkerianus,Cassidulinoides tenuis ,Chilostomella oolina,Chilostomellina frimbriata,Cibicides fletcheri ,Cibicides lobatulus,Cibicides mckannai,Cibicides sp.,Cibicides spiralis,Cibicides spp.,Cibicidoides mundulus,Cibicidoides sp.,Cibicidoides subhaidingerii,Cribrostomoides jeffreysii,Cribrostomoides subglobosus,Cyclammina cancellata,Dentalina sp.,Dentalinoides sp.,Discorbis sp.,Dorothia pseudofiliformis,Eggerella advena,Eggerella bradyi,Ehrenbergina sp.,Eilohedra vitrea,Elphidiella sp.,Elphidiellia groenlandica,Elphidium bartletti,Elphidium batialis,Elphidium clavatum,Elphidium excavatum,Elphidium frigidum,Elphidium hughesi,Elphidium sp.,Elphidium spp. ,Epistominella pacifica ,Epistominella pulchella,Epistominella sp.,Epistominella vitrea ,Eponides healdi ,Eponides sp.,Eubuliminella exilis ,Fissurina lucida ,Fissurina sp.,Fursenkoina bradyi,Fursenkoina sp.,Glandulina sp.,Globobulimina auriculata,Globobulimina pacifica,Globobulimina sp.,Globocassidulina sp.,Globocassidulina subglobosa,Gyroidina gemma,Gyroidina lamarckiana,Gyroidina spp.,Gyroidinoides soldanii,Gyroidinoides sp.,Haplophragmoides sp.,Haynesina sp.,Hormosinella guttifera,Hyalinonetrion gracillima,Hyperammina sp.,Ioanella sp.,Islandiella norcrossi,Islandiella sp.,Karreriella baccata,Karreriella parkerae,Laevidentalina advena,Lagena elongata,Lagena gracilis ,Lagena laevis ,Lagena meridionalis ,Lagena sp.,Lagena spp.,Lagena striata,Laticarinina pauperata,Lenticulina sp.,Lenticulina spp. ,Liebusella soldanii,Martinottiella communis,Melonis barleeanus,Melonis pompilioides,Neugeborina longiscata,Nodosaria aff. pyrula,Nodosaria sp.,Nonion sp.,Nonionella labradorica,Nonionella pulchella,Nonionella sp.,Nonionella spp. ,Nonionella turgida,Nonionella turgida digitata,Oolina globosa,Oolina laevigata,Oolina sp.,Oolina spp.,Oridorsalis sp.,Oridorsalis umbonatus,Paratrochammina challengeri,Planulina ariminensis,Planulina wuellerstorfi,Plectofrondicularia sp.,Pleurostomella alternans,Portatrochammina karica,Psammosphaera fusca,Pseudononion auricula,Pullenia bulloides,Pullenia salisburyi,Pullenia sp.,Pygmaeoseistron hispidum,Pyrgo sp.,Pyrgo spp. N/A,Quinqueloculina sp.,Quinqueloculina stalkeri,Reophax dentaliniformis,Reophax pilulifer,Reophax sp.,Reussella sp.,Rhabdammina sp.,Rhizammina algaeformis,Saccammina sp.,Sigmoilina distorta ,Sigmoilinita sp.,Sphaeroidina bulloides,Spiroculina sp.,Stainforthia fusiformis,Stainforthia sp.,Subreophax aduncus,Takayanagia delicata,Trichohyalus ornatissimus,Trifarina angulosa,Trifarina sp.,Triloculina sp.,Triloculina trihedra,Trochammina globigeriniformis,Trochammina globorotaliformis ,Trochammina sp.,Uvigerina akitaensis ,Uvigerina auberiana,Uvigerina cf. proboscidea,Uvigerina juncea,Uvigerina peregrina,Uvigerina senticosa ,Uvigerina sp.,Uvigerina spp.,Valvulineria sp.,Veleroninoides sp.,Comment,Ship File Links,Shore File Links,File Data
341-U1417A-12H-CC-PAL,341,U1417,A,12,12-CC,H,CC,PAL,5,95.13,95.18,,B [A71],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
341-U1417A-13H-CC-PAL,341,U1417,A,13,13-CC,H,CC,PAL,5,104.35,104.4,,B [A71],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
341-U1417A-14H-CC-PAL,341,U1417,A,14,14-CC,H,CC,PAL,4,113.91,113.95,G [P20],P [A71],,,,D [A21],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D [A21],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
341-U1417A-15H-CC-PAL,341,U1417,A,15,15-CC,H,CC,PAL,4,123.45,123.49,M [P20],P [A71],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A21],,,,,,,,,,,F [A21],,,,,,,,,,,,,,,D [A21],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D [A21],,,,,,,,,,,,,,,,F [A21],,,,,,,,,,,R [A21],,,,,,,,,,,,R [A21],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
341-U1417A-16H-CC-PAL,341,U1417,A,16,16-CC,H,CC,PAL,5,133.11,133.16,M [P20],P [A71],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D [A21],,,,,,,A [A21],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A [A21],,,,,,,,,,,,,,,,F [A21],,,,,,,,,,,,,,,,,,,,,,A [A21],,,,,,,,,,,,,,,R [A21],,,,,R [A21],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
341-U1417A-17H-7-PAL,341,U1417,A,17,17-7,H,7,PAL,5,142.25,142.3,,B [A71],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A21],,,,,,,,,,,,,,D [A21],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A [A21],,,,,,,,,,,,,,,,,,,,,,,,,,,R [A21],,,,,,,,,,,,,,R [A21],,,,,,,,,,,R [A21],R [A21],A [A21],,,,,,,,,,,,,,,,,,,,,,,,,,R [A21],,,,,,,,,,,,,,,,
341-U1417A-18H-CC-PAL,341,U1417,A,18,18-CC,H,CC,PAL,5,149.37,149.42,P [P20],P [A71],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D [A21],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
341-U1417A-19H-CC-PAL,341,U1417,A,19,19-CC,H,CC,PAL,5,157.32,157.37,,B [A71],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
341-U1417A-20H-CC-PAL,341,U1417,A,20,20-CC,H,CC,PAL,5,158.4,158.45,,B [A71],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
341-U1417A-21H-CC-PAL,341,U1417,A,21,21-CC,H,CC,PAL,5,162.86,162.91,,B [A71],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
