Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Preservation,Diatom abundance,Actinocyclus curvatulus,Actinocyclus ellipticus,Actinocyclus elongatus,Actinocyclus ellipticus fa. lanceolata,Actynocyclus ellipticus var. javanica,Actinocyclus endoi,Actinocyclus ingens,Actinocyclus ochotensis,Actinocyclus octonarius,Actinocyclus subtilis,Actinoptychus senarius,Alveus marinus,Asterolampra acutiloba,Asterolampra eximia,Asterolampra marylandica,Asteromphalus arachne,Asteromphalus cleveanus,Asteromphalus elegans,Asteromphalus flabellatus,Asteromphalus grevillei,Asteromphalus heptactis,Asteromphalus hookerii,Asteromphalus robustus,Azpeitia aeginensis,Azpeitia africana,Azpeitia apiculata,Azpeitia barronii,Azpeitia neocrenulata,Azpeitia nodulifera,Azpeitia nodulifera fa. cyclopa,Azpeitia salisburyana,Azpeitia vetustissima,Azpeitia tabularis,Bacteriastrum sp.,Bacteriosira fragilis,Cavitatus jouseanus,Cestodiscus peplum,Cestodiscus pulchellus,Coscinodiscus argus,Coscinodiscus decrescens,Coscinodiscus gigas var. diorama,Coscinodiscus lewisianus,Coscinodiscus lewisianus var. spiralis,Coscinodiscus marginatus,Coscinodiscus oculus-iridis,Coscinodiscus radiatus,Craspedodiscus coscinodiscus,Crucidenticula nicobarica,Crucidenticula punctata,Cussia lancettula,Denticulopsis lauta,Ethmodiscus sp.,Fragilariopsis doliolus,Hemidiscus cuneiformis,Hemidiscus simplicissimus,Lioloma spp.,Nitzschia bicapitata,Nitzschia capuluspalae,Nitzschia cylindrica,Nitzschia fossilis,Nitzschia interruptestriata,Nitzschia jouseae,Nitzschia malinterpretaria,Nitzschia miocenica,Nitzschia pliocena,Nitzschia porteri,Nitzschia praereinholdii,Nitzschia reinholdii,Nitzschia rolandii,Nitzschia sicula,Planktoniella sol,Proboscia alata,Rhaphidodiscus marylandicus,Rhizosolenia bergonii,Rhizosolenia hebetata fa. hiemalis,Rhizosolenia praebergonii,Rhizosolenia stilyformis,Roperia tesselata,Rossiella paleaceae,Rossiella paleaceae var. elongata,Rouxia californica,Rouxia diploneides,Rouxia peragalli,Synedra miocenica,Synedra sp.1,Thalassionema bacillare,Thalassionema frauenfeldii,Thalassionema nitzschioides var. nitzschioides,Thalassionema nitzschioides var. capitulata,Thalassionema nitzschioides var. inflata,Thalassionema nitzschioides var. parva,Thalassionema robusta,Thalassiosira antiqua,Thalassiosira brunii,Thalassiosira burckliana,Thalassiosira convexa var. aspinosa,Thalassiosira decipiens,Thalassiosira eccentrica,Thalassiosira aff. eccentrica,Thalassiosira ferelineata,Thalassiosira fraga,Thalassiosira grunowii,Thalassiosira leptopus,Thalassiosira lineata,Thalassiosira miocenica,Thalssiosira nodulolineata,Thalassiosira oestrupii var. oestrupii,Thalassiosira oestrupii var. venrickae,Thalassiosira plicata,Thalassiosira spumellaroides,Thalassiosira symbolophora,Thalassiosira tappanae,Thalassiosira yabei,Thalassiosira sp. 1,Thalassiosira sp.4,Thalassiosira sp.5,Thalassiosira sp.6,Triceratium cinnamomeum,Triceratium cinnamomeum var. minor,Triceratium cinnamomeum var. quadrangulata,Corbisema hastata hastata,Distephanus crux,Dyctiocha fibula,Dictyocha pulchella,Dictyocha speculum,Mesocena elliptica,Naviculopsis eobiapiculata,Sillicoflagellate abundance,File data,
321-U1337A-16H-6-W 48/49-DIAT97,321,U1337,A,16,16-6,H,6,W,48/49-DIAT97,0,0,146.48,146.48,G-M ,C ,,R ,,,,R ,,,,,,,,,,,,,,,,,,,,,,,,R ,,,,,,,,,,,,,,,,,,,,F ,,F ,,,,C ,R ,,R ,R ,,,,,,,,,,,,,,,,,,,,R ,,,,,R ,,R ,F ,,,R ,F ,,,,,,,R ,,,,,,,,,,,,,,,,,,,,,,,,,R ,,R ,,F,,
321-U1337A-16H-CC-PAL,321,U1337,A,16,16-CC,H,CC,PAL,,0,0,148.52,148.52,M ,C ,,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C ,,,,R ,,,,,,F ,,,,,,,,,,,,,,,M,,,,,,,,,,,,,,,,,,,,,,R ,,,,,,,,,,,,,,,,,,,,F ,,,,,F,,
321-U1337A-17H-3-W 69/70-DIAT95,321,U1337,A,17,17-3,H,3,W,69/70-DIAT95,0,0,151.69,151.69,M ,C ,,R ,,,,R ,,,,,,,,,,,,,,,,,,,,,,R ,R ,,,,,,,,,,,,,,,,,,,,,,,R ,,,,C ,,,R ,R ,,,,,,,,,,,,,,R ,,,R ,,R ,,,,,,F ,,R ,,,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,,,,R,,
321-U1337A-17H-5-W 85/86-DIAT96,321,U1337,A,17,17-5,H,5,W,85/86-DIAT96,0,0,154.85,154.85,M ,C ,,R ,,,,R ,,,,,,,,,,,,,,,,,,,,,,,R ,R ,,R ,,,,,,,,,,,,,,,,,,R ,,R ,,R ,,F ,,,F ,,,,,,,,,,,,,,,,,,,, R,,,,,,F ,,R ,F ,,,,R ,,,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,F ,,,,F,,
321-U1337A-17H-CC-PAL,321,U1337,A,17,17-CC,H,CC,PAL,,0,0,157.99,157.99,M ,C ,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,,,,,,,,,,,,,,,,,R ,,,,R ,,,,F ,,C ,,,,,,,,,,R ,,,,,,,,,,,R ,,,,,,,,R ,,F ,C ,,,,,,,R ,,,,,,,R ,R ,,,,,,,,,,R ,,,,,,,,,,F ,,F ,,,F,,
321-U1337A-18H-3-W 139/140-DIAT72,321,U1337,A,18,18-3,H,3,W,139/140-DIAT72,0,0,161.91,161.91,M-G ,C ,R ,R ,R ,,,R ,,,R ,,,,,,,,,,,,,,,,,,,,F ,,,,,,,,,,R ,,,,,R ,,,,,,,,,,R ,,F ,R ,,F ,,,,,,,R ,,R ,,,,,,,,,R ,,F ,R ,,,,,R ,,R ,F ,,,,,,F ,,,,,,,,R ,R ,,,,,,,,,,R ,,,,,F ,,,R ,,,R ,R ,,,F,,
321-U1337A-18H-5-W 81/82-DIAT70,321,U1337,A,18,18-5,H,5,W,81/82-DIAT70,0,0,164.35,164.35,M ,C ,,,,,,R ,,,,,,,,,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F ,,,,,,C ,R ,,,,,,,,,R ,,,,,,,,,,,,,,,,,,,,,R ,F ,,,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,,,,,,,R ,,,R,,
321-U1337A-18H-CC-PAL,321,U1337,A,18,18-CC,H,CC,PAL,,0,0,167.5,167.5,M ,C ,,R ,,,,,,,,,,,,,,,,,,,,,,,,,,R ,,,,,,,,,,,,,,,,,,,,,,R ,,,,F ,,C ,,,,,,,,,,R ,,,,,,,,,,,,,,,,,R ,,F ,,,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,,,,,F ,,,,,F,,
321-U1337A-19H-4-W 99/100-DIAT66,321,U1337,A,19,19-4,H,4,W,99/100-DIAT66,0,0,172.49,172.49,M-G ,C ,,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,R ,,R ,,,,,,,,,,,,R ,,,,,,,R ,,,R ,,,,,R ,R ,,,,,,,,,,,,,,,,,,,,,,,,,R ,,,C ,,R ,,,,,,,,,,,,,,,,,,,,,,,R ,,,,,R ,,,,,,R ,,,,R,,
321-U1337A-19H-6-W 107/108-DIAT67,321,U1337,A,19,19-6,H,6,W,107/108-DIAT67,0,0,175.57,175.57,M-G ,C ,,,,,,,,,,,,,,,R ,,,,,,,,,,,,,,,R ,,,,,,,,,,,,,,,,,,,,R ,,,,R ,R ,F ,,,,,,,,,,F ,,,,,,,,,,,,,R ,,,,R ,,R ,,R ,C ,,,,,,,,,,,,,,,,,,,,,,,,,R ,,,,,R ,,,,,,R ,,,,R,,
321-U1337A-19H-CC-PAL,321,U1337,A,19,19-CC,H,CC,PAL,,0,0,177.0,177.0,M-G ,C ,,,,,,,,,,,R ,,,,,,,,,,,,,,,,,R ,,,,,R ,,,,,,,,,,,,,,,,,F ,F ,,,R ,,C ,,,,,,,,,,F ,,,,,,,,,,,,,,,R ,,,,,,,C ,,,F ,,,F ,,,,,,,,,,,,,,,,,R ,,R ,,,,,R ,,,,,F ,,R ,,,F,,
321-U1337A-20H-3-W 8/9-DIAT58,321,U1337,A,20,20-3,H,3,W,8/9-DIAT58,0,0,179.58,179.58,G-M ,A ,,R ,,,,,,,,,,,,R ,,,,,,,,,,,,,,R ,,R ,,,,,,,,,,,,?,,R ,,,,,,R ,R ,R ,,R ,,C ,,,,R ,,,,,,F ,,,,,,,,,,,,,,R ,,,R ,,,,F ,C ,,R ,R ,,,R ,,,,,,,,,R ,,,,,,,,,,R ,,,,R ,R ,,,,,,R ,F ,,,F,,
321-U1337A-20H-7-W 60/61-DIAT59,321,U1337,A,20,20-7,H,7,W,60/61-DIAT59,0,0,186.1,186.1,M-G ,A ,,R ,R ,,,,,,,,,,,,,,,,,,,,,,,,,R ,,R ,,,,,,,,,,,,,,,,,,,,F ,,,,R ,,C ,,,,,,,,,,R ,,,,,,,,,,,,,F ,R ,,,,,R ,,F ,C ,,,F ,R ,,,,,,,,,,,R ,,,,,,,,,,R ,,,,R ,F ,,,,R ,,F ,R ,,,F,,
321-U1337A-20H-CC-PAL,321,U1337,A,20,20-CC,H,CC,PAL,,0,0,186.38,186.38,G  ,A ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,,,,,,A ,,,,,,,,,,,,,,,,,,,,,,,R ,,,,,,,,,F ,,,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
321-U1337A-21H-2-W 101/102-DIAT19,321,U1337,A,21,21-2,H,2,W,101/102-DIAT19,0,0,188.51,188.51,M ,A ,,R ,,,,,,,,,,,,,,,,,,,,,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,F ,,,R ,,C ,,,,,,,,,,,,,,,,,,,,,,,R ,,,R ,,,,,R ,F ,,,R ,,,,,,,,,,,,,,,,,,,,,,,,,,R ,R ,,,,,,R ,,,,R,,
321-U1337A-21H-5-W 96/97-DIAT20,321,U1337,A,21,21-5,H,5,W,96/97-DIAT20,0,0,192.97,192.97,M ,C ,R ,R ,R ,,,,,,,,,,,,,,,,,,,,,,,R ,,,,,,,,,,,,,,,,,,,,,,,,R ,,,,R ,,C ,,,,,,,,,,,,,,,,,,,,,,,R ,,,,,,R ,F ,R ,C ,,,R ,,,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,,,,R,,
321-U1337A-21H-CC-PAL,321,U1337,A,21,21-CC,H,CC,PAL,,0,0,195.62,195.62,M-G ,A ,,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,R ,,,,,,,,,,,,,,,,,,,,,R ,,,,,A ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C ,,,,,,R ,,,,,,,,,T,,,,,,,,,,R ,,,,,R ,,,,,,,,,,,,
321-U1337A-22X-CC-PAL,321,U1337,A,22,22-CC,X,CC,PAL,,0,0,198.04,198.04,G ,A ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,,,,,A ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
321-U1337A-23X-2-W 124/125-DIAT0,321,U1337,A,23,23-2,X,2,W,124/125-DIAT0,0,0,207.04,207.04,M-G ,C ,,,,,,,,,,,,,,,R ,,,,,,,,R ,,,R ,,,,,,,,,,,,,,,,,,,,,,,,F ,,,,R ,R ,C ,,,,,,,,,,F ,R ,,,,,,,,,,,,F ,,,,,,R ,R ,,C ,,,,R ,,,,,,,,,,,,,,,,,,,,,F ,,,,,R ,,,,,,F ,R ,,,F,,
321-U1337A-23X-4-W 35/36-DIAT1,321,U1337,A,23,23-4,X,4,W,35/36-DIAT1,0,0,209.15,209.15,M-G ,A ,,F ,R ,,,,,,,,,,,,R ,,,,,,,,,,,,,R ,,,,,,,,,,,,,,,,,,,,,,R ,C ,,,,,C ,,,,,,,,,,F ,,,,,,,R ,,,,,,R ,,,,,,R ,,,C ,,,,,,,,,,,,,,,,,,,,,,,,,R ,,,,,F ,,,,,,R ,,,,R,,
321-U1337A-23X-CC-PAL,321,U1337,A,23,23-CC,X,CC,PAL,,0,0,213.87,213.87,M-G ,C ,R ,F ,,,,,,,,,,,,,R ,,,,,,,,,,,,,,,,,,F?,,,,,,,,,,,,,,,,,F ,,,,R ,,C ,,,,,,,,,,R ,,,,,,,,,,,,,,,,,,,,,,C ,,,F ,,,,,,,,,,,,R ,,,,,,,,,,R ,,,,,R ,,,,,F ,F ,,,,F,,
321-U1337A-24X-2-W 39/40-DIAT5,321,U1337,A,24,24-2,X,2,W,39/40-DIAT5,0,0,215.79,215.79,G-M ,C ,,R ,,,,,,R ,R ,,R ,,,,R ,,,,,,,,,,,F ,,R ,,,,,,,,,,,,,,,,,,,,,,,,R ,,R ,R ,C ,,,,,,,,,,F ,,,,,,,,,,,,,F ,,,R ,,,,,R ,C ,,F ,F ,,,R ,,,,,,,,,,,,,,,,,,,R ,,,,,F ,R ,,,,,R ,,,,R,,
321-U1337A-24X-4-W 21/22-DIAT6,321,U1337,A,24,24-4,X,4,W,21/22-DIAT6,0,0,218.21,218.21,G-M ,A ,,R ,,,,,,,,,,,,,,,,,,,,,,,,F ,,,,,,,,,,,,,,,,,,,,,,,,F ,,,,,,A ,,,,,,,,,,F ,,,C ,,,,,,,,,,,,,,,,,R ,,C ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,,,,F ,,,R ,,,F,,
321-U1337A-24X-CC-PAL,321,U1337,A,24,24-CC,X,CC,PAL,,0,0,218.98,218.98,M ,C ,F ,,,,,,,R ,R ,,R ,,,,,,,,,,,,,,,F ,,,,,,,F ,,,,,,F ,,,,,,,,,,,R ,,,,R ,,C ,,,,,,,,,,R ,,,C ,,,,,,,,,,,,,,,,,,,,,,F ,,,,,,,,,,,,,,,,,,,,,,R ,,,,,R ,,,,,,,,,,,,
321-U1337A-25X-2-W 42/43-DIAT82,321,U1337,A,25,25-2,X,2,W,42/43-DIAT82,0,0,225.32,225.32,M ,C ,,R ,,,,,,,,,,,,,,,,,,,,,,F ,,R ,,,,,,,,,,,,,,,,,,,,,R ,F ,,F ,,,,,,F ,,,,,,,,,,R ,,,,,,,,,,,,,R ,,,,,,,,,F ,,,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,,,,,,R ,,,,R,,
321-U1337A-25X-CC-PAL,321,U1337,A,25,25-CC,X,CC,PAL,,0,0,232.87,232.87,M-G ,C ,,F ,,,,,,,,,,,,,,,,,,,,,,,,F ,,,,,,,,,,,,,,,,,,,,,,F ,,,,,,,,C ,,,,,,,,,,F ,,,,,,,,,,,,,,,,,,,,,,F ,,,,,,,,,,,,,,,,,,,,,,,,,F ,,,,,,,,,,,F ,,,,F,,
321-U1337A-26X-3-W 112/113-DIAT16,321,U1337,A,26,26-3,X,3,W,112/113-DIAT16,0,0,237.12,237.12,M-P ,F ,R ,,,,,,,,,,,,,,,,,,,,,,,R ,,,,,,,,,,,,,,,,,,,,,,,,F ,,F ,,,,,,F ,,,,,,,,,,R ,,,,,,,,,,,,,,,,,,,,,,F ,,R ,R ,,,R ,,,,,,,,R ,,,,,,,,,,,,,,,,,,R ,,,,R ,,,,F,,
321-U1337A-26X-5-W 37/38-DIAT17,321,U1337,A,26,26-5,X,5,W,37/38-DIAT17,0,0,239.37,239.37,M-P ,C ,,R ,,,,,,,,,R ,,R ,R ,,,,,,,,,,R ,,,,,,,,,,,,,,,,,,R ,,,,F ,,F ,,,,,,,,C ,,,,,,,,,,R ,,,,,,,,,,,,,R ,,,,,,,,,F ,,R ,F ,,,,,,,,,,,,,,,,,,,,,,F ,,,,,,,,,R ,,R ,,,,R,,
321-U1337A-26X-CC-PAL,321,U1337,A,26,26-CC,X,CC,PAL,,0,0,242.42,242.42,M ,C ,,,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F ,,,,,,,,C                                                                                                                                                                                                                                                                                          ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F ,,,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F ,,,,                          F,,
321-U1337A-27X-CC-PAL,321,U1337,A,27,27-CC,X,CC,PAL,,0,0,243.46,243.46,G-M ,A ,,R ,,,,,,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,,,,R ,R ,,,,R ,F ,,R ,,,,,,A ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F ,,,,,,,,,,,,,,,R ,,,,,,,,,,R ,,,,,,,R ,,F ,,,,F ,,F,,
321-U1337A-28X-2-W 74/75-DIAT36,321,U1337,A,28,28-2,X,2,W,74/75-DIAT36,0,0,253.94,253.94,G ,C ,,F ,R ,,,,,R ,,,R ,,,,,,,,,,,,,R ,,,,,,,,,R ,,,,,,,,,R ,,,,,,R ,,,,R ,,,,C ,,,,,,,,,,,,,,,,,,,,,,,R ,,,,,,,,R ,C ,,,,,,,,,,,,,,,R ,,,,,,,,,,R ,,,,,,,,F ,,R ,R ,,R ,,F,,
321-U1337A-28X-CC-PAL27,321,U1337,A,28,28-CC,X,CC,PAL27,,0,0,256.37,256.37,G-M ,A ,,,,,,,,,,,,,,,,,,,,,,,,,,R ,,,,,,,,,,,,,,,R ,R ,,,,,,R ,,,,,,,,A ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C ,,,,,,,,,,,,,,,,,,,,,,,,,R ,,,,,,,,,,,,,,,,,
321-U1337A-29X-3-W 44/45-DIAT67,321,U1337,A,29,29-3,X,3,W,44/45-DIAT67,0,0,264.74,264.74,M ,C ,,,,,,,,,,,,,,,,,,,,,,,,,,R ,,,,,,,,,,,,,,,,F ,,,,,,F ,,,,R ,,,,F ,,,,,,,,,,,,,,,,,,,,,,,R ,,,,,,,,,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,,,,,,
321-U1337A-29X-5-W 36/37-DIAT66,321,U1337,A,29,29-5,X,5,W,36/37-DIAT66,0,0,267.66,267.66,M ,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,,,,,F ,,,,,,R ,,,,R ,,,,,,,,F ,,,,,,,,,,,,,,,,,,,,,,,R ,,,,,,R ,,,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F ,R ,,R ,,,,F,,
321-U1337A-29X-CC-PAL,321,U1337,A,29,29-CC,X,CC,PAL,,0,0,270.8,270.8,M ,C ,,R ,,,,,,R ,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,,,,,,,R ,,F ,,,,C ,,,,,,,,,,,,,,,,,,,,,,,R ,,,,,,,,,F ,,,,,,,,,,,,,,,R ,,,,,,,,,,R ,,,,,R ,,,R ,,,,,,,,,
321-U1337A-30X-2-W 19/20,321,U1337,A,30,30-2,X,2,W,19/20,0,0,272.49,272.49,M-P ,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F ,,,,F ,,R ,,,,R ,,,,R ,,,,F ,,,,,,,,,,,,,,,,,,,,,,,R ,,,,,,,,,R ,,,,,,,,,,,,,,,,,,,,,,,,R ,,,,,,,,,,,,,,,,,,
321-U1337A-30X-4-W 21/22,321,U1337,A,30,30-4,X,4,W,21/22,0,0,275.51,275.51,M ,C ,,,,,,,,,,,,,,R ,R ,,,,,,,,,,,,,,,,,,,,,,,R ,,,,,,,,,,F ,,,,R ,,,,C ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F ,,,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
321-U1337A-30X-CC-PAL,321,U1337,A,30,30-CC,X,CC,PAL,,0,0,280.49,280.49,M ,C ,,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,R ,F ,,,,,,,,C ,,,,,,,,,,,,,,,,,,,,,,,R ,,,,,,,,,F ,,,,,,,,,,,,,,,,,,,,,,,,R ,,,,,,,,,,,,,,,,,,
321-U1337A-31X-2-W 46/47-DIAT12,321,U1337,A,31,31-2,X,2,W,46/47-DIAT12,0,0,282.46,282.46,M-P ,F ,,R ,,,,,,,,,,,,,R ,,,,,,,,,,,,,,,,,,,,,,,R ,,,,,,,,,,R ,,,,R ,,,,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
321-U1337A-31X-4-W 48/49-DIAT13,321,U1337,A,31,31-4,X,4,W,48/49-DIAT13,0,0,285.48,285.48,M-G ,C ,,,,,,,,,,,,,,,,,,,,,,,,R ,,,,,,,,,,,,R ,,R ,,,,R ,,R ,,,R ,F ,,,,,,,,C ,,,,,,,,,,,,,,,,,,,,,,,R ,,,,,,,,,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,,,,,,,R,,
321-U1337A-31X-CC-PAL,321,U1337,A,31,31-CC,X,CC,PAL,,0,0,289.47,289.47,M-G ,C ,,R ,,,,,F ,R ,,,,,,,,,,,,,,,,R ,,,,,,,,,,,,,,,,,,,,,,,,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,,,,,,,,,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F ,,R ,,,,,F,,
321-U1337A-32X-2-W 78/79-DIAT31,321,U1337,A,32,32-2,X,2,W,78/79-DIAT31,0,0,292.48,292.48,M ,C ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,,,,,,R ,,,,R ,,,,,,,,C ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,,,,,,,,,,,,R ,,,,R,,
321-U1337A-32X-CC-PAL,321,U1337,A,32,32-CC,X,CC,PAL,,0,0,297.17,297.17,M-G ,C ,,,,,,,C ,R ,,,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F ,F ,,,,,,,,C ,,,,,,,,,,,,,,,,,,,,,R ,,,,,,,,,,,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F ,,F ,F ,,,,F,,
321-U1337A-33X-CC-PAL,321,U1337,A,33,33-CC,X,CC,PAL,,0,0,309.25,309.25,M ,F ,R ,,,,,,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F ,,,,,,,,,,,,,,,,,,,,,,,R ,,,,,,,,,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F ,,,,F,,
321-U1337A-34X-3-W 60/61-DIAT,321,U1337,A,34,34-3,X,3,W,60/61-DIAT,0,0,312.9,312.9,M-G ,F ,,,,,,,,,,,,,,,,,,,,,,,,R ,,,,,,,,,,,,,,R ,,,,,,R ,,,,R ,,,,,,,,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,,,,R,,
321-U1337A-34X-6-W 60/61-DIAT,321,U1337,A,34,34-6,X,6,W,60/61-DIAT,0,0,317.4,317.4,M ,C ,,,,,,,,,,,,,,,,,,,,,,,,R ,,,,,,,,,,,,R ,,,,,,,,,,,,F ,,,,,,,,C ,,,,,,,,,,,,,,,,,,,,,,,R ,,,,,,,,,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,,,R ,,,,R,,
321-U1337A-34X-CC-PAL,321,U1337,A,34,34-CC,X,CC,PAL,,0,0,318.36,318.36,M-G ,C ,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F ,,,,,R ,,R ,,,,R ,R ,,,R ,,F ,,,,F ,,,,C ,,,,,,,,,,,,,,,,,,,,,,,R ,,,,,,,,,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,F ,,,F ,,,,F,,
321-U1337A-35X-4-W 54/55-DIAT,321,U1337,A,35,35-4,X,4,W,54/55-DIAT,0,0,323.94,323.94,M ,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F ,,R ,,,,,,R ,,,,,,,,,,,,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,,,,R,,
321-U1337A-35X-6-W 54/55-DIAT,321,U1337,A,35,35-6,X,6,W,54/55-DIAT,0,0,326.94,326.94,M-G ,C ,,,,,,,,,,,,,,,,,,,,,,,,R ,,,,,,,,,,,,R ,R ,F ,,,,F ,,,,,,,,,,,,,,C ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,,,,,R,,
321-U1337A-35X-CC-PAL,321,U1337,A,35,35-CC,X,CC,PAL,,0,0,327.23,327.23,P ,F ,,,,,,,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F ,,R ,,,,,R ,,,R ,,,,,,,,,,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
321-U1337A-36X-CC-PAL,321,U1337,A,36,36-CC,X,CC,PAL,,0,0,338.15,338.15,P ,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,,R ,,,,,,,,R ,,,,,,R ,,,,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,,,,R,,
321-U1337A-37X-2-W 51/52-DIAT85,321,U1337,A,37,37-2,X,2,W,51/52-DIAT85,0,0,340.01,340.01,M ,F ,,,,,,,,,,,,,,,R ,,,,,,,,,,,,,,,,,,,,,,,F ,,,,,,,,,,,,R ,,,,,,F ,,,,,,,,,,,,,,,,,,,,,,,R ,,,,,,,,,,,,,,,,,,,,,,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
321-U1337A-37X-4-W 88/89-DIAT86,321,U1337,A,37,37-4,X,4,W,88/89-DIAT86,0,0,343.38,343.38,M ,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,,,,R ,,R ,,,,R ,,,,,,,,F ,,,,,,,,,,,,,,,,,R ,,,,,,R ,,,,,,,,,F ,,,,,,,,,,,,,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
321-U1337A-37X-CC-PAL,321,U1337,A,37,37-CC,X,CC,PAL,,0,0,347.64,347.64,M-P ,F ,,,,,,,,,,,,,,,,,,,,,,,,R ,,,,,,,,,,,,,,R ,,,,,,,,R ,,R ,,,,,,,,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
321-U1337A-38X-2-W 92/93-DIAT25,321,U1337,A,38,38-2,X,2,W,92/93-DIAT25,0,0,350.02,350.02,M ,C ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,,,,,,R ,,,,F ,,,,,,,,C ,,,,,,,,,,,,,,,,,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,,,,,,,,,,,,,,R ,,,,R,,
