Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Preservation,Group Abundance,Acervulinid taxa,Agglutinates (indeterminant fragments),Ammobaculites sp.,Ammonia beccarii,Ammonia sp.,Ammonia tepida,Amphicoryna spp.,Amphistegina gibbosa ,Amphistegina lessonii,Amphistegina radiata,Amphistegina sp.,Astacolus sp.,Asterigerina sp.,Bigenerina sp.,Biloculina sp.,Bolivina spp.,Bolivinita quadrilatera,Bulimina aculeata,Bulimina costata,Bulimina marginata,Bulimina pupoides,Bulimina sp.,Cassidulina sp.,Cassidulina teretis,Chilostomella sp.,Cibicides  bradyi,Cibicides pachyderma,Cibicides refulgens,Cibicides sp.,Cibicides wuellerstorfi,Cibicidoides bradyi,Cibicidoides lobatulus,Cibicidoides mundulus,Cibicidoides pachyderma,Cibicidoides robertsonianus,Cibicidoides spp.,Cibicidoides wuellerstorfi,Cornuspira sp.,Cribrononion kerguelenense,Cribrononion sp.,Cyclorbiculina compressa,Cymbaloporetta sp.,Dentalina advena,Dentalina inornata,Dentalina sp.,Dentalina subemaciata,Dentalina subsoluta,Discorbina sp.,Dorothia exilis,Eggerella sp.,Ehrenbergina sp.,Elphidium excavatum,Eponides repandus,Fissurina marginata,Fissurina orbignyana,Fissurina semimarginata,Fissurina sp.,Fissurina wiesneri,Florilus spp.,Fursenkoina sp.,Gavelinopsis sp.,Globobulimina sp.,Globocassidulina sp.,Globocassidulina subglobosa,Gyroidinoides soldanii,Gyroidinoides spp,Hauerinella inconstans,Heterostegina sp.,Hoeglundina elegans,Karreriella bradyi,Lagena laevis,Lagena sp.,Lagena striata,Laticarinina pauperata,Lenticulina iota,Lenticulina orbicularis,Lenticulina peregrina,Lenticulina spp.,Liebusella soldanii,Lingulina seminuda,Marinittiella sp.,Melonis spp.,Myllostomella costai,Myllostomella huygaensis,Myllostomella spp.?,Nodosaria albatrossi,Nodosaria sp. ,Oolina melo,Oolina spp.,Oridorsalis umbonatus,Orthomorphina cf. jedlitschkai,Orthomorphina perversa,Orthomorphina sp.,Osangularia spp.,Parasorites orbitolitoides,Peneroplis sp.,Planctostoma luculenta,Planispirinoides bucculentus,Planulina ariminensis,Planulina sp.,Pleurostomella alternans,Pleurostomella sp.,Proxifrons inaequalis,Pullenia bulloides,Pyrgo comata,Pyrgo depressa,Pyrgo elongata,Pyrgo murrhina,Pyrgo serrata,Pyrgo sp.,Pyrgoella irregularis,Pyrgoella sp.,Pyrulina cylindroides,Quinqueloculina agglutinans,Quinqueloculina bicostata,Quinqueloculina bosciana,Quinqueloculina bradyana,Quinqueloculina candeiana,Quinqueloculina granulocostata,Quinqueloculina seminulum,Quinqueloculina sp.,Rectobolivina sp.,Rectoglandulina sp.,Reophax sp.,Robertina bradyi,Robertina sp. A,Robertinoides spp.,Rupertina stabilis,Sigmavirgulina tortuosa,Sigmoilopsis spp.,Siphonina bradyana,Siphonina sp.,Siphonodosaria cooperensis,Siphonodosaria insecta,Siphonodosaria pomuligera,Siphonodosaria sargrinensis,Siphonodosaria sp.,Siphouvigerina ampullacea,Sphaerogypsina globulus,Sphaeroidina bulloides,Spirillina sp.,Spiroloculina sp.,Stilostomella antillea,Stilostomella fistuca,Stilostomella sp.,Trifarina sp.,Triloculina insignis,Triloculina spp.,Uvigerina auberiana,Uvigerina cf. canariensis,Uvigerina hispida,Uvigerina hollicki,Uvigerina peregrina,Uvigerina peregrina f. parvula,Uvigerina sp.,Vaginulina americana,Vertebralina sp.,Virgulina cf texturata,Vulvulina pennatula,Comment,File Data
340-U1398A-12H-CC-PAL-FORAMB,340,U1398,A,12,12-CC,H,CC,PAL,FORAMB,0,0,96.14,96.14,P,P,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
340-U1398A-13H-CC-PAL-FORAMB,340,U1398,A,13,13-CC,H,CC,PAL,FORAMB,0,0,105.59,105.59,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
340-U1398A-14X-CC-PAL-FORAMB,340,U1398,A,14,14-CC,X,CC,PAL,FORAMB,0,0,108.24,108.24,P,F,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
340-U1398A-15X-CC-PAL-FORAMB,340,U1398,A,15,15-CC,X,CC,PAL,FORAMB,0,0,115.2,115.2,G,F,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,R,,,,,,,,,,,,R,,,,,,,,,,,,,R,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,
340-U1398A-17X-CC-PAL-FORAMB,340,U1398,A,17,17-CC,X,CC,PAL,FORAMB,0,0,135.73,135.73,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
340-U1398A-18X-CC-PAL-FORAMB,340,U1398,A,18,18-CC,X,CC,PAL,FORAMB,0,0,145.28,145.28,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
340-U1398A-19X-CC-PAL-FORAMB,340,U1398,A,19,19-CC,X,CC,PAL,FORAMB,0,0,154.76,154.76,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
340-U1398A-20X-CC-PAL-FORAMB,340,U1398,A,20,20-CC,X,CC,PAL,FORAMB,0,0,164.77,164.77,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
340-U1398A-21X-CC-PAL-FORAMB,340,U1398,A,21,21-CC,X,CC,PAL,FORAMB,0,0,172.96,172.96,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
340-U1398A-22X-CC-PAL-FORAMB,340,U1398,A,22,22-CC,X,CC,PAL,FORAMB,0,0,183.65,183.65,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
340-U1398A-23X-CC-PAL-FORAMB,340,U1398,A,23,23-CC,X,CC,PAL,FORAMB,0,0,193.63,193.63,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
340-U1398A-24X-CC-PAL-FORAMB,340,U1398,A,24,24-CC,X,CC,PAL,FORAMB,0,0,201.87,201.87,M,P,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
340-U1398A-25X-CC-PAL-FORAMB,340,U1398,A,25,25-CC,X,CC,PAL,FORAMB,0,0,211.95,211.95,G,D,,,,,,,,,,,,,,,,,,,P,,,,,,,,P,,,R,,,,,,,,,,,,,,,P,,,,,,,,,,P,,,,,,,R,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,P,,,,,,,,,R,,,R,,,,,,,R,,,,,,,,,,,,,D,A,,,,,,,
340-U1398A-26X-CC-PAL-FORAMB,340,U1398,A,26,26-CC,X,CC,PAL,FORAMB,0,0,222.65,222.65,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
340-U1398A-27X-CC-PAL-FORAMB,340,U1398,A,27,27-CC,X,CC,PAL,FORAMB,0,0,233.84,233.84,P,A,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
340-U1398A-28X-CC-PAL-FORAMB,340,U1398,A,28,28-CC,X,CC,PAL,FORAMB,0,0,243.2,243.2,G,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,
340-U1398A-29X-CC-PAL-FORAMB,340,U1398,A,29,29-CC,X,CC,PAL,FORAMB,0,0,251.44,251.44,G,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
340-U1398A-30X-CC-PAL-FORAMB,340,U1398,A,30,30-CC,X,CC,PAL,FORAMB,0,0,260.1,260.1,G,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,R,,,,,,,,,,,R,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,
