Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Subbotina crociapertura	Pseudohastigerina wilcoxensis	Pseudohastigerina micra	Turborotalia pseudomayeri	Turborotalia praecentralis	Turborotalia possagnoensis	Turborotalia griffinae	Guembelitria spp.	Globorotaloides suteri	Tenuitella clemenciae	Globigerina venezuelana	Turborotalia boweri	Tenuitella gemma	Subbotina utilisindex	Subbotina eocaenica	Subbotina angiporoides minima	Subbotina eocaena	Subbotina hornibrooki	Globorotaloides permicus	Acarinina rugosoaculeata	Acarinina rotundimarginata	Globorotaloides sp. 1	Acarinina intermedia	Subbotina inaequispira	Pseudohastigerina danvillensis	Morozovella broedermanni	Globigerinatheka micra	Acarinina rohri	Acarinina pseudotopilensis	Acarinina primitiva	Acarinina pentacamerata	Acarinina medizzai	Acarinina lozanoi	Acarinina libyaensis	Acarinina interposita	Acarinina densa	Acarinina cuneicamerata	Acarinina bullbrooki	Tenuitella reissi	Globigerinatheka senni	Chiloguembelina cubensis	Catapsydrax unicavus	Catapsydrax taroubaensis	Catapsydrax sp.	Acarinina matthewsae	Globigerinatheka sp.	Planorotalites pseudoscitulus	Planorotalites planoconicus	Globorotaloides carcoselleensis	Acarinina soldadoensis angulosa	Subbotina praeturritilina	Acarinina acceleratoria	Dentoglobigerina galavisi	Subbotina angiporoides angiporoides	Paragloborotalia siakensis	Paragloborotalia semivera	Globoquadrina sellii	Globigerinita juvenilis	Globigerina praebulloides	Paragloborotalia opima	Paragloborotalia nana	Tenuitella munda	Globigerina officinalis	Paragloborotalia pseudocontinuosa	Zeaglobigerina woodi	Globorotaloides variabilis	Globoquadrina tripartita	Zeaglobigerina connecta	Tenuitella angustiumbilicata	Paragloborotalia pseudokugleri	Globorotaloides stainforthi	Globorotalia birnageae	Globigerinita glutinata	Globigerina ciperoensis	Dentoglobigerina larmeui	Dentoglobigerina baroemoenensis	Dentoglobigerina altispira globosa	Tenuitellinata prestainforthi	Globoquadrina rohri	Globoquadrina praedehiscens	Globigerinella obesa	Globigerina anguliofficinalis	Tenuitellinata sp.	Tenuitella neoclemenciae	Paragloborotalia continuosa	Globoquadrina dehiscens	Globigerinoides immaturus	Turborotalita quinqueloba	Globigerinoides trilobus	Globigerinita uvula	Globigerina prasaepis	Dentoglobigerina langhiana	Catapsydrax dissimilis	Globigerinoides subsacculifer	Sphaeroidinellopsis disjuncta	Paragloborotalia kugleri	Globigerinoides parawoodi	Zeaglobigerina labiacrassata	Zeaglobigerina brazieri	Globigerinoides subquadratus	Tenuitella minutissima	Globorotalia incognita	Globigerina falconensis	Cassigerinella chipolensis	Paragloborotalia acrostoma	Globorotalia zealandica	Globorotalia praescitula	Globorotalia peripheroronda	Paragloborotalia mayeri	Globigerinoides quadrilobatus	Praeorbulina transitoria	Globorotalia miozea	Globigerinoides bisphericus	Globorotalia peripheroronda/peripheroacuta	Globigerina pseudociperoensis	Globorotalia cf. Gr. suterae	Guembelitria sp.	Globigerinella siphonifera	Zeaglobigerina decoraperta	Praeorbulina sicana	Zeaglobigerina druryi	Globigerina bulbosa	Neogloboquadrina pachyderma (sinistral)	Globigerinoides diminutus	Praeorbulina glomerosa	Globorotalia scitula	Globigerina sp. A	Globigerinoides ruber	Orbulina universa	Neogloboquadrina acostaensis	Neogloboquadrina praehumerosa	Neogloboquadrina atlantica (dextral)	Sphaeroidinellopsis seminulina	Globorotalia menardii	Globigerina bulloides	Neogloboquadrina humerosa	Globorotalia lenguaensis	Neogloboquadrina sp.	Neogloboquadrina atlantica (sinistral)	Neogloboquadrina dutertrei	Comment

  SR	Early Miocene    	                 	N8                	              	152	 918	D	 52	R	 1	 106.00	    773.9600	Spezzaferri	Planktonic Foraminifers                      	               	                  	                       	                             	                       	                         	                          	                          	                      	                 	-                     	                     	T                      	                   	                	                     	                   	                             	                 	                     	                        	                        	                          	                     	                    	                      	                              	                        	                      	               	                          	                   	                       	                  	                 	                    	                     	               	                       	                    	                 	                      	                        	-                   	                        	               	                    	                    	                             	                           	                               	                               	                         	                       	                         	                                   	-                         	-                        	                    	T                      	T                        	                      	T                    	                	                       	                                 	T                   	-                         	-                       	T                      	                            	-                             	-                          	-                     	-                      	-                      	-                       	                               	T                                 	-                            	-                  	-                          	T                   	                             	-                 	T                       	-                          	-                      	T                        	T                        	T                       	-                  	-                    	-                         	-                     	-                            	-                            	-                       	-                        	-                           	-                      	-                           	-                     	-                     	T                      	-                         	T                         	T                      	T                       	-                          	-                      	-                            	-                       	cf                 	T                          	-                                         	T                            	T                           	-               	-                         	-                         	T                  	                     	                   	                                       	                         	                      	                    	                 	                     	                 	                            	                             	                                    	                              	                     	                     	                         	                        	                    	                                      	                          	From Leg 152SR; Ch 12; Table 7; p. 171

  SR	Early Miocene    	                 	N8                	              	152	 918	D	 52	R	 2	  34.00	    774.7400	Spezzaferri	Planktonic Foraminifers                      	               	                  	                       	                             	                       	                         	                          	                          	                      	                 	-                     	                     	-                      	                   	                	                     	                   	                             	                 	                     	                        	                        	                          	                     	                    	                      	                              	                        	                      	               	                          	                   	                       	                  	                 	                    	                     	               	                       	                    	                 	                      	                        	-                   	                        	               	                    	                    	                             	                           	                               	                               	                         	                       	                         	                                   	-                         	T                        	                    	T                      	T                        	                      	-                    	                	                       	                                 	T                   	-                         	-                       	T                      	                            	-                             	-                          	-                     	-                      	-                      	-                       	                               	-                                 	T                            	-                  	-                          	-                   	                             	-                 	T                       	-                          	-                      	T                        	-                        	-                       	-                  	-                    	-                         	-                     	-                            	-                            	-                       	-                        	-                           	-                      	-                           	-                     	-                     	T                      	-                         	-                         	T                      	T                       	-                          	-                      	-                            	-                       	-                  	-                          	-                                         	T                            	-                           	-               	-                         	-                         	-                  	                     	                   	                                       	                         	                      	                    	                 	                     	                 	                            	                             	                                    	                              	                     	                     	                         	                        	                    	                                      	                          	From Leg 152SR; Ch 12; Table 7; p. 171

  SR	Early Miocene    	                 	N8                	              	152	 918	D	 52	R	 2	  92.00	    775.3200	Spezzaferri	Planktonic Foraminifers                      	               	                  	                       	                             	                       	                         	                          	                          	                      	                 	-                     	                     	-                      	                   	                	                     	                   	                             	                 	                     	                        	                        	                          	                     	                    	                      	                              	                        	                      	               	                          	                   	                       	                  	                 	                    	                     	               	                       	                    	                 	                      	                        	-                   	                        	               	                    	                    	                             	                           	                               	                               	                         	                       	                         	                                   	-                         	-                        	                    	-                      	T                        	                      	-                    	                	                       	                                 	-                   	-                         	-                       	-                      	                            	-                             	-                          	-                     	T                      	-                      	-                       	                               	-                                 	T                            	-                  	-                          	-                   	                             	T                 	T                       	-                          	-                      	T                        	T                        	-                       	-                  	-                    	-                         	-                     	-                            	-                            	-                       	-                        	-                           	-                      	-                           	-                     	-                     	-                      	-                         	-                         	T                      	T                       	-                          	-                      	-                            	-                       	cf                 	-                          	-                                         	T                            	T                           	-               	-                         	-                         	cf                 	                     	                   	                                       	                         	                      	                    	                 	                     	                 	                            	                             	                                    	                              	                     	                     	                         	                        	                    	                                      	                          	From Leg 152SR; Ch 12; Table 7; p. 171

  SR	Early Miocene    	                 	N8                	              	152	 918	D	 52	R	 3	  15.00	    776.0500	Spezzaferri	Planktonic Foraminifers                      	               	                  	                       	                             	                       	                         	                          	                          	                      	                 	-                     	                     	T                      	                   	                	                     	                   	                             	                 	                     	                        	                        	                          	                     	                    	                      	                              	                        	                      	               	                          	                   	                       	                  	                 	                    	                     	               	                       	                    	                 	                      	                        	-                   	                        	               	                    	                    	                             	                           	                               	                               	                         	                       	                         	                                   	-                         	-                        	                    	T                      	T                        	                      	-                    	                	                       	                                 	-                   	-                         	-                       	-                      	                            	-                             	-                          	-                     	-                      	-                      	-                       	                               	-                                 	T                            	-                  	-                          	T                   	                             	T                 	T                       	-                          	-                      	T                        	T                        	T                       	-                  	-                    	-                         	-                     	-                            	-                            	-                       	-                        	-                           	-                      	-                           	-                     	-                     	-                      	-                         	T                         	T                      	T                       	-                          	-                      	-                            	-                       	-                  	-                          	-                                         	-                            	-                           	-               	-                         	-                         	                   	                     	                   	                                       	                         	                      	                    	                 	                     	                 	                            	                             	                                    	                              	                     	                     	                         	                        	                    	                                      	                          	From Leg 152SR; Ch 12; Table 7; p. 171

  SR	Early Miocene    	                 	N8                	              	152	 918	D	 52	R	 3	 121.00	    777.1100	Spezzaferri	Planktonic Foraminifers                      	               	                  	                       	                             	                       	                         	                          	                          	                      	                 	-                     	                     	T                      	                   	                	                     	                   	                             	                 	                     	                        	                        	                          	                     	                    	                      	                              	                        	                      	               	                          	                   	                       	                  	                 	                    	                     	               	                       	                    	                 	                      	                        	-                   	                        	               	                    	                    	                             	                           	                               	                               	                         	                       	                         	                                   	-                         	-                        	                    	T                      	T                        	                      	-                    	                	                       	                                 	-                   	-                         	-                       	-                      	                            	-                             	-                          	-                     	T                      	-                      	T                       	                               	-                                 	T                            	-                  	-                          	-                   	                             	-                 	T                       	-                          	-                      	-                        	-                        	T                       	-                  	-                    	-                         	-                     	-                            	-                            	-                       	-                        	T                           	-                      	-                           	-                     	-                     	-                      	-                         	-                         	T                      	T                       	-                          	-                      	-                            	-                       	-                  	-                          	-                                         	-                            	-                           	-               	-                         	-                         	                   	                     	                   	                                       	                         	                      	                    	                 	                     	                 	                            	                             	                                    	                              	                     	                     	                         	                        	                    	                                      	                          	From Leg 152SR; Ch 12; Table 7; p. 171

  SR	Early Miocene    	                 	N8                	              	152	 918	D	 52	R	 4	  37.00	    777.7700	Spezzaferri	Planktonic Foraminifers                      	               	                  	                       	                             	                       	                         	                          	                          	                      	                 	-                     	                     	T                      	                   	                	                     	                   	                             	                 	                     	                        	                        	                          	                     	                    	                      	                              	                        	                      	               	                          	                   	                       	                  	                 	                    	                     	               	                       	                    	                 	                      	                        	-                   	                        	               	                    	                    	                             	                           	                               	                               	                         	                       	                         	                                   	-                         	-                        	                    	T                      	T                        	                      	T                    	                	                       	                                 	T                   	-                         	-                       	T                      	                            	-                             	-                          	-                     	T                      	-                      	-                       	                               	-                                 	-                            	-                  	-                          	T                   	                             	T                 	T                       	-                          	-                      	-                        	T                        	-                       	-                  	-                    	-                         	-                     	-                            	-                            	-                       	-                        	-                           	-                      	-                           	-                     	-                     	-                      	-                         	-                         	T                      	T                       	-                          	-                      	-                            	-                       	-                  	-                          	-                                         	-                            	-                           	-               	-                         	-                         	                   	                     	                   	                                       	                         	                      	                    	                 	                     	                 	                            	                             	                                    	                              	                     	                     	                         	                        	                    	                                      	                          	From Leg 152SR; Ch 12; Table 7; p. 171

  SR	Early Miocene    	                 	N8                	              	152	 918	D	 52	R	 4	 124.00	    778.6400	Spezzaferri	Planktonic Foraminifers                      	               	                  	                       	                             	                       	                         	                          	                          	                      	                 	-                     	                     	T                      	                   	                	                     	                   	                             	                 	                     	                        	                        	                          	                     	                    	                      	                              	                        	                      	               	                          	                   	                       	                  	                 	                    	                     	               	                       	                    	                 	                      	                        	-                   	                        	               	                    	                    	                             	                           	                               	                               	                         	                       	                         	                                   	-                         	T                        	                    	T                      	T                        	                      	-                    	                	                       	                                 	T                   	-                         	-                       	-                      	                            	-                             	-                          	cf                    	T                      	-                      	T                       	                               	-                                 	T                            	-                  	-                          	T                   	                             	T                 	T                       	-                          	T                      	T                        	T                        	T                       	-                  	-                    	-                         	-                     	-                            	-                            	-                       	-                        	-                           	-                      	-                           	-                     	-                     	T                      	-                         	T                         	C                      	T                       	-                          	-                      	-                            	T                       	T                  	T                          	-                                         	T                            	T                           	-               	-                         	-                         	                   	                     	                   	                                       	                         	                      	                    	                 	                     	                 	                            	                             	                                    	                              	                     	                     	                         	                        	                    	                                      	                          	From Leg 152SR; Ch 12; Table 7; p. 171

  SR	Early Miocene    	                 	N8                	              	152	 918	D	 52	R	 5	  52.00	    779.4200	Spezzaferri	Planktonic Foraminifers                      	               	                  	                       	                             	                       	                         	                          	                          	                      	                 	-                     	                     	T                      	                   	                	                     	                   	                             	                 	                     	                        	                        	                          	                     	                    	                      	                              	                        	                      	               	                          	                   	                       	                  	                 	                    	                     	               	                       	                    	                 	                      	                        	-                   	                        	               	                    	                    	                             	                           	                               	                               	                         	                       	                         	                                   	T                         	-                        	                    	T                      	T                        	                      	T                    	                	                       	                                 	T                   	-                         	-                       	T                      	                            	-                             	-                          	-                     	T                      	-                      	T                       	                               	-                                 	T                            	-                  	-                          	-                   	                             	-                 	T                       	-                          	-                      	T                        	T                        	T                       	-                  	-                    	-                         	-                     	-                            	T                            	-                       	-                        	-                           	-                      	-                           	-                     	-                     	T                      	-                         	-                         	T                      	T                       	-                          	-                      	-                            	-                       	-                  	T                          	-                                         	-                            	-                           	-               	-                         	-                         	                   	                     	                   	                                       	                         	                      	                    	                 	                     	                 	                            	                             	                                    	                              	                     	                     	                         	                        	                    	                                      	                          	From Leg 152SR; Ch 12; Table 7; p. 171

  SR	Early Miocene    	                 	N8                	              	152	 918	D	 52	R	 5	  83.00	    779.7300	Spezzaferri	Planktonic Foraminifers                      	               	                  	                       	                             	                       	                         	                          	                          	                      	                 	-                     	                     	T                      	                   	                	                     	                   	                             	                 	                     	                        	                        	                          	                     	                    	                      	                              	                        	                      	               	                          	                   	                       	                  	                 	                    	                     	               	                       	                    	                 	                      	                        	-                   	                        	               	                    	                    	                             	                           	                               	                               	                         	                       	                         	                                   	-                         	-                        	                    	T                      	T                        	                      	T                    	                	                       	                                 	-                   	-                         	-                       	-                      	                            	-                             	-                          	-                     	T                      	-                      	T                       	                               	-                                 	T                            	-                  	-                          	-                   	                             	-                 	T                       	-                          	T                      	T                        	T                        	T                       	-                  	-                    	-                         	-                     	-                            	-                            	-                       	-                        	-                           	-                      	-                           	-                     	-                     	T                      	-                         	T                         	T                      	-                       	-                          	-                      	-                            	T                       	-                  	T                          	-                                         	-                            	-                           	-               	-                         	-                         	                   	                     	                   	                                       	                         	                      	                    	                 	                     	                 	                            	                             	                                    	                              	                     	                     	                         	                        	                    	                                      	                          	From Leg 152SR; Ch 12; Table 7; p. 171

  SR	Early Miocene    	                 	N8                	              	152	 918	D	 53	R	 1	  30.00	    782.8000	Spezzaferri	Planktonic Foraminifers                      	               	                  	                       	                             	                       	                         	                          	                          	                      	                 	-                     	                     	-                      	                   	                	                     	                   	                             	                 	                     	                        	                        	                          	                     	                    	                      	                              	                        	                      	               	                          	                   	                       	                  	                 	                    	                     	               	                       	                    	                 	                      	                        	-                   	                        	               	                    	                    	                             	                           	                               	                               	                         	                       	                         	                                   	-                         	T                        	                    	T                      	T                        	                      	-                    	                	                       	                                 	-                   	-                         	-                       	-                      	                            	-                             	-                          	-                     	-                      	-                      	-                       	                               	-                                 	T                            	-                  	-                          	T                   	                             	T                 	T                       	-                          	-                      	-                        	T                        	-                       	-                  	-                    	-                         	-                     	-                            	-                            	-                       	-                        	-                           	-                      	-                           	-                     	-                     	-                      	-                         	-                         	T                      	T                       	-                          	-                      	-                            	-                       	-                  	-                          	-                                         	T                            	T                           	-               	-                         	-                         	                   	                     	                   	                                       	                         	                      	                    	                 	                     	                 	                            	                             	                                    	                              	                     	                     	                         	                        	                    	                                      	                          	From Leg 152SR; Ch 12; Table 7; p. 171

  SR	Early Miocene    	                 	N8                	              	152	 918	D	 53	R	 1	 121.00	    783.7100	Spezzaferri	Planktonic Foraminifers                      	               	                  	                       	                             	                       	                         	                          	                          	                      	                 	-                     	                     	-                      	                   	                	                     	                   	                             	                 	                     	                        	                        	                          	                     	                    	                      	                              	                        	                      	               	                          	                   	                       	                  	                 	                    	                     	               	                       	                    	                 	                      	                        	-                   	                        	               	                    	                    	                             	                           	                               	                               	                         	                       	                         	                                   	T                         	T                        	                    	T                      	T                        	                      	-                    	                	                       	                                 	-                   	-                         	-                       	-                      	                            	-                             	-                          	T                     	T                      	-                      	-                       	                               	T                                 	T                            	-                  	-                          	T                   	                             	-                 	T                       	-                          	-                      	-                        	T                        	T                       	-                  	-                    	-                         	-                     	-                            	-                            	-                       	-                        	-                           	-                      	-                           	-                     	-                     	-                      	-                         	T                         	T                      	T                       	T                          	-                      	-                            	-                       	-                  	-                          	-                                         	-                            	-                           	-               	-                         	-                         	                   	                     	                   	                                       	                         	                      	                    	                 	                     	                 	                            	                             	                                    	                              	                     	                     	                         	                        	                    	                                      	                          	From Leg 152SR; Ch 12; Table 7; p. 171

  SR	Early Miocene    	                 	N8                	              	152	 918	D	 53	R	 2	  10.00	    784.1000	Spezzaferri	Planktonic Foraminifers                      	               	                  	                       	                             	                       	                         	                          	                          	                      	                 	-                     	                     	T                      	                   	                	                     	                   	                             	                 	                     	                        	                        	                          	                     	                    	                      	                              	                        	                      	               	                          	                   	                       	                  	                 	                    	                     	               	                       	                    	                 	                      	                        	-                   	                        	               	                    	                    	                             	                           	                               	                               	                         	                       	                         	                                   	-                         	-                        	                    	T                      	T                        	                      	-                    	                	                       	                                 	T                   	-                         	-                       	-                      	                            	-                             	-                          	-                     	-                      	-                      	-                       	                               	-                                 	-                            	-                  	-                          	-                   	                             	-                 	T                       	-                          	T                      	-                        	-                        	T                       	-                  	-                    	T                         	-                     	T                            	-                            	-                       	-                        	-                           	-                      	-                           	-                     	-                     	-                      	-                         	-                         	T                      	T                       	-                          	-                      	-                            	-                       	-                  	-                          	-                                         	-                            	-                           	-               	-                         	cf                        	                   	                     	                   	                                       	                         	                      	                    	                 	                     	                 	                            	                             	                                    	                              	                     	                     	                         	                        	                    	                                      	                          	From Leg 152SR; Ch 12; Table 7; p. 171

  SR	Early Miocene    	                 	N8                	              	152	 918	D	 53	R	 2	  93.00	    784.9300	Spezzaferri	Planktonic Foraminifers                      	               	                  	                       	                             	                       	                         	                          	                          	                      	                 	-                     	                     	-                      	                   	                	                     	                   	                             	                 	                     	                        	                        	                          	                     	                    	                      	                              	                        	                      	               	                          	                   	                       	                  	                 	                    	                     	               	                       	                    	                 	                      	                        	-                   	                        	               	                    	                    	                             	                           	                               	                               	                         	                       	                         	                                   	-                         	-                        	                    	T                      	-                        	                      	-                    	                	                       	                                 	-                   	-                         	-                       	-                      	                            	-                             	-                          	-                     	-                      	-                      	-                       	                               	-                                 	-                            	-                  	-                          	-                   	                             	-                 	-                       	-                          	T                      	-                        	-                        	-                       	-                  	-                    	-                         	-                     	-                            	-                            	-                       	-                        	-                           	-                      	-                           	-                     	-                     	-                      	-                         	T                         	T                      	T                       	-                          	-                      	-                            	-                       	-                  	-                          	-                                         	T                            	-                           	-               	-                         	                          	                   	                     	                   	                                       	                         	                      	                    	                 	                     	                 	                            	                             	                                    	                              	                     	                     	                         	                        	                    	                                      	                          	From Leg 152SR; Ch 12; Table 7; p. 171
