Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Comment,Preservation,Nannofossil abundance,Fasciculithus involutus,Discoaster diastypus,Tribrachiatus orthostylus,Sphenolithus radians,Tribrachiatus contortus,Discoaster lodoensis,Discoaster sublodoensis,Girgisia gammation,Nannotetrina cristata,Nannotetrina  fulgens,Chiasmolithus gigas,Sphenolithus furcatolithoides,Reticulofenestra umbilicus (> 14 μm),Reticulofenestra reticulata,Chiasmolithus solitus,Dictyococcites bisectus (> 10 μm),Isthmolithus recurvus,Chiasmolithus grandis,Chiasmolithus oamaruensis,Discoaster barbadiensis,Discoaster saipanensis,Coccolithus formosus,Sphenolithus distentus,Sphenolithus ciperoensis,Sphenolithus predistentus,Triquetrorhabdulus sp. (long),Sphenolithus delphix,Biantholithus sparsus,Biantholithus? flosculus,Blackites amplus bases,Blackites creber,Blackites gladius,Blackites herculesii,Blackites inflatus,Blackites perlongus,Blackites spinosus,Blackites tenuis,Braarudosphaera bigelowii,Bramletteius serraculoides,Calcidiscus pacificanus,Calcidiscus protoannulus,Calciosolenia aperta,Calciosolenia fossilis,calcispheres,Campylosphaera dela,Chiasmolithus altus,Chiasmolithus bidens,Chiasmolithus californicus (> 13 μm),Chiasmolithus consuetus,Chiasmolithus expansus,Chiasmolithus nitidus,Chiasmolithus titus,Chiphragmolithus acanothodes,Chiphragmolithus armatus,Chiphragmolithus barbatus,Chiphragmolithus calathus,Clausicoccus fenestratus,Clausicoccus subdistichus,Clausicoccus vanheckiae,Coccolithus cachaoi,Coccolithus eopelagicus (> 14 μm),Coccolithus pelagicus,Coronocyclus nitescens,Cruciplacolithus cruciformis,Cruciplacolithus edwardsii,Cruciplacolithus latipons,Cyclicargolithus abisectus (11 μm),Cyclicargolithus floridanus (5-11 μm),Cyclicargolithus floridanus small (< 5 μm),Cyclicargolithus? luminis,Daktylethra punctulata,Dictyococcites scrippsae (< 10 μm),Discoaster araneus,Discoaster backmanii,Discoaster bifax,Discoaster binodosus,Discoaster deflandrei,Discoaster delicatus,Discoaster distinctus,Discoaster falcatus,Discoaster kuepperi,Discoaster lenticularis,Discoaster mahmoudii,Discoaster mediosus,Discoaster nodifer,Discoaster ornatus,Discoaster pacificus,Discoaster paelikei,Discoaster salisburgensis,Discoaster tanii,Discoaster wemmelensis,Ellipsolithus anadoluensis,Ellipsolithus distichus,Ellipsolithus macellus,Ericsonia robusta (small),Hayella situliformis,Helicosphaera bramlettei,Helicosphaera clarissima,Helicosphaera compacta,Helicosphaera ethologa,Helicosphaera euphratis,Helicosphaera gartneri,Helicosphaera heezenii,Helicosphaera lophota,Helicosphaera obliqua,Helicosphaera perch-nielseniae,Helicosphaera recta,Helicosphaera reticulata,Helicosphaera seminulum,Helicosphaera wilcoxonii,Ilselithina fusa,Jakubowskia leoniae,Lanternithus minutus,Lophodolithus acutus,Lophodolithus mochlophorus,Lophodolithus nascens,Lophodolithus reniformis,Lophodolithus rotundus,Markalius inversus,Micrantholithus attenuatus,Micrantholithus flos,Neochiastozygus junctus,Neochiastozygus rosenkrantzii,Neococcolithes dubius,Neococcolithes protenus,Neocrepidolithus grandiculus,Pedinocyclus larvalis,Pemma basquense,Pemma papillatum,Pontosphaera exilis,Pontosphaera multipora,Pontosphaera plana,Pontosphaera versa,Pseudotriquetrorhabdulus inversus,Reticulofenestra daviesii,Reticulofenestra dictyoda  (10-14 μm),Reticulofenestra dictyoda  (3-10 μm),Reticulofenestra lockeri,Reticulofenestra minuta (< 3 μm),Rhomboaster calcitrapa,Rhomboaster cuspis,Scyphosphaera apsteinii,Sphenolithus akropodus,Sphenolithus arthurii,Sphenolithus conicus,Sphenolithus conspicuus,Sphenolithus editus,Sphenolithus moriformis,Sphenolithus obtusus,Sphenolithus orphanknollensis,Sphenolithus pseudoradians,Sphenolithus runus,Sphenolithus spiniger,Sphenolithus strigosus,Sphenolithus tribulosus,Sphenolithus villae,Toweius callosus,Toweius crassus,Toweius eminens,Toweius magnicrassus,Toweius occultatus,Toweius pertusus,Toweius serontinus,Tribrachiatus digitalis,Umbilicosphaera bramlettei,Umbilicosphaera jordanii,Zeugrhabdotus sigmoides,Zygodiscus plectopons,Zygrhablithus bijugatus,eodp_id
320-U1332B-4H-CC-PAL-NANNO,320,U1332,B,4,4-CC,H,CC,PAL,NANNO,0,0,29.61,29.61,"PB/TDJ - NN1 abisectus, carinatus (longus) (frequent)",P [320_N],A [320_Ng],,,,,,,,,,,,,,,,,,,,,,,,R,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,C,,,,,,,,,,,,,,,,,,,,,,823cbe7dc238ccb2d5351b4f729fd05f
320-U1332B-5H-CC-PAL-NANNO,320,U1332,B,5,5-CC,H,CC,PAL,NANNO,0,0,37.63,37.63,"PB - cipero, predistentus, carinatus",M [320_N],A [320_Ng],,,,,,,,,,,,,,,,,,,,,,,F,R,C,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,A,R,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,362b1a86a3d038d927b9e35a79069881
320-U1332B-6H-CC-PAL-NANNO,320,U1332,B,6,6-CC,H,CC,PAL,NANNO,0,0,48.5,48.5,"PB - distentus, predistentus",M [320_N],A [320_Ng],,,,R,,,,,,,,,,,,,,,,,,,R,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,C,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,A,,,F,,,,,,,,,,,,,,,,,,,6e7541d32db0332c4a7e4317cd0630dd
320-U1332B-7H-CC-PAL-NANNO,320,U1332,B,7,7-CC,H,CC,PAL,NANNO,0,0,58.07,58.07,"TDJ - predistentus, no distentus, no umbilicus",M [320_N],A [320_Ng],,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,C,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,A,,,,,,,,,,,,,,,,,,,,,,d99720a96f6e2ec3179e4bc7167f8c22
320-U1332B-8H-2-W 70/70,320,U1332,B,8,8-2,H,2,W,70/70,0,0,59.8,59.8,"TDJ - no umbilicus, no formosus",M [320_N],A [320_Ng],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e0d980466c5c0b94f0552bd437c892d0
320-U1332B-8H-3-W 70/70,320,U1332,B,8,8-3,H,3,W,70/70,0,0,61.3,61.3,"TDJ - umbilicus, no formosus",M [320_N],A [320_Ng],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07b5621d79156c478d8e10ed9f91365e
320-U1332B-8H-4-W 70/70,320,U1332,B,8,8-4,H,4,W,70/70,0,0,62.8,62.8,"TDJ - umbilicus, no formosus",M [320_N],A [320_Ng],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3072bccb6fe514ea1d51a01c05ce2363
320-U1332B-8H-5-W 70/70,320,U1332,B,8,8-5,H,5,W,70/70,0,0,64.3,64.3,TDJ - formosus present,M [320_N],A [320_Ng],,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9c1ffeef4869d16d2978a2d080533e68
320-U1332B-8H-6-W 70/70,320,U1332,B,8,8-6,H,6,W,70/70,0,0,65.8,65.8,TDJ - formosus present,M [320_N],A [320_Ng],,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d58947fd864becbe7951fbeef4beeeee
320-U1332B-8H-7-W 30/30,320,U1332,B,8,8-7,H,7,W,30/30,0,0,66.9,66.9,TDJ - formosus present,M [320_N],A [320_Ng],,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b0f98fd9a22b12b6d4dcd114d8d391b9
320-U1332B-8H-CC-PAL-NANNO,320,U1332,B,8,8-CC,H,CC,PAL,NANNO,0,0,67.27,67.27,TDJ - R.umbilicus present,M [320_N],A [320_Ng],,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,C,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,A,,,,,,,,,,,,,,,,,,,,,,45deb3474ba443a124aa94301d745c81
320-U1332B-9H-1-W 100/100-NANNO,320,U1332,B,9,9-1,H,1,W,100/100-NANNO,0,0,68.1,68.1,TDJ - no formosus,M [320_N],A [320_Ng],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9b162d1b709518a3254cd01b464bd136
320-U1332B-9H-2-W 100/100-NANNO,320,U1332,B,9,9-2,H,2,W,100/100-NANNO,0,0,69.6,69.6,TDJ - no formosus,M [320_N],A [320_Ng],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66ff229868fc53e354dc1460e64e1dea
320-U1332B-9H-3-W 100/100-NANNO,320,U1332,B,9,9-3,H,3,W,100/100-NANNO,0,0,71.1,71.1,TDJ - formosus present,M [320_N],A [320_Ng],,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ec61b236e60fceb7f50a38ff912459ca
320-U1332B-9H-5-W 80/80-NANNO,320,U1332,B,9,9-5,H,5,W,80/80-NANNO,0,0,73.9,73.9,TDJ -,M [320_N],D [320_Ng],,,,,,,,,,,,,,,,,,,,,,C,,,C,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,C,,,,A,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,1a601ffdebf63749845d33d8205676a9
320-U1332B-9H-CC-PAL-NANNO,320,U1332,B,9,9-CC,H,CC,PAL,NANNO,0,0,77.09,77.09,TDJ - only occassional D. bisectus; no multirayed discoasters - ???basal NP21,P [320_N],R [320_Ng],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0e79201bc1439a0892e09ee885c5f4df
320-U1332B-10H-CC-PAL-NANNO,320,U1332,B,10,10-CC,H,CC,PAL,NANNO,0,0,86.66,86.66,TDJ - saipanensis present,P [320_N],R [320_Ng],,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,1f9ac6dd0cb987d593a47181b8bafa92
320-U1332B-11H-CC-PAL-NANNO,320,U1332,B,11,11-CC,H,CC,PAL,NANNO,0,0,93.84,93.84,"TDJ - saipanensis, D. bisectus present; no grandis",P [320_N],F [320_Ng],,,,,,,,,,,,,,,,,,,,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,9410ea95c437fdbcfc11228e42109fec
320-U1332B-12H-CC-PAL-NANNO,320,U1332,B,12,12-CC,H,CC,PAL,NANNO,0,0,101.03,101.03,TDJ - barren,,B [320_Ng],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e2676a4ecc3ebbc4efb88f65ac588b08
320-U1332B-13H-CC-PAL-NANNO,320,U1332,B,13,13-CC,H,CC,PAL,NANNO,0,0,110.76,110.76,"PB - solitus, umbilicus",M [320_N],A [320_Ng],,,,R,,,,,,,,R,,,F,,,R,,C,F,C,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,R,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,R,R,,,,,,,,,,,,,,,,38b8d36e508d73fe94c83330b54035d2
320-U1332B-14X-CC-PAL-NANNO,320,U1332,B,14,14-CC,X,CC,PAL,NANNO,0,0,119.78,119.78,"PB - no umbilicus, no Nannotetrina",P [320_N],C [320_Ng],,,,,,,,,,,,,,,,,,,,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,78555096059ca6382f4f6d77a3960778
320-U1332B-15X-CC-PAL-NANNO,320,U1332,B,15,15-CC,X,CC,PAL,NANNO,0,0,125.77,125.77,PB - undiagnostic,P [320_N],R [320_Ng],,,,,,,,,,,,,,,,,,,,F,F,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,31b88d510086228749fc4a13fa4fe8e0
320-U1332B-16X-CC-PAL-NANNO,320,U1332,B,16,16-CC,X,CC,PAL,NANNO,0,0,125.34,125.34,PB - fulgens,P [320_N],C [320_Ng],,,,,,,,,,R,,,,,F,,,R,,C,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,037ebfb7ccc2bd8ac729f80a956fd508
320-U1332B-17X-CC-PAL-NANNO,320,U1332,B,17,17-CC,X,CC,PAL,NANNO,0,0,135.06,135.06,PB - ?fulgens,P [320_N],F [320_Ng],,,,R,,,,,,R,,R,,,R,,,,,C,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,de476c85e2e206405427a6269d8fb5ea
