Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Cyclicargolithus floridanus floridanus	Coccolithus formosus	Sphenolithus pseudoradians	Sphenolithus moriformis	Sphenolithus intercalaris	Discoaster barbadiensis	Coccolithus pelagicus	Chiasmolithus californicus	Zygrhablithus bijugatus	Sphenolithus furcatolithoides	Reticulofenestra samodurovii	Markalius inversus	Helicosphaera dinesenii	Discoaster saipanensis	Discoaster bifax	Chiasmolithus solitus	Chiasmolithus grandis	Reticulofenestra umbilica	Reticulofenestra ornata	Helicosphaera heezenii	Coccolithus staurion	Chiasmolithus expansus	Campylosphaera dela	Blackites spinosus	Reticulofenestra hillae	Discoaster binodosus	Thoracosphaera spp.	Reticulofenestra bisecta	Discoaster delicatus	Coronocyclus nitescens	Coccolithus miopelagicus	Reticulofenestra reticulata	Discoaster tanii nodifer	Sphenolithus predistentus	Lanternithus minutus	Helicosphaera euphratis	Neococcolithes spp.	Helicosphaera compacta	Discoaster tanii	Dictyococcites daviesii	Chiasmolithus oamaruensis	Isthmolithus recurvus	Cyclicargolithus floridanus abisectus	Helicosphaera carteri	Discoaster deflandrei	Clausicoccus fenestratus	Sphenolithus primus	Sphenolithus celsus	Sphenolithus distentus	Triquetrorhabdulus carinatus	Chiasmolithus altus	Sphenolithus ciperoensis	Triquetrorhabdulus milowii	Dictyococcites scrippsae	Helicosphaera kamptneri	Sphenolithus obtusus	Sphenolithus conicus	Discoaster subdeflandrei	Sphenolithus heteromorphus	Reticulofenestra pseudoumbilica	Discoaster druggii	Discoaster variabilis	Discoaster aulakos	Calcidiscus macintyrei	Discoaster exilis	Discoaster divaricatus	Reticulofenestra minutula	Calcidiscus leptoporus	Scyphosphaera aranta	Umbilicosphaera sibogae	Pontosphaera multipora	Helicosphaera scissura	Triquetrorhabdulus rugosus	Helicosphaera burkei	Discoaster brouweri	Discoaster calcaris	Helicosphaera granulata	Discoaster triradiatus	Discoaster kugleri	Discoaster challengeri	Discoaster sanmiguelensis	Discoaster pentaradiatus	Helicosphaera sellii	Sphenolithus abies	Catinaster coalitus	Catinaster calyculus	Discoaster hamatus	Catinaster mexicanus	Discoaster intercalaris	Discoaster quinqueramus	Discoaster neorectus	Discoaster archipelagoensis	Discoaster berggrenii	Discoaster pansus	Scyphosphaera procera	Helicosphaera wallichii	Rhabdosphaera clavigera	Discoaster blackstockae	Discoaster surculus	Reticulofenestra minuta	Sphenolithus abies/neoabies	Geminilithella rotula	Dictyococcites aff. D. antarcticus	Amaurolithus primus	Amaurolithus delicatus	Discoaster stellulus	Pontosphaera japonica	Amaurolithus tricorniculatus	Scyphosphaera pulcherrima	Rhabdosphaera procera	Helicosphaera sp. 1	Amaurolithus amplificus	Discoaster icarus	Ceratolithus acutus	Ceratolithus armatus	Ceratolithus rugosus	Scyphosphaera globulata	Discoaster asymmetricus	Ceratolithus cristatus	Amaurolithus bizarrus	Discoaster quadramus	Pseudoemiliania lacunosa	Discoaster tamalis	Syracosphaera pulchra	Cricolithus jonesi	Gephyrocapsa oceanica	Gephyrocapsa caribbeanica	Emiliania huxleyi	Umbilicosphaera mirabilis	Helicosphaera inversa	Pontosphaera sp. 1	Helicosphaera hyalina	Ceratolithus separatus	Oolithotus fragilis	Coccolithus pliopelagicus	Rhabdosphaera stylifera	Helicosphaera neogranulata	Syracosphaera histrica	Scapholithus fossilis	Hayaster perplexus	Gephyrocapsa sp. (small)	Ceratolithus simplex	Umbellosphaera irregularis	Comment

  SR	Late Pliocene    	                 	CN12c             	              	125	 782	A	  7	H	 6	  12.00	     64.9200	Ciampo   	Nannofossils                                 	               	G                 	                                      	                    	                          	                       	                         	                       	F                    	                          	                       	                             	                            	                  	                       	                      	                	                     	                     	                         	                       	                      	                    	                      	                   	                  	                       	                    	                   	                        	                    	                      	                        	                           	                        	                         	                    	                       	                   	                      	                	                       	                         	                     	                                     	                     	                     	                        	                   	                   	                      	                            	                   	                        	                          	                        	                       	                    	                    	                        	                          	                               	                  	R                    	                  	F                     	                 	                      	                         	F                     	                    	                       	F                     	                      	                          	                    	R                  	                   	                       	                      	                  	                      	                         	R                       	                    	                  	                   	                    	                  	                    	                       	                       	                    	                           	                     	                 	                     	                       	                       	                       	                   	                       	                           	                     	                                  	                   	                      	                    	                     	                            	                         	                     	                   	                       	                 	                   	                    	                    	                       	                       	R                     	                     	                    	                        	                  	R                    	                  	R                    	R                        	                 	R                        	                     	                  	                     	                      	                   	                         	                       	                          	                      	                     	                  	                        	                    	                          	from 125SR.Chapter 2.Table 3.pages 29 - 30.

  SR	Late Pliocene    	                 	CN12c             	              	125	 782	A	  7	H	CC	  21.00	     67.3100	Ciampo   	Nannofossils                                 	               	M                 	                                      	                    	                          	                       	                         	                       	F                    	                          	                       	                             	                            	                  	                       	                      	                	                     	                     	                         	                       	                      	                    	                      	                   	                  	                       	                    	                   	                        	                    	                      	                        	                           	                        	                         	                    	                       	                   	                      	                	                       	                         	                     	                                     	                     	                     	                        	                   	                   	                      	                            	                   	                        	                          	                        	                       	                    	                    	                        	                          	                               	                  	R                    	                  	F                     	                 	                      	                         	F                     	                    	                       	F                     	                      	                          	                    	R                  	                   	                       	                      	                  	                      	                         	R                       	                    	                  	                   	                    	                  	                    	                       	                       	                    	                           	                     	                 	                     	R                      	                       	                       	                   	                       	                           	                     	                                  	                   	                      	                    	R                    	                            	                         	                     	                   	                       	                 	                   	                    	                    	                       	                       	R                     	                     	                    	                        	                  	R                    	R                 	R                    	R                        	                 	                         	R                    	                  	                     	                      	                   	                         	                       	                          	                      	                     	                  	                        	                    	                          	from 125SR.Chapter 2.Table 3.pages 29 - 30.

  SR	Late Pliocene    	                 	CN12c             	              	125	 782	A	  8	H	 1	  14.00	     66.9400	Ciampo   	Nannofossils                                 	               	P                 	                                      	                    	                          	                       	                         	                       	F                    	                          	                       	                             	                            	                  	                       	                      	                	                     	                     	                         	                       	                      	                    	                      	                   	                  	                       	                    	                   	                        	                    	                      	                        	                           	                        	                         	                    	                       	                   	                      	                	                       	                         	                     	                                     	                     	                     	                        	                   	                   	                      	                            	                   	                        	                          	                        	                       	                    	                    	                        	                          	                               	                  	R                    	                  	F                     	                 	                      	                         	F                     	                    	                       	F                     	                      	                          	                    	R                  	                   	                       	                      	                  	                      	                         	R                       	                    	                  	                   	                    	                  	                    	                       	                       	                    	                           	                     	                 	                     	                       	                       	                       	                   	                       	                           	                     	                                  	                   	                      	                    	                     	                            	                         	                     	                   	                       	                 	                   	                    	                    	                       	                       	R                     	                     	                    	                        	                  	                     	                  	R                    	R                        	                 	                         	                     	                  	                     	                      	                   	                         	                       	                          	                      	                     	                  	                        	                    	                          	from 125SR.Chapter 2.Table 3.pages 29 - 30.

  SR	Late Pliocene    	                 	CN12c             	              	125	 782	A	  8	H	 2	  14.00	     68.4400	Ciampo   	Nannofossils                                 	               	P                 	                                      	                    	                          	                       	                         	                       	F                    	                          	                       	                             	                            	                  	                       	                      	                	                     	                     	                         	                       	                      	                    	                      	                   	                  	                       	                    	                   	                        	                    	                      	                        	                           	                        	                         	                    	                       	                   	                      	                	                       	                         	                     	                                     	                     	                     	                        	                   	                   	                      	                            	                   	                        	                          	                        	                       	                    	                    	                        	                          	                               	                  	                     	                  	R                     	                 	                      	                         	F                     	                    	                       	F                     	                      	                          	                    	R                  	                   	                       	                      	                  	                      	                         	R                       	                    	                  	                   	                    	                  	                    	                       	                       	                    	                           	                     	                 	                     	R                      	                       	                       	                   	                       	                           	                     	                                  	                   	                      	                    	R                    	                            	                         	                     	                   	                       	                 	                   	                    	                    	                       	                       	                      	                     	                    	                        	                  	R                    	                  	R                    	R                        	                 	                         	                     	                  	                     	                      	                   	                         	                       	                          	                      	                     	                  	                        	                    	                          	from 125SR.Chapter 2.Table 3.pages 29 - 30.

  SR	Late Pliocene    	                 	CN12c             	              	125	 782	A	  8	H	 3	  14.00	     69.9400	Ciampo   	Nannofossils                                 	               	G                 	                                      	                    	                          	                       	                         	                       	F                    	                          	                       	                             	                            	                  	                       	                      	                	                     	                     	                         	                       	                      	                    	                      	                   	                  	                       	                    	                   	                        	                    	                      	                        	                           	                        	                         	                    	                       	                   	                      	                	                       	                         	                     	                                     	                     	                     	                        	                   	                   	                      	                            	                   	                        	                          	                        	                       	                    	                    	                        	                          	                               	                  	                     	                  	R                     	                 	                      	                         	F                     	                    	                       	F                     	                      	                          	                    	R                  	                   	                       	                      	                  	                      	                         	R                       	                    	                  	                   	                    	                  	                    	                       	                       	                    	                           	                     	                 	                     	R                      	                       	                       	                   	                       	                           	                     	                                  	                   	                      	                    	                     	                            	                         	                     	                   	                       	                 	                   	                    	                    	                       	                       	R                     	                     	                    	                        	                  	R                    	R                 	F                    	R                        	                 	                         	R                    	                  	                     	                      	R                  	R                        	                       	                          	                      	                     	                  	                        	                    	                          	from 125SR.Chapter 2.Table 3.pages 29 - 30.

  SR	Late Pliocene    	                 	CN12c             	              	125	 782	A	  8	H	 4	  14.00	     71.4400	Ciampo   	Nannofossils                                 	               	M                 	                                      	                    	                          	                       	                         	                       	F                    	                          	                       	                             	                            	                  	                       	                      	                	                     	                     	                         	                       	                      	                    	                      	                   	                  	                       	                    	                   	                        	                    	                      	                        	                           	                        	                         	                    	                       	                   	                      	                	                       	                         	                     	                                     	                     	                     	                        	                   	                   	                      	                            	                   	                        	                          	                        	                       	                    	                    	                        	                          	                               	                  	R                    	                  	F                     	                 	                      	                         	C                     	                    	                       	A                     	                      	                          	                    	R                  	                   	                       	                      	                  	                      	                         	R                       	                    	                  	                   	                    	                  	                    	                       	                       	                    	                           	                     	                 	                     	R                      	                       	                       	                   	                       	                           	                     	                                  	                   	                      	                    	                     	                            	                         	                     	                   	                       	                 	                   	                    	                    	                       	                       	R                     	                     	                    	                        	                  	R                    	R                 	R                    	                         	                 	                         	                     	                  	                     	                      	                   	R                        	                       	                          	                      	                     	                  	                        	                    	                          	from 125SR.Chapter 2.Table 3.pages 29 - 30.

  SR	Late Pliocene    	                 	CN12b             	              	125	 782	A	  8	H	 5	  14.00	     72.9400	Ciampo   	Nannofossils                                 	               	G                 	                                      	                    	                          	                       	                         	                       	F                    	                          	                       	                             	                            	                  	                       	                      	                	                     	                     	                         	                       	                      	                    	                      	                   	                  	                       	                    	                   	                        	                    	                      	                        	                           	                        	                         	                    	                       	                   	                      	                	                       	                         	                     	                                     	                     	                     	                        	                   	                   	                      	                            	                   	                        	                          	                        	                       	                    	                    	                        	                          	                               	                  	                     	                  	F                     	                 	                      	                         	C                     	                    	                       	A                     	                      	                          	                    	R                  	                   	                       	                      	                  	                      	                         	R                       	                    	                  	                   	                    	                  	                    	                       	                       	                    	                           	                     	                 	                     	R                      	                       	                       	R                  	                       	                           	                     	                                  	                   	                      	                    	                     	                            	                         	                     	                   	                       	                 	                   	                    	                    	                       	                       	                      	                     	                    	                        	                  	R                    	R                 	R                    	R                        	                 	                         	R                    	R                 	                     	                      	R                  	                         	                       	                          	                      	                     	                  	                        	                    	                          	from 125SR.Chapter 2.Table 3.pages 29 - 30.

  SR	Late Pliocene    	                 	CN12b             	              	125	 782	A	  8	H	 6	  14.00	     74.4400	Ciampo   	Nannofossils                                 	               	M                 	                                      	                    	                          	                       	                         	                       	C                    	                          	                       	                             	                            	                  	                       	                      	                	                     	                     	                         	                       	                      	                    	                      	                   	                  	                       	                    	                   	                        	                    	                      	                        	                           	                        	                         	                    	                       	                   	                      	                	                       	                         	                     	                                     	                     	                     	                        	                   	                   	                      	                            	                   	                        	                          	                        	                       	                    	                    	                        	                          	                               	                  	R                    	                  	F                     	                 	                      	                         	C                     	                    	                       	F                     	                      	                          	                    	R                  	                   	                       	                      	                  	                      	                         	R                       	                    	                  	                   	                    	                  	                    	                       	                       	                    	                           	                     	                 	                     	R                      	                       	                       	R                  	                       	                           	                     	                                  	                   	                      	                    	                     	                            	                         	                     	                   	                       	                 	                   	                    	                    	                       	                       	R                     	                     	                    	                        	                  	R                    	                  	R                    	R                        	                 	R                        	                     	                  	                     	R                     	                   	                         	                       	                          	                      	                     	                  	                        	                    	                          	from 125SR.Chapter 2.Table 3.pages 29 - 30.

  SR	Late Pliocene    	                 	CN12b             	              	125	 782	A	  8	H	CC	  24.00	     76.8800	Ciampo   	Nannofossils                                 	               	M                 	                                      	                    	                          	                       	                         	                       	C                    	                          	                       	                             	                            	                  	                       	                      	                	                     	                     	                         	                       	                      	                    	                      	                   	                  	                       	                    	                   	                        	                    	                      	                        	                           	                        	                         	                    	                       	                   	                      	                	                       	                         	                     	                                     	                     	                     	                        	                   	                   	                      	                            	                   	                        	                          	                        	                       	                    	                    	                        	                          	                               	                  	R                    	                  	F                     	                 	                      	                         	C                     	                    	                       	C                     	                      	                          	                    	R                  	                   	                       	                      	                  	                      	                         	R                       	                    	                  	                   	                    	                  	                    	                       	                       	                    	                           	                     	                 	                     	                       	                       	                       	R                  	                       	                           	                     	                                  	                   	                      	                    	                     	                            	                         	                     	                   	                       	                 	                   	                    	                    	                       	R                      	R                     	                     	                    	                        	                  	R                    	                  	R                    	R                        	                 	                         	R                    	                  	                     	R                     	                   	                         	                       	                          	                      	                     	                  	                        	                    	                          	from 125SR.Chapter 2.Table 3.pages 29 - 30.

  SR	Late Pliocene    	                 	CN12b             	              	125	 782	A	  9	H	 1	  47.00	     76.7700	Ciampo   	Nannofossils                                 	               	P                 	                                      	                    	                          	                       	                         	                       	F                    	                          	                       	                             	                            	                  	                       	                      	                	                     	                     	                         	                       	                      	                    	                      	                   	                  	                       	                    	                   	                        	                    	                      	                        	                           	                        	                         	                    	                       	                   	                      	                	                       	                         	                     	                                     	                     	                     	                        	                   	                   	                      	                            	                   	                        	                          	                        	                       	                    	                    	                        	                          	                               	                  	R                    	                  	F                     	                 	                      	                         	F                     	                    	                       	F                     	                      	                          	                    	R                  	                   	                       	                      	                  	                      	                         	F                       	                    	                  	                   	                    	                  	                    	                       	                       	                    	                           	                     	                 	                     	R                      	                       	                       	F                  	                       	                           	                     	                                  	                   	                      	                    	                     	                            	                         	                     	                   	                       	                 	                   	                    	                    	                       	                       	R                     	                     	                    	                        	                  	R                    	                  	R                    	R                        	                 	R                        	                     	R                 	                     	R                     	                   	                         	                       	                          	                      	                     	                  	                        	                    	                          	from 125SR.Chapter 2.Table 3.pages 29 - 30.

  SR	Late Pliocene    	                 	CN12a             	              	125	 782	A	  9	H	 2	  57.00	     78.3700	Ciampo   	Nannofossils                                 	               	M                 	                                      	                    	                          	                       	                         	                       	F                    	                          	                       	                             	                            	                  	                       	                      	                	                     	                     	                         	                       	                      	                    	                      	                   	                  	                       	                    	                   	                        	                    	                      	                        	                           	                        	                         	                    	                       	                   	                      	                	                       	                         	                     	                                     	                     	                     	                        	                   	                   	                      	                            	                   	                        	                          	                        	                       	                    	                    	                        	                          	                               	                  	                     	                  	R                     	                 	                      	                         	F                     	                    	                       	F                     	                      	                          	                    	R                  	                   	                       	R                     	                  	                      	                         	F                       	                    	                  	                   	                    	                  	                    	                       	                       	                    	                           	                     	                 	                     	                       	                       	                       	F                  	                       	                           	                     	                                  	                   	                      	                    	                     	                            	                         	                     	                   	                       	                 	                   	                    	                    	                       	                       	R                     	                     	R                   	                        	                  	                     	R                 	R                    	R                        	                 	                         	                     	                  	                     	R                     	                   	                         	                       	                          	                      	                     	                  	                        	                    	                          	from 125SR.Chapter 2.Table 3.pages 29 - 30.

  SR	Late Pliocene    	                 	CN12a             	              	125	 782	A	  9	H	 3	  96.00	     80.2600	Ciampo   	Nannofossils                                 	               	M                 	                                      	                    	                          	                       	                         	                       	R                    	                          	                       	                             	                            	                  	                       	                      	                	                     	                     	                         	                       	                      	                    	                      	                   	                  	                       	                    	                   	                        	                    	                      	                        	                           	                        	                         	                    	                       	                   	                      	                	                       	                         	                     	                                     	                     	                     	                        	                   	                   	                      	                            	                   	                        	                          	                        	                       	                    	                    	                        	                          	                               	                  	R                    	                  	F                     	                 	                      	                         	F                     	                    	                       	F                     	                      	                          	                    	R                  	                   	                       	R                     	                  	                      	                         	F                       	                    	                  	                   	                    	                  	                    	                       	                       	                    	                           	                     	                 	                     	                       	                       	                       	F                  	                       	                           	                     	                                  	                   	                      	                    	                     	                            	                         	                     	                   	                       	                 	                   	                    	                    	                       	                       	R                     	                     	R                   	                        	                  	R                    	R                 	R                    	R                        	                 	                         	                     	                  	                     	R                     	                   	                         	                       	                          	                      	                     	                  	                        	                    	                          	from 125SR.Chapter 2.Table 3.pages 29 - 30.

  SR	Late Pliocene    	                 	CN12a             	              	125	 782	A	  9	H	 4	  53.00	     81.3300	Ciampo   	Nannofossils                                 	               	M                 	                                      	                    	                          	                       	                         	                       	R                    	                          	                       	                             	                            	                  	                       	                      	                	                     	                     	                         	                       	                      	                    	                      	                   	                  	                       	                    	                   	                        	                    	                      	                        	                           	                        	                         	                    	                       	                   	                      	                	                       	                         	                     	                                     	                     	                     	                        	                   	                   	                      	                            	                   	                        	                          	                        	                       	                    	                    	                        	                          	                               	                  	                     	                  	C                     	                 	                      	                         	C                     	                    	                       	C                     	                      	                          	                    	R                  	                   	                       	R                     	                  	                      	                         	F                       	                    	                  	                   	                    	                  	                    	                       	                       	                    	                           	                     	                 	                     	R                      	                       	                       	R                  	                       	                           	                     	                                  	                   	                      	                    	                     	                            	                         	                     	                   	                       	                 	                   	                    	                    	                       	R                      	R                     	                     	R                   	                        	                  	R                    	R                 	R                    	R                        	                 	                         	R                    	R                 	                     	R                     	                   	                         	                       	                          	                      	                     	                  	                        	                    	                          	from 125SR.Chapter 2.Table 3.pages 29 - 30.
