Any taxon above genus,pbdb_taxon_id,pbdb_taxon_name,pbdb_taxon_rank,family_taxon_id,family_taxon_name,order_taxon_id,order_taxon_name,class_taxon_id,class_taxon_name,phylum_taxon_id,phylum_taxon_name,kingdom_taxon_id,kingdom_taxon_name,unranked clade_taxon_id,unranked clade_taxon_name,superfamily_taxon_id,superfamily_taxon_name
Amaryllidaceae indet.,55831,Amaryllidaceae,family,55831,Amaryllidaceae,54968,Asparagales,452804,Angiospermae,55350,Spermatophyta,54311,Plantae,,,,
Ampelidaceae indet.,454266,Ampelidaceae,family,454266,Ampelidaceae,,,,,,,54311,Plantae,,,,
Anacardiaceae indet.,54686,Anacardiaceae,family,54686,Anacardiaceae,54934,Sapindales,452804,Angiospermae,55350,Spermatophyta,54311,Plantae,,,,
Araceae indet.,55277,Araceae,family,55277,Araceae,54946,Alismatales,452804,Angiospermae,55350,Spermatophyta,54311,Plantae,,,,
Bombacaceae indet.,55599,Bombacaceae,family,55599,Bombacaceae,54911,Malvales,452804,Angiospermae,55350,Spermatophyta,54311,Plantae,,,,
Boraginaceae indet.,55752,Boraginaceae,family,55752,Boraginaceae,452827,Polemoniales,452804,Angiospermae,55350,Spermatophyta,54311,Plantae,,,,
Combretaceae indet.,54719,Combretaceae,family,54719,Combretaceae,54926,Myrtales,452804,Angiospermae,55350,Spermatophyta,54311,Plantae,,,,
Campanulaceae indet.,55777,Campanulaceae,family,55777,Campanulaceae,54943,Asterales,55217,Magnoliopsida,55350,Spermatophyta,54311,Plantae,,,,
Capparidaceae indet.,55649,Capparidaceae,family,55649,Capparidaceae,452812,Papaverales,452804,Angiospermae,55350,Spermatophyta,54311,Plantae,,,,
Caryophyllaceae indet.,53554,Caryophyllaceae,family,53554,Caryophyllaceae,54896,Caryophyllales,55217,Magnoliopsida,55350,Spermatophyta,54311,Plantae,,,,
Chenopodiaceae indet.,55413,Chenopodiaceae,family,55413,Chenopodiaceae,54896,Caryophyllales,55217,Magnoliopsida,55350,Spermatophyta,54311,Plantae,,,,
Cistaceae indet.,55468,Cistaceae,family,55468,Cistaceae,54911,Malvales,452804,Angiospermae,55350,Spermatophyta,54311,Plantae,,,,
Convolvulaceae indet.,55748,Convolvulaceae,family,55748,Convolvulaceae,54938,Solanales,55217,Magnoliopsida,55350,Spermatophyta,54311,Plantae,,,,
Crotonoideae indet.,,,,,,,,,,,,,,,,,
Cruciferae indet.,55652,Cruciferae,family,55652,Cruciferae,183034,Brassicales,55217,Magnoliopsida,55350,Spermatophyta,54311,Plantae,,,,
Cupressaceae indet.,54792,Cupressaceae,family,54792,Cupressaceae,55868,Coniferales,,,56176,Coniferophyta,54311,Plantae,,,,
Cyperaceae indet.,53543,Cyperaceae,family,53543,Cyperaceae,182987,Poales,452804,Angiospermae,55350,Spermatophyta,54311,Plantae,,,,
Dipsacaceae indet.,55787,Dipsacaceae,family,55787,Dipsacaceae,54945,Dipsacales,55217,Magnoliopsida,55350,Spermatophyta,54311,Plantae,,,,
Ericaceae indet.,55506,Ericaceae,family,55506,Ericaceae,54919,Ericales,452804,Angiospermae,55350,Spermatophyta,54311,Plantae,,,,
Euphorbiaceae indet.,53786,Euphorbiaceae,family,53786,Euphorbiaceae,183005,Malpighiales,55217,Magnoliopsida,55350,Spermatophyta,54311,Plantae,,,,
Geraniaceae indet.,55600,Geraniaceae,family,55600,Geraniaceae,55356,Geraniales,452804,Angiospermae,55350,Spermatophyta,54311,Plantae,,,,
Gramineae indet.,55515,Gramineae,family,55515,Gramineae,182987,Poales,452804,Angiospermae,55350,Spermatophyta,54311,Plantae,,,,
Guttiferae indet.,55627,Guttiferae,family,55627,Guttiferae,183005,Malpighiales,55217,Magnoliopsida,55350,Spermatophyta,54311,Plantae,,,,
Hamamelidaceae indet.,52846,Hamamelidaceae,family,52846,Hamamelidaceae,182995,Saxifragales,55217,Magnoliopsida,55350,Spermatophyta,54311,Plantae,,,,
Hymenophyllaceae indet.,54769,Hymenophyllaceae,family,54769,Hymenophyllaceae,55347,Filicales,263811,Pteridopsida,54828,Pteridophyta,54311,Plantae,,,,
Juncaginaceae indet.,55794,Juncaginaceae,family,55794,Juncaginaceae,54946,Alismatales,452804,Angiospermae,55350,Spermatophyta,54311,Plantae,,,,
Labiatae indet.,55758,Labiatae,family,55758,Labiatae,54939,Lamiales,55217,Magnoliopsida,55350,Spermatophyta,54311,Plantae,,,,
Leguminosae indet.,54652,Leguminosae,family,54652,Leguminosae,54922,Fabales,55217,Magnoliopsida,55350,Spermatophyta,54311,Plantae,,,,
Liliaceae indet.,54578,Liliaceae,family,54578,Liliaceae,54972,Liliales,452804,Angiospermae,55350,Spermatophyta,54311,Plantae,,,,
Lycopodiaceae indet.,54755,Lycopodiaceae,family,54755,Lycopodiaceae,55157,Lycopodiales,,,54828,Pteridophyta,54311,Plantae,,,,
Lythraceae indet.,55686,Lythraceae,family,55686,Lythraceae,54926,Myrtales,452804,Angiospermae,55350,Spermatophyta,54311,Plantae,,,,
Malpighiaceae indet.,55718,Malpighiaceae,family,55718,Malpighiaceae,183005,Malpighiales,55217,Magnoliopsida,55350,Spermatophyta,54311,Plantae,,,,
Malvaceae indet.,53879,Malvaceae,family,53879,Malvaceae,54911,Malvales,452804,Angiospermae,55350,Spermatophyta,54311,Plantae,,,,
Meliaceae indet.,54672,Meliaceae,family,54672,Meliaceae,54934,Sapindales,452804,Angiospermae,55350,Spermatophyta,54311,Plantae,,,,
Mimosaceae indet.,257017,Mimosaceae,family,257017,Mimosaceae,54921,Rosales,452804,Angiospermae,55350,Spermatophyta,54311,Plantae,,,,
Moraceae indet.,53874,Moraceae,family,53874,Moraceae,,,452804,Angiospermae,55350,Spermatophyta,54311,Plantae,,,,
Myrtaceae indet.,54713,Myrtaceae,family,54713,Myrtaceae,54926,Myrtales,452804,Angiospermae,55350,Spermatophyta,54311,Plantae,,,,
Nymphaeaceae indet.,54606,Nymphaeaceae,family,54606,Nymphaeaceae,54894,Nymphaeales,55217,Magnoliopsida,55350,Spermatophyta,54311,Plantae,,,,
Oleaceae indet.,54728,Oleaceae,family,54728,Oleaceae,54939,Lamiales,55217,Magnoliopsida,55350,Spermatophyta,54311,Plantae,,,,
Onagraceae indet.,55691,Onagraceae,family,55691,Onagraceae,54926,Myrtales,452804,Angiospermae,55350,Spermatophyta,54311,Plantae,,,,
Ophioglossaceae indet.,54779,Ophioglossaceae,family,54779,Ophioglossaceae,435002,Ophioglossales,,,54828,Pteridophyta,54311,Plantae,,,,
Palmae indet.,54575,Palmae,family,54575,Palmae,54950,Arecales,452804,Angiospermae,55350,Spermatophyta,54311,Plantae,,,,
Plumbaginaceae indet.,55426,Plumbaginaceae,family,55426,Plumbaginaceae,54896,Caryophyllales,55217,Magnoliopsida,55350,Spermatophyta,54311,Plantae,,,,
Polygonaceae indet.,55425,Polygonaceae,family,55425,Polygonaceae,54896,Caryophyllales,55217,Magnoliopsida,55350,Spermatophyta,54311,Plantae,,,,
Polypodiaceae indet.,54782,Polypodiaceae,family,54782,Polypodiaceae,196333,Polypodiales,196331,Polypodiopsida,54828,Pteridophyta,54311,Plantae,,,,
Ranunculaceae indet.,55402,Ranunculaceae,family,55402,Ranunculaceae,55355,Ranales,452804,Angiospermae,55350,Spermatophyta,54311,Plantae,,,,
Rosaceae indet.,54647,Rosaceae,family,54647,Rosaceae,54921,Rosales,452804,Angiospermae,55350,Spermatophyta,54311,Plantae,,,,
Rubiaceae indet.,55784,Rubiaceae,family,55784,Rubiaceae,54936,Gentianales,452804,Angiospermae,55350,Spermatophyta,54311,Plantae,,,,
Sapotaceae indet.,53924,Sapotaceae,family,53924,Sapotaceae,54919,Ericales,452804,Angiospermae,55350,Spermatophyta,54311,Plantae,,,,
Saxifragaceae indet.,54632,Saxifragaceae,family,54632,Saxifragaceae,182995,Saxifragales,55217,Magnoliopsida,55350,Spermatophyta,54311,Plantae,,,,
Solanaceae indet.,55747,Solanaceae,family,55747,Solanaceae,54938,Solanales,55217,Magnoliopsida,55350,Spermatophyta,54311,Plantae,,,,
Taxodiaceae indet.,54798,Taxodiaceae,family,54798,Taxodiaceae,82140,Pinales,82141,Pinopsida,55350,Spermatophyta,54311,Plantae,,,,
Thymelaeaceae indet.,55607,Thymelaeaceae,family,55607,Thymelaeaceae,54911,Malvales,452804,Angiospermae,55350,Spermatophyta,54311,Plantae,,,,
Tubiflorae indet.,452828,Tubiflorae,order,,,452828,Tubiflorae,452804,Angiospermae,55350,Spermatophyta,54311,Plantae,,,,
Typhaceae indet.,55817,Typhaceae,family,55817,Typhaceae,182987,Poales,452804,Angiospermae,55350,Spermatophyta,54311,Plantae,,,,
Ulmaceae indet.,54598,Ulmaceae,family,54598,Ulmaceae,54921,Rosales,452804,Angiospermae,55350,Spermatophyta,54311,Plantae,,,,
Umbelliferae indet.,55741,Umbelliferae,family,55741,Umbelliferae,54935,Apiales,55217,Magnoliopsida,55350,Spermatophyta,54311,Plantae,,,,
Urticales indet.,54912,Urticales,order,,,54912,Urticales,452804,Angiospermae,55350,Spermatophyta,54311,Plantae,,,,
Urticaceae indet.,55603,Urticaceae,family,55603,Urticaceae,54921,Rosales,452804,Angiospermae,55350,Spermatophyta,54311,Plantae,,,,
Orosphaeridae indet.,64242,Orosphaeridae,family,64242,Orosphaeridae,5,Spumellaria,,,4,Radiolaria,212476,Rhizaria,,,,
Sponguridae indet.,65957,Sponguridae,family,65957,Sponguridae,5,Spumellaria,,,4,Radiolaria,212476,Rhizaria,,,,
"""Tripodiscinos clavipes""",,,,,,,,,,,,,,,,,
