Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Triceratium unguiculatum,Stephanopyxis ornata,Ethmodiscus rex,Coscinodiscus marginatus,Brightwellia hyperborea,Asterolampra schmidtii,Arachnoidiscus spp.,Paralia sulcata var. crenulata,Paralia architecturalis,Actinocyclus spp.,Asterolampra uraster,Xanthiopyxis acrolopha,Brightwellia  coronata,Hemiaulus polycystinorum,Asterolampra vulgaris var. cellulosa,Diatom (genus & species indet. 1),Azpeitia oligocenica,Triceratium inconspicuum,Stellarima spp.,Rutilariopsis sp. 1,Rhizosolenia sp. A,Stephanopyxis turris,Skeletonema barbadense,Pseudotriceratium radiosoreticulatum,Coscinodiscus hajosiae,Sceptroneis tenue,Pyxilla reticulata,Hemiaulus incisus,Brightwellia spiralis,Asteromphalus oligocenicus,Thalassiosira bukryi,Stephanopyxis grunowii,Simonseniella praebarboi,Rouxia hannae,Rhizosolenia oligocaenica,Rhizosolenia hebetata,Navicula udintsevii,Diatom (genus & species indet. 3),Coscinodiscus superbus,Cestodiscus pulchellus var. novazelandica,Cestodiscus convexus,Baxteriopsis brunii,Asterolampra vugaris var. hyalina,Asterolampra punctifera,Asterolampra gradiata,Triceratium polymorphus,Thalassiosira primalabiata,Hemiaulus rectus var. twista,Coscinodiscus mutabilis,Cestodiscus antarcticus,Asterolampra grevillei,Xanthiopyxis panduraeformis,Sceptroneis pesplanus,Sceptroneis ligulatus,Sceptroneis grunowii,Rouxia obesa,Rhizosolenia antarctica,Pseudorocella barbadense,Cestodiscus pulchellus,Rouxia granda,Cestodiscus reticulatus,Rocella praenitida,Xanthiopyxis sp. 1,Synedra jouseana,Xanthiopyxis oblonga,Rocella vigilans var. A,Paralia sulcata,Asterolampra tela,Hemiaulus caracteristicus,Coscinodiscus rhombicus,Coscinodiscus lewisianus var. levis,Kozloviella minor,Azpeitia gombosi,Asteromphalus symmetricus,Rossiella symmetrica,Rocella vigilans var. B,Lisitzinia ornata,Hemiaulus taurus,Triceratium groningensis,Dactyliosolen antarcticus,Rocella gelida  var. schraderi,Rocella gelida,Asterolampra affinis,Pleurosigma spp.,Coscinodiscus lewisianus,Bogorovia veniamini,Rhizosolenia styliformis,Actinocyclus octonarius var. tenella,Actinocyclus octonarius,Thalassionema nitzschioides  var. parva,Thalassionema nitzschioides,Simonseniella barboi,Actinoptychus senarius,Thalassiosira spumellaroides,Thalassiosira convexa var. aspinosa,Rossiella paleacea,Thalassiosira fraga,Stephanopyxis spinossima,Raphidodiscus marylandicus,Nitzschia maleinterpretaria,Nitzschia sp. A,Thalassiothrix longissima,Azpeitia tabularis/endoi,Triceratium pileus,Asteromphalus inaequabilis,Azpeitia antiqua,Neobrunia mirabilis,Crucidenticula kanayae,Corethron criophilum,Nitzschia sp. 17,Denticulopsis maccollumii,Denticula norwegica,Nitzschia grossepunctata,Hemiaulus sp. A,Nitzschia denticuloides,Nitzschia claviceps,Denticulopsis praedimorpha,Denticulopsis hustedtii,Denticulopsis dimorpha,Actinocyclus ingens var. A,Actinocyclus ingens,Hemidiscus ovalis,Denticulopsis lauta,Denticulopsis meridionalis,Hemidiscus cuneiformis,Denticulopsis hustedtii var. ovata,Asteromphalus kennettii,Actinocyclus karstenii,Thalassiosira nativa,Hemidiscus karstenii,Denticulopsis hustedtii (closed copula),Thalassiosira torokina,Hemidiscus karstenii f.1,Ethmodiscus sp. (fragments),Thalassiosira oliverana var. sparsa,Thalassiosira oliverana,Thalassiosira oestrupii,Thalassiosira inura,Thalassiosira complicata,Rhizosolenia costata,Nitzschia reinholdii,Nitzschia praeinterfrigidaria,Nitzschia barronii,Nitzschia aurica,Thalassiosira lentiginosa,Rouxia antarctica,Rhizosolenia sp. C,Thalassiosira kolbei,Rouxia isopolica,Rouxia heteropolara,Nitzschia clementia,Chaetoceros bulbosum,Thalassiosira tumida,Rouxia naviculoides,Navicula wisei,Proboscia alata,Nitzschia fossilis,Thalassiosira oliverana (coarse),Rouxia diploneides,Nitzschia interfrigidaria,Chaetoceros sp. A,Rhizosolenia sp. D,Nitzschia curta,Thalassiosira jacksonii,Eucampia antarctica,Actinocyclus ingens var. irregularis,Thalassiosira webbi,Thalassiosira striata,Synedra sp. 1 and 2,Actinocyclus actinochilus,Thalassiosira vulnifica,Thalassiosira insigna,Nitzschia efferans,Thalassiosira striata (var.),Asteromphalus parvulus,Nitzschia ritscherii,Actinocyclus maccollumii,Actinocyclus fasciculatus,Nitzschia kerguelenis,Thalassiosira elliptipora,Thalassiosira sp. B,Thalassiosira gracilis,Nitzschia separanda,Asteromphalus hookeri,Asteromphalus hyalinus,Actinocyclus sp. C,Thalassiosira antarctica,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,T. spumellaroides a,              ,120, 748,B,  8,H, 5,  47.00,     63.5700,Maruyama ,Diatoms                                      ,               ,                  ,                        ,                    ,               ,F                       ,                       ,                      ,                   ,                              ,                       ,                 ,                    ,                      ,                      ,                        ,                                    ,                                 ,F                   ,                        ,               ,                   ,                  ,R                   ,                      ,                                    ,                      ,                 ,                  ,                 ,                     ,R                         ,                    ,                      ,                        ,             ,                         ,R                    ,                   ,                                 ,                      ,                                         ,                    ,                   ,                                 ,                       ,                     ,                       ,R                         ,                            ,                       ,                       ,                      ,                           ,                     ,                     ,                    ,            ,                       ,                        ,                      ,             ,                       ,                  ,                  ,A               ,                    ,                       ,               ,                 ,                         ,                       ,                                   ,                 ,R               ,R                        ,F                   ,                       ,                 ,R               ,                        ,                         ,                              ,A             ,                    ,                ,                        ,F                  ,                        ,R                                   ,                       ,                                       ,                           ,R                   ,R                     ,                            ,                                   ,                  ,                   ,                        ,                          ,                           ,               ,                         ,                        ,                  ,                          ,                ,                   ,                      ,                    ,                ,                         ,                   ,                        ,               ,                       ,                   ,                          ,                       ,                      ,                          ,                   ,                 ,                   ,                          ,                      ,                                  ,                       ,                      ,                    ,                    ,                                       ,                      ,                        ,                           ,                                   ,                       ,                       ,                   ,                        ,                    ,                    ,                             ,                  ,                ,                         ,                 ,                  ,                    ,                ,                   ,                   ,                    ,                    ,                   ,              ,               ,                  ,                                ,                  ,                         ,                 ,                  ,               ,                       ,                   ,                                    ,                   ,                     ,                   ,                         ,                       ,                     ,                  ,                            ,                      ,                    ,                        ,                         ,                     ,                         ,                   ,                      ,                   ,                     ,                      ,                  ,                        ,from ODP Leg 120 SR Vol 2 Chapter 38 Table 9 back pocket
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,R. gelida         ,              ,120, 748,B,  8,H, 6,  47.00,     65.0700,Maruyama ,Diatoms                                      ,               ,                  ,                        ,                    ,               ,F                       ,                       ,                      ,                   ,                              ,                       ,                 ,                    ,                      ,                      ,                        ,                                    ,                                 ,                    ,                        ,               ,                   ,                  ,R                   ,                      ,                                    ,                      ,                 ,                  ,                 ,                     ,R                         ,                    ,                      ,R                       ,             ,                         ,R                    ,                   ,                                 ,                      ,                                         ,                    ,                   ,                                 ,                       ,                     ,                       ,                          ,                            ,                       ,                       ,                      ,                           ,                     ,                     ,                    ,            ,                       ,                        ,                      ,             ,                       ,                  ,                  ,R               ,                    ,                       ,               ,                 ,                         ,R                      ,                                   ,                 ,R               ,R                        ,                    ,                       ,                 ,R               ,                        ,                         ,                              ,D             ,                    ,                ,                        ,R                  ,                        ,R                                   ,                       ,F                                      ,F                          ,                    ,                      ,                            ,                                   ,                  ,                   ,                        ,                          ,                           ,               ,                         ,                        ,                  ,                          ,                ,                   ,                      ,                    ,                ,                         ,                   ,                        ,               ,                       ,                   ,                          ,                       ,                      ,                          ,                   ,                 ,                   ,                          ,                      ,                                  ,                       ,                      ,                    ,                    ,                                       ,                      ,                        ,                           ,                                   ,                       ,                       ,                   ,                        ,                    ,                    ,                             ,                  ,                ,                         ,                 ,                  ,                    ,                ,                   ,                   ,                    ,                    ,                   ,              ,               ,                  ,                                ,                  ,                         ,                 ,                  ,               ,                       ,                   ,                                    ,                   ,                     ,                   ,                         ,                       ,                     ,                  ,                            ,                      ,                    ,                        ,                         ,                     ,                         ,                   ,                      ,                   ,                     ,                      ,                  ,                        ,from ODP Leg 120 SR Vol 2 Chapter 38 Table 9 back pocket
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,R. gelida         ,              ,120, 748,B,  8,H, 7,  47.00,     66.5700,Maruyama ,Diatoms                                      ,               ,                  ,                        ,                    ,               ,R                       ,                       ,                      ,                   ,                              ,                       ,                 ,                    ,                      ,                      ,                        ,                                    ,                                 ,                    ,                        ,               ,                   ,                  ,                    ,                      ,                                    ,                      ,                 ,                  ,                 ,                     ,R                         ,                    ,                      ,R                       ,             ,                         ,R                    ,                   ,                                 ,                      ,                                         ,                    ,                   ,                                 ,                       ,                     ,                       ,R                         ,                            ,                       ,                       ,                      ,                           ,                     ,                     ,                    ,            ,                       ,                        ,                      ,             ,                       ,                  ,                  ,C               ,                    ,                       ,               ,                 ,                         ,R                      ,                                   ,                 ,R               ,R                        ,                    ,                       ,                 ,R               ,                        ,                         ,                              ,D             ,                    ,                ,                        ,                   ,                        ,R                                   ,R                      ,                                       ,                           ,                    ,                      ,                            ,                                   ,                  ,                   ,                        ,                          ,                           ,               ,                         ,                        ,                  ,                          ,                ,                   ,                      ,                    ,                ,                         ,                   ,                        ,               ,                       ,                   ,                          ,                       ,                      ,                          ,                   ,                 ,                   ,                          ,                      ,                                  ,                       ,                      ,                    ,                    ,                                       ,                      ,                        ,                           ,                                   ,                       ,                       ,                   ,                        ,                    ,                    ,                             ,                  ,                ,                         ,                 ,                  ,                    ,                ,                   ,                   ,                    ,                    ,                   ,              ,               ,                  ,                                ,                  ,                         ,                 ,                  ,               ,                       ,                   ,                                    ,                   ,                     ,                   ,                         ,                       ,                     ,                  ,                            ,                      ,                    ,                        ,                         ,                     ,                         ,                   ,                      ,                   ,                     ,                      ,                  ,                        ,from ODP Leg 120 SR Vol 2 Chapter 38 Table 9 back pocket
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,R. gelida         ,              ,120, 748,B,  8,H,CC,  14.00,     67.1800,Maruyama ,Diatoms                                      ,               ,                  ,                        ,                    ,               ,C                       ,                       ,                      ,                   ,                              ,                       ,                 ,                    ,                      ,                      ,                        ,                                    ,                                 ,                    ,                        ,               ,                   ,                  ,                    ,                      ,                                    ,                      ,                 ,                  ,                 ,                     ,                          ,                    ,                      ,                        ,             ,                         ,                     ,                   ,                                 ,                      ,                                         ,                    ,                   ,                                 ,                       ,                     ,                       ,                          ,                            ,                       ,                       ,                      ,                           ,                     ,                     ,                    ,            ,                       ,                        ,                      ,             ,                       ,                  ,                  ,F               ,                    ,                       ,               ,                 ,                         ,R                      ,                                   ,                 ,                ,                         ,                    ,                       ,                 ,                ,                        ,                         ,R                             ,D             ,                    ,                ,                        ,F                  ,                        ,                                    ,                       ,                                       ,                           ,                    ,                      ,                            ,                                   ,                  ,                   ,                        ,                          ,                           ,               ,                         ,                        ,                  ,                          ,                ,                   ,                      ,                    ,                ,                         ,                   ,                        ,               ,                       ,                   ,                          ,                       ,                      ,                          ,                   ,                 ,                   ,                          ,                      ,                                  ,                       ,                      ,                    ,                    ,                                       ,                      ,                        ,                           ,                                   ,                       ,                       ,                   ,                        ,                    ,                    ,                             ,                  ,                ,                         ,                 ,                  ,                    ,                ,                   ,                   ,                    ,                    ,                   ,              ,               ,                  ,                                ,                  ,                         ,                 ,                  ,               ,                       ,                   ,                                    ,                   ,                     ,                   ,                         ,                       ,                     ,                  ,                            ,                      ,                    ,                        ,                         ,                     ,                         ,                   ,                      ,                   ,                     ,                      ,                  ,                        ,from ODP Leg 120 SR Vol 2 Chapter 38 Table 9 back pocket
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Oligocene   ,                 ,R. gelida subz c  ,              ,120, 748,B,  9,H, 1,  47.00,     67.0700,Maruyama ,Diatoms                                      ,               ,                  ,                        ,                    ,R              ,C                       ,                       ,                      ,                   ,                              ,                       ,                 ,                    ,                      ,                      ,R                       ,                                    ,                                 ,                    ,                        ,R              ,                   ,                  ,R                   ,                      ,                                    ,R                     ,                 ,                  ,                 ,                     ,R                         ,                    ,                      ,R                       ,             ,                         ,R                    ,                   ,                                 ,                      ,                                         ,                    ,                   ,                                 ,                       ,                     ,                       ,R                         ,                            ,                       ,                       ,                      ,                           ,                     ,                     ,                    ,            ,                       ,                        ,                      ,             ,                       ,                  ,                  ,C               ,                    ,                       ,               ,F                ,                         ,R                      ,                                   ,                 ,F               ,R                        ,R                   ,                       ,                 ,F               ,R                       ,                         ,R                             ,              ,R                   ,                ,                        ,R                  ,R                       ,                                    ,                       ,                                       ,                           ,                    ,                      ,                            ,                                   ,                  ,                   ,                        ,                          ,                           ,               ,                         ,                        ,                  ,                          ,                ,                   ,                      ,                    ,                ,                         ,                   ,                        ,               ,                       ,                   ,                          ,                       ,                      ,                          ,                   ,                 ,                   ,                          ,                      ,                                  ,                       ,                      ,                    ,                    ,                                       ,                      ,                        ,                           ,                                   ,                       ,                       ,                   ,                        ,                    ,                    ,                             ,                  ,                ,                         ,                 ,                  ,                    ,                ,                   ,                   ,                    ,                    ,                   ,              ,               ,                  ,                                ,                  ,                         ,                 ,                  ,               ,                       ,                   ,                                    ,                   ,                     ,                   ,                         ,                       ,                     ,                  ,                            ,                      ,                    ,                        ,                         ,                     ,                         ,                   ,                      ,                   ,                     ,                      ,                  ,                        ,from ODP Leg 120 SR Vol 2 Chapter 38 Table 10 backpocket
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Oligocene   ,                 ,R. gelida subz c  ,              ,120, 748,B,  9,H, 2,  47.00,     68.5700,Maruyama ,Diatoms                                      ,               ,                  ,                        ,                    ,R              ,R                       ,                       ,                      ,                   ,                              ,                       ,R                ,                    ,                      ,                      ,                        ,                                    ,                                 ,R                   ,                        ,R              ,                   ,                  ,                    ,                      ,                                    ,                      ,                 ,                  ,                 ,                     ,F                         ,                    ,                      ,                        ,             ,                         ,R                    ,                   ,                                 ,                      ,                                         ,                    ,                   ,                                 ,                       ,                     ,                       ,R                         ,                            ,                       ,R                      ,                      ,                           ,                     ,                     ,                    ,            ,                       ,                        ,R                     ,             ,                       ,                  ,                  ,C               ,                    ,                       ,               ,                 ,                         ,R                      ,                                   ,                 ,R               ,R                        ,                    ,                       ,                 ,R               ,R                       ,                         ,F                             ,C             ,                    ,R               ,R                       ,R                  ,                        ,                                    ,                       ,                                       ,                           ,                    ,                      ,                            ,                                   ,                  ,                   ,                        ,                          ,                           ,               ,                         ,                        ,                  ,                          ,                ,                   ,                      ,                    ,                ,                         ,                   ,                        ,               ,                       ,                   ,                          ,                       ,                      ,                          ,                   ,                 ,                   ,                          ,                      ,                                  ,                       ,                      ,                    ,                    ,                                       ,                      ,                        ,                           ,                                   ,                       ,                       ,                   ,                        ,                    ,                    ,                             ,                  ,                ,                         ,                 ,                  ,                    ,                ,                   ,                   ,                    ,                    ,                   ,              ,               ,                  ,                                ,                  ,                         ,                 ,                  ,               ,                       ,                   ,                                    ,                   ,                     ,                   ,                         ,                       ,                     ,                  ,                            ,                      ,                    ,                        ,                         ,                     ,                         ,                   ,                      ,                   ,                     ,                      ,                  ,                        ,from ODP Leg 120 SR Vol 2 Chapter 38 Table 10 backpocket
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Oligocene   ,                 ,R. gelida subz b  ,              ,120, 748,B,  9,H, 3,  47.00,     70.0700,Maruyama ,Diatoms                                      ,               ,                  ,                        ,                    ,R              ,F                       ,                       ,                      ,                   ,                              ,                       ,R                ,                    ,                      ,                      ,                        ,                                    ,                                 ,R                   ,                        ,R              ,                   ,                  ,                    ,                      ,                                    ,                      ,                 ,                  ,                 ,                     ,R                         ,                    ,                      ,R                       ,             ,                         ,R                    ,                   ,                                 ,                      ,                                         ,                    ,                   ,                                 ,                       ,                     ,                       ,                          ,                            ,                       ,                       ,                      ,                           ,                     ,                     ,                    ,            ,                       ,                        ,                      ,             ,                       ,                  ,                  ,A               ,                    ,                       ,               ,R                ,                         ,R                      ,                                   ,                 ,R               ,R                        ,                    ,                       ,R                ,                ,R                       ,                         ,R                             ,A             ,R                   ,                ,                        ,                   ,                        ,                                    ,                       ,                                       ,                           ,                    ,                      ,                            ,                                   ,                  ,                   ,                        ,                          ,                           ,               ,                         ,                        ,                  ,                          ,                ,                   ,                      ,                    ,                ,                         ,                   ,                        ,               ,                       ,                   ,                          ,                       ,                      ,                          ,                   ,                 ,                   ,                          ,                      ,                                  ,                       ,                      ,                    ,                    ,                                       ,                      ,                        ,                           ,                                   ,                       ,                       ,                   ,                        ,                    ,                    ,                             ,                  ,                ,                         ,                 ,                  ,                    ,                ,                   ,                   ,                    ,                    ,                   ,              ,               ,                  ,                                ,                  ,                         ,                 ,                  ,               ,                       ,                   ,                                    ,                   ,                     ,                   ,                         ,                       ,                     ,                  ,                            ,                      ,                    ,                        ,                         ,                     ,                         ,                   ,                      ,                   ,                     ,                      ,                  ,                        ,from ODP Leg 120 SR Vol 2 Chapter 38 Table 10 backpocket
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Oligocene   ,                 ,L. ornata         ,              ,120, 748,B,  9,H, 4,  47.00,     71.5700,Maruyama ,Diatoms                                      ,               ,                  ,                        ,                    ,R              ,                        ,                       ,                      ,                   ,                              ,                       ,R                ,                    ,                      ,                      ,                        ,                                    ,                                 ,R                   ,                        ,R              ,                   ,                  ,                    ,                      ,                                    ,                      ,                 ,                  ,                 ,                     ,R                         ,                    ,                      ,R                       ,             ,                         ,R                    ,                   ,                                 ,                      ,                                         ,                    ,                   ,                                 ,                       ,                     ,                       ,                          ,                            ,                       ,                       ,                      ,                           ,                     ,                     ,                    ,            ,                       ,R                       ,                      ,             ,                       ,                  ,                  ,C               ,                    ,                       ,               ,                 ,                         ,F                      ,                                   ,                 ,R               ,                         ,                    ,A                      ,F                ,R               ,R                       ,                         ,                              ,              ,                    ,                ,                        ,                   ,                        ,                                    ,                       ,                                       ,                           ,                    ,                      ,                            ,                                   ,                  ,                   ,                        ,                          ,                           ,               ,                         ,                        ,                  ,                          ,                ,                   ,                      ,                    ,                ,                         ,                   ,                        ,               ,                       ,                   ,                          ,                       ,                      ,                          ,                   ,                 ,                   ,                          ,                      ,                                  ,                       ,                      ,                    ,                    ,                                       ,                      ,                        ,                           ,                                   ,                       ,                       ,                   ,                        ,                    ,                    ,                             ,                  ,                ,                         ,                 ,                  ,                    ,                ,                   ,                   ,                    ,                    ,                   ,              ,               ,                  ,                                ,                  ,                         ,                 ,                  ,               ,                       ,                   ,                                    ,                   ,                     ,                   ,                         ,                       ,                     ,                  ,                            ,                      ,                    ,                        ,                         ,                     ,                         ,                   ,                      ,                   ,                     ,                      ,                  ,                        ,from ODP Leg 120 SR Vol 2 Chapter 38 Table 10 backpocket
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Oligocene   ,                 ,L. ornata         ,              ,120, 748,B,  9,H, 5,  47.00,     73.0700,Maruyama ,Diatoms                                      ,               ,                  ,                        ,                    ,               ,R                       ,                       ,                      ,                   ,                              ,                       ,                 ,                    ,                      ,                      ,R                       ,                                    ,                                 ,R                   ,                        ,               ,                   ,                  ,                    ,                      ,                                    ,R                     ,                 ,                  ,R                ,                     ,R                         ,                    ,                      ,R                       ,             ,                         ,R                    ,                   ,                                 ,                      ,                                         ,                    ,                   ,                                 ,                       ,                     ,                       ,                          ,                            ,                       ,R                      ,                      ,                           ,                     ,                     ,                    ,            ,                       ,                        ,                      ,             ,                       ,                  ,                  ,C               ,                    ,                       ,               ,R                ,r                        ,                       ,                                   ,                 ,                ,                         ,                    ,A                      ,R                ,R               ,                        ,R                        ,                              ,              ,                    ,                ,                        ,                   ,                        ,                                    ,                       ,                                       ,                           ,                    ,                      ,                            ,                                   ,                  ,                   ,                        ,                          ,                           ,               ,                         ,                        ,                  ,                          ,                ,                   ,                      ,                    ,                ,                         ,                   ,                        ,               ,                       ,                   ,                          ,                       ,                      ,                          ,                   ,                 ,                   ,                          ,                      ,                                  ,                       ,                      ,                    ,                    ,                                       ,                      ,                        ,                           ,                                   ,                       ,                       ,                   ,                        ,                    ,                    ,                             ,                  ,                ,                         ,                 ,                  ,                    ,                ,                   ,                   ,                    ,                    ,                   ,              ,               ,                  ,                                ,                  ,                         ,                 ,                  ,               ,                       ,                   ,                                    ,                   ,                     ,                   ,                         ,                       ,                     ,                  ,                            ,                      ,                    ,                        ,                         ,                     ,                         ,                   ,                      ,                   ,                     ,                      ,                  ,                        ,from ODP Leg 120 SR Vol 2 Chapter 38 Table 10 backpocket
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Oligocene   ,                 ,L. ornata         ,              ,120, 748,B,  9,H, 6,  47.00,     74.5700,Maruyama ,Diatoms                                      ,               ,                  ,                        ,                    ,               ,R                       ,                       ,                      ,                   ,                              ,                       ,                 ,                    ,                      ,                      ,R                       ,                                    ,                                 ,                    ,                        ,               ,                   ,                  ,                    ,                      ,                                    ,                      ,                 ,                  ,                 ,                     ,                          ,                    ,                      ,                        ,             ,                         ,                     ,                   ,                                 ,                      ,                                         ,                    ,                   ,                                 ,                       ,                     ,                       ,                          ,                            ,                       ,                       ,                      ,                           ,                     ,                     ,                    ,            ,                       ,R                       ,                      ,             ,                       ,                  ,                  ,C               ,                    ,                       ,               ,                 ,                         ,                       ,                                   ,                 ,                ,                         ,                    ,A                      ,F                ,R               ,                        ,                         ,                              ,              ,                    ,                ,                        ,                   ,                        ,                                    ,                       ,                                       ,                           ,                    ,                      ,                            ,                                   ,                  ,                   ,                        ,                          ,                           ,               ,                         ,                        ,                  ,                          ,                ,                   ,                      ,                    ,                ,                         ,                   ,                        ,               ,                       ,                   ,                          ,                       ,                      ,                          ,                   ,                 ,                   ,                          ,                      ,                                  ,                       ,                      ,                    ,                    ,                                       ,                      ,                        ,                           ,                                   ,                       ,                       ,                   ,                        ,                    ,                    ,                             ,                  ,                ,                         ,                 ,                  ,                    ,                ,                   ,                   ,                    ,                    ,                   ,              ,               ,                  ,                                ,                  ,                         ,                 ,                  ,               ,                       ,                   ,                                    ,                   ,                     ,                   ,                         ,                       ,                     ,                  ,                            ,                      ,                    ,                        ,                         ,                     ,                         ,                   ,                      ,                   ,                     ,                      ,                  ,                        ,from ODP Leg 120 SR Vol 2 Chapter 38 Table 10 backpocket
