Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Thalassiosira fraga,Synedra jouseana,Simonseniella praebarboi,Raphidodiscus marylandicus,Coscinodiscus rhombicus,Coscinodiscus marginatus,Azpeitia tabularis/endoi,Stellarima spp.,Azpeitia nodulifera,Thalassionema nitzschioides,Nitzschia maleinterpretaria,Crucidenticula kanayae,Crucidenticula ikebei,Thalassiothrix longissima,Nitzschia sp. 17,Denticulopsis maccollumii,Coscinodiscus lewisianus,Nitzschia grossepunctata,Denticulopsis praelauta,Denticulopsis lauta,Actinocyclus ingens,Simonseniella barboi,Crucidenticula nicobarica,Actinocyclus ingens  var. nodus,Denticulopsis hustedtii,Denticulopsis hyalina,Nitzschia denticuloides,Rouxia naviculoides,Denticulopsis praedimorpha,Denticulopsis lauta s.l.,Denticulopsis dimorpha,Rhizosolenia hebetata,Actinocyclus sp.,Nitzschia heteropolica,Asteromphalus kennettii,Actinoptychus senarius,Rouxia californica,Thalassionema schraderi,Hemidiscus cuneiformis,Denticulopsis hustedtii (closed copula),Denticulopsis hustedtii var. ovata,Denticulopsis hustedtii var. areolata,Nitzschia donahuensis,Thalassiosira oliverana var. sparsa,Thalassiosira oliverana (coarse),Thalassiosira nativa,Thalassiosira miocenica,Thalassionema nitzschioides  var. parva,Nitzschia reinholdii,Nitzschia praecurta,Nitzschia fossilis,Nitzschia aurica,Nitzschia arcula,Neobrunia mirabilis,Hemidiscus triangularus,Hemidiscus sp. 2,Hemidiscus ovalis,Hemidiscus karstenii f.1,Hemidiscus karstenii,Eucampia antarctica,Ethmodiscus sp. (fragments),Dactyliosolen antarcticus,Corethron criophilum,Actinocyclus karstenii,Actinocyclus ingens var. irregularis,Actinocyclus ingens var. A,Thalassiosira striata,Thalassiosira ritscherii,Thalassiosira eccentrica,Rhizosolenia styliformis,Rhizosolenia sp. C,Hemidiscus sp. 1,Denticulopsis meridionalis,Chaetoceros sp. A,Asteromphalus concavus,Actinocyclus ellipticus,Rocella gelida,Coscinodiscus apiculatus,Thalassiosira primalabiata,Rouxia isopolica,Rhizosolenia costata,Nitzschia clementia,Azpeitia tabularis,Paralia sulcata,Trinacria excavata,Thalassiosira oliverana (umbonatus),Thalassiosira oestrupii,Thalassiosira inura,Rouxia heteropolara var. A,Nitzschia lacrima,Porosira sp. A,Rouxia heteropolara,Rhizosolenia sp. D,Actinocyclus curvatulus,Thalassiosira jacksonii,Thalassiosira oliverana,Actinocyclus octonarius var. tenella,Thalassiosira torokina,Asteromphalus parvulus,Thalassiosira fasciculata,Thalassiosira complicata,Stephanopyxis turris,Rouxia diploneides,Navicula wisei,Proboscia alata,Lisitzinia ornata,Chaetoceros lorenzianus spores,Actinocyclus dimorphus,Thalassiosira sp. C,Thalassiosira kolbei,Rhizosolenia sp. B,Nitzschia praeinterfrigidaria,Rouxia antarctica,Nitzschia panduriformis,Nitzschia barronii,Thalassiosira lentiginosa,Nitzschia interfrigidaria,Rhizosolenia sp. A,Nitzschia curta,Nitzschia ritscherii,Thalassiosira webbi,Thalassiosira insigna,Thalassiosira elliptipora,Synedra sp. 1 and 2,Thalassiosira lentiginosa var. ovalis,Rouxia sp. A,Nitzschia weaveri,Actinocyclus sp. B,Thalassiosira vulnifica,Chaetoceros bulbosum,Actinocyclus fasciculatus,Nitzschia separanda,Nitzschia kerguelenis,Nitzschia angulata,Asteromphalus hyalinus,Asteromphalus hookeri,Actinocyclus maccollumii,Actinocyclus actinochilus,Thalassiosira gracilis,Actinocyclus sp. C,Xanthiopyxis antarctica,Thalassiosira antarctica,Pleurosigma sp.,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,N. grossepunctata ,              ,120, 751,A, 14,H, 1, 105.00,    119.7500,Maruyama ,Diatoms                                      ,               ,                  ,                   ,                ,                        ,                          ,                       ,                        ,                        ,               ,                   ,                           ,                           ,                      ,                     ,                         ,                ,R                        ,                        ,                        ,                       ,                   ,D                  ,                    ,                         ,                               ,                       ,                     ,                       ,                   ,                          ,                        ,                      ,                     ,                ,                      ,                       ,                      ,                  ,                       ,                      ,                                       ,                                  ,                                     ,                     ,                                   ,                                ,                    ,                       ,                                       ,                    ,                   ,                  ,                ,                ,                   ,                       ,                ,                 ,                        ,                    ,                   ,                           ,                         ,                    ,                      ,                                    ,                          ,                     ,                        ,                        ,                        ,                  ,                ,                          ,                 ,                      ,                       ,              ,                        ,                          ,                ,                    ,                   ,                  ,               ,                  ,                                   ,                       ,                   ,                          ,                 ,              ,                   ,                  ,                       ,                       ,                       ,                                    ,                      ,                      ,                         ,                        ,                    ,                  ,              ,               ,                 ,                              ,                      ,                   ,                    ,                  ,                             ,                 ,                       ,                  ,                         ,                         ,                  ,               ,                    ,                   ,                     ,                         ,                   ,                                     ,            ,                 ,                  ,                       ,                    ,                         ,                   ,                     ,                  ,                      ,                     ,                        ,                         ,                      ,                  ,                       ,                        ,               ,from ODP Leg 120 SR Vol 2 Chapter 38 Table 14 backpocket
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,N. grossepunctata ,              ,120, 751,A, 14,H, 2, 105.00,    121.2500,Maruyama ,Diatoms                                      ,               ,                  ,                   ,                ,                        ,                          ,                       ,C                       ,                        ,               ,                   ,                           ,                           ,                      ,                     ,F                        ,                ,C                        ,F                       ,                        ,                       ,R                  ,A                  ,                    ,                         ,                               ,                       ,                     ,                       ,                   ,                          ,                        ,                      ,                     ,                ,                      ,                       ,                      ,                  ,                       ,                      ,                                       ,                                  ,                                     ,                     ,                                   ,                                ,                    ,                       ,                                       ,                    ,                   ,                  ,                ,                ,                   ,                       ,                ,                 ,                        ,                    ,                   ,                           ,                         ,                    ,                      ,                                    ,                          ,                     ,                        ,                        ,                        ,                  ,                ,                          ,                 ,                      ,                       ,              ,                        ,                          ,                ,                    ,                   ,                  ,               ,                  ,                                   ,                       ,                   ,                          ,                 ,              ,                   ,                  ,                       ,                       ,                       ,                                    ,                      ,                      ,                         ,                        ,                    ,                  ,              ,               ,                 ,                              ,                      ,                   ,                    ,                  ,                             ,                 ,                       ,                  ,                         ,                         ,                  ,               ,                    ,                   ,                     ,                         ,                   ,                                     ,            ,                 ,                  ,                       ,                    ,                         ,                   ,                     ,                  ,                      ,                     ,                        ,                         ,                      ,                  ,                       ,                        ,               ,from ODP Leg 120 SR Vol 2 Chapter 38 Table 14 backpocket
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,N. grossepunctata ,              ,120, 751,A, 14,H, 3, 105.00,    122.7500,Maruyama ,Diatoms                                      ,               ,                  ,                   ,F               ,                        ,                          ,                       ,C                       ,F                       ,               ,                   ,                           ,                           ,                      ,                     ,F                        ,                ,C                        ,F                       ,                        ,                       ,R                  ,A                  ,                    ,                         ,                               ,                       ,                     ,                       ,                   ,                          ,                        ,                      ,                     ,                ,                      ,                       ,                      ,                  ,                       ,                      ,                                       ,                                  ,                                     ,                     ,                                   ,                                ,                    ,                       ,                                       ,                    ,                   ,                  ,                ,                ,                   ,                       ,                ,                 ,                        ,                    ,                   ,                           ,                         ,                    ,                      ,                                    ,                          ,                     ,                        ,                        ,                        ,                  ,                ,                          ,                 ,                      ,                       ,              ,                        ,                          ,                ,                    ,                   ,                  ,               ,                  ,                                   ,                       ,                   ,                          ,                 ,              ,                   ,                  ,                       ,                       ,                       ,                                    ,                      ,                      ,                         ,                        ,                    ,                  ,              ,               ,                 ,                              ,                      ,                   ,                    ,                  ,                             ,                 ,                       ,                  ,                         ,                         ,                  ,               ,                    ,                   ,                     ,                         ,                   ,                                     ,            ,                 ,                  ,                       ,                    ,                         ,                   ,                     ,                  ,                      ,                     ,                        ,                         ,                      ,                  ,                       ,                        ,               ,from ODP Leg 120 SR Vol 2 Chapter 38 Table 14 backpocket
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,N. grossepunctata ,              ,120, 751,A, 14,H, 4, 105.00,    124.2500,Maruyama ,Diatoms                                      ,               ,                  ,                   ,                ,                        ,R                         ,                       ,                        ,R                       ,               ,                   ,                           ,                           ,                      ,                     ,F                        ,                ,A                        ,                        ,                        ,                       ,                   ,D                  ,R                   ,                         ,                               ,                       ,                     ,                       ,                   ,                          ,                        ,                      ,                     ,                ,                      ,                       ,                      ,                  ,                       ,                      ,                                       ,                                  ,                                     ,                     ,                                   ,                                ,                    ,                       ,                                       ,                    ,                   ,                  ,                ,                ,                   ,                       ,                ,                 ,                        ,                    ,                   ,                           ,                         ,                    ,                      ,                                    ,                          ,                     ,                        ,                        ,                        ,                  ,                ,                          ,                 ,                      ,                       ,              ,                        ,                          ,                ,                    ,                   ,                  ,               ,                  ,                                   ,                       ,                   ,                          ,                 ,              ,                   ,                  ,                       ,                       ,                       ,                                    ,                      ,                      ,                         ,                        ,                    ,                  ,              ,               ,                 ,                              ,                      ,                   ,                    ,                  ,                             ,                 ,                       ,                  ,                         ,                         ,                  ,               ,                    ,                   ,                     ,                         ,                   ,                                     ,            ,                 ,                  ,                       ,                    ,                         ,                   ,                     ,                  ,                      ,                     ,                        ,                         ,                      ,                  ,                       ,                        ,               ,from ODP Leg 120 SR Vol 2 Chapter 38 Table 14 backpocket
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,N. grossepunctata ,              ,120, 751,A, 14,H, 5, 105.00,    125.7500,Maruyama ,Diatoms                                      ,               ,                  ,                   ,                ,                        ,                          ,                       ,                        ,F                       ,               ,                   ,                           ,                           ,                      ,                     ,                         ,                ,D                        ,C                       ,R                       ,                       ,F                  ,A                  ,                    ,                         ,                               ,                       ,                     ,                       ,                   ,                          ,                        ,                      ,                     ,                ,                      ,                       ,                      ,                  ,                       ,                      ,                                       ,                                  ,                                     ,                     ,                                   ,                                ,                    ,                       ,                                       ,                    ,                   ,                  ,                ,                ,                   ,                       ,                ,                 ,                        ,                    ,                   ,                           ,                         ,                    ,                      ,                                    ,                          ,                     ,                        ,                        ,                        ,                  ,                ,                          ,                 ,                      ,                       ,              ,                        ,                          ,                ,                    ,                   ,                  ,               ,                  ,                                   ,                       ,                   ,                          ,                 ,              ,                   ,                  ,                       ,                       ,                       ,                                    ,                      ,                      ,                         ,                        ,                    ,                  ,              ,               ,                 ,                              ,                      ,                   ,                    ,                  ,                             ,                 ,                       ,                  ,                         ,                         ,                  ,               ,                    ,                   ,                     ,                         ,                   ,                                     ,            ,                 ,                  ,                       ,                    ,                         ,                   ,                     ,                  ,                      ,                     ,                        ,                         ,                      ,                  ,                       ,                        ,               ,from ODP Leg 120 SR Vol 2 Chapter 38 Table 14 backpocket
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,N. grossepunctata ,              ,120, 751,A, 14,H, 6, 112.00,    127.3200,Maruyama ,Diatoms                                      ,               ,                  ,                   ,R               ,                        ,                          ,                       ,                        ,F                       ,               ,                   ,                           ,                           ,                      ,                     ,F                        ,                ,D                        ,F                       ,F                       ,                       ,R                  ,F                  ,                    ,                         ,                               ,                       ,                     ,                       ,                   ,                          ,                        ,                      ,                     ,                ,                      ,                       ,                      ,                  ,                       ,                      ,                                       ,                                  ,                                     ,                     ,                                   ,                                ,                    ,                       ,                                       ,                    ,                   ,                  ,                ,                ,                   ,                       ,                ,                 ,                        ,                    ,                   ,                           ,                         ,                    ,                      ,                                    ,                          ,                     ,                        ,                        ,                        ,                  ,                ,                          ,                 ,                      ,                       ,              ,                        ,                          ,                ,                    ,                   ,                  ,               ,                  ,                                   ,                       ,                   ,                          ,                 ,              ,                   ,                  ,                       ,                       ,                       ,                                    ,                      ,                      ,                         ,                        ,                    ,                  ,              ,               ,                 ,                              ,                      ,                   ,                    ,                  ,                             ,                 ,                       ,                  ,                         ,                         ,                  ,               ,                    ,                   ,                     ,                         ,                   ,                                     ,            ,                 ,                  ,                       ,                    ,                         ,                   ,                     ,                  ,                      ,                     ,                        ,                         ,                      ,                  ,                       ,                        ,               ,from ODP Leg 120 SR Vol 2 Chapter 38 Table 14 backpocket
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,N. grossepunctata ,              ,120, 751,A, 14,H,CC,  19.00,    128.8400,Maruyama ,Diatoms                                      ,               ,                  ,                   ,R               ,                        ,                          ,                       ,                        ,                        ,               ,                   ,                           ,                           ,                      ,                     ,                         ,R               ,D                        ,R                       ,                        ,R                      ,R                  ,A                  ,                    ,                         ,                               ,                       ,                     ,                       ,                   ,                          ,                        ,                      ,                     ,                ,                      ,                       ,                      ,                  ,                       ,                      ,                                       ,                                  ,                                     ,                     ,                                   ,                                ,                    ,                       ,                                       ,                    ,                   ,                  ,                ,                ,                   ,                       ,                ,                 ,                        ,                    ,                   ,                           ,                         ,                    ,                      ,                                    ,                          ,                     ,                        ,                        ,                        ,                  ,                ,                          ,                 ,                      ,                       ,              ,                        ,                          ,                ,                    ,                   ,                  ,               ,                  ,                                   ,                       ,                   ,                          ,                 ,              ,                   ,                  ,                       ,                       ,                       ,                                    ,                      ,                      ,                         ,                        ,                    ,                  ,              ,               ,                 ,                              ,                      ,                   ,                    ,                  ,                             ,                 ,                       ,                  ,                         ,                         ,                  ,               ,                    ,                   ,                     ,                         ,                   ,                                     ,            ,                 ,                  ,                       ,                    ,                         ,                   ,                     ,                  ,                      ,                     ,                        ,                         ,                      ,                  ,                       ,                        ,               ,from ODP Leg 120 SR Vol 2 Chapter 38 Table 14 backpocket
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,N. grossepunctata ,              ,120, 751,A, 15,H, 1, 105.00,    129.2500,Maruyama ,Diatoms                                      ,               ,                  ,                   ,                ,                        ,                          ,                       ,                        ,F                       ,               ,                   ,                           ,                           ,                      ,                     ,                         ,                ,D                        ,F                       ,R                       ,R                      ,                   ,                   ,                    ,                         ,                               ,                       ,                     ,                       ,                   ,                          ,                        ,                      ,                     ,                ,                      ,                       ,                      ,                  ,                       ,                      ,                                       ,                                  ,                                     ,                     ,                                   ,                                ,                    ,                       ,                                       ,                    ,                   ,                  ,                ,                ,                   ,                       ,                ,                 ,                        ,                    ,                   ,                           ,                         ,                    ,                      ,                                    ,                          ,                     ,                        ,                        ,                        ,                  ,                ,                          ,                 ,                      ,                       ,              ,                        ,                          ,                ,                    ,                   ,                  ,               ,                  ,                                   ,                       ,                   ,                          ,                 ,              ,                   ,                  ,                       ,                       ,                       ,                                    ,                      ,                      ,                         ,                        ,                    ,                  ,              ,               ,                 ,                              ,                      ,                   ,                    ,                  ,                             ,                 ,                       ,                  ,                         ,                         ,                  ,               ,                    ,                   ,                     ,                         ,                   ,                                     ,            ,                 ,                  ,                       ,                    ,                         ,                   ,                     ,                  ,                      ,                     ,                        ,                         ,                      ,                  ,                       ,                        ,               ,from ODP Leg 120 SR Vol 2 Chapter 38 Table 14 backpocket
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,D. maccollumii    ,              ,120, 751,A, 15,H, 2, 105.00,    130.7500,Maruyama ,Diatoms                                      ,               ,                  ,                   ,C               ,                        ,F                         ,                       ,                        ,F                       ,               ,                   ,                           ,                           ,                      ,                     ,                         ,                ,A                        ,F                       ,                        ,                       ,                   ,                   ,                    ,                         ,                               ,                       ,                     ,                       ,                   ,                          ,                        ,                      ,                     ,                ,                      ,                       ,                      ,                  ,                       ,                      ,                                       ,                                  ,                                     ,                     ,                                   ,                                ,                    ,                       ,                                       ,                    ,                   ,                  ,                ,                ,                   ,                       ,                ,                 ,                        ,                    ,                   ,                           ,                         ,                    ,                      ,                                    ,                          ,                     ,                        ,                        ,                        ,                  ,                ,                          ,                 ,                      ,                       ,              ,                        ,                          ,                ,                    ,                   ,                  ,               ,                  ,                                   ,                       ,                   ,                          ,                 ,              ,                   ,                  ,                       ,                       ,                       ,                                    ,                      ,                      ,                         ,                        ,                    ,                  ,              ,               ,                 ,                              ,                      ,                   ,                    ,                  ,                             ,                 ,                       ,                  ,                         ,                         ,                  ,               ,                    ,                   ,                     ,                         ,                   ,                                     ,            ,                 ,                  ,                       ,                    ,                         ,                   ,                     ,                  ,                      ,                     ,                        ,                         ,                      ,                  ,                       ,                        ,               ,from ODP Leg 120 SR Vol 2 Chapter 38 Table 14 backpocket
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,D. maccollumii    ,              ,120, 751,A, 15,H, 3, 105.00,    132.2500,Maruyama ,Diatoms                                      ,               ,                  ,                   ,F               ,R                       ,F                         ,                       ,                        ,F                       ,               ,                   ,C                          ,                           ,                      ,                     ,                         ,                ,A                        ,                        ,                        ,                       ,                   ,                   ,                    ,                         ,                               ,                       ,                     ,                       ,                   ,                          ,                        ,                      ,                     ,                ,                      ,                       ,                      ,                  ,                       ,                      ,                                       ,                                  ,                                     ,                     ,                                   ,                                ,                    ,                       ,                                       ,                    ,                   ,                  ,                ,                ,                   ,                       ,                ,                 ,                        ,                    ,                   ,                           ,                         ,                    ,                      ,                                    ,                          ,                     ,                        ,                        ,                        ,                  ,                ,                          ,                 ,                      ,                       ,              ,                        ,                          ,                ,                    ,                   ,                  ,               ,                  ,                                   ,                       ,                   ,                          ,                 ,              ,                   ,                  ,                       ,                       ,                       ,                                    ,                      ,                      ,                         ,                        ,                    ,                  ,              ,               ,                 ,                              ,                      ,                   ,                    ,                  ,                             ,                 ,                       ,                  ,                         ,                         ,                  ,               ,                    ,                   ,                     ,                         ,                   ,                                     ,            ,                 ,                  ,                       ,                    ,                         ,                   ,                     ,                  ,                      ,                     ,                        ,                         ,                      ,                  ,                       ,                        ,               ,from ODP Leg 120 SR Vol 2 Chapter 38 Table 14 backpocket
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,D. maccollumii    ,              ,120, 751,A, 15,H, 4, 105.00,    133.7500,Maruyama ,Diatoms                                      ,               ,                  ,                   ,                ,                        ,C                         ,                       ,                        ,F                       ,               ,                   ,C                          ,                           ,                      ,                     ,                         ,                ,C                        ,                        ,                        ,                       ,                   ,                   ,                    ,                         ,                               ,                       ,                     ,                       ,                   ,                          ,                        ,                      ,                     ,                ,                      ,                       ,                      ,                  ,                       ,                      ,                                       ,                                  ,                                     ,                     ,                                   ,                                ,                    ,                       ,                                       ,                    ,                   ,                  ,                ,                ,                   ,                       ,                ,                 ,                        ,                    ,                   ,                           ,                         ,                    ,                      ,                                    ,                          ,                     ,                        ,                        ,                        ,                  ,                ,                          ,                 ,                      ,                       ,              ,                        ,                          ,                ,                    ,                   ,                  ,               ,                  ,                                   ,                       ,                   ,                          ,                 ,              ,                   ,                  ,                       ,                       ,                       ,                                    ,                      ,                      ,                         ,                        ,                    ,                  ,              ,               ,                 ,                              ,                      ,                   ,                    ,                  ,                             ,                 ,                       ,                  ,                         ,                         ,                  ,               ,                    ,                   ,                     ,                         ,                   ,                                     ,            ,                 ,                  ,                       ,                    ,                         ,                   ,                     ,                  ,                      ,                     ,                        ,                         ,                      ,                  ,                       ,                        ,               ,from ODP Leg 120 SR Vol 2 Chapter 38 Table 14 backpocket
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,D. maccollumii    ,              ,120, 751,A, 15,H, 5, 105.00,    135.2500,Maruyama ,Diatoms                                      ,               ,                  ,                   ,                ,                        ,F                         ,                       ,                        ,R                       ,               ,                   ,                           ,                           ,                      ,R                    ,F                        ,                ,C                        ,                        ,                        ,                       ,                   ,                   ,                    ,                         ,                               ,                       ,                     ,                       ,                   ,                          ,                        ,                      ,                     ,                ,                      ,                       ,                      ,                  ,                       ,                      ,                                       ,                                  ,                                     ,                     ,                                   ,                                ,                    ,                       ,                                       ,                    ,                   ,                  ,                ,                ,                   ,                       ,                ,                 ,                        ,                    ,                   ,                           ,                         ,                    ,                      ,                                    ,                          ,                     ,                        ,                        ,                        ,                  ,                ,                          ,                 ,                      ,                       ,              ,                        ,                          ,                ,                    ,                   ,                  ,               ,                  ,                                   ,                       ,                   ,                          ,                 ,              ,                   ,                  ,                       ,                       ,                       ,                                    ,                      ,                      ,                         ,                        ,                    ,                  ,              ,               ,                 ,                              ,                      ,                   ,                    ,                  ,                             ,                 ,                       ,                  ,                         ,                         ,                  ,               ,                    ,                   ,                     ,                         ,                   ,                                     ,            ,                 ,                  ,                       ,                    ,                         ,                   ,                     ,                  ,                      ,                     ,                        ,                         ,                      ,                  ,                       ,                        ,               ,from ODP Leg 120 SR Vol 2 Chapter 38 Table 14 backpocket
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,D. maccollumii    ,              ,120, 751,A, 15,H, 6, 105.00,    136.7500,Maruyama ,Diatoms                                      ,               ,                  ,                   ,A               ,                        ,F                         ,                       ,                        ,R                       ,               ,                   ,                           ,                           ,                      ,F                    ,                         ,                ,                         ,R                       ,                        ,                       ,                   ,                   ,                    ,                         ,                               ,                       ,                     ,                       ,                   ,                          ,                        ,                      ,                     ,                ,                      ,                       ,                      ,                  ,                       ,                      ,                                       ,                                  ,                                     ,                     ,                                   ,                                ,                    ,                       ,                                       ,                    ,                   ,                  ,                ,                ,                   ,                       ,                ,                 ,                        ,                    ,                   ,                           ,                         ,                    ,                      ,                                    ,                          ,                     ,                        ,                        ,                        ,                  ,                ,                          ,                 ,                      ,                       ,              ,                        ,                          ,                ,                    ,                   ,                  ,               ,                  ,                                   ,                       ,                   ,                          ,                 ,              ,                   ,                  ,                       ,                       ,                       ,                                    ,                      ,                      ,                         ,                        ,                    ,                  ,              ,               ,                 ,                              ,                      ,                   ,                    ,                  ,                             ,                 ,                       ,                  ,                         ,                         ,                  ,               ,                    ,                   ,                     ,                         ,                   ,                                     ,            ,                 ,                  ,                       ,                    ,                         ,                   ,                     ,                  ,                      ,                     ,                        ,                         ,                      ,                  ,                       ,                        ,               ,from ODP Leg 120 SR Vol 2 Chapter 38 Table 14 backpocket
