Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Synedra jouseana	Stephanopyxis splendidus	Sphynctolethus pacificus	Rocella praenitida	Pseudotriceratium radiosoreticulatum	Hemiaulus polycystinorum	Hemiaulus incisus	Asteromphalus oligocenicus	Actinocyclus spp.	Xanthiopyxis oblonga	Stephanopyxis turris	Ethmodiscus rex	Coscinodiscus marginatus	Cestodiscus reticulatus	Cestodiscus pulchellus	Cestodiscus convexus	Baxteriopsis brunii	Stephanopyxis grunowii	Coscinodiscus superbus	Cestodiscus pulchellus var. novazelandica	Azpeitia oligocenica	Simonseniella praebarboi	Pyxilla reticulata	Coscinodiscus rhombicus	Coscinodiscus hajosiae	Asteromphalus symmetricus	Asterolampra tela	Asterolampra punctifera	Coscinodiscus lewisianus var. robustus	Asterolampra schmidtii	Thalassiosira primalabiata	Thalassiosira bukryi	Rossiella symmetrica	Hemiaulus taurus	Diatom (genus & species indet. 2)	Cestodiscus antarcticus	Actinocyclus octonarius var. tenella	Stellarima spp.	Rhizosolenia hebetata	Azpeitia gombosi	Asterolampra gradiata	Xanthiopyxis acrolopha	Rocella vigilans var. B	Coscinodiscus lewisianus	Rocella semigelida	Rocella praenitida? (variant)	Lisitzinia ornata	Skeletonema barbadense	Pterotheca sp. cf.  P. sp. (simplex)	Pseudopyxilla baltica(?)	Pseudopodosira bella	Paralia architecturalis	Stephanopyxis spinossima	Rhizosolenia antarctica	Trinacria excavata	Pterotheca reticulata	Rocella gelida  var. schraderi	Rocella gelida	Pleurosigma sp.	Bogorovia veniamini	Sceptroneis grunowii	Stephanopyxis corona	Dactyliosolen antarcticus	Nitzschia evenscens	Raphidodiscus marylandicus	Cestodiscus sp.	Azpeitia tabularis/endoi	Actinocyclus octonarius	Thalassiothrix longissima	Thalassiosira fraga	Crucidenticula kanayae	Thalassionema nitzschioides	Neobrunia mirabilis	Denticulopsis maccollumii	Nitzschia sp. 17	Nitzschia grossepunctata	Denticulopsis lauta	Actinocyclus ingens	Actinoptychus senarius	Nitzschia denticuloides	Actinocyclus ingens  var. nodus	Denticulopsis hustedtii	Denticulopsis hyalina	Denticulopsis praedimorpha	Denticulopsis dimorpha	Simonseniella barboi	Actinocyclus karstenii	Denticulopsis meridionalis	Lithodesmium minisculum/reynoldsii	Thalassionema nitzschioides  var. parva	Rhizosolenia styliformis	Hemidiscus cuneiformis	Thalassiosira oliverana (coarse)	Hemidiscus karstenii	Asteromphalus kennettii	Denticulopsis hustedtii var. ovata	Denticulopsis hustedtii (closed copula)	Actinocyclus ellipticus	Thalassiosira torokina	Nitzschia donahuensis	Asteromphalus sp. A	Thalassiosira antiqua	Nitzschia miocenica	Thalassiosira oliverana var. sparsa	Hemidiscus ovalis	Actinocyclus ingens var. A	Thalassiosira oliverana (umbonatus)	Thalassiosira oliverana	Thalassiosira nativa	Paralia sulcata	Nitzschia reinholdii	Hemidiscus triangularus	Cocconeis spp.	Thalassiosira inura	Hemidiscus karstenii f.1	Eucampia antarctica	Rouxia naviculoides	Rhizosolenia costata var. A	Nitzschia praecurta	Nitzschia aurica	Ethmodiscus sp. (fragments)	Thalassiosira complicata	Rouxia heteropolara	Nitzschia praeinterfrigidaria	Nitzschia arcula	Chaetoceros lorenzianus spores	Asteromphalus hookeri	Thalassiosira lentiginosa	Nitzschia barronii	Thalassiosira oestrupii	Thalassiosira kolbei	Rouxia isopolica	Rouxia diploneides	Thalassiosira tumida	Rouxia antarctica	Proboscia alata	Nitzschia interfrigidaria	Actinocyclus curvatulus	Thalassiosira lentiginosa var. ovalis	Nitzschia weaveri	Actinocyclus sp. B	Thalassiosira insigna	Nitzschia ritscherii	Nitzschia efferans	Thalassiosira vulnifica	Nitzschia kerguelenis	Actinocyclus fasciculatus	Actinocyclus actinochilus	Actinocyclus ingens var. irregularis	Thalassiosira gracilis	Rhizosolenia sp. D	Nitzschia curta	Asteromphalus hyalinus	Thalassiosira sp. B	Thalassiosira elliptipora	Porosira sp. A	Nitzschia separanda	Nitzschia panduriformis	Thalassiosira maculeata	Comment

  SR	Pleistocene      	                 	N. kerguelensis   	              	120	 747	A	  2	H	 6	  47.00	     16.9700	Maruyama 	Diatoms                                      	               	                  	                	                        	                        	                  	                                    	                        	                 	                          	                 	                    	                    	               	                        	                       	                      	                    	                   	                      	                      	                                         	                    	                        	                  	                       	                      	                         	                 	                       	                                      	                      	                          	                    	                    	                	                                 	                       	                                    	               	+                    	                	                     	                      	                       	                        	                  	                             	                 	                      	                                    	                        	                    	                       	                        	                       	                  	                     	                              	              	               	                   	                    	                    	R                        	                   	                          	               	                        	                       	F                        	                   	                      	R                          	                   	                         	                	                        	                   	C                  	                      	                       	                               	                       	                     	                          	                      	                    	                      	                          	                                  	                                       	+                       	                      	F                               	                    	                       	                                  	                                       	                       	                      	                     	                   	                     	                   	                                   	                 	                          	                                   	F                      	                    	               	                    	                       	              	                   	                        	+                  	R                  	                           	                   	                	                           	                        	                   	                             	                	                              	R                    	A                        	F                 	C                      	                    	                	                  	+                   	                 	               	                         	                       	                                     	                 	                  	                     	R                   	                  	                       	C                    	                         	                         	F                                   	+                     	+                 	+              	R                     	                   	                         	              	                   	                       	                       	from ODP Leg 120 SR Vol 2 Chapter 38 Table 4 back pocket

  SR	Pleistocene      	                 	T. kolbei         	              	120	 747	A	  2	H	CC	  12.00	     18.9400	Maruyama 	Diatoms                                      	               	                  	                	                        	                        	                  	                                    	                        	                 	                          	                 	                    	                    	               	                        	                       	                      	                    	                   	                      	                      	                                         	                    	                        	                  	                       	                      	                         	                 	                       	                                      	                      	                          	                    	                    	                	                                 	                       	                                    	               	                     	                	                     	                      	                       	                        	                  	                             	                 	                      	                                    	                        	                    	                       	                        	                       	                  	                     	                              	              	               	                   	                    	                    	R                        	                   	                          	               	                        	                       	F                        	                   	                      	                           	                   	                         	                	                        	                   	C                  	                      	                       	                               	                       	                     	                          	                      	R                   	                      	                          	                                  	                                       	+                       	                      	+                               	                    	                       	                                  	                                       	                       	                      	                     	                   	                     	                   	                                   	                 	                          	R                                  	R                      	                    	               	                    	                       	              	                   	                        	                   	R                  	                           	                   	                	                           	                        	                   	                             	                	                              	+                    	F                        	C                 	F                      	R                   	                	                  	+                   	                 	               	                         	                       	                                     	                 	                  	                     	R                   	                  	                       	F                    	                         	+                        	F                                   	                      	                  	               	                      	                   	                         	              	                   	                       	                       	from ODP Leg 120 SR Vol 2 Chapter 38 Table 4 back pocket

  SR	Pleistocene      	                 	T. kolbei         	              	120	 747	A	  3	H	 1	  47.00	     18.9700	Maruyama 	Diatoms                                      	               	                  	                	                        	                        	                  	                                    	                        	                 	                          	                 	                    	                    	               	+                       	                       	                      	                    	                   	                      	                      	                                         	                    	                        	                  	                       	                      	                         	                 	                       	                                      	                      	                          	                    	                    	                	                                 	                       	                                    	R              	+                    	                	                     	                      	                       	                        	                  	                             	                 	                      	                                    	                        	                    	                       	                        	                       	                  	                     	                              	              	               	                   	                    	                    	                         	                   	                          	               	R                       	                       	F                        	                   	                      	F                          	                   	                         	                	                        	                   	R                  	                      	                       	                               	                       	                     	                          	                      	                    	                      	                          	                                  	                                       	R                       	                      	F                               	                    	                       	                                  	                                       	                       	                      	                     	                   	                     	                   	                                   	                 	                          	F                                  	F                      	                    	+              	                    	                       	              	C                  	                        	+                  	                   	                           	                   	                	R                          	                        	                   	                             	                	+                             	                     	A                        	C                 	R                      	C                   	                	                  	+                   	+                	               	                         	+                      	                                     	                 	                  	                     	R                   	                  	                       	F                    	R                        	+                        	                                    	                      	                  	               	                      	                   	                         	              	                   	                       	                       	from ODP Leg 120 SR Vol 2 Chapter 38 Table 4 back pocket

  SR	Early Pliocene   	                 	T. insigna-T. vuln.	              	120	 747	A	  3	H	 2	  47.00	     20.4700	Maruyama 	Diatoms                                      	               	                  	                	                        	                        	                  	                                    	                        	                 	                          	                 	                    	                    	               	                        	                       	                      	                    	                   	                      	                      	                                         	                    	                        	                  	                       	                      	                         	                 	                       	                                      	                      	                          	                    	                    	                	                                 	                       	                                    	               	                     	                	                     	                      	                       	                        	                  	                             	                 	                      	                                    	                        	                    	                       	                        	                       	                  	                     	                              	              	               	                   	                    	                    	                         	                   	                          	               	                        	                       	F                        	                   	                      	F                          	                   	                         	                	                        	                   	                   	                      	                       	                               	                       	                     	                          	                      	                    	                      	                          	                                  	                                       	R                       	                      	                                	                    	                       	                                  	                                       	                       	                      	                     	                   	                     	                   	                                   	                 	                          	                                   	F                      	                    	R              	                    	                       	              	F                  	                        	R                  	                   	                           	                   	                	                           	                        	                   	                             	                	                              	                     	R                        	F                 	R                      	R                   	                	                  	                    	                 	               	+                        	                       	                                     	R                	                  	A                    	R                   	R                 	R                      	                     	                         	                         	                                    	                      	                  	               	                      	                   	                         	              	                   	                       	                       	from ODP Leg 120 SR Vol 2 Chapter 38 Table 4 back pocket

  SR	Early Pliocene   	                 	N. interfrigidaria	              	120	 747	A	  3	H	 3	  47.00	     21.9700	Maruyama 	Diatoms                                      	               	                  	                	                        	                        	                  	                                    	                        	                 	                          	                 	                    	+                   	               	                        	                       	                      	                    	                   	                      	                      	                                         	                    	                        	                  	                       	                      	                         	                 	                       	                                      	                      	                          	                    	                    	                	                                 	                       	                                    	+              	                     	                	                     	                      	                       	                        	                  	                             	                 	                      	                                    	                        	                    	                       	                        	                       	                  	                     	                              	              	               	                   	                    	                    	                         	                   	                          	               	                        	                       	F                        	                   	                      	F                          	                   	                         	                	                        	                   	                   	                      	                       	                               	                       	                     	                          	                      	                    	                      	                          	                                  	                                       	R                       	                      	                                	A                   	                       	                                  	                                       	                       	                      	                     	                   	                     	                   	                                   	                 	                          	A                                  	F                      	                    	+              	                    	                       	              	A                  	                        	R                  	                   	                           	                   	                	                           	                        	                   	                             	                	                              	                     	F                        	F                 	R                      	R                   	                	                  	                    	                 	               	R                        	                       	R                                    	F                	                  	F                    	R                   	+                 	                       	                     	                         	                         	                                    	                      	                  	               	                      	                   	                         	              	                   	                       	                       	from ODP Leg 120 SR Vol 2 Chapter 38 Table 4 back pocket

  SR	Early Pliocene   	                 	N. interfrigidaria	              	120	 747	A	  3	H	 4	  47.00	     23.4700	Maruyama 	Diatoms                                      	               	                  	                	                        	                        	                  	                                    	                        	                 	                          	                 	                    	R                   	               	R                       	                       	                      	                    	                   	                      	                      	                                         	                    	                        	                  	                       	                      	                         	                 	                       	                                      	                      	                          	                    	                    	                	                                 	                       	+                                   	+              	+                    	                	                     	                      	                       	                        	                  	                             	                 	                      	                                    	                        	                    	                       	                        	                       	                  	                     	                              	              	               	                   	                    	                    	R                        	                   	                          	               	                        	R                      	A                        	                   	                      	R                          	                   	                         	                	                        	                   	R                  	                      	                       	                               	                       	                     	                          	                      	                    	                      	                          	                                  	R                                      	+                       	                      	+                               	+                   	                       	                                  	                                       	                       	                      	                     	                   	                     	                   	                                   	                 	                          	                                   	R                      	                    	F              	                    	                       	              	F                  	                        	R                  	+                  	                           	                   	                	R                          	                        	                   	                             	                	                              	                     	F                        	F                 	                       	R                   	                	                  	                    	                 	               	F                        	                       	+                                    	C                	+                 	                     	                    	                  	                       	                     	                         	                         	                                    	                      	                  	               	                      	                   	                         	              	                   	                       	                       	from ODP Leg 120 SR Vol 2 Chapter 38 Table 4 back pocket

  SR	Early Pliocene   	                 	N. interfrigidaria	              	120	 747	A	  3	H	 5	  47.00	     24.9700	Maruyama 	Diatoms                                      	               	                  	                	                        	                        	                  	                                    	                        	                 	                          	                 	                    	                    	               	R                       	                       	                      	                    	                   	                      	                      	                                         	                    	                        	                  	                       	                      	                         	                 	                       	                                      	                      	                          	                    	                    	                	                                 	                       	                                    	               	                     	                	                     	                      	                       	                        	                  	                             	                 	                      	                                    	                        	                    	                       	                        	                       	                  	                     	                              	              	               	                   	                    	                    	R                        	                   	                          	               	F                       	                       	A                        	                   	                      	                           	                   	                         	                	                        	                   	R                  	                      	                       	                               	                       	                     	                          	                      	R                   	                      	                          	                                  	                                       	R                       	                      	                                	C                   	                       	                                  	                                       	                       	                      	                     	                   	                     	                   	                                   	                 	                          	                                   	R                      	                    	               	R                   	                       	              	F                  	                        	                   	R                  	                           	                   	                	                           	A                       	                   	                             	                	                              	                     	C                        	A                 	F                      	                    	R               	                  	+                   	R                	R              	A                        	R                      	                                     	                 	                  	                     	                    	                  	                       	                     	                         	                         	                                    	                      	                  	               	                      	                   	                         	              	                   	                       	                       	from ODP Leg 120 SR Vol 2 Chapter 38 Table 4 back pocket

  SR	Early Pliocene   	                 	N. barronii       	              	120	 747	A	  3	H	 6	  47.00	     26.4700	Maruyama 	Diatoms                                      	               	                  	                	                        	                        	                  	                                    	                        	                 	                          	                 	                    	R                   	               	C                       	                       	                      	                    	                   	                      	                      	                                         	                    	                        	                  	                       	                      	                         	                 	                       	                                      	                      	                          	                    	                    	                	                                 	                       	                                    	R              	                     	                	                     	                      	                       	                        	                  	                             	                 	                      	                                    	                        	                    	                       	                        	                       	                  	                     	                              	              	               	                   	                    	                    	C                        	                   	                          	               	F                       	                       	A                        	                   	                      	F                          	                   	                         	                	                        	                   	                   	                      	                       	                               	                       	                     	                          	                      	R                   	                      	                          	                                  	                                       	                        	                      	                                	                    	                       	                                  	                                       	                       	                      	                     	                   	                     	                   	                                   	                 	                          	                                   	F                      	                    	+              	C                   	                       	              	R                  	                        	                   	F                  	                           	                   	                	                           	R                       	R                  	A                            	                	                              	                     	F                        	C                 	R                      	R                   	R               	R                 	                    	                 	               	                         	                       	                                     	                 	                  	                     	                    	                  	                       	                     	                         	                         	                                    	                      	                  	               	                      	                   	                         	              	                   	                       	                       	from ODP Leg 120 SR Vol 2 Chapter 38 Table 4 back pocket

  SR	Early Pliocene   	                 	N. barronii       	              	120	 747	A	  3	H	CC	   9.00	     26.7500	Maruyama 	Diatoms                                      	               	                  	                	                        	                        	                  	                                    	                        	                 	                          	                 	                    	R                   	               	F                       	                       	                      	                    	                   	                      	                      	                                         	                    	                        	                  	                       	                      	                         	                 	                       	                                      	                      	                          	                    	                    	                	                                 	                       	                                    	               	                     	                	                     	                      	                       	                        	                  	                             	                 	                      	                                    	                        	                    	                       	                        	                       	                  	                     	                              	              	               	                   	                    	                    	F                        	                   	                          	               	                        	                       	F                        	                   	                      	F                          	                   	                         	                	                        	                   	                   	                      	                       	                               	                       	                     	                          	                      	F                   	                      	                          	                                  	                                       	                        	                      	                                	                    	                       	                                  	                                       	                       	                      	                     	                   	                     	                   	                                   	+                	                          	                                   	F                      	                    	               	C                   	                       	              	F                  	                        	                   	R                  	                           	                   	                	                           	F                       	                   	C                            	                	                              	                     	F                        	R                 	                       	                    	                	                  	                    	                 	               	                         	                       	                                     	                 	                  	                     	                    	                  	                       	                     	                         	                         	                                    	                      	                  	               	                      	                   	                         	              	                   	                       	                       	from ODP Leg 120 SR Vol 2 Chapter 38 Table 4 back pocket

  SR	Early Pliocene   	                 	T. inura          	              	120	 747	A	  4	H	 1	  48.00	     28.4800	Maruyama 	Diatoms                                      	               	                  	                	                        	                        	                  	                                    	                        	                 	                          	                 	                    	                    	               	                        	                       	                      	                    	                   	                      	                      	                                         	                    	                        	                  	                       	                      	                         	                 	                       	                                      	                      	                          	                    	                    	                	                                 	                       	R                                   	R              	+                    	                	                     	                      	                       	                        	                  	                             	                 	                      	                                    	                        	                    	                       	                        	                       	                  	                     	                              	              	               	                   	                    	                    	                         	                   	                          	               	                        	R                      	C                        	                   	                      	C                          	                   	                         	                	                        	                   	+                  	                      	                       	                               	                       	                     	                          	                      	C                   	R                     	                          	                                  	R                                      	+                       	                      	F                               	R                   	                       	                                  	                                       	                       	                      	                     	                   	                     	                   	                                   	                 	                          	                                   	F                      	                    	R              	C                   	                       	              	F                  	                        	                   	                   	R                          	+                  	F               	                           	F                       	R                  	R                            	F               	R                             	?                    	                         	                  	                       	                    	                	                  	                    	                 	               	                         	                       	                                     	                 	                  	                     	                    	                  	                       	                     	                         	                         	                                    	                      	                  	               	                      	                   	                         	              	                   	                       	                       	from ODP Leg 120 SR Vol 2 Chapter 38 Table 4 back pocket

  SR	Late Miocene     	                 	N. reinholdii     	              	120	 747	A	  4	H	 2	  48.00	     29.9800	Maruyama 	Diatoms                                      	               	                  	                	                        	                        	                  	                                    	                        	                 	                          	                 	                    	+                   	               	+                       	                       	                      	                    	                   	                      	                      	                                         	                    	                        	                  	                       	                      	                         	                 	                       	                                      	                      	                          	                    	                    	                	                                 	                       	F                                   	+              	                     	                	                     	                      	                       	                        	                  	                             	                 	                      	                                    	                        	                    	                       	                        	                       	                  	                     	                              	              	               	                   	                    	                    	R                        	                   	                          	               	                        	                       	C                        	                   	                      	F                          	                   	                         	                	                        	                   	R                  	                      	                       	                               	                       	                     	                          	R                     	R                   	                      	                          	                                  	R                                      	+                       	                      	                                	R                   	                       	                                  	                                       	R                      	                      	                     	                   	                     	                   	                                   	C                	                          	R                                  	                       	                    	R              	F                   	                       	              	                   	                        	+                  	R                  	+                          	R                  	R               	+                          	                        	                   	                             	                	                              	                     	                         	                  	                       	                    	                	                  	                    	                 	               	                         	                       	                                     	                 	                  	                     	                    	                  	                       	                     	                         	                         	                                    	                      	                  	               	                      	                   	                         	              	                   	                       	                       	from ODP Leg 120 SR Vol 2 Chapter 38 Table 4 back pocket

  SR	Late Miocene     	                 	N. reinholdii     	              	120	 747	A	  4	H	 3	  48.00	     31.4800	Maruyama 	Diatoms                                      	               	                  	                	                        	                        	                  	                                    	                        	                 	                          	                 	                    	R                   	               	F                       	                       	                      	                    	                   	                      	                      	                                         	                    	                        	                  	                       	                      	                         	                 	                       	                                      	                      	                          	                    	                    	                	                                 	                       	R                                   	               	F                    	                	                     	                      	                       	                        	                  	                             	                 	                      	                                    	                        	                    	                       	                        	                       	                  	                     	                              	              	               	                   	                    	                    	C                        	                   	                          	               	R                       	                       	                         	                   	                      	F                          	C                  	                         	                	                        	                   	                   	                      	                       	                               	                       	                     	                          	+                     	R                   	R                     	                          	                                  	F                                      	+                       	                      	R                               	R                   	R                      	                                  	                                       	                       	R                     	R                    	                   	                     	                   	R                                  	R                	F                         	                                   	F                      	                    	F              	F                   	C                      	+             	+                  	R                       	R                  	                   	                           	                   	                	                           	                        	                   	                             	                	                              	                     	                         	                  	                       	                    	                	                  	                    	                 	               	                         	                       	                                     	                 	                  	                     	                    	                  	                       	                     	                         	                         	                                    	                      	                  	               	                      	                   	                         	              	                   	                       	                       	from ODP Leg 120 SR Vol 2 Chapter 38 Table 4 back pocket
