Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithologic unit (preliminary),MAJ Lith. Prefix,MAJ Lith. Principal name,MAJ Lith. Suffix,MAJ Lith. prefix+name+suffix [read only],TEPHRA type,Sediment structures,MAJ lith color (simple),MAJ Lith. color,MAJ Lith. abundance [%],MAJ Lith. ave. grain size ,MAJ Lith. ave. grain size rank [read only],MAJ Lith. max. grain size,MAJ Lith. max. grain size rank [read only],MAJ lithology comment,MIN Lith. Prefix,MIN Lith. Principal name,MIN Lith. Suffix,MIN Lith. prefix + name,MIN Lith. prefix+name+suffix,MIN Lith. name+suffix,MIN lith color (simple),MIN Lith. color,MIN Lith. abundance [%],MIN Lith. ave. grain size ,MIN Lith. ave. grain size rank,MIN Lith. max. grain size ,MIN Lith. max. grain size rank,MIN lithology comment,Lith. abundance sum [%],Bottom contact or boundary geometry,Bottom contact or boundary definition,Bottom contact or boundary attitude,Layer or bedding thickness,Grading,Amount of ash in lithology,Amount of ash in lithology rank [read only],Sedimentary structure comment,Bioturbation intensity,Bioturbation intensity rank [read only],Diagenetic structure,Macrofossil,General interval comment,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Extra Sample ID Data
355-U1457C-8R-1-A,0,150,249.8,251.3,,silty,clay,,silty clay,,,dark gray,10YR 4/1 (dark gray),70,clay,1,silt,2,,sandy,silt,,sandy silt,sandy silt,silt,dark gray,10YR 4/1 (dark gray),30,silt,2,very fine sand,3,,100,,,,thickly bedded,normally graded,,,,,,,,,,,,355,U1457,C,8,R,1,A,
355-U1457C-8R-2-A,0,53,251.3,251.83,,silty,clay,,silty clay,,,dark gray,10YR 4/1 (dark gray),70,clay,1,silt,2,,sandy,silt,,sandy silt,sandy silt,silt,dark gray,10YR 4/1 (dark gray),30,silt,2,very fine sand,3,,100,,,,medium bedded,normally graded,,,,,,,,,,,,355,U1457,C,8,R,2,A,
355-U1457C-9R-1-A,0,55,259.5,260.05,,silty,clay,,silty clay,,,dark gray,10YR 4/1 (dark gray),90,clay,1,silt,2,,sandy,silt,,sandy silt,sandy silt,silt,dark gray,10YR 4/1 (dark gray),10,silt,2,very fine sand,3,,100,,,,medium bedded,normally graded,,,,,,,,,,,,355,U1457,C,9,R,1,A,
355-U1457C-9R-1-A,57,110,260.07,260.6,,silty,clay,,silty clay,,,dark gray,10YR 4/1 (dark gray),80,clay,1,silt,2,,sandy,silt,,sandy silt,sandy silt,silt,dark gray,10YR 4/1 (dark gray),20,silt,2,very fine sand,3,,100,gradational,gradational,horizontal,thinly bedded,normally graded,,,,,,,,,,,,355,U1457,C,9,R,1,A,
355-U1457C-9R-1-A,110,150,260.6,261,,silty,clay,,silty clay,,,dark gray,10YR 4/1 (dark gray),,clay,1,silt,2,,,,,,,,,,,,,,,,,,,,thickly bedded,,,,,,,,,,,,,355,U1457,C,9,R,1,A,
355-U1457C-9R-2-A,0,67,261,261.67,,silty,clay,,silty clay,,,dark gray,10YR 4/1 (dark gray),60,clay,1,silt,2,,sandy,silt,,sandy silt,sandy silt,silt,dark gray,10YR 4/1 (dark gray),40,silt,2,very fine sand,3,,100,gradational,gradational,horizontal,medium bedded,normally graded,,,,,,,,,,,,355,U1457,C,9,R,2,A,
355-U1457C-9R-2-A,67,111,261.67,262.11,,silty,clay,,silty clay,,,dark gray,10YR 4/1 (dark gray),80,clay,1,silt,2,,sandy,silt,,sandy silt,sandy silt,silt,dark gray,10YR 4/1 (dark gray),20,silt,2,very fine sand,3,,100,,,,,,,,,,,,,,,,,355,U1457,C,9,R,2,A,
355-U1457C-9R-3-A,0,76,262.21,262.97,,silty,clay,,silty clay,,,dark gray,10YR 4/1 (dark gray),70,clay,1,silt,2,,sandy,silt,,sandy silt,sandy silt,silt,dark gray,10YR 4/1 (dark gray),30,silt,2,very fine sand,3,,100,,,,medium bedded,normally graded,,,,,,,,,,,,355,U1457,C,9,R,3,A,
355-U1457C-9R-CC-A,0,12,262.97,263.09,,silty,clay,,silty clay,,,dark gray,10YR 4/1 (dark gray),60,clay,1,silt,2,,sandy,silt,,sandy silt,sandy silt,silt,dark gray,10YR 4/1 (dark gray),40,silt,2,very fine sand,3,,100,,,,thinly bedded,normally graded,,,,,,,,,,,,355,U1457,C,9,R,CC,A,
355-U1457C-10R-1-A,0,34,269.2,269.54,,silty,clay,,silty clay,,,dark gray,10YR 4/1 (dark gray),90,clay,1,silt,2,,sandy,silt,,sandy silt,sandy silt,silt,dark gray,10YR 4/1 (dark gray),10,silt,2,very fine sand,3,,100,,,,medium bedded,normally graded,,,,,,,,,,,,355,U1457,C,10,R,1,A,
355-U1457C-10R-1-A,37,121,269.57,270.41,,silty,clay,,silty clay,,,dark gray,10YR 4/1 (dark gray),80,clay,1,silt,2,,sandy,silt,,sandy silt,sandy silt,silt,dark gray,10YR 4/1 (dark gray),20,silt,2,very fine sand,3,,100,,,,,,,,,,,,,,,,,355,U1457,C,10,R,1,A,
355-U1457C-10R-2-A,0,44,270.41,270.85,,sandy,silt,,sandy silt,,,dark gray,10YR 4/1 (dark gray),60,silt,2,very fine sand,3,,silty,clay,,silty clay,silty clay,clay,dark gray,10YR 4/1 (dark gray),40,clay,1,silt,2,,100,gradational,gradational,horizontal,medium bedded,normally graded,,,,,,,,,,,,355,U1457,C,10,R,2,A,
355-U1457C-10R-2-A,44,69,270.85,271.1,,silty,clay,,silty clay,,,dark gray,10YR 4/1 (dark gray),90,clay,1,silt,2,,sandy,silt,,sandy silt,sandy silt,silt,dark gray,10YR 4/1 (dark gray),10,silt,2,very fine sand,3,,100,,,,thinly bedded,normally graded,,,,,,,,,,,,355,U1457,C,10,R,2,A,
355-U1457C-11R-1-A,0,37,278.9,279.27,,sandy,silt,,sandy silt,,,dark gray,10YR 4/1 (dark gray),60,silt,2,very fine sand,3,,silty,clay,,silty clay,silty clay,clay,dark gray,10YR 4/1 (dark gray),40,clay,1,silt,2,,100,gradational,gradational,horizontal,thinly bedded,normally graded,,,,,,,,,,,,355,U1457,C,11,R,1,A,
355-U1457C-11R-1-A,37,63,279.27,279.53,,silty,clay,,silty clay,,,dark gray,10YR 4/1 (dark gray),80,clay,1,silt,2,,sandy,silt,,sandy silt,sandy silt,silt,dark gray,10YR 4/1 (dark gray),20,silt,2,very fine sand,3,,100,,,,medium bedded,normally graded,,,,,,,,,,,,355,U1457,C,11,R,1,A,
355-U1457C-11R-1-A,65,81,279.55,279.71,,silty,clay,,silty clay,,,dark gray,10YR 4/1 (dark gray),80,clay,1,silt,2,,sandy,silt,,sandy silt,sandy silt,silt,dark gray,10YR 4/1 (dark gray),20,silt,2,very fine sand,3,,100,erosive,scoured,horizontal,thinly bedded,normally graded,,,,,,,,,,,,355,U1457,C,11,R,1,A,
355-U1457C-11R-1-A,81,102,279.71,279.92,,silty,clay,,silty clay,,,dark gray,10YR 4/1 (dark gray),90,clay,1,silt,2,,sandy,silt,,sandy silt,sandy silt,silt,dark gray,10YR 4/1 (dark gray),10,silt,2,very fine sand,3,,100,erosive,scoured,horizontal,thinly bedded,normally graded,,,,,,,,,,,,355,U1457,C,11,R,1,A,
355-U1457C-11R-1-A,102,122,279.92,280.12,,sandy,silt,,sandy silt,,,dark gray,10YR 4/1 (dark gray),60,silt,2,very fine sand,3,,silty,clay,,silty clay,silty clay,clay,dark gray,10YR 4/1 (dark gray),40,clay,1,silt,2,,100,erosive,scoured,horizontal,thinly bedded,normally graded,,,,,,,,,,,,355,U1457,C,11,R,1,A,
355-U1457C-11R-1-A,122,150,280.12,280.4,,silty,clay,,silty clay,,,dark gray,10YR 4/1 (dark gray),60,clay,1,silt,2,,sandy,silt,,sandy silt,sandy silt,silt,dark gray,10YR 4/1 (dark gray),40,silt,2,very fine sand,3,,100,,,,medium bedded,normally graded,,,,,,,,,,,,355,U1457,C,11,R,1,A,
355-U1457C-11R-2-A,0,57,280.4,280.97,,silty,clay,,silty clay,,,dark gray,10YR 4/1 (dark gray),60,clay,1,silt,2,,sandy,silt,,sandy silt,sandy silt,silt,dark gray,10YR 4/1 (dark gray),40,silt,2,very fine sand,3,,100,,,,thinly bedded,normally graded,,,,,,,,,,,,355,U1457,C,11,R,2,A,
355-U1457C-12R-1-A,0,28,288.6,288.88,,silty,clay,,silty clay,,,dark gray,10YR 4/1 (dark gray),50,clay,1,silt,2,,sandy,silt,,sandy silt,sandy silt,silt,dark gray,10YR 4/1 (dark gray),50,silt,2,very fine sand,3,,100,,,,,,,,,,,,,,,,,355,U1457,C,12,R,1,A,
355-U1457C-13R-1-A,0,36,298.3,298.66,,sandy,silt,,sandy silt,,,dark gray,10YR 4/1 (dark gray),60,silt,2,very fine sand,3,,silty,clay,,silty clay,silty clay,clay,dark gray,10YR 4/1 (dark gray),40,clay,1,silt,2,,100,,,,,,,,,,,,,,,,,355,U1457,C,13,R,1,A,
355-U1457C-14R-1-A,0,48,308,308.48,,silty,clay,,silty clay,,,dark gray,10YR 4/1 (dark gray),80,clay,1,silt,2,,sandy,silt,,sandy silt,sandy silt,silt,dark gray,10YR 3/1 (very dark gray),20,silt,2,very fine sand,3,,100,,,,thinly bedded,,,,,,,,,,,,,355,U1457,C,14,R,1,A,
355-U1457C-14R-1-A,50,100,308.5,309,,silty,clay,,silty clay,,,dark gray,10YR 4/1 (dark gray),80,clay,1,silt,2,,sandy,silt,,sandy silt,sandy silt,silt,dark gray,10YR 3/1 (very dark gray),20,silt,2,very fine sand,3,,100,,,,thinly bedded,,,,,,,,,,,,,355,U1457,C,14,R,1,A,
355-U1457C-15R-1-A,0,29,317.7,317.99,,silty,clay,,silty clay,,,dark gray,10YR 4/1 (dark gray),70,clay,1,silt,2,,sandy,silt,,sandy silt,sandy silt,silt,dark gray,10YR 3/1 (very dark gray),30,silt,2,very fine sand,3,,100,,,,thinly bedded,,,,,,,,,,,,,355,U1457,C,15,R,1,A,
355-U1457C-17R-1-A,0,25,337.1,337.35,,silty,clay,,silty clay,,,dark gray,10YR 4/1 (dark gray),80,clay,1,silt,2,,sandy,silt,,sandy silt,sandy silt,silt,dark gray,10YR 3/1 (very dark gray),20,silt,2,very fine sand,3,,100,,,,thinly bedded,,,,,,,,,,,,,355,U1457,C,17,R,1,A,
355-U1457C-18R-1-A,0,150,346.8,348.3,,silty,claystone,,silty claystone,,,brown,10YR 4/1 (dark gray),90,clay,1,silt,2,,clayey,siltstone,,clayey siltstone,clayey siltstone,siltstone,dark gray,GLEY 1 3/10Y (very dark greenish gray),10,silt,2,silt,2,,100,,,,thinly bedded,,,,,,,pyrite,,,,,,355,U1457,C,18,R,1,A,
355-U1457C-18R-2-A,0,55,348.3,348.85,,silty,claystone,,silty claystone,,,brown,10YR 4/1 (dark gray),90,clay,1,silt,2,,clayey,siltstone,,clayey siltstone,clayey siltstone,siltstone,dark gray,GLEY 1 3/10Y (very dark greenish gray),10,silt,2,silt,2,,100,erosive,sharp,horizontal,thinly bedded,,,,,,,,,,,,,355,U1457,C,18,R,2,A,
355-U1457C-18R-2-A,55,64,348.85,348.94,,calcareous rich,claystone,with silt,calcareous rich claystone with silt,,,dark green,GLEY 1 4/10Y (dark greenish gray),80,clay,1,silt,2,,silty,claystone,,silty claystone,silty claystone,claystone,brown,10YR 4/1 (dark gray),20,clay,1,silt,2,,100,erosive,sharp,horizontal,thinly bedded,,,,,,,,,,,,,355,U1457,C,18,R,2,A,
355-U1457C-18R-2-A,64,150,348.94,349.8,,silty,claystone,,silty claystone,,,brown,10YR 4/1 (dark gray),90,clay,1,silt,2,,clayey,siltstone,,clayey siltstone,clayey siltstone,siltstone,dark gray,GLEY 1 3/10Y (very dark greenish gray),10,silt,2,silt,2,,100,,,,thinly bedded,,,,,,,,,,,,,355,U1457,C,18,R,2,A,
355-U1457C-18R-3-A,0,150,349.8,351.3,,silty,claystone,,silty claystone,,,brown,10YR 4/1 (dark gray),90,clay,1,silt,2,,clayey,siltstone,,clayey siltstone,clayey siltstone,siltstone,dark gray,GLEY 1 3/10Y (very dark greenish gray),10,silt,2,silt,2,,100,,,,thinly bedded,,,,,,,,,,,,,355,U1457,C,18,R,3,A,
355-U1457C-18R-4-A,0,150,351.3,352.8,,silty,claystone,,silty claystone,,,brown,10YR 4/1 (dark gray),90,clay,1,silt,2,,clayey,siltstone,,clayey siltstone,clayey siltstone,siltstone,dark gray,GLEY 1 3/10Y (very dark greenish gray),10,silt,2,silt,2,,100,,,,thinly bedded,,,,,,,,,,,,,355,U1457,C,18,R,4,A,
355-U1457C-18R-5-A,0,150,352.8,354.3,,silty,claystone,,silty claystone,,,brown,10YR 4/1 (dark gray),90,clay,1,silt,2,,clayey,siltstone,,clayey siltstone,clayey siltstone,siltstone,dark gray,GLEY 1 3/10Y (very dark greenish gray),10,silt,2,silt,2,,100,,,,thinly bedded,,,,,,,,,,,,,355,U1457,C,18,R,5,A,
355-U1457C-18R-6-A,0,140,354.3,355.7,,silty,claystone,,silty claystone,,,brown,10YR 4/1 (dark gray),90,clay,1,silt,2,,clayey,siltstone,,clayey siltstone,clayey siltstone,siltstone,dark gray,GLEY 1 3/10Y (very dark greenish gray),10,silt,2,silt,2,,100,,,,thinly bedded,,,,,,,,,,,,,355,U1457,C,18,R,6,A,
355-U1457C-18R-7-A,0,8,355.8,355.88,,silty,claystone,,silty claystone,,,brown,10YR 4/1 (dark gray),90,clay,1,silt,2,,clayey,siltstone,,clayey siltstone,clayey siltstone,siltstone,dark gray,GLEY 1 3/10Y (very dark greenish gray),10,silt,2,silt,2,,100,,,,thinly bedded,,,,,,,,,,,,,355,U1457,C,18,R,7,A,
355-U1457C-18R-7-A,8,66,355.88,356.46,,silty,claystone,,silty claystone,,,brown,10YR 4/1 (dark gray),,clay,1,silt,2,,,,,,,,,,,,,,,,,,,,thinly bedded,,,,,,,,,,,,,355,U1457,C,18,R,7,A,
355-U1457C-18R-CC-A,0,14,356.46,356.6,,silty,claystone,,silty claystone,,,brown,10YR 4/1 (dark gray),,clay,1,silt,2,,,,,,,,,,,,,,,,,,,,thinly bedded,,,,,,,,,,,,,355,U1457,C,18,R,CC,A,
355-U1457C-19R-1-A,0,150,356.5,358,,silty,claystone,,silty claystone,,,brown,10YR 4/1 (dark gray),98,clay,1,silt,2,,clayey,siltstone,,clayey siltstone,clayey siltstone,siltstone,dark gray,GLEY 1 4/N (dark gray),2,silt,2,silt,2,,100,,,,thinly bedded,,,,,,,pyrite,,,,,,355,U1457,C,19,R,1,A,
355-U1457C-19R-2-A,0,150,358,359.5,,silty,claystone,,silty claystone,,,brown,10YR 4/1 (dark gray),98,clay,1,silt,2,,clayey,siltstone,,clayey siltstone,clayey siltstone,siltstone,dark gray,GLEY 1 4/N (dark gray),2,silt,2,silt,2,,100,,,,thinly bedded,,,,,,,,,,,,,355,U1457,C,19,R,2,A,
355-U1457C-19R-3-A,0,150,359.5,361,,silty,claystone,,silty claystone,,,brown,10YR 4/1 (dark gray),98,clay,1,silt,2,,clayey,siltstone,,clayey siltstone,clayey siltstone,siltstone,dark gray,GLEY 1 4/N (dark gray),2,silt,2,silt,2,,100,,,,thinly bedded,,,,,,,,,,,,,355,U1457,C,19,R,3,A,
355-U1457C-19R-4-A,0,140,361,362.4,,silty,claystone,,silty claystone,,,brown,10YR 4/1 (dark gray),98,clay,1,silt,2,,clayey,siltstone,,clayey siltstone,clayey siltstone,siltstone,dark gray,GLEY 1 4/N (dark gray),2,silt,2,silt,2,,100,,,,thinly bedded,,,,,,,,,,,,,355,U1457,C,19,R,4,A,
355-U1457C-19R-5-A,0,84,362.5,363.34,,silty,claystone,,silty claystone,,,brown,10YR 4/1 (dark gray),98,clay,1,silt,2,,clayey,siltstone,,clayey siltstone,clayey siltstone,siltstone,dark gray,GLEY 1 4/N (dark gray),2,silt,2,silt,2,,100,erosive,sharp,horizontal,thickly bedded,,,,,,,,,,,,,355,U1457,C,19,R,5,A,
355-U1457C-19R-5-A,84,105,363.34,363.55,,silty,sand,,silty sand,,,dark gray,10YR 3/1 (very dark gray),,very fine sand,3,fine sand,4,,,,,,,,,,,,,,,,,,,,medium bedded,normally graded,,,,,,,,,,,,355,U1457,C,19,R,5,A,
355-U1457C-20R-1-A,8,84,366.28,367.04,,silty,claystone,,silty claystone,,,brown,10YR 4/1 (dark gray),60,clay,1,silt,2,,silty,sand,,silty sand,silty sand,sand,dark gray,GLEY 1 4/N (dark gray),40,silt,2,fine sand,4,,100,erosive,sharp,horizontal,thinly bedded,normally graded,,,,,,,wood,,,,,355,U1457,C,20,R,1,A,
355-U1457C-20R-1-A,84,147,367.04,367.67,,silty,claystone,,silty claystone,,,brown,10YR 4/1 (dark gray),98,clay,1,silt,2,,clayey,siltstone,,clayey siltstone,clayey siltstone,siltstone,dark gray,GLEY 1 4/N (dark gray),2,silt,2,silt,2,,100,,,,thinly bedded,,,,,,,,,,,,,355,U1457,C,20,R,1,A,
355-U1457C-20R-2-A,0,87,367.67,368.54,,silty,claystone,,silty claystone,,,brown,10YR 4/1 (dark gray),95,clay,1,silt,2,,clayey,siltstone,,clayey siltstone,clayey siltstone,siltstone,dark gray,GLEY 1 4/N (dark gray),5,silt,2,silt,2,,100,,,,thinly bedded,,,,,,,,,,,,,355,U1457,C,20,R,2,A,
355-U1457C-20R-CC-A,0,7,368.54,368.61,,silty,claystone,,silty claystone,,,brown,10YR 4/1 (dark gray),90,clay,1,silt,2,,silty,sand,,silty sand,silty sand,sand,dark gray,GLEY 1 4/N (dark gray),10,silt,2,very fine sand,3,,100,,,,thinly bedded,,,,,,,,,,,,,355,U1457,C,20,R,CC,A,
355-U1457C-21R-1-A,0,13,375.9,376.03,,silty,claystone,,silty claystone,,,brown,10YR 4/1 (dark gray),95,clay,1,silt,2,,silty,sand,,silty sandstone,silty sand,sand,dark gray,GLEY 1 4/N (dark gray),5,silt,2,fine sand,4,,100,,,,thinly bedded,,,,,,,,,,,,,355,U1457,C,21,R,1,A,
355-U1457C-22R-1-A,0,14,385.6,385.74,,,clay,,clay,,,light gray,GLEY 1 7/10Y (light greenish grey),60,clay,1,clay,1,,silty,clay,,silty clay,silty clay,clay,gray,GLEY 1 5/10Y (greenish gray),40,clay,1,silt,2,,100,gradational,gradational,sub-horizontal,thinly bedded,,,,,,,,,,,,,355,U1457,C,22,R,1,A,
355-U1457C-22R-1-A,14,26,385.74,385.86,,,claystone,,claystone,,Chondrites,grayish green,GLEY 1 4/10Y (dark greenish gray),,clay,1,clay,1,,,,,,,,,,,,,,,,,irregular,bioturbated,sub-horizontal,thinly bedded,,,,,heavy,5,,,,,,,355,U1457,C,22,R,1,A,
355-U1457C-22R-1-A,26,45,385.86,386.05,,,clay,,clay,,,light greenish gray,GLEY 1 5/10Y (greenish gray),,clay,1,clay,1,,,,,,,,,,,,,,,,,irregular,sharp,sub-horizontal,medium bedded,,,,,,,,,,,,,355,U1457,C,22,R,1,A,
355-U1457C-22R-1-A,45,96,386.05,386.56,,nannofossil rich,claystone,,nannofossil rich claystone,,burrows,dark greenish gray,GLEY 1 4/5G (greenish gray),60,clay,1,clay,1,,nannofossil rich,clay,,nannofossil rich clay,nannofossil rich clay,clay,gray,GLEY 1 5/10Y (greenish gray),40,clay,1,clay,1,,100,irregular,gradational,sub-horizontal,medium bedded,,,,,moderate,3,,shell fragment,,,,,355,U1457,C,22,R,1,A,
355-U1457C-22R-1-A,96,124,386.56,386.84,,nannofossil rich,claystone,,nannofossil rich claystone,,Planolites,gray,GLEY 1 4/10Y (dark greenish gray),60,clay,1,clay,1,,nannofossil rich,clay,,nannofossil rich clay,nannofossil rich clay,clay,gray,GLEY 1 5/10Y (greenish gray),40,clay,1,clay,1,,100,irregular,gradational,sub-horizontal,medium bedded,,,,,heavy,5,,,,,,,355,U1457,C,22,R,1,A,
355-U1457C-22R-1-A,124,150,386.84,387.1,,nannofossil rich,claystone,,nannofossil rich claystone,,Chondrites,dark greenish gray,GLEY 1 3/10Y (very dark greenish gray),,clay,1,clay,1,,,,,,,,,,,,,,,,,,,,medium bedded,,,,,heavy,5,,,,,,,355,U1457,C,22,R,1,A,
355-U1457C-22R-2-A,0,39,387.1,387.49,,nannofossil rich,claystone,,nannofossil rich claystone,,Zoophycos,greenish gray,GLEY 1 4/5G (dark greenish gray),,clay,1,clay,1,,,,,,,,,,,,,,,,,bioturbated,bioturbated,horizontal,thinly bedded,,,,,moderate,3,,,,,,,355,U1457,C,22,R,2,A,
355-U1457C-22R-2-A,39,51,387.49,387.61,,nannofossil rich,claystone,,nannofossil rich claystone,,Planolites,greenish gray,GLEY 1 4/5G (dark greenish gray),60,clay,1,clay,1,,silty,claystone,,silty claystone,silty claystone,claystone,dark green,GLEY 1 3/10Y (very dark greenish gray),40,clay,1,silt,2,,100,gradational,gradational,horizontal,thinly bedded,,,,,moderate,3,,,,,,,355,U1457,C,22,R,2,A,
355-U1457C-22R-2-A,51,109,387.61,388.19,,nannofossil rich,claystone,,nannofossil rich claystone,,Zoophycos,green,GLEY 1 4/5GY (dark greenish gray),,clay,1,clay,1,,,,,,,,,,,,,,,,,gradational,gradational,horizontal,thinly bedded,,,,,moderate,3,,,,,,,355,U1457,C,22,R,2,A,
355-U1457C-22R-2-A,109,126,388.19,388.36,,clayey,siltstone,,clayey siltstone,,parallel lamination,green,GLEY 1 4/5GY (dark greenish gray),,silt,2,silt,2,,,,,,,,,,,,,,,,,gradational,gradational,horizontal,medium bedded,,,,,,,,,,,,,355,U1457,C,22,R,2,A,
355-U1457C-22R-2-A,126,150,388.36,388.6,,nannofossil rich,claystone,,nannofossil rich claystone,,Chondrites,green,GLEY 1 4/5GY (dark greenish gray),80,clay,1,clay,1,,silty,clay,,silty clay,silty clay,clay,gray,GLEY 1 5/10Y (greenish gray),20,clay,1,silt,2,,100,,,,medium bedded,,,,,moderate,3,,,,,,,355,U1457,C,22,R,2,A,
355-U1457C-22R-3-A,0,39,388.6,388.99,,nannofossil rich,claystone,,nannofossil rich claystone,,Zoophycos,green,GLEY 1 4/5GY (dark greenish gray),80,clay,1,clay,1,,silty,claystone,,silty claystone,silty claystone,claystone,gray,GLEY 1 5/10Y (greenish gray),20,clay,1,silt,2,,100,gradational,gradational,horizontal,thinly bedded,,,,,slight,2,,,,,,,355,U1457,C,22,R,3,A,
355-U1457C-22R-3-A,39,53,388.99,389.13,,nannofossil rich,claystone,,nannofossil rich claystone,,Chondrites,green,GLEY 1 4/5GY (dark greenish gray),,clay,1,clay,1,,,,,,,,,,,,,,,,,gradational,gradational,horizontal,medium bedded,,,,,moderate,3,,,,,,,355,U1457,C,22,R,3,A,
355-U1457C-22R-3-A,53,74,389.13,389.34,,nannofossil rich,claystone,,nannofossil rich claystone,,Zoophycos,green,GLEY 1 4/5GY (dark greenish gray),,clay,1,clay,1,,,,,,,,,,,,,,,,,bioturbated,bioturbated,horizontal,medium bedded,,,,,heavy,5,,,,,,,355,U1457,C,22,R,3,A,
