dupes and comments,Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Drilling disturbance type,Drilling disturbance intensity,Drilling disturbance intensity rank,Lithology Prefix,Lithology Principal Name,Lithology Suffix,MAJ Lith. color,MAJ Lith. prefix + name,MAJ Lith. prefix+name+suffix,MAJ Lith. ave. grain size ,MAJ Lith. ave. grain size rank,MAJ Lith. max. grain size,MAJ Lith. max. grain size rank,Lith. comment,Clast lithology,Clast size,Clast morphology (shape),Clast sorting,Clast color,Clast roundness,Clast roundness rank,Clast lithology comment,Matrix sorting,Clast/matrix texture,Matrix comment,Bioturbation intensity,Bioturbation intensity rank,General comment,File Data,Ship File Links,Shore File Links
,344-U1381C-2H-1,344,U1381,C,2,2-1,H,1,,105.5,107.0,9.155,9.17,,moderate [drilling disturbance],4,,tephra [FS84],,N 2.5 (black),tephra ,tephra ,fine sand [W22_2],4,fine sand [W22_2],4,,,,,,,,,,very well [BP01],,,absent [B06],0,,,,
,344-U1381C-2H-1-A,344,U1381,C,2,2-1,H,1,A,0.0,96.0,8.1,9.06,,minimal [drilling disturbance],1,,clay [USGS],with nannofossils [Leg339],10Y 4/1 (dark greenish gray),clay ,clay  with nannofossils ,clay [W22_2],1,clay [W22_2],1,,,,,,,,,,very well [BP01],,,slight [B06],2,,,,
,344-U1381C-2H-1-A,344,U1381,C,2,2-1,H,1,A,102.0,105.5,9.12,9.155,,minimal [drilling disturbance],1,,clay [USGS],with nannofossils [Leg339],10Y 4/1 (dark greenish gray),clay ,clay  with nannofossils ,clay [W22_2],1,clay [W22_2],1,,,,,,,,,,very well [BP01],,,slight [B06],2,,,,
,344-U1381C-2H-1-A,344,U1381,C,2,2-1,H,1,A,107.0,150.0,9.17,9.6,,minimal [drilling disturbance],1,,clay [USGS],with nannofossils [Leg339],10Y 4/1 (dark greenish gray),clay ,clay  with nannofossils ,clay [W22_2],1,clay [W22_2],1,,,,,,,,,,very well [BP01],,,slight [B06],2,,,,
,344-U1381C-2H-2,344,U1381,C,2,2-2,H,2,,0.0,45.0,9.6,10.05,,minimal [drilling disturbance],1,silty,clay [USGS],with nannofossils [Leg339],10Y 4/1 (dark greenish gray),silty  clay ,silty clay  with nannofossils ,clay [W22_2],1,clay [W22_2],1,,,,,,,,,,very well [BP01],,,slight [B06],2,,,,
,344-U1381C-2H-2,344,U1381,C,2,2-2,H,2,,45.0,150.0,10.05,11.1,,minimal [drilling disturbance],1,,clay [USGS],with nannofossils [Leg339],10Y 4/2 (grayish green),clay ,clay  with nannofossils ,,,,,,,,,,,,,,very well [BP01],,,slight [B06],2,,,,
,344-U1381C-2H-3-A,344,U1381,C,2,2-3,H,3,A,0.0,150.0,11.1,12.6,,minimal [drilling disturbance],1,silty,clay [USGS],with nannofossils [Leg339],10Y 4/2 (grayish green),silty  clay ,silty clay  with nannofossils ,fine silt [W22_2],3,fine silt [W22_2],3,,,,,,,,,,very well [BP01],,,slight [B06],2,,,,
,344-U1381C-2H-4-A,344,U1381,C,2,2-4,H,4,A,0.0,42.0,12.6,13.02,,minimal [drilling disturbance],1,silty,clay [USGS],with nannofossils [Leg339],10Y 4/1 (dark greenish gray),silty  clay ,silty clay  with nannofossils ,clay [W22_2],1,fine silt [W22_2],3,,,,,,,,,,very well [BP01],,,slight [B06],2,,,,
,344-U1381C-2H-4-A,344,U1381,C,2,2-4,H,4,A,42.0,44.0,13.02,13.04,,minimal [drilling disturbance],1,,tephra [FS84],,10GY 4/1 (dark greenish gray),tephra ,tephra ,very fine sand [W22_2],3,fine sand [W22_2],4,,,,,,,,,,very well [BP01],,,absent [B06],0,,,,
,344-U1381C-2H-4-A,344,U1381,C,2,2-4,H,4,A,44.0,140.0,13.04,14.0,,minimal [drilling disturbance],1,silty,clay [USGS],with nannofossils [Leg339],10Y 4/2 (grayish green),silty  clay ,silty clay  with nannofossils ,fine silt [W22_2],3,medium silt [W22_2],4,,,,,,,,,,very well [BP01],,,common [B06],4,,,,
,344-U1381C-2H-4-A,344,U1381,C,2,2-4,H,4,A,140.0,150.0,14.0,14.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,IW,,,
,344-U1381C-2H-5-A,344,U1381,C,2,2-5,H,5,A,0.0,150.0,14.1,15.6,,minimal [drilling disturbance],1,silty,clay [USGS],with nannofossils [Leg339],10Y 4/1 (dark greenish gray),silty  clay ,silty clay  with nannofossils ,clay [W22_2],1,fine silt [W22_2],3,,,,,,,,,,very well [BP01],,,common [B06],4,,,,
,344-U1381C-2H-6-A,344,U1381,C,2,2-6,H,6,A,0.0,140.0,15.6,17.0,,minimal [drilling disturbance],1,,clay [USGS],with nannofossils [Leg339],10Y 4/1 (dark greenish gray),clay ,clay  with nannofossils ,clay [W22_2],1,clay [W22_2],1,,,,,,,,,,very well [BP01],,,slight [B06],2,bioturbation is slight but in the interval between 31 to 74 we have moderate bioturbation,,,
,344-U1381C-2H-6-A,344,U1381,C,2,2-6,H,6,A,140.0,150.0,17.0,17.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,IW,,,
,344-U1381C-2H-7-A,344,U1381,C,2,2-7,H,7,A,0.0,3.0,17.1,17.13,,minimal [drilling disturbance],1,,clay [USGS],with foraminifers [Leg339],10Y 4/1 (dark greenish gray),clay ,clay  with foraminifers ,clay [W22_2],1,clay [W22_2],1,,,,,,,,,,very well [BP01],,,common [B06],4,pyrite all over the core,,,
,344-U1381C-2H-7-A,344,U1381,C,2,2-7,H,7,A,3.0,6.0,17.13,17.16,,minimal [drilling disturbance],1,,tephra [FS84],,10Y 6/1 (greenish gray),tephra ,tephra ,clay [W22_2],1,clay [W22_2],1,,,,,,,,,,very well [BP01],,,common [B06],4,,,,
,344-U1381C-2H-7-A,344,U1381,C,2,2-7,H,7,A,6.0,69.0,17.16,17.79,,minimal [drilling disturbance],1,,clay [USGS],with foraminifers [Leg339],10Y 4/1 (dark greenish gray),clay ,clay  with foraminifers ,clay [W22_2],1,clay [W22_2],1,,,,,,,,,,very well [BP01],,,common [B06],4,pyrite all over the core,,,
,344-U1381C-2H-CC-A,344,U1381,C,2,2-CC,H,CC,A,0.0,32.0,17.79,18.11,,minimal [drilling disturbance],1,,clay [USGS],with foraminifers [Leg339],10Y 4/1 (dark greenish gray),clay ,clay  with foraminifers ,clay [W22_2],1,clay [W22_2],1,,,,,,,,,,very well [BP01],,,common [B06],4,pyrite all over the core,,,
,344-U1381C-3H-1-A,344,U1381,C,3,3-1,H,1,A,0.0,150.0,17.6,19.1,,minimal [drilling disturbance],1,,clay [USGS],,10Y 4/1 (dark greenish gray),clay ,clay ,clay [W22_2],1,clay [W22_2],1,,pyrite,pebble [W22_2],nuggets,,N 5 (gray),rounded,5,,very well [BP01],matrix supported / mud supported,,slight [B06],2,pyrite framboid clast at 56 to 57; abundant foraminifers; pyrite noodles allover the section ,,,
,344-U1381C-3H-2-A,344,U1381,C,3,3-2,H,2,A,0.0,125.0,19.1,20.35,,minimal [drilling disturbance],1,,clay [USGS],,10Y 4/1 (dark greenish gray),clay ,clay ,clay [W22_2],1,clay [W22_2],1,,pyrite,pebble [W22_2],nuggets,,N 5 (gray),rounded,5,,very well [BP01],matrix supported / mud supported,,slight [B06],2,pyrite framboid clast at 93; abundant foraminifers; pyrite noodles allover the section. upper part (1 to 38 cm) moderately bioturbated.,,,
,344-U1381C-3H-2-A,344,U1381,C,3,3-2,H,2,A,125.0,150.0,20.35,20.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,IW,,,
,344-U1381C-3H-3-A,344,U1381,C,3,3-3,H,3,A,0.0,150.0,20.6,22.1,,minimal [drilling disturbance],1,,clay [USGS],,10Y 4/1 (dark greenish gray),clay ,clay ,clay [W22_2],1,clay [W22_2],1,,pyrite,pebble [W22_2],nuggets,,N 5 (gray),rounded,5,,very well [BP01],matrix supported / mud supported,,slight [B06],2,pyrite framboid clast at 98 to 99 insight of a burrow; abundant foraminifers; pyrite noodles allover the section ,,,
,344-U1381C-3H-4-A,344,U1381,C,3,3-4,H,4,A,0.0,140.0,22.1,23.5,,minimal [drilling disturbance],1,,clay [USGS],,10Y 4/1 (dark greenish gray),clay ,clay ,clay [W22_2],1,clay [W22_2],1,,pyrite,pebble [W22_2],elongate,,N 5 (gray),rounded,5,,very well [BP01],matrix supported / mud supported,,common [B06],4,"pyrite framboid clast at 31, 38, 95 cm; abundant foraminifers; pyrite noodles allover the section ",,,
,344-U1381C-3H-4-A,344,U1381,C,3,3-4,H,4,A,140.0,150.0,23.5,23.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,IW,,,
,344-U1381C-3H-5-A,344,U1381,C,3,3-5,H,5,A,0.0,136.0,23.6,24.96,,minimal [drilling disturbance],1,,clay [USGS],with silt [Leg339],10Y 4/1 (dark greenish gray),clay ,clay  with silt ,clay [W22_2],1,clay [W22_2],1,,,,,,,,,,very well [BP01],matrix supported / mud supported,,common [B06],4,In the lower part a minor silt fraction is more abundant but not dominant enough to classify as silty clay,,,
,344-U1381C-3H-5-A,344,U1381,C,3,3-5,H,5,A,136.0,150.0,24.96,25.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,IW,,,
,344-U1381C-3H-6-A,344,U1381,C,3,3-6,H,6,A,0.0,139.0,25.1,26.49,,minimal [drilling disturbance],1,,clay [USGS],,10Y 4/1 (dark greenish gray),clay ,clay ,clay [W22_2],1,clay [W22_2],1,,tephra [FS84],pebble [W22_2],nuggets,,10R 7/1 (light gray),rounded,5,,very well [BP01],matrix supported / mud supported,,common [B06],4,ash pods in mm size starting at 40 cm ,,,
,344-U1381C-3H-6-A,344,U1381,C,3,3-6,H,6,A,139.0,150.0,26.49,26.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,IW,,,
,344-U1381C-3H-7-A,344,U1381,C,3,3-7,H,7,A,0.0,14.0,26.6,26.74,,minimal [drilling disturbance],1,silty,clay [USGS],with nannofossils [Leg339],10Y 4/1 (dark greenish gray),silty  clay ,silty clay  with nannofossils ,clay [W22_2],1,medium silt [W22_2],4,,,,,,,,,,,,,,,Between 11 and 12 xm the tephra concentration is higher,,,
,344-U1381C-3H-7-A,344,U1381,C,3,3-7,H,7,A,14.0,21.0,26.74,26.81,,minimal [drilling disturbance],1,,tephra [FS84],,10R 7/1 (light gray),tephra ,tephra ,medium sand [W22_2],5,coarse sand [W22_2],6,,,,,,,,,,well [BP01],,,absent [B06],0,"Sub horizontal, normally graded tephra layer with sand size and finer grains.   ",,,
,344-U1381C-3H-7-A,344,U1381,C,3,3-7,H,7,A,21.0,24.5,26.81,26.845,,minimal [drilling disturbance],1,silty,clay [USGS],with biogenic carbonate [Leg339],10Y 4/1 (dark greenish gray),silty  clay ,silty clay  with biogenic carbonate ,clay [W22_2],1,medium silt [W22_2],4,,tephra [FS84],pebble [W22_2],blocky,,10R 7/1 (light gray),subangular,3,,very well [BP01],matrix supported / mud supported,,common [B06],4,"Layer between two tephra layers (lower one desiminated) contains irregular cm-sized pods of sandy tephra, bioturbated",,,
,344-U1381C-3H-7-A,344,U1381,C,3,3-7,H,7,A,24.5,25.0,26.845,26.85,,minimal [drilling disturbance],1,,tephra [FS84],,10R 7/1 (light gray),tephra ,tephra ,fine sand [W22_2],4,fine sand [W22_2],4,,,,,,,,,,very well [BP01],,,slight [B06],2,diseminated layer of ash,,,
,344-U1381C-3H-7-A,344,U1381,C,3,3-7,H,7,A,25.0,65.0,26.85,27.25,,minimal [drilling disturbance],1,,clay [USGS],with biogenic carbonate [Leg339],10Y 4/1 (dark greenish gray),clay ,clay  with biogenic carbonate ,clay [W22_2],1,clay [W22_2],1,,,,,,,,,,very well [BP01],,,slight [B06],2,,,,
,344-U1381C-3H-CC-A,344,U1381,C,3,3-CC,H,CC,A,0.0,40.0,27.26,27.66,,slight to moderate [drilling disturbance],3,,clay [USGS],with biogenic carbonate [Leg339],10Y 4/1 (dark greenish gray),clay ,clay  with biogenic carbonate ,clay [W22_2],1,clay [W22_2],1,,,,,,,,,,very well [BP01],,,slight [B06],2,,,,
,344-U1381C-4H-1-A,344,U1381,C,4,4-1,H,1,A,0.0,150.0,27.1,28.6,,minimal [drilling disturbance],1,silty,clay [USGS],with biogenic components [Leg339],10Y 4/2 (grayish green),silty  clay ,silty clay  with biogenic components ,clay [W22_2],1,fine sand [W22_2],4,,,,,,,,,,,,,common [B06],4,,,,
,344-U1381C-4H-2-A,344,U1381,C,4,4-2,H,2,A,0.0,126.0,28.6,29.86,,minimal [drilling disturbance],1,silty,clay [USGS],with biogenic components [Leg339],10Y 4/2 (grayish green),silty  clay ,silty clay  with biogenic components ,clay [W22_2],1,fine sand [W22_2],4,,,,,,,,,,,,,common [B06],4,,,,
,344-U1381C-4H-2-A,344,U1381,C,4,4-2,H,2,A,126.0,150.0,29.86,30.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,IW,,,
,344-U1381C-4H-3-A,344,U1381,C,4,4-3,H,3,A,0.0,140.0,30.1,31.5,,minimal [drilling disturbance],1,silty,clay [USGS],with biogenic components [Leg339],10Y 4/2 (grayish green),silty  clay,silty clay with biogenic components ,clay [W22_2],1,fine sand [W22_2],4,,,,,,,,,,,,,common [B06],4,,,,
,344-U1381C-4H-3-A,344,U1381,C,4,4-3,H,3,A,140.0,150.0,31.5,31.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,IW,,,
,344-U1381C-4H-4-A,344,U1381,C,4,4-4,H,4,A,0.0,1.0,31.6,31.61,,slight [drilling disturbance],2,,gravel [USGS],with biogenic components [Leg339],10Y 2.5/1 (greenish black),gravel,gravel with biogenic components ,pebble [W22_2],9,pebble [W22_2],9,,clay [USGS],pebble [W22_2],,,10GY 4/1 (dark greenish gray),rounded,5,,,,,slight [B06],2,together wih dark clay/silt that is no ash,,,
,344-U1381C-4H-4-A,344,U1381,C,4,4-4,H,4,A,1.0,150.0,31.61,33.1,,minimal [drilling disturbance],1,silty,clay [USGS],with biogenic components [Leg339],10Y 4/2 (grayish green),silty  clay,silty clay with biogenic components ,clay [W22_2],1,fine sand [W22_2],4,,,,,,,,,,,,,common [B06],4,,,,
,344-U1381C-4H-5-A,344,U1381,C,4,4-5,H,5,A,0.0,140.0,33.1,34.5,,minimal [drilling disturbance],1,silty,clay [USGS],with biogenic components [Leg339],10Y 4/2 (grayish green),silty  clay,silty clay with biogenic components ,clay [W22_2],1,fine sand [W22_2],4,,,,,,,,,,,,,common [B06],4,,,,
,344-U1381C-4H-5-A,344,U1381,C,4,4-5,H,5,A,140.0,150.0,34.5,34.6,,,1,,,,,,,,,,,,,,,,,,,,,,,,,IW,,,
,344-U1381C-4H-6-A,344,U1381,C,4,4-6,H,6,A,0.0,15.0,34.6,34.75,,minimal [drilling disturbance],1,silty,clay [USGS],with biogenic components [Leg339],10Y 4/2 (grayish green),silty  clay,silty clay with biogenic components ,clay [W22_2],1,fine sand [W22_2],4,,,,,,,,,,,,,common [B06],4,,,,
,344-U1381C-4H-6-A,344,U1381,C,4,4-6,H,6,A,15.0,82.0,34.75,35.42,,minimal [drilling disturbance],1,silty,clay [USGS],with biogenic components [Leg339],10Y 3/2 (very dark grayish green),silty  clay,silty clay with biogenic components ,clay [W22_2],1,fine sand [W22_2],4,,,,,,,,,,,,,common [B06],4,,,,
,344-U1381C-4H-6-A,344,U1381,C,4,4-6,H,6,A,82.0,150.0,35.42,36.1,,minimal [drilling disturbance],1,silty,clay,with biogenic components [Leg339],10Y 4/2 (grayish green),silty  clay,silty clay with biogenic components ,clay [W22_2],1,fine sand [W22_2],4,,,,,,,,,,,,,common [B06],4,,,,
,344-U1381C-4H-7-A,344,U1381,C,4,4-7,H,7,A,0.0,71.0,36.1,36.81,,minimal [drilling disturbance],1,silty-sandy [Leg339],clay [USGS],with biogenic components [Leg339],10Y 4/2 (grayish green),silty-sandy   clay,silty-sandy  clay with biogenic components ,clay [W22_2],1,fine sand [W22_2],4,,,,,,,,,,,,,common [B06],4,,,,
,344-U1381C-4H-CC,344,U1381,C,4,4-CC,H,CC,,0.0,26.0,36.82,37.08,,moderate to high [drilling disturbance],5,silty-sandy [Leg339],clay [USGS],with biogenic components [Leg339],10Y 4/2 (grayish green),silty-sandy   clay,silty-sandy  clay with biogenic components ,clay [W22_2],1,fine sand [W22_2],4,,,,,,,,,,,,,common [B06],4,,,,
,344-U1381C-4H-CC,344,U1381,C,4,4-CC,H,CC,,26.0,34.0,37.08,37.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,PAL,,,
,344-U1381C-5H-1-A,344,U1381,C,5,5-1,H,1,A,0.0,150.0,36.6,38.1,,minimal [drilling disturbance],1,silty-sandy [Leg339],clay [USGS],with biogenic components [Leg339],10Y 4/1 (dark greenish gray),silty-sandy   clay,silty-sandy  clay with biogenic components ,clay [W22_2],1,silt [W22_1],2,,,,,,,,,,,,,common [B06],4,mottled appearance due to bioturbation,,,
,344-U1381C-5H-2-A,344,U1381,C,5,5-2,H,2,A,0.0,129.0,38.1,39.39,,minimal [drilling disturbance],1,silty-sandy [Leg339],clay [USGS],with biogenic components [Leg339],10Y 4/1 (dark greenish gray),silty-sandy   clay,silty-sandy  clay with biogenic components ,clay [W22_2],1,silt [W22_1],2,,,,,,,,,,,,,common [B06],4,,,,
,344-U1381C-5H-2-A,344,U1381,C,5,5-2,H,2,A,129.0,134.0,39.39,39.44,,moderate [drilling disturbance],4,,tephra [FS84],,10YR 3/1 (very dark gray),tephra,tephra,medium sand [W22_2],5,medium sand [W22_2],5,,,,,,,,,,well [BP01],,,common [B06],4,,,,
,344-U1381C-5H-2-A,344,U1381,C,5,5-2,H,2,A,134.0,148.0,39.44,39.58,,minimal [drilling disturbance],1,silty-sandy [Leg339],clay [USGS],with biogenic components [Leg339],10Y 4/1 (dark greenish gray),silty-sandy   clay,silty-sandy  clay with biogenic components ,clay [W22_2],1,silt [W22_1],2,,,,,,,,,,,,,common [B06],4,,,,
,344-U1381C-5H-2-A,344,U1381,C,5,5-2,H,2,A,148.0,150.0,39.58,39.6,,minimal [drilling disturbance],1,volcaniclastic,tephra [FS84],,10YR 4/2 (dark grayish brown),volcaniclastic  tephra,volcaniclastic tephra,fine sand [W22_2],4,sand [W22_1],3,,,,,,,,,,,,,slight [B06],2,possibly with a wood fragment,,,
,344-U1381C-5H-3-A,344,U1381,C,5,5-3,H,3,A,0.0,141.0,39.62,41.03,,minimal [drilling disturbance],1,silty-sandy [Leg339],clay [USGS],with biogenic components [Leg339],10Y 4/1 (grayish green),silty-sandy   clay,silty-sandy  clay with biogenic components ,clay [W22_2],1,silt [W22_1],2,,,,,,,,,,,,,common [B06],4,,,,
,344-U1381C-5H-3-A,344,U1381,C,5,5-3,H,3,A,141.0,150.0,41.03,41.12,,,1,,,,,,,,,,,,,,,,,,,,,,,,,IW,,,
,344-U1381C-5H-4-A,344,U1381,C,5,5-4,H,4,A,0.0,150.0,41.12,42.62,,minimal [drilling disturbance],1,silty-sandy [Leg339],clay [USGS],with biogenic components [Leg339],10Y 4/1 (dark greenish gray),silty-sandy   clay,silty-sandy  clay with biogenic components ,clay [W22_2],1,silt [W22_1],2,,,,,,,,,,,,,common [B06],4,41-57 cm and 118-131 bioturbation clearer,,,
,344-U1381C-5H-5-A,344,U1381,C,5,5-5,H,5,A,0.0,87.0,42.62,43.49,,minimal [drilling disturbance],1,silty-sandy [Leg339],clay [USGS],with biogenic components [Leg339],10Y 4/1 (dark greenish gray),silty-sandy   clay,silty-sandy  clay with biogenic components ,clay [W22_2],1,silt [W22_1],2,,,,,,,,,,,,,common [B06],4,,,,
,344-U1381C-5H-5-A,344,U1381,C,5,5-5,H,5,A,87.0,93.0,43.49,43.55,,minimal [drilling disturbance],1,silty-sandy [Leg339],claystone [USGS],with biogenic components [Leg339],10GY 4/1 (dark greenish gray),silty-sandy   claystone,silty-sandy  claystone with biogenic components ,clay [W22_2],1,pebble [W22_2],9,wood fragments embedded into clay,brown coal [MMK88],1cm,elongate,very poor [BP01],dark brown,,,,,,,common [B06],4,,,,
,344-U1381C-5H-5-A,344,U1381,C,5,5-5,H,5,A,93.0,97.0,43.55,43.59,,,,,tephra [FS84],,N 3 (very dark gray),tephra,tephra,fine sand [W22_2],4,fine sand [W22_2],4,pods layer,,,,,,,,,well [BP01],,,common [B06],4,,,,
,344-U1381C-5H-5-A,344,U1381,C,5,5-5,H,5,A,97.0,138.0,43.59,44.0,,minimal [drilling disturbance],1,silty-sandy [Leg339],claystone [USGS],with biogenic components [Leg339],10GY 4/1 (dark greenish gray),silty-sandy   claystone,silty-sandy  claystone with biogenic components ,clay [W22_2],1,silt [W22_1],2,,,,,,,,,,,,,common [B06],4,,,,
,344-U1381C-5H-5-A,344,U1381,C,5,5-5,H,5,A,138.0,150.0,44.0,44.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,IW,,,
,344-U1381C-5H-6-A,344,U1381,C,5,5-6,H,6,A,0.0,72.0,44.12,44.84,,minimal [drilling disturbance],1,silty-sandy [Leg339],claystone [USGS],with biogenic components [Leg339],10GY 4/1 (dark greenish gray),silty-sandy   claystone,silty-sandy  claystone with biogenic components ,clay [W22_2],1,silt [W22_1],2,,,,,,,,,,,,,common [B06],4,,,,
,344-U1381C-5H-6-A,344,U1381,C,5,5-6,H,6,A,72.0,76.0,44.84,44.88,,minimal [drilling disturbance],1,silty-sandy [Leg339],tephra [FS84],,10YR 6/1 (gray),silty-sandy   tephra,silty-sandy  tephra,silt [W22_1],2,fine sand [W22_2],4,,,,,,,,,,,,,absent [B06],0,,,,
,344-U1381C-5H-6-A,344,U1381,C,5,5-6,H,6,A,76.0,126.0,44.88,45.38,,minimal [drilling disturbance],1,silty-sandy [Leg339],claystone [USGS],with biogenic components [Leg339],10GY 4/1 (dark greenish gray),silty-sandy   claystone,silty-sandy  claystone with biogenic components ,clay [W22_2],1,silt [W22_1],2,,,,,,,,,,,,,common [B06],4,,,,
,344-U1381C-5H-6-A,344,U1381,C,5,5-6,H,6,A,126.0,150.0,45.38,45.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,IW,,,
