Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithologic unit (preliminary),Lithology Prefix,Lithology Principal Name,Lithology Suffix,Lithology prefix+name [read only],Lithology prefix+name+suffix [read only],Lithology name+suffix [read only],Lithology  abundance [%],Lithology color (Munsell),Bottom contact or boundary geometry,Bottom contact or boundary definition,Bottom contact or boundary geometry+definition [read only],Bottom contact or boundary attitude,Layer or bedding thickness,Lithology lithification,Lithology max. grain size class,Lithology max. grain size rank [read only],Grading,Sorting,Upper boundary ave. grain size class,Lowerr boundary ave. grain size class,General interval comment,Sedimentary structure,Bioturbation intensity,Bioturbation intensity rank [read only],Primary trace fossils,Secondary trace fossils,Minor trace fossils,Lithological asseccories,Diagenetic structure,Macrofossil,Macrofossil abundance name,Clasts (>2 mm) DOMINANT,Clasts (>2 mm) 2ND ORDER,DOMINANT clast roundness,Clast comments,Matrix comments,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W
362-U1480E-4H-2-A,16.0,48.0,28.46,28.78,IIA,,clay [S54],,clay,clay,clay,,GLEY 1 4/N (dark gray),,,,,thick bed [B01],,fine sand [W22_2],4.0,normal grading,well [2014],,,,structureless,moderate [DB91],4.0,Thalassinoides,,,,,,,,,,,,,,,362,U1480,E,4,H,2,A
362-U1480E-4H-2-A,48.0,49.0,28.78,28.79,IIA,tuffaceous,silt [S54],,tuffaceous silt,tuffaceous silt,silt,,GLEY 1 4/N (dark gray),curviplanar,sharp,curviplanar sharp,,very thin bed [B01],,fine sand [W22_2],4.0,normal grading,well [2014],silt [W22_1],clay [W22_1],,structureless,absent [DB91],1.0,,,,,,,,,,,,,,,,362,U1480,E,4,H,2,A
362-U1480E-4H-2-A,49.0,81.0,28.79,29.11,IIA,,clay [S54],,clay,clay,clay,,GLEY 1 4/N (dark gray),,,,,thick bed [B01],,fine sand [W22_2],4.0,normal grading,well [2014],,,,structureless,moderate [DB91],4.0,Thalassinoides,,,,,,,,,,,,,,,362,U1480,E,4,H,2,A
362-U1480E-4H-2-A,81.0,85.0,29.11,29.15,IIA,tuffaceous,silt [S54],,tuffaceous silt,tuffaceous silt,silt,,GLEY 1 4/N (dark gray),curviplanar,sharp,curviplanar sharp,,thin bed [B01],,fine sand [W22_2],4.0,normal grading,well [2014],silt [W22_1],clay [W22_1],,structureless,absent [DB91],1.0,,,,,,,,,,,,,,,,362,U1480,E,4,H,2,A
362-U1480E-4H-2-A,85.0,91.0,29.15,29.21,IIA,,clay [S54],,clay,clay,clay,,GLEY 1 4/N (dark gray),,,,,thin bed [B01],,fine sand [W22_2],4.0,normal grading,well [2014],,,,structureless,moderate [DB91],4.0,Thalassinoides,,,,,,,,,,,,,,,362,U1480,E,4,H,2,A
362-U1480E-4H-2-A,91.0,94.5,29.21,29.245,IIA,tuffaceous,silt [S54],,tuffaceous silt,tuffaceous silt,silt,,GLEY 1 4/N (dark gray),curviplanar,sharp,curviplanar sharp,,thin bed [B01],,fine sand [W22_2],4.0,normal grading,well [2014],silt [W22_1],clay [W22_1],,structureless,absent [DB91],1.0,,,,,,,,,,,,,,,,362,U1480,E,4,H,2,A
362-U1480E-4H-2-A,94.5,100.0,29.245,29.3,IIA,,clay [S54],,clay,clay,clay,,GLEY 1 4/N (dark gray),,,,,medium bed [B01],,fine sand [W22_2],4.0,normal grading,well [2014],,,,structureless,moderate [DB91],4.0,Thalassinoides,,,,,,,,,,,,,,,362,U1480,E,4,H,2,A
362-U1480E-4H-2-A,100.0,106.0,29.3,29.36,IIA,tuffaceous,silt [S54],,tuffaceous silt,tuffaceous silt,silt,,GLEY 1 4/N (dark gray),curviplanar,sharp,curviplanar sharp,,thin bed [B01],,fine sand [W22_2],4.0,normal grading,well [2014],silt [W22_1],clay [W22_1],,structureless,absent [DB91],1.0,,,,,,,,,,,,,,,,362,U1480,E,4,H,2,A
362-U1480E-4H-2-A,106.0,112.0,29.36,29.42,IIA,,clay [S54],,clay,clay,clay,,GLEY 1 4/N (dark gray),,,,,thin bed [B01],,fine sand [W22_2],4.0,normal grading,well [2014],,,,structureless,moderate [DB91],4.0,Thalassinoides,,,,,,,,,,,,,,,362,U1480,E,4,H,2,A
362-U1480E-4H-2-A,112.0,114.0,29.42,29.44,IIA,tuffaceous,silt [S54],,tuffaceous silt,tuffaceous silt,silt,,GLEY 1 4/N (dark gray),curviplanar,sharp,curviplanar sharp,,very thin bed [B01],,fine sand [W22_2],4.0,normal grading,well [2014],silt [W22_1],clay [W22_1],There is a clay injection cutting the tuffaceous silt layers (cuspsde shape) t,load structure,absent [DB91],1.0,,,,,,,,,,,,,,,,362,U1480,E,4,H,2,A
362-U1480E-4H-2-A,114.0,132.0,29.44,29.62,IIA,,clay [S54],,clay,clay,clay,,GLEY 1 4/N (dark gray),,,,,thick lamina [B01],,fine sand [W22_2],4.0,normal grading,well [2014],,,,structureless,moderate [DB91],4.0,Thalassinoides,,,,,,,,,,,,,,,362,U1480,E,4,H,2,A
362-U1480E-4H-2-A,132.0,134.0,29.62,29.64,IIA,tuffaceous,silt [S54],,tuffaceous silt,tuffaceous silt,silt,,GLEY 1 4/N (dark gray),curviplanar,sharp,curviplanar sharp,,thin bed [B01],,fine sand [W22_2],4.0,normal grading,well [2014],silt [W22_1],clay [W22_1],,structureless,absent [DB91],1.0,,,,,,,,,,,,,,,,362,U1480,E,4,H,2,A
362-U1480E-4H-2-A,134.0,137.0,29.64,29.67,IIA,,clay [S54],,clay,clay,clay,,GLEY 1 4/N (dark gray),,,,,thin bed [B01],,fine sand [W22_2],4.0,normal grading,well [2014],,,,structureless,moderate [DB91],4.0,Thalassinoides,,,,,,,,,,,,,,,362,U1480,E,4,H,2,A
362-U1480E-4H-2-A,137.0,138.0,29.67,29.68,IIA,tuffaceous,silt [S54],,tuffaceous silt,tuffaceous silt,silt,,GLEY 1 4/N (dark gray),curviplanar,sharp,curviplanar sharp,,very thin bed [B01],,fine sand [W22_2],4.0,normal grading,well [2014],silt [W22_1],clay [W22_1],,structureless,absent [DB91],1.0,,,,,,,,,,,,,,,,362,U1480,E,4,H,2,A
362-U1480E-4H-2-A,138.0,140.0,29.68,29.7,IIA,,clay [S54],,clay,clay,clay,,GLEY 1 4/N (dark gray),,,,,thin bed [B01],,fine sand [W22_2],4.0,normal grading,well [2014],,,,structureless,moderate [DB91],4.0,Thalassinoides,,,,,,,,,,,,,,,362,U1480,E,4,H,2,A
362-U1480E-4H-3-A,0.0,11.0,29.8,29.91,IIA,,clay [S54],,clay,clay,clay,,GLEY 1 4/N (dark gray),,,,,medium bed [B01],,fine sand [W22_2],4.0,normal grading,well [2014],,,,structureless,moderate [DB91],4.0,Thalassinoides,,,,,,,,,,,,,,,362,U1480,E,4,H,3,A
362-U1480E-4H-3-A,11.0,12.0,29.91,29.92,IIA,tuffaceous,silt [S54],,tuffaceous silt,tuffaceous silt,silt,,GLEY 1 4/N (dark gray),curviplanar,sharp,curviplanar sharp,,very thin bed [B01],,fine sand [W22_2],4.0,normal grading,well [2014],silt [W22_1],clay [W22_1],,structureless,absent [DB91],1.0,,,,,,,,,,,,,,,,362,U1480,E,4,H,3,A
362-U1480E-4H-3-A,12.0,14.0,29.92,29.94,IIA,,clay [S54],,clay,clay,clay,,GLEY 1 4/N (dark gray),,,,,very thin bed [B01],,fine sand [W22_2],4.0,normal grading,well [2014],,,,structureless,moderate [DB91],4.0,Thalassinoides,,,,,,,,,,,,,,,362,U1480,E,4,H,3,A
362-U1480E-4H-3-A,14.0,15.0,29.94,29.95,IIA,tuffaceous,silt [S54],,tuffaceous silt,tuffaceous silt,silt,,GLEY 1 4/N (dark gray),curviplanar,sharp,curviplanar sharp,,very thin bed [B01],,fine sand [W22_2],4.0,normal grading,well [2014],silt [W22_1],clay [W22_1],,structureless,absent [DB91],1.0,,,,,,,,,,,,,,,,362,U1480,E,4,H,3,A
362-U1480E-4H-3-A,15.0,22.0,29.95,30.02,IIA,,clay [S54],,clay,clay,clay,,GLEY 1 4/N (dark gray),,,,,thin bed [B01],,fine sand [W22_2],4.0,normal grading,well [2014],,,,structureless,moderate [DB91],4.0,Thalassinoides,,,,,,,,,,,,,,,362,U1480,E,4,H,3,A
362-U1480E-4H-3-A,22.0,25.0,30.02,30.05,IIA,tuffaceous,silt [S54],,tuffaceous silt,tuffaceous silt,silt,,GLEY 1 4/N (dark gray),curviplanar,sharp,curviplanar sharp,,very thin bed [B01],,fine sand [W22_2],4.0,normal grading,well [2014],silt [W22_1],clay [W22_1],,structureless,absent [DB91],1.0,,,,,,,,,,,,,,,,362,U1480,E,4,H,3,A
362-U1480E-4H-3-A,25.0,29.0,30.05,30.09,IIA,,clay [S54],,clay,clay,clay,,GLEY 1 4/N (dark gray),,,,,thin bed [B01],,fine sand [W22_2],4.0,normal grading,well [2014],,,,structureless,moderate [DB91],4.0,Thalassinoides,,,,,,,,,,,,,,,362,U1480,E,4,H,3,A
362-U1480E-4H-3-A,29.0,30.0,30.09,30.1,IIA,tuffaceous,silt [S54],,tuffaceous silt,tuffaceous silt,silt,,GLEY 1 4/N (dark gray),curviplanar,sharp,curviplanar sharp,,very thin bed [B01],,fine sand [W22_2],4.0,normal grading,well [2014],silt [W22_1],clay [W22_1],,structureless,absent [DB91],1.0,,,,,,,,,,,,,,,,362,U1480,E,4,H,3,A
362-U1480E-4H-3-A,30.0,31.0,30.1,30.11,IIA,,clay [S54],,clay,clay,clay,,GLEY 1 4/N (dark gray),,,,,very thin bed [B01],,fine sand [W22_2],4.0,normal grading,well [2014],,,,structureless,moderate [DB91],4.0,Thalassinoides,,,,,,,,,,,,,,,362,U1480,E,4,H,3,A
362-U1480E-4H-3-A,31.0,32.0,30.11,30.12,IIA,tuffaceous,silt [S54],,tuffaceous silt,tuffaceous silt,silt,,GLEY 1 4/N (dark gray),curviplanar,sharp,curviplanar sharp,,very thin bed [B01],,fine sand [W22_2],4.0,normal grading,well [2014],silt [W22_1],clay [W22_1],There is an injection of tuffaceous silt layer in the silt layer,load structure,absent [DB91],1.0,,,,,,,,,,,,,,,,362,U1480,E,4,H,3,A
362-U1480E-4H-3-A,32.0,38.0,30.12,30.18,IIA,,clay [S54],,clay,clay,clay,,GLEY 1 4/N (dark gray),,,,,thin bed [B01],,fine sand [W22_2],4.0,normal grading,well [2014],,,,structureless,moderate [DB91],4.0,Thalassinoides,,,,,,,,,,,,,,,362,U1480,E,4,H,3,A
362-U1480E-4H-3-A,38.0,39.0,30.18,30.19,IIA,tuffaceous,silt [S54],,tuffaceous silt,tuffaceous silt,silt,,GLEY 1 4/N (dark gray),curviplanar,sharp,curviplanar sharp,,very thin bed [B01],,fine sand [W22_2],4.0,normal grading,well [2014],silt [W22_1],clay [W22_1],,structureless,absent [DB91],1.0,,,,,,,,,,,,,,,,362,U1480,E,4,H,3,A
362-U1480E-4H-3-A,39.0,44.0,30.19,30.24,IIA,,clay [S54],,clay,clay,clay,,GLEY 1 4/N (dark gray),,,,,medium bed [B01],,fine sand [W22_2],4.0,normal grading,well [2014],,,,structureless,moderate [DB91],4.0,Thalassinoides,,,,,,,,,,,,,,,362,U1480,E,4,H,3,A
362-U1480E-4H-3-A,44.0,46.0,30.24,30.26,IIA,tuffaceous,silt [S54],,tuffaceous silt,tuffaceous silt,silt,,GLEY 1 4/N (dark gray),curviplanar,sharp,curviplanar sharp,,very thin bed [B01],,fine sand [W22_2],4.0,normal grading,well [2014],silt [W22_1],clay [W22_1],,structureless,absent [DB91],1.0,,,,,,,,,,,,,,,,362,U1480,E,4,H,3,A
362-U1480E-4H-3-A,46.0,54.0,30.26,30.34,IIA,,clay [S54],,clay,clay,clay,,GLEY 1 4/N (dark gray),,,,,medium bed [B01],,fine sand [W22_2],4.0,normal grading,well [2014],,,,structureless,moderate [DB91],4.0,Thalassinoides,,,,,,,,,,,,,,,362,U1480,E,4,H,3,A
362-U1480E-4H-3-A,54.0,55.0,30.34,30.35,IIA,tuffaceous,silt [S54],,tuffaceous silt,tuffaceous silt,silt,,GLEY 1 4/N (dark gray),curviplanar,sharp,curviplanar sharp,,very thin bed [B01],,fine sand [W22_2],4.0,normal grading,well [2014],silt [W22_1],clay [W22_1],,structureless,absent [DB91],1.0,,,,,,,,,,,,,,,,362,U1480,E,4,H,3,A
362-U1480E-4H-3-A,55.0,59.0,30.35,30.39,IIA,,clay [S54],,clay,clay,clay,,GLEY 1 4/N (dark gray),,,,,thin bed [B01],,fine sand [W22_2],4.0,normal grading,well [2014],,,,structureless,moderate [DB91],4.0,Thalassinoides,,,,,,,,,,,,,,,362,U1480,E,4,H,3,A
362-U1480E-4H-3-A,59.0,62.0,30.39,30.42,IIA,tuffaceous,silt [S54],,tuffaceous silt,tuffaceous silt,silt,,GLEY 1 4/N (dark gray),curviplanar,sharp,curviplanar sharp,,thin bed [B01],,fine sand [W22_2],4.0,normal grading,well [2014],silt [W22_1],clay [W22_1],,structureless,absent [DB91],1.0,,,,,,,,,,,,,,,,362,U1480,E,4,H,3,A
362-U1480E-4H-4-A,0.0,115.0,30.42,31.57,IIA,,medium sand [USGS],,medium sand,medium sand,medium sand,,GLEY 1 6/N (gray),,,,,very thick bed [B01],,medium sand [W22_2],5.0,non-graded,moderate [2014],medium sand [W22_2],silt [W22_1],,structureless,absent [DB91],1.0,,,,,,,,,,,,,,,,362,U1480,E,4,H,4,A
362-U1480E-5H-1-A,0.0,135.5,31.6,32.955,IIA,,medium sand [USGS],,medium sand,medium sand,medium sand,,GLEY 1 6/N (gray),,,,,very thick bed [B01],unlithified [Leg194],medium sand [W22_2],5.0,,well [2014],,,,structureless,absent [DB91],1.0,,,,,,,,,,,,,,,,362,U1480,E,5,H,1,A
362-U1480E-5H-2-A,0.0,145.0,33.055,34.505,IIA,,medium sand [USGS],,medium sand,medium sand,medium sand,,GLEY 1 6/N (gray),,,,,very thick bed [B01],unlithified [Leg194],medium sand [W22_2],5.0,,well [2014],,,,structureless,absent [DB91],1.0,,,,,,,,,,,,,,,,362,U1480,E,5,H,2,A
362-U1480E-5H-3-A,0.0,141.0,34.505,35.915,IIA,,medium sand [USGS],,medium sand,medium sand,medium sand,,GLEY 1 6/N (gray),,,,,very thick bed [B01],unlithified [Leg194],medium sand [W22_2],5.0,,well [2014],,,,structureless,absent [DB91],1.0,,,,,,,,,,,,,,,,362,U1480,E,5,H,3,A
362-U1480E-5H-4-A,0.0,124.5,35.915,37.16,IIA,,medium sand [USGS],,medium sand,medium sand,medium sand,,GLEY 1 6/N (gray),,,,,very thick bed [B01],unlithified [Leg194],medium sand [W22_2],5.0,,well [2014],,,,structureless,absent [DB91],1.0,,,,,,,,,,,,,,,,362,U1480,E,5,H,4,A
362-U1480E-5H-5-A,0.0,122.0,37.16,38.38,IIA,,medium sand [USGS],,medium sand,medium sand,medium sand,,GLEY 1 6/N (gray),,,,,very thick bed [B01],unlithified [Leg194],medium sand [W22_2],5.0,,well [2014],,,,structureless,absent [DB91],1.0,,,,,,,,,,,,,,,,362,U1480,E,5,H,5,A
362-U1480E-5H-6-A,0.0,125.0,38.38,39.63,IIA,,medium sand [USGS],,medium sand,medium sand,medium sand,,GLEY 1 6/N (gray),,,,,very thick bed [B01],unlithified [Leg194],medium sand [W22_2],5.0,,well [2014],,,,structureless,absent [DB91],1.0,,,,,,,,,,,,,,,,362,U1480,E,5,H,6,A
362-U1480E-5H-7-A,0.0,75.0,39.63,40.38,IIA,,medium sand [USGS],,medium sand,medium sand,medium sand,,GLEY 1 6/N (gray),,,,,very thick bed [B01],unlithified [Leg194],medium sand [W22_2],5.0,,well [2014],,,,structureless,absent [DB91],1.0,,,,,,,,,,,,,,,,362,U1480,E,5,H,7,A
362-U1480E-6H-1-A,0.0,149.0,41.1,42.59,IIA,,fine sand [USGS],,fine sand,fine sand,fine sand,,GLEY 1 4/N (dark gray),,,,,,unlithified [Leg194],medium sand [W22_2],5.0,non-graded,moderate [2014],,,,structureless,absent [DB91],1.0,,,,,,,,,,,,,,,,362,U1480,E,6,H,1,A
362-U1480E-6H-2-A,0.0,55.0,42.59,43.14,IIA,,fine sand [USGS],,fine sand,fine sand,fine sand,,GLEY 1 4/N (dark gray),planar,sharp,planar sharp,horizontal,,unlithified [Leg194],medium sand [W22_2],5.0,non-graded,moderate [2014],,,,structureless,absent [DB91],1.0,,,,,,,,,,,,,,,,362,U1480,E,6,H,2,A
362-U1480E-6H-2-A,55.0,108.0,43.14,43.67,IIA,,clay [S54],,clay,clay,clay,,GLEY 1 4/N (dark gray),planar,gradational,planar gradational,horizontal,,unlithified [Leg194],clay [W22_1],1.0,non-graded,,,,Coring-induced disturbance.,,,,,,,,,,,,,,,,,,,362,U1480,E,6,H,2,A
362-U1480E-6H-2-A,108.0,116.0,43.67,43.75,IIA,,silt [S54],,silt,silt,silt,,GLEY 1 4/N (dark gray),planar,gradational,planar gradational,horizontal,,unlithified [Leg194],fine sand [W22_2],4.0,normal grading,well [2014],silty clay,fine sand [W22_2],,planar lamination,absent [DB91],1.0,,,,,,,,,,,,,,,,362,U1480,E,6,H,2,A
362-U1480E-6H-2-A,116.0,151.0,43.75,44.1,IIA,,fine sand [USGS],,fine sand,fine sand,fine sand,,GLEY 1 4/N (dark gray),,,,,,unlithified [Leg194],medium sand [W22_2],5.0,normal grading,moderate [2014],fine sand [W22_2],medium sand [W22_2],,structureless,absent [DB91],1.0,,,,,,,,,,,,,,,,362,U1480,E,6,H,2,A
362-U1480E-6H-3-A,0.0,12.0,44.1,44.22,IIA,,fine sand [USGS],,fine sand,fine sand,fine sand,,GLEY 1 4/N (dark gray),irregular,sharp,irregular sharp,inclined,,unlithified [Leg194],medium sand [W22_2],5.0,non-graded,moderate [2014],,,,structureless,absent [DB91],1.0,,,,,,,,,,,,,,,,362,U1480,E,6,H,3,A
362-U1480E-6H-3-A,12.0,24.0,44.22,44.34,IIA,,very fine sand,with clay [2014],very fine sand,very fine sand with clay,very fine sand with clay,,GLEY 1 4/N (dark gray),planar,sharp,planar sharp,horizontal,,unlithified [Leg194],fine sand [W22_2],4.0,non-graded,poor [2014],,,,planar lamination,absent [DB91],1.0,,,,,,,,,,,,,,,,362,U1480,E,6,H,3,A
362-U1480E-6H-3-A,24.0,29.0,44.34,44.39,IIA,,very fine sand,with clay [2014],very fine sand,very fine sand with clay,very fine sand with clay,,GLEY 1 4/N (dark gray),planar,sharp,planar sharp,horizontal,,unlithified [Leg194],fine sand [W22_2],4.0,non-graded,poor [2014],,,,structureless,absent [DB91],1.0,,,,,,,,,,,,,,,,362,U1480,E,6,H,3,A
362-U1480E-6H-3-A,29.0,40.0,44.39,44.5,IIA,,very fine sand,with clay [2014],very fine sand,very fine sand with clay,very fine sand with clay,,GLEY 1 4/N (dark gray),irregular,gradational,irregular gradational,horizontal,,partially lithified,fine sand [W22_2],4.0,normal grading,poor [2014],silt [W22_1],fine sand [W22_2],,planar lamination,absent [DB91],1.0,,,,,,,,,,,,,,,,362,U1480,E,6,H,3,A
362-U1480E-6H-3-A,40.0,122.0,44.5,45.32,IIA,,very fine sand,with clay [2014],very fine sand,very fine sand with clay,very fine sand with clay,,GLEY 1 4/N (dark gray),,,,,,unlithified [Leg194],fine sand [W22_2],4.0,non-graded,moderate [2014],,,,structureless,absent [DB91],1.0,,,,,,,,,,,,,,,,362,U1480,E,6,H,3,A
362-U1480E-6H-4-A,0.0,120.0,45.32,46.52,IIA,,very fine sand,with clay [2014],very fine sand,very fine sand with clay,very fine sand with clay,,GLEY 1 4/N (dark gray),,,,,,unlithified [Leg194],fine sand [W22_2],4.0,non-graded,moderate [2014],,,,structureless,absent [DB91],1.0,,,,,,,,,,,,,,,,362,U1480,E,6,H,4,A
362-U1480E-6H-5-A,0.0,131.0,46.52,47.83,IIA,,very fine sand,with clay [2014],very fine sand,very fine sand with clay,very fine sand with clay,,GLEY 1 4/N (dark gray),,,,,,unlithified [Leg194],fine sand [W22_2],4.0,non-graded,moderate [2014],,,,structureless,absent [DB91],1.0,,,,,,,,,,,,,,,,362,U1480,E,6,H,5,A
362-U1480E-6H-6-A,0.0,101.0,47.83,48.84,IIA,,very fine sand,with clay [2014],very fine sand,very fine sand with clay,very fine sand with clay,,GLEY 1 4/N (dark gray),,,,,,unlithified [Leg194],fine sand [W22_2],4.0,non-graded,moderate [2014],,,,structureless,absent [DB91],1.0,,,,,,,,,,,,,,,,362,U1480,E,6,H,6,A
362-U1480E-6H-7-A,0.0,59.0,48.84,49.43,IIA,,very fine sand,with clay [2014],very fine sand,very fine sand with clay,very fine sand with clay,,GLEY 1 4/N (dark gray),,,,,,unlithified [Leg194],fine sand [W22_2],4.0,non-graded,moderate [2014],,,,structureless,absent [DB91],1.0,,,,,,,,,,,,,,,,362,U1480,E,6,H,7,A
362-U1480E-7H-1-A,0.0,14.0,50.6,50.74,IIA,,very fine sand,,very fine sand,very fine sand,very fine sand,,GLEY 1 5/N (gray),planar,sharp,planar sharp,horizontal,medium bed [B01],unlithified [Leg194],very fine sand [W22_2],3.0,non-graded,poor [2014],,,,planar lamination,absent [DB91],1.0,,,,,,,,,,,,,,,,362,U1480,E,7,H,1,A
362-U1480E-7H-1-A,14.0,34.0,50.74,50.94,IIA,,silty clay [S54],,silty clay,silty clay,silty clay,,GLEY 1 5/N (gray),planar,sharp,planar sharp,horizontal,thin lamina [B01],unlithified [Leg194],silt [W22_1],2.0,normal grading,well [2014],clay [W22_1],silt [W22_1],,planar lamination,slight [DB91],3.0,,,,,,,,,,,,,,,,362,U1480,E,7,H,1,A
362-U1480E-7H-1-A,34.0,42.0,50.94,51.02,IIA,,clay [S54],,clay,clay,clay,,GLEY 1 5/N (gray),planar,sharp,planar sharp,horizontal,thin lamina [B01],unlithified [Leg194],silt [W22_1],2.0,normal grading,well [2014],clay [W22_1],silty clay,,planar lamination,absent [DB91],1.0,,,,,,,,,,,,,,,,362,U1480,E,7,H,1,A
362-U1480E-7H-1-A,42.0,93.0,51.02,51.53,IIA,,fine sand [USGS],,fine sand,fine sand,fine sand,,GLEY 1 5/N (gray),irregular,sharp,irregular sharp,horizontal,thick bed [B01],unlithified [Leg194],medium sand [W22_2],5.0,normal grading,moderate [2014],silt [W22_1],medium sand [W22_2],,structureless,absent [DB91],1.0,,,,,,,,,,,,,,,,362,U1480,E,7,H,1,A
362-U1480E-7H-1-A,93.0,116.0,51.53,51.76,IIA,,fine sand [USGS],,fine sand,fine sand,fine sand,,GLEY 1 5/N (gray),,,,,,unlithified [Leg194],medium sand [W22_2],5.0,non-graded,moderate [2014],,,,structureless,absent [DB91],1.0,,,,,,,,,,,,,,,,362,U1480,E,7,H,1,A
362-U1480E-7H-2-A,0.0,112.0,51.76,52.88,IIA,,fine sand [USGS],,fine sand,fine sand,fine sand,,GLEY 1 5/N (gray),,,,,,unlithified [Leg194],medium sand [W22_2],5.0,non-graded,moderate [2014],,,,structureless,absent [DB91],1.0,,,,,,,,,,,,,,,,362,U1480,E,7,H,2,A
362-U1480E-7H-3-A,0.0,119.0,52.88,54.07,IIA,,fine sand [USGS],,fine sand,fine sand,fine sand,,GLEY 1 5/N (gray),,,,,,unlithified [Leg194],medium sand [W22_2],5.0,non-graded,moderate [2014],,,,structureless,absent [DB91],1.0,,,,,,,,,,,,,,,,362,U1480,E,7,H,3,A
362-U1480E-7H-4-A,0.0,126.0,54.07,55.33,IIA,,fine sand [USGS],,fine sand,fine sand,fine sand,,GLEY 1 5/N (gray),,,,,,unlithified [Leg194],medium sand [W22_2],5.0,non-graded,moderate [2014],,,,structureless,absent [DB91],1.0,,,,,,,,,,,,,,,,362,U1480,E,7,H,4,A
362-U1480E-7H-5-A,0.0,125.0,55.33,56.58,IIA,,fine sand [USGS],,fine sand,fine sand,fine sand,,GLEY 1 5/N (gray),,,,,,unlithified [Leg194],medium sand [W22_2],5.0,non-graded,moderate [2014],,,,structureless,absent [DB91],1.0,,,,,,,,,,,,,,,,362,U1480,E,7,H,5,A
362-U1480E-7H-6-A,0.0,136.0,56.58,57.94,IIA,,fine sand [USGS],,fine sand,fine sand,fine sand,,GLEY 1 5/N (gray),,,,,,unlithified [Leg194],medium sand [W22_2],5.0,non-graded,moderate [2014],,,,structureless,absent [DB91],1.0,,,,,,,,,,,,,,,,362,U1480,E,7,H,6,A
362-U1480E-8H-1-A,0.0,25.0,60.1,60.35,IIA,,coarse sand [USGS],,coarse sand,coarse sand,coarse sand,,GLEY 1 5/N (gray),planar,sharp,planar sharp,inclined,,unlithified [Leg194],coarse sand [W22_2],6.0,non-graded,moderate [2014],,,,structureless,absent [DB91],1.0,,,,,,,,,,,,,,,,362,U1480,E,8,H,1,A
362-U1480E-8H-1-A,25.0,28.5,60.35,60.385,IIA,,fine sand [USGS],,fine sand,fine sand,fine sand,,GLEY 1 5/N (gray),planar,sharp,planar sharp,inclined,,unlithified [Leg194],fine sand [W22_2],4.0,non-graded,moderate [2014],,,,structureless,absent [DB91],1.0,,,,,,,,,,,,,,,,362,U1480,E,8,H,1,A
362-U1480E-8H-1-A,28.5,40.0,60.385,60.5,IIA,,very fine sand [F54],,very fine sand,very fine sand,very fine sand,,GLEY 1 5/N (gray),planar,sharp,planar sharp,horizontal,,unlithified [Leg194],fine sand [W22_2],4.0,non-graded,poor [2014],,,,structureless,absent [DB91],1.0,,,,,,,,,,,,,,,,362,U1480,E,8,H,1,A
362-U1480E-8H-1-A,40.0,56.0,60.5,60.66,IIA,,silt [S54],with clay [2014],silt,silt with clay,silt with clay,,GLEY 1 4/N (dark gray),irregular,sharp,irregular sharp,inclined,thin lamina [B01],unlithified [Leg194],silt [W22_1],2.0,non-graded,moderate [2014],,,Coring disturbance. Coring induced sand/silt injection.,,absent [DB91],1.0,,,,,,,,,,,,,,,,362,U1480,E,8,H,1,A
362-U1480E-8H-1-A,56.0,68.0,60.66,60.78,IIA,,very fine sand,,very fine sand,very fine sand,very fine sand,,GLEY 1 4/N (dark gray),irregular,gradational,irregular gradational,horizontal,,unlithified [Leg194],fine sand [W22_2],4.0,normal grading,moderate [2014],silt [W22_1],fine sand [W22_2],,structureless,absent [DB91],1.0,,,,,,,,,,,,,,,,362,U1480,E,8,H,1,A
362-U1480E-8H-1-A,68.0,109.0,60.78,61.19,IIA,,fine sand [USGS],,fine sand,fine sand,fine sand,,GLEY 1 4/N (dark gray),,,,,,unlithified [Leg194],medium sand [W22_2],5.0,non-graded,moderate [2014],,,sparse millimetric plant debris,structureless,absent [DB91],1.0,,,,,,foraminifer,C [A85],,,,,,,,,362,U1480,E,8,H,1,A
362-U1480E-8H-CC-A,0.0,45.0,61.19,61.64,IIA,,fine sand [USGS],,fine sand,fine sand,fine sand,,GLEY 1 4/N (dark gray),,,,,,unlithified [Leg194],medium sand [W22_2],5.0,non-graded,moderate [2014],,,sparse millimetric plant debris,structureless,absent [DB91],1.0,,,,,,foraminifer,C [A85],,,,,,,,,362,U1480,E,8,H,CC,A
362-U1480E-9H-1-A,0.0,50.0,61.7,62.2,IIA,,silty clay [S54],,silty clay,silty clay,silty clay,,GLEY 1 5/10Y (greenish gray),,,,,medium bed [B01],unlithified [Leg194],silt [W22_1],2.0,,well [2014],,,,,absent [DB91],1.0,,,,,,,,,,,,,,,,362,U1480,E,9,H,1,A
362-U1480E-9H-1-A,50.0,64.0,62.2,62.34,IIA,,silt [S54],with clay [2014],silt,silt with clay,silt with clay,,GLEY 1 5/10Y (greenish gray),planar,sharp,planar sharp,horizontal,medium bed [B01],unlithified [Leg194],silt [W22_1],2.0,,moderate [2014],,,,planar lamination,absent [DB91],1.0,,,,,,,,,,,,,,,,362,U1480,E,9,H,1,A
