Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Preservation,Group Abundance,Comments,Arkhangelskiella cymbiformis,Braarudosphaera bigelowii,Calcidiscus leptoporus,Calcidiscus macintyrei,Calcidiscus premacintyrei,Calcidiscus tropicus,Calciosolenia brasiliensis,Ceratolithus cristatus,Chiasmolithus solitus,Chiasmolithus spp.,Coccolithus formosus,Coccolithus miopelagicus,Coccolithus pelagicus,Coccolithus pelagicus (w/bar),Coronocyclus nitescens,Cyclicargolithus abisectus,Cyclicargolithus floridanus,Discoaster barbadiensis,Discoaster braarudii,Discoaster brouweri,Discoaster deflandrei,Discoaster exilis,Discoaster kuepperi,Discoaster loeblichii,Discoaster moorei,Discoaster pentaradiatus,Discoaster saipanensis,Discoaster spp.,Discoaster spp. (five-rayed),Discoaster triradiatus,Discoaster variabilis,Gephyrocapsa sp. 3,Gephyrocapsa spp. (medium 4-5.5 microns),Gephyrocapsa spp. (small <3.5 microns),Girgisia gammation,Helicosphaera carteri,Helicosphaera hyalina,Helicosphaera intermedia,Helicosphaera inversa,Helicosphaera sellii,Helicosphaera seminulum,Helicosphaera stalis,Helicosphaera wallichii,Isthmolithus recurvus,Markalius inversus,Neococcolithes spp.,Pontosphaera discopora,Pontosphaera japonica,Pontosphaera multipora,Pontosphaera pulchra,Pontosphaera spp.,Pseudoemiliania lacunosa,Pseudoemiliania ovata,Reticulofenestra bisecta,Reticulofenestra gelida,Reticulofenestra haqii,Reticulofenestra minuta,Reticulofenestra minutula,Reticulofenestra perplexa,Reticulofenestra producta,Reticulofenestra pseudoumbilicus (>7 um),Reticulofenestra pseudoumbilicus (5-7 um),Reticulofenestra reticulata,Reticulofenestra rotaria,Reticulofenestra stavensis,Reticulofenestra umbilicus,Rhabdosphaera clavigera,Scyphosphaera lagena,Scyphosphaera spp.,Scyphosphaera ventriosa,Sphenolithus abies,Sphenolithus belemnos,Sphenolithus heteromorphus,Sphenolithus moriformis,Sphenolithus spp.,Syracosphaera pulchra,Toweius eminens,Toweius occultatus,Tribrachiatus absidatus,Tribrachiatus orthostylus,Umbilicosphaera rotula,Umbilicosphaera sibogae,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Extra Sample ID Data,Zone name,Zone name (short)
375-U1518F-12R-CC-PAL-NANNO,0,10,296.9,297,M,D,,,,R,,,,,,,,*,,F,C,,,*,,,,*,,,,,,,,,,,,R,D,,C,,,,R,,,,,,,,,,,,R,,,*,R,,,,,*,,,,,,,,,,,,,,,,,,,,,,,,,375,U1518,F,12,R,CC,PAL,NANNO,,
375-U1518F-13R-1-W 115/115-NANNO,0,0,304.35,304.35,M/P,A,,,,,,*,,,,,,,,C,C,,,*,,,,,,,,,,,,,,,,R,A,,F,,,,,,,,,,,,,,,,,R,,*,R,,,,,*,*,,,,*,,,,,*,,,*,,,,,,,,,,,,375,U1518,F,13,R,1,W,115/115-NANNO,,
375-U1518F-13R-1-W 58/58-NANNO,0,0,303.78,303.78,M/P,F,,,,R,*,,,,,,,*,,F,,,,*,,,,,,,,,,,,,,*,,,R,,R,,,,,,,R,,,,,,,,,R,,*,*,F,F,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,375,U1518,F,13,R,1,W,58/58-NANNO,,
375-U1518F-13R-1-W 87/87-NANNO,0,0,304.07,304.07,M/P,C,,,,,*,,R,,,,,*,,A,,,,*,,,,*,,,,,,,,,,*,,R,F,,R,,,,,,,R,,,,R,R,R,,,R,,*,*,C,C,C,F,F,*,,,,*,,,,,,*,,,*,,,*,,,,,,,,,375,U1518,F,13,R,1,W,87/87-NANNO,,
375-U1518F-13R-2-W 121/121-NANNO,0,0,305.74,305.74,M,A,,,,F,,,,R,,,,,,C,C,,,*,,,,,,,,,,,R,,,,,F,A,,F,,,,,,,,,,,,R,,,,R,,,*,R,,,,,*,,,R,*,*,,,,,*,,,,,,,,,,R,,,,,375,U1518,F,13,R,2,W,121/121-NANNO,,
375-U1518F-13R-2-W 21/21-NANNO,0,0,304.74,304.74,M,A,,,,C,,,,,,,,,,C,C,,,*,,,,,,,,,,,,,,,,F,A,,F,R,,,,,,,,,,,F,,,,,,*,,,,,,,,,,,,,R,,,,,,,*,,,,,,,,,,,,375,U1518,F,13,R,2,W,21/21-NANNO,,
375-U1518F-13R-2-W 4/4-NANNO,0,0,304.57,304.57,M/P,D,,,,C,,,R,R,R,,,*,,C,C,,,*,,,,,,,,,,,R,,,,,F,D,,C,,,,,,,,,,,,R,,,,R,,*,*,R,,,,,*,,,,,,C,,,,,,,,,R,,,,,R,,,,,375,U1518,F,13,R,2,W,4/4-NANNO,,
375-U1518F-13R-3-W 19/19-NANNO,0,0,306.16,306.16,M,D,,,,C,,,,,,,*,,*,C,C,,,*,,,,,,,,,,,R,,,*,,F,D,,R,R,,,R,,,,,,,,R,,,,,,,*,,,,R,,*,*,,,,,F,,,,,,,,,,,,,,R,,,,,375,U1518,F,13,R,3,W,19/19-NANNO,,
375-U1518F-13R-CC-PAL-NANNO,0,11,306.95,307.06,M/P,D,,,,F,,,,,R,,,,,F,C,,,*,,,,,,,,,,,,,,,R,F,D,,C,,,,,,,,,,,,R,,,,,,,,,,,,,*,,,,,*,F,,,,,,,,,,,,,,R,,,,,375,U1518,F,13,R,CC,PAL,NANNO,,
375-U1518F-14R-1-W 114/114-NANNO,0,0,313.94,313.94,M,C,,,,F,*,,,,,,*,,*,C,C,,,*,,,,,,,,,,,R,,,*,,,A,,R,,,,,,,R,,,,R,R,,,,R,,*,*,F,,,,C,*,*,,,,*,,,,,,,,*,,R,,,,,R,R,,,,375,U1518,F,14,R,1,W,114/114-NANNO,,
375-U1518F-14R-1-W 144/144-NANNO,0,0,314.24,314.24,M,C,,,,F,,,,,,,,*,,C,F,,,*,,,,,,,,,,,R,,,*,,F,A,,R,F,,,,,,R,*,,,R,R,,,,F,,*,*,C,,,,,*,*,,,*,,F,,,,*,,,*,,R,,,,,R,,,,,375,U1518,F,14,R,1,W,144/144-NANNO,,
375-U1518F-14R-1-W 17/17-NANNO,0,0,312.97,312.97,M,C,,,,F,,,,,R,,,,*,C,,,,*,,,,,,,,,,,,,,,,F,A,,F,,,,R,,,,,,*,,,,,,R,,*,*,C,,,,,*,,,,,,,,,,,,,*,,R,,,,,,,,,,375,U1518,F,14,R,1,W,17/17-NANNO,,
375-U1518F-14R-1-W 96/96-NANNO,0,0,313.76,313.76,M/P,C,,,,F,,*,R,,R,,*,,,C,C,,,*,,,,*,,,,,,,,,,*,,,A,,R,,,,,,,,,,,,R,R,,,R,,*,*,F,,,,,*,*,,,*,*,,,,,*,,,*,,R,,,,,R,,,,,375,U1518,F,14,R,1,W,96/96-NANNO,,
375-U1518F-14R-2-W 43/43-NANNO,0,0,314.74,314.74,M,A,,,,R,*,,,,,*,,,,C,C,,,*,,,,*,,,,,,,,,,*,,C,A,*,F,,,,,,,R,,,,,,R,,,F,,*,*,C,,,,,*,*,,,*,*,F,,,,,,,*,,,,,,,,R,,,,375,U1518,F,14,R,2,W,43/43-NANNO,,
375-U1518F-14R-CC-PAL-NANNO,0,10,315.23,315.33,M,C,,,,R,*,,R,,,*,,,,F,,,*,*,,,,,,,,,,*,,,,*,?,F,C,,R,,,,R,,,,,,,,,R,,,,,*,*,F,,,,,*,,,,,,,,,,,,,*,,R,,,,,R,,,,,375,U1518,F,14,R,CC,PAL,NANNO,,
375-U1518F-15R-1-W 94/94-NANNO,0,0,323.34,323.34,M,C,,,,F,*,,F,,,,*,,,C,F,,,*,,,,,,,,,,,R,R,,,,C,A,,R,,,R,R,,,,,,*,,R,R,,,,,,*,F,,,,,*,*,*,,*,*,,,,,,,,*,,R,,,,,R,,,,,375,U1518,F,15,R,1,W,94/94-NANNO,,
375-U1518F-15R-CC-PAL-NANNO,0,9,325.8,325.89,M/P,F,,,,R,,,,,,,*,,*,F,,,,*,,,,,,,,,,,,,,,,F,C,,,R,,,,,,,,,,,,,*,,,,*,*,R,,,,,*,,,,,,,,,,,,,*,,,,,,,,,,,,375,U1518,F,15,R,CC,PAL,NANNO,,
375-U1518F-16R-4-W 60/65-NANNO,0,5,336.13,336.18,M,C,,,,F,,,R,,,,,,*,C,R,,,*,,,,*,,,,,,,,,,,,F,A,,R,R,*,,,,,,,,,,R,R,,,R,,,*,C,,,R,R,*,,,,*,*,F,,,,,,,*,,F,,,,,R,,,,,375,U1518,F,16,R,4,W,60/65-NANNO,,
375-U1518F-16R-CC-PAL-NANNO,0,1,336.34,336.35,M/P,C,,,,F,,,,,,,,*,*,C,R,,,*,,,,*,,,,,,,,,,*,,F,A,,C,,,,,,,,,,,,,,,,,,,*,,,,R,R,*,*,,,*,,,,,,,,,*,,R,,,,,,,,,,375,U1518,F,16,R,CC,PAL,NANNO,,
375-U1518F-17R-1-NANNO,0,0,342.27,342.27,M,A,,,,C,,,R,,R,,,,*,R,R,,,*,,,,*,,,,,,,,,,,,F,D,,C,,,R,,,,,,,,,R,,,,R,,*,*,F,,,,,*,*,,,,*,R,,,,,,,*,,R,,,,,,,,,,375,U1518,F,17,R,1,NANNO,,,
375-U1518F-17R-2-NANNO,0,0,343.2,343.2,M,D,,,,C,,,,R,,,,,*,C,F,,,*,,,,,,,,,,,,,,,,F,D,,C,,,F,,,,,,,,R,R,R,,,R,,,*,F,,,,,*,*,,,*,*,R,,,,*,,,,,R,,,,,,,,,,375,U1518,F,17,R,2,NANNO,,,
375-U1518F-17R-3-NANNO,0,0,344.56,344.56,M,D,,,,F,,,,,,,,,*,C,R,,*,*,,,,,,,,,,,,,,,,,D,,,,,,,,,,,,,,,,,,,,*,*,R,,,R,,,*,,,,*,,,,,*,,,*,,,,,,,R,,,,,375,U1518,F,17,R,3,NANNO,,,
375-U1518F-17R-CC-PAL-NANNO,0,10,346.41,346.51,M/P,C,,,,C,*,,,,,,*,,*,C,R,,*,*,,,,*,,,,,,,,,,,,F,A,,,,,,,,,,,,*,,,R,,,R,,*,*,F,,,,,*,,,,*,,R,,,,,,*,*,,R,,,,,R,,,,,375,U1518,F,17,R,CC,PAL,NANNO,,
375-U1518F-18R-2-PAL(112-122)-NANNO,0,10,353.74,353.84,M/P,C,,,,R,,,R,,R,,*,,*,C,F,,,*,,,,*,,,,,,,,,,,,F,A,,F,,,,,,,R,,,*,,R,,,,,,*,*,C,,,,,*,,,,,*,,,,,,,*,*,,,,,,,,,,,,375,U1518,F,18,R,2,PAL(112-122),NANNO,,
375-U1518F-19R-CC-PAL-NANNO,0,5,362.9,362.95,M,C,,,,F,*,,,,,,,,,C,R,,,*,,,,,,,,,,,,,,,,,A,,,,,,,,,R,,,,,,,,,,,*,*,C,,F,,,*,,,,,,,,,,,,,*,,,,,,,,,,,,375,U1518,F,19,R,CC,PAL,NANNO,,
375-U1518F-20R-CC-PAL-NANNO,0,10,373.71,373.81,M,A,,,,F,*,,R,,,,,*,*,C,F,,,*,,,,,,,,,,,,,,*,,F,D,,,,,,,,,,,,,,R,,,,F,R,,*,C,,,R,,*,*,,,*,,,,,,,,,*,,,,,,,,,,,,375,U1518,F,20,R,CC,PAL,NANNO,,
375-U1518F-21R-CC-PAL-NANNO,0,5,383.11,383.16,M,A,,,,F,*,*,R,,,,*,*,*,C,,,*,*,,,,,,,,,,,,,,*,,F,A,,R,,,,R,,,,,,,R,,R,,,F,,,*,F,,,R,,*,,*,,*,*,,,,,*,,,*,,R,,,,,R,,,,,375,U1518,F,21,R,CC,PAL,NANNO,,
375-U1518F-22R-CC-PAL-NANNO,0,10,391.96,392.06,M/P,C,,,,F,,,,,,*,,,*,C,F,*,,*,,,,,,,,,,,,,,*,,,A,,,,,,,,,,,,,R,,R,,,,,,*,C,,,R,,*,,*,,*,*,,,,,,,,,,,,,,*,R,,,,,375,U1518,F,22,R,CC,PAL,NANNO,,
375-U1518F-23R-CC-PAL-NANNO,0,10,402.53,402.63,G,D,,,,F,,*,R,R,R,,*,,*,C,C,,*,*,,,,*,,,,,,,R,,?,*,,R,D,,R,,,,,,,,,,,F,R,F,,,C,,,*,F,,,,,*,,,R,*,*,F,,,,,,*,*,,C,,,,,,R,,,,375,U1518,F,23,R,CC,PAL,NANNO,,
375-U1518F-24R-2-PAL-NANNO,0,10,411.68,411.78,M/P,D,,,,F,,,R,,,,,*,,C,C,,,*,,,*,,,,,,,,,,,,,,D,,F,,,,,,,,,,,,,,,,F,C,,*,F,,,,,*,*,,,*,,,,,,*,,,*,,,,,,,,,,,,375,U1518,F,24,R,2,PAL,NANNO,,
375-U1518F-25R-4-PAL-NANNO,0,10,422.12,422.22,M,C,,,,R,*,,R,,,,*,,,C,,,*,*,,,,*,,,,,,,,,,,,R,A,,F,,,,,,,R,*,,,,R,R,,,F,,,*,,,,,,*,,,,*,*,,,,,,,,*,,R,,,,,R,,,,,375,U1518,F,25,R,4,PAL,NANNO,,
375-U1518F-26R-CC-PAL-NANNO,0,10,431.52,431.62,M,C,,,,R,,,R,,,,,*,,C,F,,,*,,,,*,,,,,,,*,R,,,,R,A,,R,,,,,,,,,,,,,,,,F,,,*,F,,,R,,*,*,,,*,,,,,,,,,,,R,,,,,,,,,,375,U1518,F,26,R,CC,PAL,NANNO,,
375-U1518F-27R-CC-PAL-NANNO,0,10,441.35,441.45,M/P,C,,,,R,,,R,,,,*,,,C,,,*,*,,,*,*,,,,,,,,,,*,,,A,,F,,*,,,,,,,,,,,R,,,C,,*,*,,,,,,*,,*,,*,*,,,,,*,,,*,,,,,,,,,,,,375,U1518,F,27,R,CC,PAL,NANNO,,
375-U1518F-28R-CC-PAL-NANNO,0,10,451.64,451.74,M/P,C,,,,R,,,R,R,,,,,,C,F,,,*,,,,*,,,,,,,,,,*,,,A,*,,,,,,,,,,,,,,R,,,F,F,,*,C,,,,,*,,,,,,,,,,,,,*,,F,,,,,,,,,,375,U1518,F,28,R,CC,PAL,NANNO,,
375-U1518F-29R-CC-PAL-NANNO,0,6,462.92,462.98,G,C,,,,C,*,,R,,,,,*,*,C,F,,,*,,,,*,,,,,,,F,,,*,,C,D,,F,,*,,R,,,,,,,,,F,,,C,,*,*,F,,,R,,*,,,,*,,,,,,,,,*,,R,,,,,R,,,,,375,U1518,F,29,R,CC,PAL,NANNO,,
375-U1518F-30R-CC-PAL-NANNO,0,10,474.43,474.53,G,D,,,,F,,,,,R,,,,,C,C,,,*,,,,,,,,,,,,,,,,,D,,C,,,,,,,R,,,,,R,,,,C,C,,*,,,,,,*,,,,,,F,,,,,,,,,R,,,,,,R,,,,375,U1518,F,30,R,CC,PAL,NANNO,,
375-U1518F-31R-CC-PAL-NANNO,0,10,484.53,484.63,M/P,C,,,,C,,,R,,,*,,,*,C,,,,*,,,,*,,,,,,,,,,,,,A,,F,F,,,,,,,,,,R,,R,,,F,,*,*,C,,,F,,*,*,,,,*,,,,,,,,,,R,,,,,R,R,,,,375,U1518,F,31,R,CC,PAL,NANNO,,
375-U1518F-32R-CC-PAL-NANNO,0,12,492.26,492.38,M/P,C,,,,C,,,R,,,,,*,*,C,F,,,*,,,*,,,,,,,,,,,*,,F,A,,F,,,,,,,,,,,F,R,R,,,F,F,,,F,,,R,,*,*,,,*,*,,,,,*,,,*,,F,,,,,,R,,,,375,U1518,F,32,R,CC,PAL,NANNO,,
