Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Valvulineria sadonica	Textularia sp.	Stainforthia sp.	Stainforthia cf. S. bradyi	Spirosigmoilinella compressa	Spirosigmoilinella cf. S. compressa	Nonionella miocenica	Martinottiella communis	Haplophragmoides sp. D	Haplophragmoides sp. C	Haplophragmoides sp. A	Haplophragmoides compressum	Globobulimina auriculata	Eggerella bradyi	Cyclammina pusilla	Chilostomella cf. C. czizeki	Bulimina cf. B. imamurai	Ammodiscus sp. A	Ammodiscus incertus	Agglutinated spp. (indeterminate)	Valvulineria masudai	Rhabdammina spp.	Recurvoides(?) sp.	Pullenia subcarinata	Pullenia quinqueloba	Pullenia bulloides	Plectina nipponica	Gyroidinoides planulatus	Globocassidulina globosa	Globobulimina pupoides	Eggerella sp. A	Cyclammina sp. A	Cribrostomoides? sp.	Cribrostomoides cf. crassimargo	Cibicidoides bradyi	Chilostomella oolina	Bathysiphon spp.	Ammodiscus macilentus	Uvigerina proboscidea	Pullenia(?) sp.	Oolina hexagona	Nonionellina labradorica	Marginulina sp.	Lenticulina spp.	Gyroidina orbicularis	Globocassidulina sp. A	Globobulimina spp.	Globobulimina perversa	Fursenkoina sp. A 	Evolvocassidulina kuwanoi	Dentalina sp.	Cibicidoides sp. A	Bulimina striata	Bulimina sp.	Astrononion sp.	Uvigerina cf. segundoensis	Tosaia hanzawai	Sphaeroidina japonica	Saracenaria sp.	Pyrgo spp.	Pyrgo murrhina	Planodiscorbis sp.	Oridorsalis umbonatus	Nonionella stella	Islandiella sp. A	Globobulimina cf. perversa	Elphidium spp.	Cyclammina? sp.	Brizalina sp.	Quinqueloculina vulgaris	Pyrgo sp.	Pyrgo cf. P. fornasinii	Pullenia salisburyi	Parafissurina cf. P. curta	Oridorsalis tener	Melonis nicobarense	Martinottiella nodulosa	Lenticulina lucidus	Haplophragmoides cf. H. compressum	Gyroidina sp. A	Gyroidina soldanii	Globobulimina elongata	Globobulimina cf. G. pupoides	Cibicides asanoi	Caribbeanella cf. C. ogiensis	Calcareous sp. indeterminate	Reophax(?) sp.	Reophax spp.	Quinqueloculina(?) sp.	Quinqueloculina spp.	Quinqueloculina sp. B	Quinqueloculina sp. A	Pyrgo cf. vespertilio	Proteonina(?) sp.	Plectina(?) sp.	Parafissulina sp.	Nonionella cf. miocenica	Nodosaria(?) sp.	Miliolinella sp.	Fissurina sp. A	Fissurina orbignyana	Dentalina insecta	Cyclammina orbicularis	Cibicidoides sp. B	Cibicides sp.	Ammodiscus tenuis	Uvigerina cf. modeloensis	Reophax excentricus	Oridorsalis sp.	Melonis pompilioides	Fissurina marginata	Oolina(?) sp.	Valvulineria spp.	Spirosigmoilina (?) sp.	Nonionella sp.	Dentalina sp.	Cibicidoides wuellerstorfi	Ammovertellina sp.	Ammodiscus spp.	Thalmannammina cf. parkerae	Pullenia cf. subcarinata	Martinottiella cf. communis	Gyroidinoides cf. planulatus	Glomospira sp.	Bulimina cf. striata	Eilohedra rotunda	Cibicides wuellerstorfi	Uvigerina cf. proboscidea	Sphaeroidina cf. japonica	Hippocrepinella(?) sp.	Oolina globosa	Cibicidoides sp.	Saccammina spp.	Gyroidina nitidulus	Globobulimina cf. G. pacifica	Cibicides cf. C. lobatulus	Nonion spp.	Gyroidina lamarckiana	Globocassidulina subglobosa	Cibicides spp.	Cibicides lobatulus	Triloculina sp.	Quinqueloculina cf. seminula	Valvulineria cf. sadonica	Schizammina sp.           	Pullenia sp.	Ammosphaeroidina sp.	Sphaeroidina bulloides	Haplophragmoides sp. E	Cyclammina spp.	Quadrimorphina sp.	Uvigerina excellens	Trochulina spp.	Sigmavirgulina sp. A	Lagena asanoi	Islandiella norcrossi	Globocassidulina cf. G. subglobosa	Glabratellina sp. A	Fissurina cf. F. orbignyana	Fissurina cf. F. exculpta	Elphidium subincertum	Elphidium hanzawai	Cassidulinoides sp.	Cassidulinoides sasaokaensis	Cassidulina japonica	Brizalina cf. B. pacifica	Bolivina seminuda	Trifarina sp.	Sphaeroidina cf. compacta	Lagena cf. apiopleura	Islandiella helenae	Islandiella cf. compressa	Glabratella suboperculosis	Gavelinopsis sp.	Elphidium subarcticum	Elphidium cf. jenseni	Cibicides cf. refulgens	Bulimina rostrata	Buccella cf. kuromatsunaiensis	Cyclammina cancellata	Cribrostomoides sp. A	Truncoheronallenia sp. A	Elphidium advenum	Elphidium sp.	Cibicides aknerianus	Miliammina echigoensis	Globocassidulina norvangi	Gyroidina cf. G. lamarckiana	Cibicides cf. C. wuellerstorfi	Triloculina tricarinata	Quinqueloculina dainitiensis	Fissurina cf. F. semimarginata	Cibicides sp. A	Trochammina cf. T. inflata	Stilostomella spp.	Pseudoglandulina laevigata	Trochammina spp.	Gyroidina tumidulus	Fursenkoina seminuda	Caribbeanella cf. C. polystoma	Bolivina pacifica	Stainforthia complanata	Nonionella spp.	Brizalina pacifica	Uvigerina akitaensis	Trifarina kokozuraensis	Trifarina hughesi	Trifarina cf. T. kokozuraensis	Globocassidulina setanaensis	Fissurina cf. F. circulo-costa	Epistominella pacifica	Comment

  SR	                 	                 	                  	              	127	 797	B	 24	X	CC	  29.00	    224.0100	Brunner  	Benthic Foraminifers                         	               	                  	                     	              	                	                          	                            	                                   	                    	1                      	                      	                      	                      	                           	                        	                	                  	                            	                        	                	                   	1                                	                    	                	                  	                    	1                   	                  	                  	                        	                        	                      	               	                	                    	                               	                   	                    	                	                     	                     	               	               	                        	               	                	                     	                      	                  	                      	                  	                         	             	                  	                	            	               	                          	               	                     	               	          	              	                  	                     	                 	                 	                          	              	               	             	                        	         	                       	1                  	                          	                 	                   	                       	                   	                                  	               	                  	                      	                             	                	                             	                            	              	            	                      	                    	                     	                     	                     	                 	               	                 	                        	                	                	               	                    	                 	                      	                  	             	                 	                         	                   	               	                    	                   	             	                 	                       	              	             	                          	                  	               	                           	                        	                           	                            	              	                    	                 	                       	                         	                         	                      	              	                	               	                   	                             	                          	           	                     	                           	              	                   	               	                            	                         	                          	            	                    	                      	                      	               	                  	                   	               	                    	             	                     	                                  	                   	                           	                         	                     	                  	                   	                            	                    	                         	                 	             	                         	                     	                   	                         	                          	                	                     	                     	                       	                 	                              	                     	1                    	                        	                 	             	                    	                      	                         	                            	                              	                       	                            	                              	               	                          	                  	                          	                	                   	                    	                              	                 	                       	               	                  	                    	                       	                 	                              	                            	                              	                      	from ODP Leg 127&128 Chapter 12 Table 5 p 202-207

  SR	                 	                 	                  	              	127	 797	B	 25	X	CC	  30.00	    233.6700	Brunner  	Benthic Foraminifers                         	               	                  	                     	              	                	                          	                            	                                   	                    	                       	                      	                      	                      	                           	                        	                	                  	                            	                        	                	                   	                                 	                    	                	                  	                    	                    	                  	                  	                        	                        	                      	               	                	                    	                               	                   	                    	                	                     	                     	               	               	                        	               	                	                     	                      	                  	                      	                  	                         	             	                  	                	            	               	                          	               	                     	               	          	              	                  	                     	                 	                 	                          	              	               	             	                        	         	                       	                   	                          	                 	                   	                       	                   	                                  	1              	                  	                      	                             	                	                             	1                           	              	            	                      	                    	                     	                     	                     	                 	               	                 	                        	                	                	               	                    	                 	                      	                  	             	                 	                         	                   	               	                    	                   	             	                 	                       	              	             	                          	                  	               	                           	                        	                           	                            	              	                    	                 	                       	                         	                         	                      	              	                	               	                   	                             	                          	           	2                    	2                          	              	                   	               	                            	                         	                          	            	                    	                      	                      	               	                  	                   	               	                    	             	                     	                                  	                   	                           	                         	                     	                  	                   	                            	                    	                         	                 	             	                         	                     	                   	                         	                          	                	                     	                     	                       	                 	                              	                     	                     	                        	                 	2            	1                   	                      	                         	                            	                              	                       	                            	                              	               	                          	                  	                          	                	                   	                    	                              	                 	                       	               	                  	                    	                       	                 	                              	                            	                              	                      	from ODP Leg 127&128 Chapter 12 Table 5 p 202-207

  SR	                 	                 	                  	              	127	 797	B	 26	X	CC	  22.00	    243.1700	Brunner  	Benthic Foraminifers                         	               	                  	                     	              	                	                          	                            	                                   	                    	6                      	                      	                      	                      	                           	                        	                	                  	                            	                        	                	                   	                                 	                    	                	                  	                    	                    	                  	                  	                        	                        	                      	               	                	                    	                               	                   	                    	                	                     	                     	               	               	                        	               	                	                     	                      	                  	                      	                  	                         	             	                  	                	            	               	                          	               	                     	               	          	              	                  	                     	                 	                 	                          	              	               	             	                        	         	                       	                   	                          	                 	                   	                       	                   	                                  	               	                  	                      	                             	                	                             	                            	              	            	                      	                    	                     	                     	                     	                 	               	                 	                        	                	                	               	                    	                 	                      	                  	             	                 	                         	                   	               	                    	                   	             	                 	                       	              	             	                          	                  	               	                           	                        	                           	                            	              	                    	                 	                       	                         	                         	                      	              	                	               	                   	                             	                          	           	1                    	                           	              	                   	               	                            	                         	                          	            	                    	                      	                      	               	                  	                   	               	                    	             	                     	                                  	                   	                           	                         	                     	                  	                   	                            	                    	                         	                 	             	                         	                     	                   	                         	                          	                	                     	                     	                       	                 	                              	                     	                     	                        	                 	             	                    	                      	                         	                            	                              	                       	                            	                              	               	                          	                  	                          	                	                   	                    	                              	                 	                       	               	                  	                    	                       	                 	                              	                            	                              	                      	from ODP Leg 127&128 Chapter 12 Table 5 p 202-207

  SR	                 	                 	                  	              	127	 797	B	 27	X	 3	  52.00	    246.9200	Nomura   	Benthic Foraminifers                         	               	                  	                     	              	                	                          	                            	                                   	                    	66.7%                  	                      	                      	                      	                           	                        	                	                  	                            	                        	                	                   	                                 	                    	                	                  	                    	                    	                  	                  	                        	                        	                      	               	                	16.7%               	                               	                   	                    	+               	                     	                     	               	               	                        	               	                	                     	                      	                  	                      	                  	                         	             	                  	                	            	               	                          	               	                     	               	          	              	                  	                     	                 	                 	                          	              	               	             	                        	         	                       	                   	                          	                 	                   	                       	                   	                                  	               	                  	                      	                             	                	                             	                            	              	            	                      	                    	                     	                     	                     	                 	               	                 	                        	                	                	               	                    	                 	                      	                  	             	                 	                         	                   	               	                    	                   	             	                 	                       	              	             	                          	                  	               	                           	                        	                           	                            	              	                    	                 	                       	                         	                         	                      	              	                	               	                   	                             	                          	           	                     	                           	              	                   	               	                            	                         	                          	            	                    	                      	                      	               	                  	                   	               	                    	             	                     	                                  	                   	                           	                         	                     	                  	                   	                            	                    	                         	                 	             	                         	                     	                   	                         	                          	                	                     	                     	                       	                 	                              	                     	                     	                        	                 	             	                    	                      	                         	                            	                              	                       	                            	                              	               	                          	                  	                          	                	                   	                    	                              	                 	                       	               	                  	                    	                       	                 	                              	                            	                              	                      	Miscellaneous taxa = 16.67%; from ODP Legs 127&128 SR Chapter 29 Table 3 p 508-515

  SR	                 	                 	                  	              	127	 797	B	 27	X	 4	  52.00	    248.4200	Nomura   	Benthic Foraminifers                         	               	                  	                     	              	                	                          	                            	                                   	                    	10                     	                      	                      	                      	                           	                        	                	                  	                            	                        	                	                   	                                 	                    	                	                  	                    	                    	                  	                  	                        	                        	                      	               	                	                    	                               	                   	                    	                	                     	                     	               	               	                        	               	                	                     	                      	                  	                      	                  	                         	             	                  	                	            	               	                          	               	                     	               	          	              	                  	                     	                 	                 	                          	              	               	             	                        	         	                       	                   	                          	                 	                   	                       	                   	                                  	               	                  	                      	                             	                	                             	                            	              	            	                      	                    	                     	                     	                     	                 	               	                 	                        	                	                	               	                    	                 	                      	                  	             	                 	                         	                   	               	                    	                   	             	                 	                       	              	             	                          	                  	               	                           	                        	                           	                            	              	                    	                 	                       	                         	                         	                      	              	                	               	                   	                             	                          	           	                     	                           	              	                   	               	                            	                         	                          	            	                    	                      	                      	               	                  	                   	               	                    	             	                     	                                  	                   	                           	                         	                     	                  	                   	                            	                    	                         	                 	             	                         	                     	                   	                         	                          	                	                     	                     	                       	                 	                              	                     	                     	                        	                 	             	                    	                      	                         	                            	                              	                       	                            	                              	               	                          	                  	                          	                	                   	                    	                              	                 	                       	               	                  	                    	                       	                 	                              	                            	                              	                      	from ODP Legs 127&128 SR Chapter 29 Table 3 p 508-515

  SR	                 	                 	                  	              	127	 797	B	 27	X	CC	  26.00	    253.1000	Brunner  	Benthic Foraminifers                         	               	                  	                     	              	                	                          	                            	                                   	                    	                       	                      	                      	                      	                           	                        	                	                  	                            	                        	                	                   	                                 	                    	                	                  	                    	                    	                  	                  	                        	                        	                      	               	                	                    	                               	                   	                    	                	                     	                     	               	               	                        	               	                	                     	                      	                  	                      	                  	                         	             	                  	                	            	               	                          	               	                     	               	          	              	                  	                     	                 	                 	                          	              	               	             	                        	         	                       	                   	                          	                 	                   	                       	                   	                                  	               	                  	                      	                             	                	                             	                            	              	            	                      	                    	                     	                     	                     	                 	               	                 	                        	                	                	               	                    	                 	                      	                  	             	                 	                         	                   	               	                    	                   	             	                 	                       	              	             	                          	                  	               	                           	                        	                           	                            	              	                    	                 	                       	                         	                         	                      	              	                	               	                   	                             	                          	           	                     	                           	              	                   	               	                            	                         	                          	            	                    	                      	                      	               	                  	                   	               	                    	             	                     	                                  	                   	                           	                         	                     	                  	                   	                            	                    	                         	                 	             	                         	                     	                   	                         	                          	                	                     	                     	                       	                 	                              	                     	                     	1                       	1                	             	                    	                      	                         	                            	                              	                       	                            	                              	               	                          	                  	                          	                	                   	                    	                              	                 	                       	               	                  	                    	                       	                 	                              	                            	                              	                      	from ODP Leg 127&128 Chapter 12 Table 5 p 202-207

  SR	                 	                 	                  	              	127	 797	B	 28	X	 1	  51.00	    253.6100	Nomura   	Benthic Foraminifers                         	               	                  	                     	              	                	                          	                            	                                   	                    	92.9%                  	                      	                      	                      	                           	                        	                	                  	                            	                        	                	                   	                                 	                    	                	                  	                    	                    	                  	                  	                        	                        	                      	               	                	                    	                               	                   	                    	                	                     	                     	               	               	                        	               	                	                     	                      	                  	                      	                  	                         	             	                  	                	            	               	                          	               	                     	               	          	              	                  	                     	                 	                 	                          	              	               	             	                        	         	                       	                   	                          	                 	                   	                       	                   	                                  	               	                  	                      	                             	                	                             	                            	              	            	                      	                    	                     	                     	                     	                 	               	                 	                        	                	                	               	                    	                 	                      	                  	             	                 	                         	                   	               	                    	                   	             	                 	                       	              	             	                          	                  	               	                           	                        	                           	                            	              	                    	                 	                       	                         	                         	                      	7.1%          	                	               	                   	                             	                          	           	                     	                           	              	                   	               	                            	                         	                          	            	                    	                      	                      	               	                  	                   	               	                    	             	                     	                                  	                   	                           	                         	                     	                  	                   	                            	                    	                         	                 	             	                         	                     	                   	                         	                          	                	                     	                     	                       	                 	                              	                     	                     	                        	                 	             	                    	                      	                         	                            	                              	                       	                            	                              	               	                          	                  	                          	                	                   	                    	                              	                 	                       	               	                  	                    	                       	                 	                              	                            	                              	                      	from ODP Legs 127&128 SR Chapter 29 Table 3 p 508-515

  SR	                 	                 	                  	              	127	 797	B	 28	X	CC	  21.00	    258.5600	Brunner  	Benthic Foraminifers                         	               	                  	                     	              	                	                          	                            	                                   	                    	8                      	                      	                      	                      	                           	1                       	                	                  	                            	                        	                	                   	                                 	                    	                	                  	                    	                    	                  	                  	                        	                        	                      	               	                	                    	                               	                   	                    	                	                     	                     	               	               	                        	               	                	                     	                      	                  	                      	                  	                         	             	                  	                	            	               	                          	               	                     	               	          	              	                  	                     	                 	                 	                          	              	               	             	                        	         	                       	                   	                          	                 	                   	                       	                   	                                  	               	                  	                      	                             	                	                             	                            	              	            	                      	                    	                     	                     	                     	                 	               	                 	                        	                	                	               	                    	                 	                      	                  	             	                 	                         	                   	               	                    	                   	             	                 	                       	              	             	                          	                  	               	                           	                        	                           	                            	              	                    	                 	                       	                         	                         	                      	              	                	               	                   	                             	                          	           	                     	                           	              	                   	               	                            	                         	                          	            	                    	                      	                      	               	                  	                   	               	                    	             	                     	                                  	                   	                           	                         	                     	                  	                   	                            	                    	                         	                 	             	                         	                     	                   	                         	                          	                	                     	                     	                       	                 	                              	                     	1                    	                        	                 	             	                    	                      	                         	                            	                              	                       	                            	                              	               	                          	                  	                          	                	                   	                    	                              	                 	                       	               	                  	                    	                       	                 	                              	                            	                              	                      	from ODP Leg 127&128 Chapter 12 Table 5 p 202-207

  SR	                 	                 	                  	              	127	 797	B	 30	X	 5	  52.00	    279.0200	Nomura   	Benthic Foraminifers                         	               	                  	                     	              	                	                          	                            	                                   	                    	                       	                      	                      	                      	                           	                        	                	                  	                            	                        	                	                   	                                 	                    	                	                  	                    	                    	                  	                  	28.6%                   	                        	28.6%                 	               	                	                    	                               	                   	                    	+               	                     	                     	               	               	                        	               	                	                     	                      	                  	                      	                  	                         	             	                  	                	            	               	                          	               	                     	               	          	              	                  	                     	                 	                 	                          	              	               	             	                        	         	                       	28.6%              	                          	                 	                   	                       	                   	                                  	               	                  	                      	                             	                	                             	                            	              	            	                      	                    	                     	                     	                     	                 	               	                 	                        	                	                	               	                    	                 	                      	                  	             	                 	                         	                   	               	                    	                   	             	                 	                       	              	             	                          	                  	               	                           	                        	                           	                            	              	                    	                 	                       	                         	                         	                      	              	                	               	                   	                             	                          	           	                     	                           	              	                   	               	                            	                         	                          	            	                    	                      	                      	               	                  	                   	               	                    	             	                     	                                  	                   	                           	                         	                     	                  	                   	                            	                    	                         	                 	             	                         	                     	                   	                         	                          	                	                     	                     	                       	                 	                              	14.3%                	                     	                        	                 	             	                    	                      	                         	                            	                              	                       	                            	                              	               	                          	                  	                          	                	                   	                    	                              	                 	                       	               	                  	                    	                       	                 	                              	                            	                              	                      	from ODP Legs 127&128 SR Chapter 29 Table 3 p 508-515

  SR	                 	                 	                  	              	127	 797	B	 31	X	 3	  50.00	    285.7000	Nomura   	Benthic Foraminifers                         	               	                  	                     	              	                	                          	                            	                                   	                    	                       	                      	                      	                      	                           	                        	                	                  	                            	                        	                	                   	                                 	                    	                	                  	                    	                    	                  	                  	                        	5.3%                    	                      	               	                	                    	                               	                   	                    	                	                     	.4%                  	               	               	                        	               	                	.4%                  	                      	                  	                      	                  	                         	             	                  	                	            	               	                          	               	                     	               	          	              	                  	                     	                 	                 	                          	.4%           	               	             	                        	         	                       	                   	                          	                 	                   	                       	                   	                                  	               	                  	                      	                             	                	                             	                            	              	            	                      	                    	                     	                     	                     	                 	               	                 	                        	                	                	.4%            	.4%                 	                 	                      	                  	             	                 	                         	                   	               	                    	                   	             	                 	                       	              	             	                          	                  	               	                           	                        	                           	                            	              	                    	                 	                       	                         	                         	                      	              	.4%             	               	                   	                             	                          	           	                     	                           	              	                   	               	                            	                         	                          	            	                    	                      	                      	               	                  	                   	               	                    	             	                     	                                  	                   	                           	                         	                     	                  	                   	                            	                    	                         	                 	11.6%        	.4%                      	.4%                  	20.9%              	6.7%                     	1.3%                      	1.3%            	10.2%                	.4%                  	35.1%                  	3.1%             	3.1%                          	                     	                     	                        	                 	             	                    	                      	                         	                            	                              	                       	                            	                              	               	                          	                  	                          	                	                   	                    	                              	                 	                       	               	                  	                    	                       	                 	                              	                            	                              	                      	Miscellaneous taxa = 0.44%; from ODP Legs 127&128 SR Chapter 29 Table 3 p 508-515
