Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Datum name,Datum name generic,Datum comment,Datum age average [Ma],Zone name (short),Zone name,Zone comment,Upper boundary age av. [Ma],Lower boundary age av. [Ma],Group abundance,Preservation,Fragmentation,Percentage of planktic forams in total foram assemblage [%],Fragmentation rank [auto-pop],Terrestrial organic matter,Pyrite,"Reworking comment (1= <1%, 2=light 1-10%, 3= >10%)",Aspect comment (etching),Comment (general),Acarinina alticonica,Acarinina bullbrooki,Acarinina collactea,Acarinina primitiva,Beella digitata,Candeina nitida,Cassigerinella chipolensis,Cassigerinella martinezpicoi,Catapsydrax dissimilis,Chiloguembelina cubensis,Clavatorella bermudezi,Cribrohantkenina inflata,Dentoglobigerina altispira,Dentoglobigerina baroemoenensis,Dentoglobigerina globularis,Dentoglobigerina juxtabinaiensis,Dentoglobigerina sp.,Dentoglobigerina tripartita,Dentoglobigerina venezuelana,Fohsella birnageae,Fohsella fohsi,Fohsella peripheroacuta,Fohsella peripheroronda,Fohsella praefohsi,Fohsella robusta,Globigeriantella insueta,Globigerina angulisuturalis,Globigerina bulloides,Globigerina ciperoensis,Globigerina euapertura,Globigerina falconensis,Globigerina rubescens,Globigerina woodi,Globigerinatella sp.,Globigerinatheka barri,Globigerinatheka index,Globigerinella aequilateralis,Globigerinella calida,Globigerinella praesiphonifera,Globigerinella radians,Globigerinella siphonifera,Globigerinita glutinata,Globigerinita uvula,Globigerinoides altiapertura,Globigerinoides bollii,Globigerinoides bulloideus,Globigerinoides conglobatus,Globigerinoides diminutus,Globigerinoides extremus,Globigerinoides fistulosus,Globigerinoides immaturus,Globigerinoides obliquus,Globigerinoides primordius,Globigerinoides pyramidalis,Globigerinoides quadrilobatus,Globigerinoides ruber (pink),Globigerinoides ruber (white),Globigerinoides ruber s.s.,"Globigerinoides ruber s.l. Wang, 2000",Globigerinoides sacculifer,Globigerinoides sacculifer (without sac),Globigerinoides seigliei,Globigerinoides subquadratus,Globigerinoides trilobus,Globoquadrina binaiensis,Globoquadrina dehiscens,Globorotalia archeomenardii,Globorotalia challengeri,Globorotalia cibaoensis,Globorotalia crassaformis,Globorotalia crassula,Globorotalia exilis,Globorotalia flexuosa,Globorotalia hirsuta,Globorotalia humerosa,Globorotalia incognita,Globorotalia inflata,Globorotalia juanai,Globorotalia lenguaensis,Globorotalia limbata,Globorotalia margaritae,Globorotalia menardii,Globorotalia merotumida,Globorotalia miozea,Globorotalia multicamerata,Globorotalia pertenuis,Globorotalia plesiotumida,Globorotalia praemenardii,Globorotalia praescitula,Globorotalia pseudomiocenica,Globorotalia puncticulata,Globorotalia scitula,Globorotalia theyeri,Globorotalia tosaensis,Globorotalia truncatulinoides,Globorotalia tumida,Globorotalia ungulata,Globorotalia zealandica,Globorotaloides hexagona,Globorotaloides quadrocameratus,Globoturborotalita apertura,Globoturborotalita decoraperta,Globoturborotalita nepenthes,Globoturborotalita rubescens,Globoturborotalita tenella,Globoturborotalita woodi,Neogloboquadrina acostaensis,Neogloboquadrina dutertrei,Neogloboquadrina humerosa,Neogloboquadrina nympha,Orbulina bilobata,Orbulina suturalis,Orbulina universa,Paragloborotalia kugleri,Paragloborotalia mayeri,Paragloborotalia sp.,Planorotalites palmerae,Planorotalites spp.,Praeorbulina circularis,Praeorbulina curva,Praeorbulina glomerosa,Praeorbulina sicana,Pulleniatina (D),Pulleniatina (S),Pulleniatina finalis,Pulleniatina obliquiloculata,Pulleniatina primalis,Pulleniatina spectabilis,Sphaeroidinella dehiscens,Sphaeroidinella excavata,Sphaeroidinellopsis kochi,Sphaeroidinellopsis seminulina,Sphaeroidinellopsis subdehiscens,Subbotina eocaena,Subbotina gortanii,Tenuitella gemma,Tenuitella munda,Tenuitellinata juvenilis,Turborotalita humilis,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,eodp_id
356-U1462A-18X-CC-PAL-FORAM-150-2000,0,10,155.4,155.5,,,,,,,,,,R,P,,5,,,,,,mostly BF; ostracod (P),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,R,R,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356,U1462,A,18,X,CC,PAL,7fd80574dfa5cfdf1f3080f1a5346f38
356-U1462A-20X-CC-PAL-FORAM-150-2000,0,10,174.98,175.08,,,,,,,,,,B,P,,0,,,,,,mostly BF; pteropods (P); peloids; quartz grains,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356,U1462,A,20,X,CC,PAL,923441c4733e13e9423ba8c7156a05c3
356-U1462A-22X-CC-PAL-FORAM-150-2000,0,10,194.35,194.45,,,,,,,,,,B,P,,0,,,,,,pteropods (P); BF; bivavles (C),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356,U1462,A,22,X,CC,PAL,6a0e7fd078f729a63dcb9933d780026c
356-U1462A-24X-CC-PAL-FORAM-150 2000,0,10,213.6,213.7,,,,,,,,,,VR,P,,2,,,,,,bivalves (C); BF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356,U1462,A,24,X,CC,PAL,fa4e0fb6077f6fd0ab10bdbe5dac706d
356-U1462A-26X-CC-PAL-FORAM-150-2000,0,9,233.0,233.09,,,,,,,,,,R,P,,5,,,,,,ostracod (P); glauconite; BF; crystallised,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,R,R,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356,U1462,A,26,X,CC,PAL,061c81343e4d850beb8dd884fffb3483
356-U1462A-28X-CC-PAL-FORAM-150-2000,0,10,252.4,252.5,,,,,,,,,,VR,P,S [F02],40,3,,,,,"Ostracod (R), heavily cemented",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,R,,,,R,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356,U1462,A,28,X,CC,PAL,cea43c91eec260f3d6c18f48e45f8be4
356-U1462A-30X-CC-PAL-FORAM-150-2000,0,7,271.8,271.87,"T Globorotalia tosaensis (Gradstein et al., 2012)",T Globorotalia tosaensis,,0.61,PT1a,"PT1a - Globorotalia tosaensis High-occurrence Zone (Gradstein et al., 2012)",,0.61,1.88,VR,P,S [F02],20,3,,,,,Ostracod (F),,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356,U1462,A,30,X,CC,PAL,cf8f78ff76debb93f2f87b3a0c7c2404
356-U1462A-33X-CC-PAL-FORAM-150-2000,0,10,303.93,304.03,,,,,,,,,,R,P,S [F02],50,3,,,,,Ostracod,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,P,,P,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356,U1462,A,33,X,CC,PAL,1a14e14029b069604cf708f2fca4d003
356-U1462A-37X-CC-PAL-FORAM-150-2000,0,10,348.66,348.76,,,,,,,,,,F,P,S [F02],50,3,,,,,"Ostracod (R), cemented",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,R,,,,R,,,P,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,356,U1462,A,37,X,CC,PAL,11845ee4d3b2ba797c3855fdd92bc925
356-U1462A-39X-CC-PAL-FORAM-150-2000,0,10,368.71,368.81,"B Globorotalia truncatulinoides (Gradstein et al., 2012)",B Globorotalia truncatulinoides,,1.93,PT1a,"PT1a - Globorotalia tosaensis High-occurrence Zone (Gradstein et al., 2012)",,0.61,1.88,F,M,S [F02],60,3,,,,,"Ostracod (P), cemented",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,R,,,,,,,,,,F,F,F,P,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,P,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356,U1462,A,39,X,CC,PAL,0c84e8d5c5510dde74048e0c68652fe6
356-U1462A-41X-CC-PAL-FORAM-150-2000,0,10,381.95,382.05,,,,,,,,,,R,P,S [F02],30,3,,,,,"Ostracod (P), cemented",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,R,P,P,,R,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356,U1462,A,41,X,CC,PAL,fdf9935e85e0cfcc9a36e64f3fba0f33
356-U1462A-43X-CC-PAL-FORAM-150-2000,0,10,402.66,402.76,,,,,,,,,,F,P,S [F02],60,3,,,,,"Ostracod (P), cemented",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,P,,,,,,,,,,R,P,P,,R,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,P,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,356,U1462,A,43,X,CC,PAL,d3a02e4925904e4f71e520d092b05683
356-U1462A-45X-CC-PAL-FORAM-150-2000,0,10,418.92,419.02,,,,,,,,,,F,P,S [F02],50,3,,,,,cemented,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,R,,,P,R,,,R,,,,,,,,,,,,,P,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,356,U1462,A,45,X,CC,PAL,761f81ed6be4f80993afed89b97300ab
356-U1462A-47X-CC-PAL-FORAM-150-2000,0,10,438.13,438.23,,,,,,,,,,F,P,S [F02],70,3,,,,,cemented,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,P,,,,,P,,,,,,P,,P,,,R,,,,R,,,R,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,R,,,,,,,P,,,,,P,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,356,U1462,A,47,X,CC,PAL,8b620e11ad2f3c59ff174af62e898353
356-U1462A-49X-CC-PAL-FORAM-150-2000,0,10,459.03,459.13,"T Globigerinoides extremus (Gradstein et al., 2012)",T Globigerinoides extremus,,1.98,PL6,"PL6 - Globigerinoides fistulosus Highest-occurrence Zone (Atlantic) (Gradstein et al., 2012)",,1.88,2.39,F,P,S [F02],70,3,,,,,cemented,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,P,,,,,,,,R,,,,R,,,R,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,R,,,,,,,P,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356,U1462,A,49,X,CC,PAL,49105b7bff1b998c07cd96baa455a512
356-U1462A-51X-CC-PAL-FORAM-150-2000,0,10,476.55,476.65,,,,,,,,,,R,P,,60,,,,,,Ostracod (R),,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,R,,R,R,,,,,,,,,P,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,356,U1462,A,51,X,CC,PAL,a8ac80c875f35ca07384296119570089
356-U1462A-53X-CC-PAL-FORAM-150-2000,0,10,498.72,498.82,,,PL5 - 2.39,,,,PL5 - 2.39,,,F,P,,70,,,,,,Ostracod (P),,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,R,,,,,,,,R,,,R,,,,,R,R,,,R,,,,,,,,,,,,,,,,,,,R,,P,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356,U1462,A,53,X,CC,PAL,c9d5718dacbc67e6c1b925d23f5a22c2
356-U1462A-55X-CC-PAL-FORAM-150-2000,0,10,515.82,515.92,"B Globorotalia tosaensis (Gradstein et al., 2012)",B Globorotalia tosaensis,,3.35128,PL5 (Indo-Pacific),"PL5 (Indo-Pacific) - Globorotalia pseudomiocenica Highest Occurrence Zone (Indo-Pacific) (Gradstein et al., 2012)",,3.16,3.47,C,M,,80,,,,,,Ostracod (P),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,R,,,,,R,,,,,R,P,,R,P,,,R,,,,,,P,,,,,,,,,,P,,,,,,,,,,,,,,R,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356,U1462,A,55,X,CC,PAL,395ac670ecb3f08667b97dda2bd6a48a
356-U1462A-57X-CC-PAL-FORAM-150-2000,0,9,539.88,539.97,"T Dentoglobigerina altispira (Gradstein et al., 2012)",T Dentoglobigerina altispira,,3.47,PL4 (Indo-Pacific),"PL4 (Indo-Pacific) - Dentoglobigerina altispira Highest Occurrence Zone (Indo-Pacific) (Gradstein et al., 2012)",,3.47,3.59,F,P,,70,,,,,,ostracod (P); glauconite,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,R,,,R,,,,,R,P,R,,,,,,,,,,,,,,,,,,,,,P,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,356,U1462,A,57,X,CC,PAL,5403a752a9eca6cc0435bb4b83f085c9
356-U1462A-59X-CC-PAL-FORAM-150-2000,0,10,558.92,559.02,,,,,,,,,,F,P,,60,,,,,,Ostracod (P),,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,R,R,,,R,,,R,,,,,,,,,,,,,,,,R,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,356,U1462,A,59,X,CC,PAL,db0a856bfc0cb58b63f63c5937112870
356-U1462A-61X-CC-PAL-FORAM-150-2000,0,10,580.97,581.07,,,,,,,,,,F,M,S [F02],80,3,,,,,Ostracod (P),,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,R,,,,,,,,R,,,,R,,,R,,,,,,,,,,,,,,,,,,R,,,,,,,,P,,,,,,,,,,,P,,,,,,,P,,,,,P,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,356,U1462,A,61,X,CC,PAL,25b7ed6c3965b3a41ab1cd3d5aee7f22
356-U1462A-63X-CC-PAL-FORAM-150-2000,0,10,594.44,594.54,"T Globorotalia margaritae (Gradstein et al., 2012)",T Globorotalia margaritae,"what about primalis and seminulina, why do they appear much later?",3.85,PL2,"PL2 - Globorotalia margaritae Highest Occurrence Zone (Gradstein et al., 2012)","what about primalis and seminulina, why do they appear much later?",3.85,4.37,F,P,S [F02],70,3,,,,,Ostracod (P),,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,R,,,,,,,,,,,P,R,,,P,,,,,,,,,,,,,,,,,P,R,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,P,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,356,U1462,A,63,X,CC,PAL,a7ffdb2cb5769e082f40794686d5691f
356-U1462A-65X-CC-PAL-FORAM-150-2000,0,10,615.31,615.41,,,,,,,,,,R,P,S [F02],40,3,,,,,"Ostracod (P), cemented",,,,,,,,,,,,,P,,,,,,,,,,,,,,,P,,,,,,,,,,,,,P,,,,,,,,P,,,,,,,,,,,,P,,,P,,,,,,,,,,,,,,,,,P,P,,,,,P,,,,,,,,,,,,,,P,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356,U1462,A,65,X,CC,PAL,ff086cb8c2faef9af3c6f324e3dd7b92
356-U1462A-67X-CC-PAL-FORAM-150-2000,0,10,629.34,629.44,,,,,,,,,,F,P,S [F02],60,3,,present,,,"Ostracod (P), cemented",,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,R,,,,,,,,,,,,R,,,P,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356,U1462,A,67,X,CC,PAL,adf397c7ed2a739b4bcb577a055a1953
356-U1462A-71X-CC-PAL-FORAM-150-2000,0,10,650.66,650.76,,,,,,,,,,F,P,,70,,,present,,,Ostracod (R),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,R,R,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,R,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,356,U1462,A,71,X,CC,PAL,1a32b9bdd458b672dfa51facdcf8238a
